date,WILLR
2018-01-02,-22.8175
2018-01-03,-14.1779
2018-01-04,-14.6045
2018-01-05,-6.3025
2018-01-08,-22.7991
2018-01-09,-17.833
2018-01-10,-5.9701
2018-01-11,-14.7791
2018-01-12,-25.0953
2018-01-16,-27.0665
2018-01-17,-4.0201
2018-01-18,-8.4706
2018-01-19,-2.1176
2018-01-22,-0.489
2018-01-23,-8.5919
2018-01-24,-3.0181
2018-01-25,-3.8536
2018-01-26,-2.0484
2018-01-29,-8.6879
2018-01-30,-18.3601
2018-01-31,-10.1727
2018-02-01,-18.1818
2018-02-02,-51.2586
2018-02-05,-92.5085
2018-02-06,-86.4943
2018-02-07,-84.0038
2018-02-08,-99.5438
2018-02-09,-87.8343
2018-02-12,-84.6419
2018-02-13,-71.6997
2018-02-14,-58.3261
2018-02-15,-54.2709
2018-02-16,-54.8749
2018-02-20,-54.8749
2018-02-21,-56.7731
2018-02-22,-64.711
2018-02-23,-61.6048
2018-02-26,-54.7023
2018-02-27,-60.5448
2018-02-28,-67.5747
2018-03-01,-77.2208
2018-03-02,-75.105
2018-03-05,-56.1504
2018-03-06,-64.0953
2018-03-07,-71.2762
2018-03-08,-69.4428
2018-03-09,-46.3721
2018-03-12,-60.2607
2018-03-13,-69.7089
2018-03-14,-88.2019
2018-03-15,-84.3961
2018-03-16,-99.4439
2018-03-19,-91.8985
2018-03-20,-95.8012
2018-03-21,-95.7912
2018-03-22,-95.7255
2018-03-23,-99.5807
2018-03-26,-85.8491
2018-03-27,-95.5093
2018-03-28,-90.4242
2018-03-29,-78.1449
2018-04-02,-88.5206
2018-04-03,-79.558
2018-04-04,-69.3677
2018-04-05,-65.0706
2018-04-06,-77.7164
2018-04-09,-77.4708
2018-04-10,-72.4547
2018-04-11,-79.7595
2018-04-12,-66.1732
2018-04-13,-92.9682
2018-04-16,-91.3732
2018-04-17,-95.3405
2018-04-18,-97.5564
2018-04-19,-68.1592
2018-04-20,-37.8378
2018-04-23,-36.4865
2018-04-24,-39.1892
2018-04-25,-22.973
2018-04-26,-41.0811
2018-04-27,-43.2432
2018-04-30,-54.0541
2018-05-01,-37.8378
2018-05-02,-47.8378
2018-05-03,-63.2712
2018-05-04,-38.307
2018-05-07,-31.1334
2018-05-08,-15.9254
2018-05-09,-5.7873
2018-05-10,-1.7897
2018-05-11,-10.1822
2018-05-14,-9.5391
2018-05-15,-10.5578
2018-05-16,-5.7971
2018-05-17,-24.3902
2018-05-18,-35.9202
2018-05-21,-17.2949
2018-05-22,-7.9742
2018-05-23,-0.0
2018-05-24,-28.1192
2018-05-25,-23.8361
2018-05-29,-60.149
2018-05-30,-36.3128
2018-05-31,-40.7821
2018-06-01,-29.1585
2018-06-04,-35.5263
2018-06-05,-47.3239
2018-06-06,-16.9492
2018-06-07,-15.5367
2018-06-08,-14.1243
2018-06-11,-18.9266
2018-06-12,-22.5989
2018-06-13,-28.8136
2018-06-14,-40.678
2018-06-15,-33.8983
2018-06-18,-31.0734
2018-06-19,-31.0734
2018-06-20,-48.0226
2018-06-21,-50.1441
2018-06-22,-62.536
2018-06-25,-61.9597
2018-06-26,-86.7314
2018-06-27,-91.5858
2018-06-28,-80.1292
2018-06-29,-40.9257
2018-07-02,-19.4884
2018-07-03,-38.0024
2018-07-05,-45.7978
2018-07-06,-29.9635
2018-07-09,-8.5262
2018-07-10,-12.1803
2018-07-11,-25.5786
2018-07-12,-26.553
2018-07-13,-42.8745
2018-07-16,-5.694
2018-07-17,-15.8956
2018-07-18,-15.6584
2018-07-19,-21.3523
2018-07-20,-19.4543
2018-07-23,-1.7734
2018-07-24,-5.9912
2018-07-25,-8.1057
2018-07-26,-7.3491
2018-07-27,-5.1233
2018-07-30,-13.7533
2018-07-31,-35.0488
2018-08-01,-28.6602
2018-08-02,-17.3026
2018-08-03,-7.7196
2018-08-06,-6.6548
2018-08-07,-7.8971
2018-08-08,-5.2811
2018-08-09,-18.0579
2018-08-10,-37.4774
2018-08-13,-51.7808
2018-08-14,-39.1781
2018-08-15,-41.3699
2018-08-16,-23.0137
2018-08-17,-20.0
2018-08-20,-19.4215
2018-08-21,-23.1084
2018-08-22,-14.5194
2018-08-23,-37.0143
2018-08-24,-34.1513
2018-08-27,-17.3824
2018-08-28,-18.6094
2018-08-29,-23.1084
2018-08-30,-49.6503
2018-08-31,-48.7179
2018-09-04,-33.7995
2018-09-05,-26.8065
2018-09-06,-74.359
2018-09-07,-97.7011
2018-09-10,-93.228
2018-09-11,-96.8397
2018-09-12,-96.2416
2018-09-13,-99.7795
2018-09-14,-99.3268
2018-09-17,-93.3751
2018-09-18,-89.9731
2018-09-19,-76.9784
2018-09-20,-70.9386
2018-09-21,-81.0469
2018-09-24,-94.2238
2018-09-25,-94.6197
2018-09-26,-97.7328
2018-09-27,-99.0676
2018-09-28,-97.7892
2018-10-01,-98.7207
2018-10-02,-96.5164
2018-10-03,-89.3617
2018-10-04,-73.6077
2018-10-05,-77.9547
2018-10-08,-68.4257
2018-10-09,-69.9909
2018-10-10,-87.3143
2018-10-11,-91.0417
2018-10-12,-74.8988
2018-10-15,-52.0243
2018-10-16,-42.1053
2018-10-17,-27.3279
2018-10-18,-54.8583
2018-10-19,-52.9138
2018-10-22,-81.1594
2018-10-23,-76.0599
2018-10-24,-96.5932
2018-10-25,-63.1263
2018-10-26,-75.3507
2018-10-29,-55.7114
2018-10-30,-46.493
2018-10-31,-35.6713
2018-11-01,-29.0581
2018-11-02,-28.0561
2018-11-05,-27.0541
2018-11-06,-29.2585
2018-11-07,-28.6573
2018-11-08,-37.0741
2018-11-09,-39.479
2018-11-12,-53.3066
2018-11-13,-45.491
2018-11-14,-53.7961
2018-11-15,-39.2625
2018-11-16,-36.6594
2018-11-19,-28.4165
2018-11-20,-45.3362
2018-11-21,-52.2565
2018-11-23,-72.9167
2018-11-26,-50.4323
2018-11-27,-41.4986
