,open,low,high,close
2010-01-04,41.3173,40.9268,41.5667,41.2513
2010-01-05,41.2787,40.8788,41.5463,41.221
2010-01-06,41.2431,40.9184,41.4541,41.1926
2010-01-07,41.2882,41.0008,41.6287,41.3747
2010-01-08,41.4156,41.1218,41.8208,41.5239
2010-01-11,41.5193,41.1962,41.8897,41.5627
2010-01-12,41.521,41.2576,42.0174,41.6935
2010-01-13,41.6253,41.3658,42.1051,41.8271
2010-01-14,41.7472,41.5379,42.2688,42.0355
2010-01-15,41.9367,41.6831,42.4251,42.1593
2010-01-19,42.0463,41.8214,42.595,42.3662
2010-01-20,42.263,41.9644,42.7745,42.5446
2010-01-21,42.4573,41.9517,42.8985,42.5458
2010-01-22,42.3255,41.3316,42.7098,41.8956
2010-01-25,41.7989,40.6704,42.1452,41.1883
2010-01-26,41.0603,40.1039,41.6462,40.6347
2010-01-27,40.5,39.673,41.145,40.262
2010-01-28,40.147,39.1222,40.6831,39.7175
2010-01-29,39.6506,38.7466,40.3048,39.2927
2010-02-01,39.2692,38.5101,39.8978,39.03
2010-02-02,39.0964,38.4244,39.7062,38.9544
2010-02-03,38.9929,38.3074,39.4973,38.768
2010-02-04,38.7478,38.0799,39.2611,38.4662
2010-02-05,38.4735,37.7304,38.951,38.2688
2010-02-08,38.2597,37.4666,38.6701,37.9111
2010-02-09,37.9913,37.288,38.4274,37.7442
2010-02-10,37.8213,37.1358,38.2597,37.6438
2010-02-11,37.7216,37.097,38.2007,37.6605
2010-02-12,37.6372,37.0669,38.1654,37.7035
2010-02-16,37.7546,37.26,38.3376,37.9629
2010-02-17,37.9908,37.4615,38.4813,38.0868
2010-02-18,38.1147,37.6242,38.5526,38.2152
2010-02-19,38.1921,37.7404,38.6011,38.3124
2010-02-22,38.2999,37.8776,38.657,38.3752
2010-02-23,38.3193,37.824,38.6083,38.2502
2010-02-24,38.2422,37.8291,38.5691,38.2321
2010-02-25,38.0912,37.6469,38.4366,38.1517
2010-02-26,38.0509,37.6212,38.3598,38.1121
2010-03-01,38.0278,37.6195,38.2893,38.0695
