date,open,low,high,close
2010-01-04,40.9225,40.518,41.1725,40.864
2010-01-05,40.8917,40.4687,41.1917,40.8527
2010-01-06,40.8711,40.5891,41.0711,40.8451
2010-01-07,41.0008,40.7627,41.4607,41.2234
2010-01-08,41.2538,40.9752,41.8005,41.4656
2010-01-11,41.4159,41.0668,41.8537,41.4671
2010-01-12,41.3673,41.1278,42.0191,41.6514
2010-01-13,41.5282,41.2752,42.0927,41.8176
2010-01-14,41.6988,41.5235,42.3085,42.1051
2010-01-15,41.9725,41.689,42.4857,42.2
2010-01-19,42.0617,41.8293,42.6738,42.4534
2010-01-20,42.3511,41.9729,42.8658,42.6289
2010-01-21,42.5641,41.8253,42.9439,42.4726
2010-01-22,42.1627,40.6135,42.4593,41.1784
2010-01-25,41.1418,39.5757,41.4028,40.0489
2010-01-26,39.9412,38.8904,40.6786,39.3993
2010-01-27,39.2808,38.537,40.0657,39.1562
2010-01-28,39.0772,37.968,39.6005,38.5808
2010-01-29,38.5848,37.7653,39.3236,38.2739
2010-02-01,38.3365,37.7835,38.9858,38.2526
2010-02-02,38.451,38.0057,39.0472,38.5084
2010-02-03,38.604,38.0671,39.0015,38.4489
2010-02-04,38.4127,37.8681,38.861,38.1426
2010-02-05,38.1618,37.4454,38.564,38.0451
2010-02-08,38.0279,37.2236,38.3327,37.6267
2010-02-09,37.7752,37.1557,38.1684,37.5978
2010-02-10,37.7102,37.1038,38.1256,37.6485
2010-02-11,37.7434,37.2292,38.2445,37.8624
2010-02-12,37.759,37.3095,38.343,38.0482
2010-02-16,38.1093,37.7563,38.772,38.5722
2010-02-17,38.5829,38.1109,39.0413,38.7314
2010-02-18,38.7452,38.3206,39.1176,38.871
2010-02-19,38.7935,38.4104,39.1384,38.934
2010-02-22,38.8957,38.5336,39.1723,38.9326
2010-02-23,38.8238,38.2957,39.0115,38.5984
2010-02-24,38.5992,38.2272,38.9043,38.5356
2010-02-25,38.2895,37.8348,38.6462,38.3704
2010-02-26,38.243,37.8098,38.5375,38.3103
2010-03-01,38.2286,37.8266,38.4517,38.2502
2010-03-02,38.1924,37.9177,38.6144,38.2968
2010-03-03,38.2816,38.0051,38.7263,38.2912
2010-03-04,38.2811,38.0701,38.8175,38.4908
2010-03-05,38.5541,38.4134,39.295,39.0605
2010-03-08,39.1094,38.8123,39.6417,39.277
2010-03-09,39.2529,38.9915,39.7411,39.418
2010-03-10,39.4819,39.101,39.8074,39.5187
2010-03-11,39.5113,39.2107,39.9216,39.7158
2010-03-12,39.8342,39.6171,40.2811,40.0639
2010-03-15,40.0961,39.7681,40.5107,40.2759
2010-03-16,40.3541,39.9954,40.6838,40.4906
2010-03-17,40.6294,40.2303,40.8925,40.6637
2010-03-18,40.7196,40.3135,40.9484,40.7758
2010-03-19,40.8897,40.3023,41.0589,40.6272
2010-03-22,40.5598,40.1459,41.1193,40.7781
2010-03-23,40.7399,40.3703,41.2028,40.9321
2010-03-24,40.8399,40.5302,41.2886,40.9581
2010-03-25,41.0166,40.7534,41.619,41.112
2010-03-26,41.2011,40.8056,41.6694,41.1147
2010-03-29,41.1741,40.9104,41.4862,41.1165
2010-03-30,41.2194,40.9636,41.4892,41.1743
2010-03-31,41.1496,40.9191,41.5261,41.2029
2010-04-01,41.3264,41.0661,41.6507,41.3686
2010-04-05,41.4943,41.2907,41.9938,41.8024
2010-04-06,41.7928,41.6271,42.3767,42.2416
2010-04-07,42.1552,41.7614,42.7078,42.2844
2010-04-08,42.1768,41.8609,43.0852,42.7529
2010-04-09,42.6812,42.4206,43.4201,43.1286
2010-04-12,43.1241,42.9271,43.8068,43.5991
2010-04-13,43.5461,43.3947,44.2245,44.0627
2010-04-14,44.1841,44.0032,45.0263,44.8618
2010-04-15,44.8627,44.6754,45.5776,45.4645
2010-04-16,45.4051,44.5103,45.9217,45.343
2010-04-19,45.2068,44.5502,45.8778,45.482
2010-04-20,45.5078,44.8735,46.0152,45.7213
2010-04-21,45.7252,45.0823,46.1368,45.8109
2010-04-22,45.7035,45.1149,46.4612,46.1306
2010-04-23,46.4423,45.9632,47.3708,46.7704
2010-04-26,46.6682,46.2455,47.5705,46.8936
2010-04-27,46.6821,46.0337,47.5437,46.5257
2010-04-28,46.5314,45.8624,47.1525,46.3772
2010-04-29,46.5643,46.045,47.3716,46.7848
2010-04-30,46.8829,45.9633,47.5911,46.5632
2010-05-03,46.6586,46.0155,47.5174,46.7755
2010-05-04,46.6724,45.827,47.2783,46.4703
2010-05-05,46.2516,45.1947,46.9155,45.7902
2010-05-06,45.6177,43.5165,46.3237,44.6935
2010-05-07,44.4918,42.511,45.1624,43.329
2010-05-10,43.9912,42.5306,44.5416,43.2493
2010-05-11,43.5908,42.5371,44.4511,43.2762
2010-05-12,43.5805,42.7514,44.3707,43.5508
2010-05-13,43.6704,42.7409,44.2672,43.3039
2010-05-14,43.1236,41.8473,43.5481,42.4159
2010-05-17,42.499,41.1649,42.9454,42.0173
2010-05-18,42.186,40.5299,42.5436,41.2915
2010-05-19,41.2407,40.0666,41.9557,40.9177
2010-05-20,40.7171,39.5644,41.4938,40.1518
2010-05-21,39.6681,38.8296,41.0159,40.0412
2010-05-24,39.7487,38.8631,40.6773,39.7075
2010-05-25,39.1525,38.442,40.1182,39.4716
2010-05-26,39.255,38.2814,39.9654,39.0378
2010-05-27,39.18,38.5309,40.117,39.4685
2010-05-28,39.51,38.8706,40.3146,39.6023
2010-06-01,39.4,38.9304,40.3098,39.4649
2010-06-02,39.42,38.9536,40.5398,39.9666
2010-06-03,40.05,39.3624,40.8166,40.1577
2010-06-04,39.8567,38.9749,40.4877,39.5752
2010-06-07,39.4678,38.52,40.0085,38.9534
2010-06-08,38.9585,38.0566,39.5123,38.779
2010-06-09,38.9157,38.0278,39.4215,38.556
2010-06-10,38.8438,38.2418,39.6544,39.0473
2010-06-11,39.0592,38.6046,39.8362,39.4082
2010-06-14,39.5295,39.0264,40.1175,39.5688
2010-06-15,39.8396,39.4109,40.625,40.2425
2010-06-16,40.3731,40.0039,41.2533,40.9417
2010-06-17,41.1487,40.486,41.7456,41.3145
2010-06-18,41.4792,40.8806,41.917,41.553
2010-06-21,41.9061,41.2638,42.3247,41.902
2010-06-22,42.1507,41.4558,42.5231,41.9147
2010-06-23,42.0972,41.3439,42.5088,41.9998
2010-06-24,42.0048,41.2093,42.4525,41.6865
2010-06-25,41.8398,41.1197,42.525,42.0143
2010-06-28,42.0666,41.3498,42.5967,42.0462
2010-06-29,41.8744,40.8166,42.2444,41.3942
2010-06-30,41.1896,40.4044,41.6963,40.8294
2010-07-01,40.6431,39.7429,41.1575,40.3796
2010-07-02,40.3654,39.4653,40.735,40.0597
2010-07-06,40.2969,39.2235,40.6,39.7765
2010-07-07,39.8879,39.1557,40.8067,40.2343
