date,open,low,high,close
2010-01-04,-0.22,1.58,0.07,2.05
2010-01-05,1.15,1.58,0.63,1.53
2010-01-06,0.95,1.72,0.69,1.42
2010-01-07,2.05,2.09,2.63,2.85
2010-01-08,2.75,2.4,2.5,2.07
2010-01-11,1.73,1.37,1.67,1.24
2010-01-12,0.93,1.05,1.57,1.29
2010-01-13,1.11,0.98,0.6,0.87
2010-01-14,1.3,1.51,1.27,1.72
2010-01-15,1.2,1.13,0.98,1.12
2010-01-19,1.31,1.84,1.97,2.51
2010-01-20,2.23,2.29,2.5,2.47
2010-01-21,2.33,1.01,1.93,1.14
2010-01-22,0.42,-2.42,-0.04,-2.83
2010-01-25,-2.5,-3.57,-2.55,-3.42
2010-01-26,-3.81,-3.76,-2.47,-3.58
2010-01-27,-3.73,-3.04,-2.95,-2.38
2010-01-28,-2.34,-3.7704,-2.58,-3.45
2010-01-29,-3.0,-2.98,-2.06,-3.14
2010-02-01,-3.06,-2.67,-2.77,-2.31
2010-02-02,-2.13,-1.94,-1.93,-1.9
2010-02-03,-1.92,-2.18,-2.32,-2.5
2010-02-04,-2.8,-3.36,-2.25,-3.3
2010-02-05,-3.6,-4.51,-4.27,-4.13
2010-02-08,-4.0,-4.62,-4.61,-5.16
2010-02-09,-4.47,-4.23,-4.12,-3.93
2010-02-10,-3.69,-4.25,-4.31,-4.27
2010-02-11,-4.04,-4.09,-3.7576,-3.86
2010-02-12,-4.25,-4.55,-4.2,-4.26
2010-02-16,-3.71,-3.37,-3.21,-2.77
2010-02-17,-2.71,-3.29,-3.47,-3.91
2010-02-18,-3.86,-3.52,-3.98,-3.83
2010-02-19,-4.1,-2.94,-3.92,-3.1
2010-02-22,-2.26,0.59,-2.25,0.34
2010-02-23,-0.42,0.32,-0.6,0.14
2010-02-24,0.61,0.57,-0.54,0.31
2010-02-25,-0.29,-0.78,-0.71,-0.63
2010-02-26,-0.52,0.93,-0.35,0.76
2010-03-01,0.6,0.5,-0.49,0.47
2010-03-02,0.28,0.28,0.63,0.18
2010-03-03,-0.22,-0.27,-0.22,-0.74
2010-03-04,-0.63,0.01,0.09,0.56
2010-03-05,1.07,1.63,1.67,2.67
2010-03-08,2.56,3.01,2.365,1.86
2010-03-09,1.78,2.57,2.07,2.91
2010-03-10,2.67,2.3,2.1,2.18
2010-03-11,1.99,2.4301,2.11,2.36
2010-03-12,2.67,2.95,2.5176,2.47
2010-03-15,2.83,2.6,2.43,2.28
2010-03-16,2.06,1.8,1.4,1.3
2010-03-17,1.65,1.88,1.73,1.96
2010-03-18,1.83,1.74,1.79,1.85
2010-03-19,2.34,1.69,2.1,1.27
2010-03-22,0.8,1.053,2.0,2.15
2010-03-23,2.42,2.999,2.68,3.31
2010-03-24,2.89,2.76,2.77,2.6
2010-03-25,3.7,4.15,4.15,3.38
2010-03-26,3.42,3.15,3.45,2.93
2010-03-29,2.92,3.26,2.84,2.99
2010-03-30,3.19,2.97,2.555,2.9
2010-03-31,2.55,2.65,2.65,2.98
2010-04-01,3.4,3.16,2.9,2.81
2010-04-05,2.73,2.64,2.43,2.47
2010-04-06,2.17,2.69,2.8075,3.41
2010-04-07,3.34,2.68,3.43,2.67
2010-04-08,2.28,2.74,3.9,3.97
2010-04-09,4.12,4.1099,3.94,3.77
2010-04-12,3.53,3.51,3.58,3.78
2010-04-13,3.77,4.26,4.09,4.29
2010-04-14,4.59,4.77,5.6,5.54
2010-04-15,5.04,5.32,5.37,5.66
2010-04-16,5.59,3.7,5.55,4.1
2010-04-19,3.58,4.35,4.51,5.43
2010-04-20,6.21,5.687,5.05,5.12
2010-04-21,5.06,4.681,5.01,4.75
2010-04-22,4.62,4.33,5.65,5.76
2010-04-23,6.55,6.46,6.91,6.63
2010-04-26,5.55,5.9,6.2,6.02
2010-04-27,5.59,4.49,6.37,4.67
2010-04-28,4.92,4.45,4.875,4.79
2010-04-29,5.62,5.58,6.21,6.34
2010-04-30,5.84,4.44,6.13,4.42
2010-05-03,4.38,4.38,4.69,4.53
2010-05-04,4.31,3.15,3.6575,2.74
2010-05-05,2.53,1.9,2.82,2.06
2010-05-06,2.13,-1.9,1.3,-1.19
2010-05-07,-1.45,-3.04,-1.25,-3.28
2010-05-10,-1.02,-1.37,-1.28,-1.45
2010-05-11,-1.6,-1.78,-0.79,-1.66
2010-05-12,-1.9,-2.04,-2.42,-2.36
2010-05-13,-2.37,-3.3,-2.62,-3.86
2010-05-14,-4.46,-4.12,-4.5,-4.46
2010-05-17,-3.56,-4.83,-4.05,-4.54
2010-05-18,-4.55,-6.26,-4.55,-6.36
2010-05-19,-6.81,-6.36,-5.6,-5.82
2010-05-20,-5.99,-6.62,-6.54,-8.15
2010-05-21,-10.35,-10.3,-9.13,-8.23
2010-05-24,-7.21,-7.88,-7.97,-8.1
2010-05-25,-8.75,-8.01,-8.49,-6.79
2010-05-26,-6.77,-7.56,-6.71,-7.91
2010-05-27,-7.6,-7.38,-7.39,-7.27
2010-05-28,-7.35,-6.25,-7.32,-6.25
2010-06-01,-7.03,-7.07,-7.07,-8.01
2010-06-02,-7.24,-6.45,-5.8,-4.89
2010-06-03,-4.1,-3.75,-4.82,-3.89
2010-06-04,-4.88,-1.96,-5.31,-4.09
2010-06-07,-3.55,-2.89,-3.79,-2.89
2010-06-08,-5.05,-5.44,-4.78,-4.66
2010-06-09,-3.96,-4.58,-5.03,-5.22
2010-06-10,-4.86,-4.51,-4.09,-4.07
2010-06-11,-4.36,-3.39,-3.86,-2.68
2010-06-14,-1.56,-0.19,-1.43,-0.75
2010-06-15,-0.79,0.38,-0.1,0.37
2010-06-16,-0.12,1.93,0.77,2.5
2010-06-17,3.35,2.31,1.95,1.89
2010-06-18,2.47,3.11,1.69,3.41
2010-06-21,5.19,4.67,3.08,2.78
2010-06-22,2.73,2.91,2.92,2.9
2010-06-23,4.03,3.52,3.48,3.17
2010-06-24,2.36,2.98,2.68,2.89
2010-06-25,2.48,1.9107,2.25,2.34
2010-06-28,2.35,2.26,2.03,2.24
2010-06-29,2.31,0.7,1.24,0.9
2010-06-30,0.36,0.58,-0.4,-1.27
2010-07-01,-1.76,-1.76,-1.29,-1.06
2010-07-02,0.34,0.71,0.06,1.01
2010-07-06,1.47,1.13,1.28,1.5
2010-07-07,1.13,1.89,2.7,2.72
2010-07-08,2.87,3.44,2.94,4.01
2010-07-09,3.41,3.26,2.49,2.55
2010-07-12,2.91,2.92,2.76,2.7
2010-07-13,2.8,3.39,3.75,4.28
2010-07-14,3.49,3.09,2.53,2.11
2010-07-15,2.53,1.15,1.49,1.09
2010-07-16,0.4,-0.2,0.44,-0.68
2010-07-19,-0.64,-1.21,-0.42,-0.45
2010-07-20,-1.89,-1.27,-0.93,-0.54
2010-07-21,-0.33,-0.84,-0.27,-0.79
2010-07-22,-0.12,0.64,1.01,1.02
2010-07-23,1.32,1.63,2.53,3.73
2010-07-26,3.3,3.7893,2.88,2.76
2010-07-27,3.07,2.49,2.94,2.44
2010-07-28,3.11,4.45,3.44,4.49
2010-07-29,4.94,4.42,4.4,4.86
2010-07-30,4.19,5.32,4.81,5.16
2010-08-02,5.2,5.87,5.31,5.57
2010-08-03,4.68,5.67,4.67,5.39
2010-08-04,5.68,4.57,3.815,2.96
2010-08-05,2.07,1.48,1.82,1.1
2010-08-06,0.45,0.56,0.89,0.92
2010-08-09,1.41,1.12,1.09,0.92
2010-08-10,-0.08,-0.17,-0.21,-0.08
2010-08-11,-0.64,-0.42,-0.78,-0.74
2010-08-12,-1.46,-0.29,-1.04,-1.28
2010-08-13,-1.0,0.47,-0.85,0.35
2010-08-16,0.03,0.82,0.12,-0.04
2010-08-17,1.01,0.71,-0.2,-0.32
2010-08-18,-0.58,0.12,-0.76,0.54
2010-08-19,-0.42,-0.86,-1.96,-2.23
2010-08-20,-2.14,-2.515,-3.8,-4.03
2010-08-23,-3.86,-4.56,-4.6,-5.23
2010-08-24,-5.87,-5.06,-5.7,-4.98
2010-08-25,-5.21,-5.06,-5.04,-4.78
2010-08-26,-4.74,-4.54,-4.6201,-4.83
2010-08-27,-3.74,-4.18,-3.96,-3.73
2010-08-30,-4.32,-4.91,-4.28,-5.1
2010-08-31,-5.11,-4.94,-4.61,-4.73
2010-09-01,-4.2,-3.25,-3.685,-3.04
2010-09-02,-2.5,-2.83,-2.72,-2.34
2010-09-03,-1.26,-1.27,-1.67,-1.7
2010-09-07,-2.33,-3.33,-2.52,-3.66
2010-09-08,-2.86,-3.33,-3.56,-4.02
2010-09-09,-2.56,-2.78,-2.33,-2.27
2010-09-10,-1.79,-2.06,-2.24,-1.96
2010-09-13,-1.35,-1.07,-0.91,-0.51
2010-09-14,-0.57,-1.12,-0.82,-1.16
2010-09-15,-1.78,-1.67,-1.07,-0.89
2010-09-16,-0.94,-0.54,-0.77,-0.73
2010-09-17,-0.41,-0.25,-0.05,0.41
2010-09-20,0.56,1.505,2.22,2.36
2010-09-21,2.21,2.49,2.43,2.58
2010-09-22,2.79,2.915,3.15,3.22
2010-09-23,2.97,3.07,3.06,2.56
2010-09-24,2.89,3.2241,2.8501,3.4
2010-09-27,3.25,3.18,2.87,2.53
2010-09-28,2.81,3.09,2.95,3.8
2010-09-29,3.77,3.31,3.54,3.14
2010-09-30,2.8,1.64,2.15,0.96
2010-10-01,1.1,1.489,1.28,0.9
