date,open,low,high,close
2010-01-04,38.7237,38.2443,39.2827,38.8083
2010-01-05,38.834,38.3495,39.3853,38.9058
2010-01-06,38.9318,38.4577,39.4808,39.004
2010-01-07,39.0352,38.5613,39.5942,39.119
2010-01-08,39.1493,38.672,39.7075,39.2375
2010-01-11,39.2572,38.7833,39.8183,39.3438
2010-01-12,39.369,38.9008,39.931,39.4518
2010-01-13,39.4808,39.0183,40.0448,39.5718
2010-01-14,39.596,39.1357,40.1587,39.6875
2010-01-15,39.71,39.2483,40.2693,39.8037
2010-01-19,39.8205,39.3657,40.3808,39.9347
2010-01-20,39.9512,39.4907,40.4943,40.0437
2010-01-21,40.0645,39.6118,40.5932,40.17
2010-01-22,40.1707,39.6703,40.6863,40.2318
2010-01-25,40.24,39.7155,40.7385,40.2625
2010-01-26,40.2703,39.7672,40.7933,40.3197
2010-01-27,40.3177,39.8138,40.8328,40.3568
2010-01-28,40.36,39.8513,40.8732,40.4
2010-01-29,40.4042,39.8968,40.9213,40.433
2010-02-01,40.4475,39.9472,40.9573,40.4692
2010-02-02,40.4863,39.9913,40.9982,40.5202
2010-02-03,40.5307,40.0275,41.0162,40.53
2010-02-04,40.5432,40.0368,41.0262,40.5353
2010-02-05,40.543,40.0218,41.0063,40.5153
2010-02-08,40.5233,39.9887,40.9732,40.4672
2010-02-09,40.4787,39.9432,40.9272,40.4253
2010-02-10,40.4375,39.9038,40.8895,40.3962
2010-02-11,40.4073,39.8733,40.8574,40.3618
2010-02-12,40.3595,39.8262,40.8,40.3115
2010-02-16,40.3183,39.7928,40.7704,40.2825
2010-02-17,40.2888,39.7573,40.7364,40.2405
2010-02-18,40.2517,39.7268,40.6992,40.2073
2010-02-19,40.2192,39.6952,40.6674,40.1762
2010-02-22,40.174,39.6533,40.618,40.1312
2010-02-23,40.1258,39.6002,40.5687,40.0727
2010-02-24,40.0655,39.5442,40.515,40.0175
2010-02-25,40.0148,39.4875,40.4605,39.9708
2010-02-26,39.9692,39.4373,40.401,39.9102
2010-03-01,39.9023,39.3855,40.3349,39.8573
2010-03-02,39.8557,39.345,40.2964,39.8132
2010-03-03,39.8128,39.3345,40.2617,39.8033
2010-03-04,39.7895,39.3247,40.235,39.7965
2010-03-05,39.7765,39.3245,40.2369,39.8097
2010-03-08,39.7933,39.3343,40.249,39.8193
2010-03-09,39.8022,39.3402,40.2483,39.8163
2010-03-10,39.801,39.3308,40.2425,39.8078
2010-03-11,39.7882,39.318,40.232,39.7975
2010-03-12,39.7838,39.3153,40.2213,39.7888
2010-03-15,39.7818,39.308,40.213,39.7845
2010-03-16,39.7743,39.3007,40.1991,39.7787
2010-03-17,39.7785,39.3078,40.203,39.788
2010-03-18,39.7818,39.3163,40.2081,39.7962
2010-03-19,39.7913,39.3123,40.21,39.7847
2010-03-22,39.774,39.2994,40.2051,39.779
2010-03-23,39.7657,39.2952,40.1973,39.7795
2010-03-24,39.7605,39.288,40.1933,39.7683
2010-03-25,39.7552,39.2935,40.2015,39.7745
2010-03-26,39.7645,39.2987,40.2101,39.7785
2010-03-29,39.7732,39.3117,40.215,39.7838
2010-03-30,39.78,39.3214,40.2219,39.7967
2010-03-31,39.7833,39.3287,40.2302,39.8023
2010-04-01,39.7975,39.3452,40.2414,39.8168
2010-04-05,39.8142,39.3604,40.2722,39.8475
2010-04-06,39.833,39.3802,40.2872,39.8665
2010-04-07,39.8517,39.3907,40.3021,39.8735
2010-04-08,39.8597,39.4042,40.3334,39.9105
2010-04-09,39.9,39.4424,40.3624,39.9415
2010-04-12,39.936,39.4819,40.4014,39.9813
2010-04-13,39.9752,39.5204,40.4401,40.0198
2010-04-14,40.0242,39.5737,40.5032,40.0877
2010-04-15,40.0905,39.6389,40.5637,40.1495
2010-04-16,40.1498,39.6709,40.6197,40.1848
2010-04-19,40.1802,39.7225,40.6646,40.2448
2010-04-20,40.2593,39.8447,40.7446,40.3717
2010-04-21,40.377,39.978,40.8627,40.5083
2010-04-22,40.5123,40.1057,40.9941,40.6528
2010-04-23,40.6783,40.2695,41.1666,40.8092
2010-04-26,40.8192,40.4359,41.3216,40.971
2010-04-27,40.971,40.5734,41.4669,41.1065
2010-04-28,41.1108,40.7017,41.6012,41.2377
2010-04-29,41.2433,40.8344,41.7452,41.3807
2010-04-30,41.3868,40.9612,41.8972,41.5105
2010-05-03,41.5232,41.1054,42.0437,41.6717
2010-05-04,41.6738,41.2529,42.1909,41.8052
2010-05-05,41.8013,41.372,42.3296,41.9325
2010-05-06,41.9193,41.4244,42.4512,42.0152
2010-05-07,41.997,41.4827,42.5312,42.0627
2010-05-10,42.0833,41.5675,42.6115,42.1427
2010-05-11,42.1667,41.6522,42.707,42.2245
2010-05-12,42.2458,41.7277,42.7834,42.2992
2010-05-13,42.3178,41.7927,42.858,42.3618
2010-05-14,42.3672,41.8147,42.9054,42.3867
2010-05-17,42.4065,41.8349,42.948,42.4227
2010-05-18,42.4475,41.8429,42.9897,42.4378
2010-05-19,42.4587,41.8649,43.0245,42.4752
2010-05-20,42.484,41.8727,43.0559,42.4787
2010-05-21,42.4823,41.8779,43.088,42.5083
2010-05-24,42.5117,41.8974,43.116,42.5225
2010-05-25,42.5077,41.893,43.128,42.537
2010-05-26,42.53,41.8907,43.14,42.5333
2010-05-27,42.5395,41.9049,43.1645,42.5675
2010-05-28,42.571,41.9274,43.193,42.5838
2010-06-01,42.5723,41.9265,43.1939,42.567
2010-06-02,42.5597,41.9164,43.205,42.588
2010-06-03,42.5892,41.9302,43.2288,42.602
2010-06-04,42.5813,41.9115,43.227,42.5802
2010-06-07,42.5667,41.8812,43.2086,42.5402
2010-06-08,42.5243,41.8262,43.1673,42.5013
2010-06-09,42.4945,41.7912,43.1385,42.4582
2010-06-10,42.4583,41.7615,43.1233,42.4433
2010-06-11,42.4302,41.7387,43.1048,42.4287
