,open,low,high,close
2010-01-04,15.2765,15.1189,15.4243,15.2493
2010-01-05,15.3047,15.161,15.4814,15.3246
2010-01-06,15.376,15.2318,15.5662,15.4129
2010-01-07,15.4872,15.3434,15.7067,15.5466
2010-01-08,15.6192,15.4586,15.8292,15.6565
2010-01-11,15.7429,15.5742,15.9468,15.773
2010-01-12,15.832,15.6292,16.019,15.8268
2010-01-13,15.8872,15.6783,16.0889,15.9016
2010-01-14,15.9575,15.7672,16.1672,15.9899
2010-01-15,16.0236,15.8139,16.214,16.0186
2010-01-19,16.0297,15.8201,16.2403,16.0507
2010-01-20,16.0505,15.858,16.2799,16.0967
2010-01-21,16.0926,15.7999,16.3194,16.0421
2010-01-22,16.0173,15.6992,16.2475,15.9371
2010-01-25,15.9379,15.6114,16.1569,15.8473
2010-01-26,15.8432,15.5253,16.0632,15.7439
2010-01-27,15.7335,15.4416,15.9878,15.6881
2010-01-28,15.6975,15.3955,15.9465,15.6535
2010-01-29,15.6728,15.3605,15.9044,15.6034
2010-02-01,15.6281,15.3319,15.855,15.58
2010-02-02,15.6048,15.3228,15.8322,15.5755
2010-02-03,15.5949,15.3344,15.8226,15.5648
2010-02-04,15.5648,15.2702,15.7787,15.4809
2010-02-05,15.4886,15.1709,15.7028,15.427
2010-02-08,15.4276,15.0923,15.6232,15.3277
2010-02-09,15.3456,15.0006,15.5324,15.2349
2010-02-10,15.2545,14.9358,15.4609,15.1681
2010-02-11,15.1856,14.8837,15.3844,15.1027
2010-02-12,15.1029,14.811,15.289,15.0253
2010-02-16,15.0447,14.7763,15.2742,15.0214
2010-02-17,15.0568,14.8044,15.3151,15.0658
2010-02-18,15.0847,14.8548,15.365,15.1284
2010-02-19,15.1309,14.9219,15.4154,15.1868
2010-02-22,15.196,15.0083,15.4967,15.2727
2010-02-23,15.272,15.0725,15.5706,15.3269
2010-02-24,15.3294,15.1485,15.6374,15.4146
2010-02-25,15.3896,15.2183,15.7196,15.517
2010-02-26,15.4951,15.3269,15.8217,15.6227
2010-03-01,15.6017,15.443,15.9184,15.7255
2010-03-02,15.7044,15.5336,16.0024,15.7961
2010-03-03,15.7779,15.612,16.0632,15.8539
2010-03-04,15.8365,15.656,16.1082,15.9103
2010-03-05,15.9051,15.7367,16.1735,15.991
2010-03-08,15.9905,15.8342,16.2493,16.0696
2010-03-09,16.0582,15.9102,16.327,16.148
2010-03-10,16.1569,16.0229,16.4332,16.25
2010-03-11,16.2645,16.1342,16.5247,16.3453
2010-03-12,16.3716,16.201,16.6113,16.4076
2010-03-15,16.4211,16.254,16.6541,16.4651
2010-03-16,16.4886,16.3323,16.7087,16.5352
2010-03-17,16.5698,16.4163,16.7809,16.6226
2010-03-18,16.6562,16.4895,16.8493,16.6851
2010-03-19,16.7235,16.5341,16.9038,16.7179
2010-03-22,16.734,16.5616,16.9291,16.7611
2010-03-23,16.787,16.619,16.9759,16.8169
2010-03-24,16.8395,16.6868,17.0674,16.91
2010-03-25,16.9561,16.8063,17.2107,17.0119
2010-03-26,17.0771,16.9213,17.3317,17.1212
2010-03-29,17.2069,17.0293,17.4405,17.2352
2010-03-30,17.316,17.1192,17.5331,17.3136
2010-03-31,17.3814,17.2019,17.6049,17.3942
2010-04-01,17.4727,17.2987,17.6823,17.4863
2010-04-05,17.5699,17.4001,17.7675,17.5795
2010-04-06,17.6593,17.501,17.8734,17.6994
2010-04-07,17.7813,17.6346,18.0012,17.8222
2010-04-08,17.8946,17.7367,18.1171,17.938
2010-04-09,18.0196,17.8485,18.2236,18.0388
2010-04-12,18.1242,17.9607,18.3195,18.1379
2010-04-13,18.2117,18.0533,18.398,18.2298
2010-04-14,18.3269,18.1791,18.5364,18.3835
2010-04-15,18.4947,18.3365,18.706,18.5326
2010-04-16,18.6339,18.3567,18.8257,18.568
2010-04-19,18.661,18.3571,18.8565,18.5977
2010-04-20,18.7211,18.4106,18.901,18.645
