,open,low,high,close
2010-01-04,15.4041,15.1155,15.6591,15.3592
2010-01-05,15.4096,15.1251,15.6681,15.373
2010-01-06,15.4227,15.14,15.6824,15.3897
2010-01-07,15.4433,15.1624,15.7071,15.4149
2010-01-08,15.4685,15.1865,15.7299,15.4373
2010-01-11,15.4934,15.2116,15.753,15.4618
2010-01-12,15.5136,15.2273,15.7694,15.4765
2010-01-13,15.5286,15.2425,15.7859,15.4953
2010-01-14,15.5466,15.2648,15.8045,15.517
2010-01-15,15.5646,15.2806,15.8184,15.5291
2010-01-19,15.5727,15.2898,15.8291,15.5421
2010-01-20,15.5833,15.3044,15.8422,15.5577
2010-01-21,15.5977,15.3027,15.8556,15.5562
2010-01-22,15.5921,15.293,15.8501,15.5455
2010-01-25,15.585,15.2844,15.8406,15.5362
2010-01-26,15.5745,15.2751,15.8296,15.5236
2010-01-27,15.5603,15.2654,15.8208,15.5182
2010-01-28,15.5577,15.2612,15.817,15.5157
2010-01-29,15.5566,15.2584,15.8126,15.5102
2010-02-01,15.5517,15.2563,15.8065,15.5087
2010-02-02,15.55,15.2572,15.8044,15.5102
2010-02-03,15.5504,15.2615,15.8043,15.5106
2010-02-04,15.5471,15.2527,15.7982,15.4981
2010-02-05,15.5355,15.2373,15.7861,15.4899
2010-02-08,15.5257,15.2244,15.7726,15.4734
2010-02-09,15.5117,15.2084,15.7563,15.4569
2010-02-10,15.4953,15.1961,15.7424,15.444
2010-02-11,15.4817,15.1854,15.727,15.4307
2010-02-12,15.4652,15.1705,15.7075,15.4146
2010-02-16,15.452,15.1615,15.701,15.4104
2010-02-17,15.4503,15.163,15.7039,15.4145
2010-02-18,15.4514,15.1685,15.7088,15.4222
2010-02-19,15.456,15.1774,15.7142,15.4297
2010-02-22,15.4643,15.1902,15.7254,15.4425
2010-02-23,15.475,15.2,15.7362,15.4506
2010-02-24,15.4833,15.2125,15.7464,15.465
2010-02-25,15.4926,15.2246,15.7599,15.4828
2010-02-26,15.5102,15.244,15.7776,15.5021
2010-03-01,15.5291,15.2658,15.7954,15.5219
2010-03-02,15.5483,15.2842,15.8118,15.5371
2010-03-03,15.5634,15.3013,15.8251,15.5508
2010-03-04,15.5766,15.3133,15.8361,15.5647
2010-03-05,15.5921,15.3319,15.8511,15.5833
2010-03-08,15.6111,15.3542,15.8685,15.6023
2010-03-09,15.6278,15.3736,15.8869,15.6219
2010-03-10,15.6504,15.4,15.9109,15.6463
2010-03-11,15.6755,15.4272,15.9333,15.6705
2010-03-12,15.7015,15.4478,15.9557,15.6898
2010-03-15,15.7185,15.4665,15.9713,15.7088
2010-03-16,15.739,15.49,15.9894,15.7305
2010-03-17,15.7625,15.5152,16.0108,15.7557
2010-03-18,15.7875,15.5392,16.0323,15.7774
2010-03-19,15.81,15.5589,16.0519,15.7945
2010-03-22,15.8233,15.5759,16.067,15.8136
2010-03-23,15.8439,15.5983,16.0859,15.8352
2010-03-24,15.8648,15.6229,16.1128,15.8636
2010-03-25,15.8972,15.657,16.1495,15.8944
2010-03-26,15.9313,15.6913,16.1836,15.9273
2010-03-29,15.968,15.7254,16.2167,15.9619
2010-03-30,16.0023,15.7572,16.2479,15.9914
2010-03-31,16.03,15.7886,16.2763,16.0219
2010-04-01,16.0626,15.823,16.3062,16.0549
2010-04-05,16.097,15.8591,16.338,16.089
2010-04-06,16.1308,15.8958,16.3741,16.1283
2010-04-07,16.171,15.939,16.4149,16.1692
2010-04-08,16.2106,15.9778,16.4546,16.2098
2010-04-09,16.2532,16.0192,16.4937,16.2489
2010-04-12,16.2934,16.0615,16.5319,16.2884
2010-04-13,16.3313,16.1013,16.5678,16.3274
2010-04-14,16.3748,16.1475,16.6145,16.3778
2010-04-15,16.4281,16.2002,16.6678,16.4287
2010-04-16,16.478,16.2305,16.7139,16.4611
2010-04-19,16.5097,16.2574,16.7456,16.4928
2010-04-20,16.547,16.2932,16.7798,16.5275
2010-04-21,16.5818,16.323,16.8147,16.5562
2010-04-22,16.6056,16.3496,16.844,16.5887
2010-04-23,16.635,16.3813,16.8716,16.6189
2010-04-26,16.6641,16.4082,16.8973,16.6424
2010-04-27,16.6845,16.4246,16.9184,16.6559
2010-04-28,16.7004,16.4424,16.9354,16.6744
2010-04-29,16.7223,16.4678,16.9594,16.701
2010-04-30,16.7479,16.4865,16.9814,16.7195
2010-05-03,16.7664,16.5077,17.0006,16.7415
2010-05-04,16.7829,16.5237,17.0155,16.7549
2010-05-05,16.7897,16.5297,17.029,16.7676
2010-05-06,16.801,16.5128,17.0385,16.7596
2010-05-07,16.7958,16.5036,17.0345,16.7501
2010-05-10,16.8028,16.5119,17.0403,16.7591
2010-05-11,16.8073,16.5194,17.0477,16.7657
2010-05-12,16.8149,16.5271,17.0523,16.7707
2010-05-13,16.8184,16.5324,17.0544,16.7723
2010-05-14,16.8167,16.5256,17.0489,16.7652
2010-05-17,16.8097,16.5146,17.0391,16.7584
2010-05-18,16.808,16.5007,17.0343,16.7452
