date,open,low,high,close
2010-01-04,15.4872,15.312,15.4788,15.5014
2010-01-05,15.5128,15.3651,15.5733,15.6326
2010-01-06,15.606,15.4569,15.7128,15.7699
2010-01-07,15.784,15.6473,16.0074,16.033
2010-01-08,16.0028,15.917,16.1956,16.1994
2010-01-11,16.2752,16.1398,16.4197,16.3671
2010-01-12,16.3484,16.1427,16.4583,16.3665
2010-01-13,16.3562,16.1435,16.5023,16.3993
2010-01-14,16.404,16.2246,16.5908,16.4642
2010-01-15,16.4445,16.2251,16.5983,16.4508
2010-01-19,16.4252,16.2109,16.5913,16.4464
2010-01-20,16.4193,16.2101,16.5925,16.4471
2010-01-21,16.42,16.1713,16.5932,16.4019
2010-01-22,16.2961,15.9933,16.3549,16.1687
2010-01-25,16.0931,15.832,16.1013,16.0127
2010-01-26,15.8678,15.6636,15.8633,15.7976
2010-01-27,15.6445,15.5466,15.7584,15.7556
2010-01-28,15.6309,15.5103,15.74,15.7251
2010-01-29,15.6214,15.4572,15.7121,15.6583
2010-02-01,15.5917,15.4275,15.676,15.6462
2010-02-02,15.5874,15.4234,15.6762,15.6444
2010-02-03,15.5868,15.4283,15.6852,15.6374
2010-02-04,15.5699,15.4033,15.6574,15.5971
2010-02-05,15.5508,15.3702,15.6331,15.5925
2010-02-08,15.5426,15.3498,15.6149,15.5628
2010-02-09,15.5288,15.3138,15.5863,15.5448
2010-02-10,15.5162,15.3024,15.5641,15.5152
2010-02-11,15.4504,15.2763,15.4793,15.4624
2010-02-12,15.331,15.2103,15.3506,15.4029
2010-02-16,15.294,15.1927,15.3502,15.3995
2010-02-17,15.2944,15.193,15.3561,15.401
2010-02-18,15.2957,15.1944,15.3631,15.4087
2010-02-19,15.3056,15.2348,15.3911,15.4579
2010-02-22,15.3848,15.3824,15.5293,15.5415
2010-02-23,15.4778,15.4397,15.6644,15.6124
2010-02-24,15.5606,15.5523,15.8122,15.7635
2010-02-25,15.6744,15.6303,15.9779,15.9302
2010-02-26,15.9055,15.8055,16.2199,16.0995
2010-03-01,16.1757,16.067,16.4875,16.2846
2010-03-02,16.3607,16.1454,16.5983,16.3104
2010-03-03,16.3806,16.1754,16.6019,16.3153
2010-03-04,16.3793,16.1679,16.593,16.3203
2010-03-05,16.3955,16.1883,16.6119,16.356
2010-03-08,16.4364,16.2241,16.6386,16.3794
2010-03-09,16.4481,16.2479,16.6775,16.447
2010-03-10,16.5318,16.3229,16.7922,16.5459
2010-03-11,16.6353,16.4047,16.8476,16.6119
2010-03-12,16.7017,16.4094,16.8816,16.6169
2010-03-15,16.702,16.4103,16.8818,16.6207
2010-03-16,16.7071,16.4278,16.8864,16.6673
2010-03-17,16.7378,16.4593,16.9204,16.7844
2010-03-18,16.7931,16.5111,16.9689,16.8148
2010-03-19,16.8145,16.5161,16.9849,16.8148
2010-03-22,16.8127,16.5168,16.9848,16.8178
2010-03-23,16.8195,16.5297,16.9894,16.8276
2010-03-24,16.822,16.5355,17.0131,16.8604
2010-03-25,16.8608,16.5934,17.1476,16.9135
2010-03-26,16.9076,16.7529,17.2299,17.0626
2010-03-29,17.0855,16.9277,17.388,17.2248
2010-03-30,17.1804,17.0033,17.478,17.2625
2010-03-31,17.1961,17.0608,17.5113,17.2951
2010-04-01,17.2323,17.1668,17.5562,17.3853
2010-04-05,17.2963,17.3822,17.6336,17.5614
2010-04-06,17.4601,17.637,17.837,17.7985
2010-04-07,17.6688,17.9578,18.0722,18.0057
2010-04-08,17.8381,18.0318,18.2064,18.1427
2010-04-09,17.9691,18.1064,18.2623,18.2139
2010-04-12,18.0318,18.1886,18.3379,18.2791
2010-04-13,18.0577,18.2232,18.3763,18.3281
2010-04-14,18.1602,18.3697,18.6222,18.7476
2010-04-15,18.6273,18.6149,19.0527,19.0341
2010-04-16,18.811,18.61,19.1234,19.0202
2010-04-19,18.8059,18.604,19.1138,19.0102
2010-04-20,18.8054,18.6018,19.1096,19.0066
2010-04-21,18.8045,18.5935,19.1084,18.9919
2010-04-22,18.7863,18.5841,19.1021,18.9884
2010-04-23,18.7801,18.5811,19.0932,18.983
2010-04-26,18.7756,18.5688,19.0811,18.9532
2010-04-27,18.7525,18.52,19.0575,18.8562
2010-04-28,18.6794,18.4505,18.9065,18.7207
2010-04-29,18.6177,18.4205,18.8362,18.6941
2010-04-30,18.5974,18.4041,18.7743,18.668
2010-05-03,18.5788,18.4,18.7432,18.6589
2010-05-04,18.5213,18.3426,18.6428,18.5977
2010-05-05,18.3876,18.2272,18.5176,18.556
2010-05-06,18.3613,17.824,18.3843,18.2356
2010-05-07,18.1009,17.5796,18.0404,17.9472
2010-05-10,18.0573,17.5621,17.9942,17.9321
2010-05-11,18.0237,17.5539,17.9731,17.9236
2010-05-12,18.0128,17.5446,17.9487,17.9016
2010-05-13,17.9653,17.5122,17.8573,17.8247
