,open,low,high,close
2010-01-04,2.87,2.85,2.76,2.7
2010-01-05,2.53,2.91,2.98,3.29
2010-01-06,2.98,2.93,2.92,2.97
2010-01-07,3.48,3.49,3.755,3.76
2010-01-08,3.73,3.87,3.63,3.89
2010-01-11,4.16,4.6,4.28,4.69
2010-01-12,4.44,4.24,4.35,4.17
2010-01-13,4.47,4.22,4.3,4.39
2010-01-14,4.28,4.405,4.04,4.13
2010-01-15,4.01,3.96,3.87,3.75
2010-01-19,3.5,3.33,3.34,3.23
2010-01-20,3.27,3.27,3.2,3.15
2010-01-21,3.22,1.96,2.91,1.95
2010-01-22,1.295,0.92,1.38,0.93
2010-01-25,0.945,0.75,0.48,0.19
2010-01-26,-0.3,-0.1,-0.45,-0.55
2010-01-27,-0.48,-0.37,-0.69,-0.45
2010-01-28,-0.63,-0.83,-1.23,-1.29
2010-01-29,-1.75,-1.3,-1.8,-1.52
2010-02-01,-1.72,-1.13,-1.7,-1.0
2010-02-02,-0.86,-0.85,-1.21,-1.08
2010-02-03,-1.13,-0.28,-1.05,-0.32
2010-02-04,-0.18,-0.67,-0.74,-1.18
2010-02-05,-1.82,-1.92,-1.9401,-2.0
2010-02-08,-2.04,-2.12,-2.51,-2.91
2010-02-09,-1.87,-2.15,-2.1,-2.09
2010-02-10,-2.27,-2.27,-2.17,-2.23
2010-02-11,-1.93,-1.99,-2.23,-2.12
2010-02-12,-2.42,-2.59,-2.66,-2.69
2010-02-16,-2.8,-2.69,-2.29,-2.3
2010-02-17,-2.46,-2.08,-2.32,-1.69
2010-02-18,-2.04,-2.05,-2.0,-1.87
2010-02-19,-2.03,-1.83,-1.9,-1.91
2010-02-22,-1.79,-1.63,-1.58,-1.71
2010-02-23,-1.98,-1.99,-1.87,-2.04
2010-02-24,-1.59,-1.49,-1.54,-1.26
2010-02-25,-1.65,-0.46,-1.29,0.1
2010-02-26,0.42,0.39,0.11,0.39
2010-03-01,0.07,0.06,-0.04,-0.13
2010-03-02,-0.37,-0.53,-0.45,-0.64
2010-03-03,-0.99,-0.65,-0.89,-0.65
2010-03-04,-0.645,-0.88,-0.7,-0.64
2010-03-05,-0.44,-0.25,-0.49,-0.52
2010-03-08,-0.49,-0.26,-0.3789,-0.23
2010-03-09,-0.05,0.03,-0.1,-0.19
2010-03-10,0.02,0.225,0.18,0.32
2010-03-11,0.29,0.23,-0.02,-0.13
2010-03-12,-0.05,-0.52,-0.45,-0.76
2010-03-15,-0.99,-0.92,-0.86,-0.78
2010-03-16,-0.42,-0.28,-0.37,-0.22
2010-03-17,-0.53,-0.515,-0.78,-0.34
2010-03-18,-0.435,-0.51,-0.74,-0.42
2010-03-19,-0.39,-0.07,-0.47,-0.16
2010-03-22,-0.33,0.1,-0.11,0.36
2010-03-23,0.37,0.29,-0.01,-0.09
2010-03-24,-0.25,0.03,0.2,0.41
2010-03-25,0.58,0.94,1.04,0.82
2010-03-26,1.02,1.57,1.07,1.69
2010-03-29,2.27,2.15,1.71,1.7
2010-03-30,1.39,1.12,1.15,0.8
2010-03-31,0.48,0.96,0.61,0.85
2010-04-01,0.94,0.85,0.75,0.69
2010-04-05,0.59,0.79,0.655,0.8
2010-04-06,0.83,0.87,0.99,0.99
2010-04-07,0.93,1.02,0.83,0.59
2010-04-08,0.65,0.83,0.84,0.84
2010-04-09,0.43,0.34,0.2,0.0
2010-04-12,0.37,0.72,-0.28,0.56
2010-04-13,1.45,1.43,1.23,1.41
2010-04-14,1.71,1.78,1.89,2.24
2010-04-15,2.41,2.35,2.3942,2.47
2010-04-16,2.48,1.59,2.31,1.9
2010-04-19,1.86,1.82,1.98,1.87
2010-04-20,2.14,2.37,2.17,2.39
2010-04-21,2.51,3.04,2.71,2.88
2010-04-22,2.6,2.93,3.06,3.09
2010-04-23,2.97,3.28,3.08,3.42
2010-04-26,3.2,2.945,2.66,2.32
2010-04-27,2.21,2.91,2.45,2.89
2010-04-28,2.8,3.39,2.73,3.15
2010-04-29,3.79,3.78,3.4699,3.5
2010-04-30,3.1,2.91,3.05,3.13
2010-05-03,2.97,3.06,2.99,2.93
2010-05-04,2.83,2.64,2.67,2.51
2010-05-05,1.91,1.75,2.02,1.76
2010-05-06,1.63,-0.23,1.41,0.25
2010-05-07,0.25,-0.25,0.17,-0.25
2010-05-10,0.865,1.02,0.82,1.24
2010-05-11,1.0,1.12,1.3,1.18
2010-05-12,1.11,1.23,1.07,1.2
2010-05-13,1.22,1.26,1.36,1.1
2010-05-14,0.83,0.25,0.34,-0.01
2010-05-17,0.15,-0.18,-0.02,0.27
2010-05-18,0.68,-0.3,0.56,-0.14
