date,open,low,high,close
2010-01-04,0.01,-0.08,0.47,0.44
2010-01-05,0.43,0.55,0.8,0.91
2010-01-06,0.91,0.93,1.21,1.27
2010-01-07,1.64,1.54,2.085,1.86
2010-01-08,1.89,1.62,1.86,1.72
2010-01-11,1.75,1.6,1.39,1.24
2010-01-12,0.98,0.47,0.54,0.16
2010-01-13,0.22,0.12,0.24,0.23
2010-01-14,-0.05,0.095,-0.265,-0.11
2010-01-15,-0.34,-0.4,-0.45,-0.52
2010-01-19,-0.93,-0.88,-0.67,-0.61
2010-01-20,-0.5,0.01,-0.12,0.13
2010-01-21,0.03,-0.95,-0.12,-1.15
2010-01-22,-1.37,-1.895,-1.4,-1.92
2010-01-25,-1.48,-1.46,-1.38,-1.28
2010-01-26,-1.12,-1.12,-1.3,-1.55
2010-01-27,-1.51,-1.5,-1.34,-1.3
2010-01-28,-1.06,-0.19,-1.07,-0.1
2010-01-29,0.23,0.38,0.03,0.28
2010-02-01,0.1,0.36,0.17,0.44
2010-02-02,0.51,0.59,0.51,0.83
2010-02-03,0.86,0.84,0.51,0.34
2010-02-04,-0.05,-0.28,-0.16,-0.62
2010-02-05,-0.65,-0.78,-0.49,-0.18
2010-02-08,-0.32,-0.68,-0.48,-0.94
2010-02-09,-0.78,-1.06,-0.9,-1.13
2010-02-10,-1.06,-1.06,-0.89,-0.86
2010-02-11,-0.68,-0.19,-0.63,-0.12
2010-02-12,-0.37,-0.03,-0.52,-0.55
2010-02-16,-0.28,0.17,0.35,0.68
2010-02-17,0.68,1.0,1.1,1.19
2010-02-18,1.01,1.04,1.09,1.21
2010-02-19,1.06,1.17,1.24,1.25
2010-02-22,1.49,1.68,1.86,1.76
2010-02-23,1.46,1.17,1.07,0.78
2010-02-24,0.63,0.71,0.48,0.67
2010-02-25,0.53,0.45,0.57,0.67
2010-02-26,0.84,0.7,0.8,0.78
2010-03-01,0.7,0.61,0.46,0.5
2010-03-02,0.58,0.6,0.42,0.51
2010-03-03,0.49,0.37,0.26,0.04
2010-03-04,0.32,0.08,-0.07,-0.15
2010-03-05,-0.05,0.04,-0.09,0.04
2010-03-08,0.09,0.12,0.05,0.03
2010-03-09,-0.07,0.15,0.19,0.35
2010-03-10,0.54,0.655,0.73,0.74
2010-03-11,0.81,1.03,0.78,0.72
2010-03-12,0.74,0.23,0.55,0.15
2010-03-15,-0.01,-0.1,0.0,0.11
2010-03-16,0.34,0.36,0.08,0.23
2010-03-17,0.16,0.04,-0.05,0.16
2010-03-18,0.11,-0.08,0.04,-0.04
2010-03-19,-0.1,0.06,-0.07,-0.03
2010-03-22,-0.12,0.01,0.06,0.11
2010-03-23,0.11,0.04,0.15,0.1
2010-03-24,-0.05,0.075,0.43,0.3
2010-03-25,0.55,0.72,1.03,0.66
2010-03-26,0.82,1.01,1.0,1.08
2010-03-29,1.55,1.17,1.23,1.08
2010-03-30,0.98,0.73,0.9,0.63
2010-03-31,0.57,0.57,0.25,0.28
2010-04-01,0.18,0.19,-0.25,0.3
2010-04-05,0.18,0.27,0.02,0.23
2010-04-06,-0.01,0.33,0.34,0.45
2010-04-07,0.52,0.86,0.74,0.86
2010-04-08,0.9,0.64,0.86,0.8
2010-04-09,0.79,0.61,0.74,0.55
2010-04-12,0.54,0.58,0.57,0.53
2010-04-13,0.45,0.39,0.18,0.18
2010-04-14,0.4,0.39,0.56,0.78
2010-04-15,1.04,1.05,1.0242,0.83
2010-04-16,0.66,-0.45,0.64,-0.18
2010-04-19,-0.29,-0.73,-0.17,-0.27
2010-04-20,0.18,-0.05,0.11,-0.06
2010-04-21,-0.31,-0.81,-0.51,-1.12
2010-04-22,-1.6,-1.41,-1.2642,-0.94
2010-04-23,-1.07,0.23,-0.95,0.02
2010-04-26,0.0,0.155,-0.21,-0.34
2010-04-27,-0.88,-1.03,-0.65,-1.14
2010-04-28,-1.02,-0.6,-0.95,-0.5
2010-04-29,0.01,0.04,-0.2,-0.24
2010-04-30,-0.12,-0.67,-0.23,-0.6
2010-05-03,-0.53,-0.245,-0.29,0.01
2010-05-04,-0.14,0.07,-0.27,0.09
2010-05-05,-0.45,-0.62,-0.12,-0.25
2010-05-06,-0.56,-2.49,-0.79,-2.02
2010-05-07,-1.8,-1.66,-1.51,-1.65
2010-05-10,-0.655,-0.77,-0.76,-0.76
2010-05-11,-0.69,-0.51,-0.42,-0.4
2010-05-12,0.07,0.1,-0.51,-0.46
2010-05-13,-0.45,1.35,-0.43,0.59
2010-05-14,0.23,0.17,-0.07,0.16
2010-05-17,-0.835,-1.16,-0.94,-0.95
2010-05-18,-0.37,-1.3,-0.74,-1.21
2010-05-19,-1.47,-1.19,-0.87,-0.76
2010-05-20,-1.07,-1.57,-1.13,-1.57
2010-05-21,-1.75,-1.17,-0.72,-0.35
2010-05-24,-0.41,-0.46,-0.37,-0.95
2010-05-25,-1.8,-0.87,-1.21,-0.46
2010-05-26,0.11,-0.42,-0.36,-0.84
2010-05-27,-0.15,0.31,0.15,0.88
2010-05-28,1.21,0.76,0.18,-0.25
2010-06-01,-0.4,0.01,-0.1,0.04
2010-06-02,0.67,0.55,0.38,0.4
2010-06-03,0.05,0.3101,-0.03,0.34
2010-06-04,-0.31,-0.34,-0.47,-0.83
2010-06-07,-0.81,-0.94,-0.78,-0.91
2010-06-08,-0.7,-0.61,-0.63,-0.11
2010-06-09,-0.15,-0.41,-0.43,-0.88
2010-06-10,-0.69,-0.5801,-0.59,-0.35
2010-06-11,-0.17,0.055,-0.03,0.25
2010-06-14,0.34,0.62,0.39,0.58
2010-06-15,0.675,0.52,0.49,0.469
2010-06-16,0.265,0.71,0.48,0.86
2010-06-17,0.69,0.48,0.59,0.36
2010-06-18,0.55,0.435,0.21,0.22
2010-06-21,0.33,0.36,0.31,0.38
2010-06-22,0.22,0.25,0.065,-0.219
