,open,low,high,close
2010-01-04,49.308,49.4319,49.3261,49.7002
2010-01-05,49.7233,50.0137,49.784,50.1535
2010-01-06,50.1107,50.3414,50.1102,50.3217
2010-01-07,50.4953,50.8145,50.7408,50.7975
2010-01-08,50.7397,50.9323,50.6557,50.6616
2010-01-11,50.7479,51.021,50.695,50.7943
2010-01-12,50.5197,50.4587,50.3018,50.2761
2010-01-13,50.2748,50.4384,50.3317,50.5083
2010-01-14,50.4419,50.8934,50.4718,50.687
2010-01-15,50.4503,50.508,50.1964,50.1756
2010-01-19,49.9555,50.1101,50.013,50.2298
2010-01-20,50.0917,50.4532,50.1762,50.3842
2010-01-21,50.2962,49.4646,50.2069,49.4563
2010-01-22,49.2782,48.9806,49.0478,48.9484
2010-01-25,49.1945,49.0422,48.7986,49.0225
2010-01-26,49.0099,48.9925,48.6989,48.8349
2010-01-27,48.8168,48.9525,48.8255,49.2267
2010-01-28,49.4196,49.2968,49.1418,49.3942
2010-01-29,49.4979,49.3803,49.101,49.2214
2010-02-01,49.3014,49.4223,48.9882,49.4467
2010-02-02,49.4685,49.6118,49.2448,49.6157
2010-02-03,49.5743,49.833,49.3731,49.5507
2010-02-04,49.3831,49.0168,48.9879,48.8323
2010-02-05,48.9419,48.5902,48.6056,49.0709
2010-02-08,49.0319,48.7401,48.5024,48.5956
2010-02-09,48.7976,48.5362,48.3163,48.5865
2010-02-10,48.6587,48.7632,48.4603,48.7804
2010-02-11,48.8057,48.8498,48.3453,48.7434
2010-02-12,48.6302,48.5805,48.0735,48.5758
2010-02-16,48.8065,48.9516,48.9309,49.2695
2010-02-17,49.4418,49.6307,49.5527,49.7509
2010-02-18,49.5972,49.8974,49.6827,49.9615
2010-02-19,49.7895,50.121,49.7263,49.9615
2010-02-22,50.0001,50.3869,50.1182,50.2794
2010-02-23,50.1468,50.2034,50.0963,50.0173
2010-02-24,50.0173,50.3856,50.0742,50.394
2010-02-25,50.0823,50.3747,50.3057,50.6057
2010-02-26,50.5636,50.8691,50.6026,50.7118
2010-03-01,50.6466,51.0402,50.6246,50.7602
2010-03-02,50.6838,50.8394,50.5564,50.4999
2010-03-03,50.4637,50.7722,50.3512,50.4196
2010-03-04,50.3678,50.4364,50.2142,50.4494
2010-03-05,50.51,50.8949,50.4971,50.7476
2010-03-08,50.7283,51.1553,50.6781,50.7874
2010-03-09,50.6109,50.9849,50.7688,50.8475
2010-03-10,50.9734,51.4684,51.1762,51.1582
2010-03-11,51.1351,51.5496,51.0933,51.1683
2010-03-12,51.2115,51.1126,51.1162,50.8835
2010-03-15,50.6921,51.0093,50.6515,50.8835
2010-03-16,50.9142,51.3507,50.8364,51.0681
2010-03-17,51.1072,51.4882,51.1019,51.3141
2010-03-18,51.2233,51.4354,51.125,51.109
2010-03-19,51.0908,51.1536,51.0155,50.8286
2010-03-22,50.5433,50.9892,50.699,50.9746
2010-03-23,50.9944,51.3718,50.9938,51.1522
2010-03-24,51.0335,51.5512,51.5891,51.6098
2010-03-25,51.7336,52.218,52.2995,51.7857
2010-03-26,51.8685,52.2732,52.1502,51.9515
2010-03-29,52.0519,52.2954,52.1127,52.0968
2010-03-30,51.9363,52.1729,52.0121,51.781
2010-03-31,51.5483,52.1729,51.8355,51.8755
2010-04-01,51.8717,52.4221,51.9764,52.0756
2010-04-05,52.0087,52.5694,52.1528,52.1705
2010-04-06,52.0087,52.6604,52.4931,52.5498
2010-04-07,52.4219,53.1472,52.866,52.6864
2010-04-08,52.4317,52.8667,52.8399,52.7181
2010-04-09,52.6488,53.0823,52.8399,52.647
2010-04-12,52.5279,53.196,52.8133,52.722
2010-04-13,52.4287,53.0534,52.6799,52.7328
2010-04-14,52.7985,53.544,53.5091,53.5131
2010-04-15,53.4397,54.0395,54.0247,53.5978
2010-04-16,53.2601,52.3628,53.5072,52.313
2010-04-19,52.0908,52.1386,52.4136,52.2894
2010-04-20,52.468,52.784,52.6253,52.5272
2010-04-21,52.3368,52.3717,52.7196,52.1342
2010-04-22,51.6422,52.1725,52.3129,52.417
2010-04-23,52.0135,52.5479,52.2211,52.2852
2010-04-26,52.0235,52.2285,52.1027,51.8313
2010-04-27,51.4806,51.4678,51.7606,51.1479
2010-04-28,51.2005,51.5834,51.4724,51.4926
2010-04-29,51.5989,52.1353,52.0114,52.0647
2010-04-30,51.8428,51.6652,51.8793,51.511
2010-05-03,51.4074,51.861,51.6808,51.7641
2010-05-04,51.2879,51.4898,51.3638,51.1785
2010-05-05,50.6727,50.7692,51.2714,51.1435
2010-05-06,50.9641,49.1356,50.9673,49.7149
2010-05-07,49.9027,49.6643,49.9034,49.6031
2010-05-10,50.6744,50.8771,50.6632,50.851
2010-05-11,50.5216,50.8305,50.7887,50.6928
2010-05-12,50.7179,50.8532,50.5812,50.5908
2010-05-13,50.463,50.688,50.3866,50.3636
2010-05-14,50.1242,49.8371,49.7943,49.7666
2010-05-17,49.7872,49.527,49.4502,49.7779
2010-05-18,50.1253,49.3208,49.8385,49.3293
2010-05-19,49.1758,49.474,49.4681,49.7404
2010-05-20,49.346,48.8779,48.9495,48.6244
2010-05-21,48.3266,48.5039,48.8865,49.4063
2010-05-24,49.4016,49.0282,48.9924,48.7664
2010-05-25,48.3379,48.3624,48.3109,48.8683
2010-05-26,49.3653,49.0483,49.052,48.8465
2010-05-27,49.2665,49.2942,49.1832,49.6491
2010-05-28,49.6324,49.4348,49.1577,49.1671
2010-06-01,49.0479,49.0803,48.9017,48.8411
2010-06-02,49.0479,49.0231,48.8248,49.3491
2010-06-03,49.4378,49.4272,49.0269,49.2614
2010-06-04,48.9802,48.9212,48.5884,48.7591
2010-06-07,48.8415,48.3765,48.1668,48.1988
2010-06-08,48.3679,48.4007,48.1031,48.7695
2010-06-09,48.94,48.5825,48.2963,48.4252
2010-06-10,48.7814,48.7887,48.2834,48.9364
2010-06-11,48.8441,49.0251,48.5892,49.0947
2010-06-14,49.2303,49.1283,48.7143,48.8873
2010-06-15,49.0839,49.0341,48.7841,49.3291
2010-06-16,49.2309,49.4496,48.9662,49.4096
2010-06-17,49.5092,49.378,49.1066,49.3539
2010-06-18,49.4267,49.5622,48.8896,49.3539
2010-06-21,49.5855,49.5745,49.1586,49.32
2010-06-22,49.3201,49.3433,48.8923,49.0821
2010-06-23,49.1381,49.0158,48.6267,48.9122
2010-06-24,48.7957,48.6421,48.0865,48.4498
2010-06-25,48.7853,48.8071,48.5333,48.9248
2010-06-28,49.0478,48.9344,48.4384,48.7211
2010-06-29,48.5357,48.0193,47.7655,47.9715
2010-06-30,48.1324,47.8413,47.4333,47.7504
2010-07-01,47.8241,46.906,46.842,47.3651
2010-07-02,47.5987,47.1405,46.5172,47.1678
2010-07-06,47.627,47.3359,46.8295,47.4377
2010-07-07,47.6218,47.6869,47.4484,48.2257
2010-07-08,48.4812,48.3299,47.7549,48.4056
2010-07-09,48.4601,48.5213,48.0315,48.7053
2010-07-12,48.6965,48.8018,48.2061,48.8252
2010-07-13,49.1556,49.3458,48.8845,49.374
2010-07-14,49.2895,49.371,48.8845,49.374
2010-07-15,49.3567,48.9287,48.8429,49.0484
2010-07-16,48.2492,47.6145,47.4612,47.4596
2010-07-19,47.5596,46.8531,46.6138,47.0563
2010-07-20,46.9345,46.8531,46.3954,47.2517
2010-07-21,47.6174,46.8924,46.5736,46.8053
2010-07-22,47.1989,47.1678,46.4697,47.1735
2010-07-23,47.3468,47.0857,46.3525,47.2717
2010-07-26,47.5407,47.4021,46.9671,47.7732
2010-07-27,48.297,48.0158,47.6165,47.822
2010-07-28,47.8814,47.7528,47.0749,47.5977
2010-07-29,47.9153,47.681,47.0354,47.6472
2010-07-30,47.6342,47.6208,47.0802,47.6597
2010-08-02,48.2017,48.1226,47.4236,48.1577
2010-08-03,48.1806,48.2016,47.4101,48.0425
2010-08-04,48.1806,47.9928,47.3151,47.8692
2010-08-05,47.8934,47.7902,46.9578,47.6728
2010-08-06,47.7023,47.5388,46.841,47.6033
2010-08-09,47.8771,47.5388,46.8873,47.545
2010-08-10,47.5671,47.3657,46.5468,47.2186
2010-08-11,47.2798,46.8135,46.1414,46.7106
2010-08-12,46.8047,46.6429,45.9128,46.5642
2010-08-13,46.8764,46.7687,45.8994,46.7851
2010-08-16,46.9005,46.744,45.8315,46.7386
2010-08-17,47.2322,46.8289,46.0887,46.7653
2010-08-18,47.0651,46.9567,46.1692,46.9128
2010-08-19,47.1016,46.6675,45.9891,46.558
2010-08-20,46.7763,46.3422,45.4663,46.3811
2010-08-23,46.8872,46.5013,45.6467,46.3811
2010-08-24,46.5393,46.1625,45.2761,46.108
2010-08-25,46.3335,45.95,45.1256,46.1358
2010-08-26,46.553,46.0237,45.4249,45.9089
2010-08-27,46.3727,45.9478,45.1765,46.1479
2010-08-30,46.3398,45.7705,45.011,45.7641
2010-08-31,46.1088,45.6562,44.9004,45.9624
2010-09-01,46.5057,46.2871,46.053,47.0051
2010-09-02,47.1514,47.0981,46.4296,47.105
2010-09-03,47.5891,47.3604,46.8364,47.4081
2010-09-07,47.4532,47.19,46.4523,47.0497
2010-09-08,47.317,47.2342,46.5668,47.2715
2010-09-09,47.7206,47.6025,47.1854,47.4518
2010-09-10,47.7458,47.6467,46.8829,47.5213
2010-09-13,48.1745,48.1758,47.5288,48.076
2010-09-14,48.1997,47.8641,47.3981,47.7326
2010-09-15,47.8012,47.6883,47.1366,47.7744
2010-09-16,47.8012,47.6883,46.9479,47.5699
2010-09-17,47.8914,47.4566,47.0137,47.3781
2010-09-20,47.6188,47.502,47.1953,47.8585
2010-09-21,48.2515,47.9104,47.5086,47.7422
2010-09-22,47.8707,47.5924,47.167,47.445
2010-09-23,47.4928,47.1941,46.6668,47.1235
2010-09-24,47.5711,47.4692,46.9505,47.7377
2010-09-27,47.8779,47.3724,47.0006,47.2741
2010-09-28,47.5259,47.2614,46.5422,47.3171
2010-09-29,47.4424,47.1221,46.4979,47.1106
2010-09-30,47.4064,47.1221,46.6684,47.1008
2010-10-01,47.4198,47.138,46.7197,47.389
2010-10-04,47.4873,47.2495,46.7714,47.1921
2010-10-05,47.5551,47.3694,47.099,47.79
2010-10-06,47.9753,47.5537,47.1336,47.5649
2010-10-07,47.7761,47.4227,46.8866,47.4588
