date,open,low,high,close
2010-01-04,15.2597,15.1345,15.3543,15.218
2010-01-05,15.2643,15.1396,15.3793,15.2533
2010-01-06,15.2893,15.1666,15.4393,15.3223
2010-01-07,15.366,15.2483,15.5725,15.4587
2010-01-08,15.5163,15.3957,15.779,15.661
2010-01-11,15.7373,15.601,16.0395,15.909
2010-01-12,15.9907,15.8247,16.3023,16.1477
2010-01-13,16.237,16.034,16.5465,16.3637
2010-01-14,16.4513,16.2155,16.7415,16.5337
2010-01-15,16.5997,16.3323,16.852,16.6243
2010-01-19,16.654,16.3658,16.8782,16.6373
2010-01-20,16.6333,16.3463,16.854,16.6133
2010-01-21,16.581,16.2795,16.8078,16.5457
2010-01-22,16.4757,16.1455,16.707,16.4063
2010-01-25,16.3227,15.9597,16.569,16.228
2010-01-26,16.1437,15.7498,16.4027,16.0153
2010-01-27,15.9453,15.5193,16.214,15.7797
2010-01-28,15.7283,15.2822,15.9937,15.5363
2010-01-29,15.518,15.0893,15.7783,15.3407
2010-02-01,15.3567,14.9717,15.6153,15.2237
2010-02-02,15.2617,14.9223,15.5153,15.177
2010-02-03,15.2327,14.9383,15.4757,15.1933
2010-02-04,15.2523,14.995,15.4753,15.2323
2010-02-05,15.2857,15.032,15.4943,15.2687
2010-02-08,15.3007,15.0337,15.4963,15.2643
2010-02-09,15.2863,14.988,15.4627,15.2077
2010-02-10,15.2197,14.8873,15.3823,15.0947
2010-02-11,15.1017,14.7523,15.264,14.9663
2010-02-12,14.973,14.6257,15.1337,14.8403
2010-02-16,14.8567,14.5307,15.0313,14.743
2010-02-17,14.7737,14.4917,14.9817,14.7167
2010-02-18,14.7503,14.5227,14.9983,14.7683
2010-02-19,14.7977,14.628,15.086,14.8903
2010-02-22,14.9173,14.7957,15.2567,15.075
2010-02-23,15.098,15.0033,15.4803,15.304
2010-02-24,15.309,15.229,15.7083,15.5327
2010-02-25,15.515,15.4363,15.9187,15.744
2010-02-26,15.7153,15.6323,16.1193,15.941
2010-03-01,15.9037,15.8097,16.294,16.113
2010-03-02,16.0617,15.951,16.4207,16.2433
2010-03-03,16.1873,16.0657,16.5203,16.349
2010-03-04,16.3027,16.1593,16.6017,16.4273
2010-03-05,16.3987,16.2393,16.661,16.4847
2010-03-08,16.4697,16.3,16.6953,16.517
2010-03-09,16.515,16.3453,16.7207,16.5443
2010-03-10,16.559,16.3925,16.7563,16.5793
2010-03-11,16.6137,16.4617,16.8093,16.637
2010-03-12,16.6823,16.5358,16.883,16.7047
2010-03-15,16.7523,16.6053,16.9597,16.7747
2010-03-16,16.8307,16.6828,17.0373,16.8513
2010-03-17,16.9167,16.7567,17.107,16.9217
2010-03-18,16.9883,16.806,17.1537,16.966
2010-03-19,17.0297,16.823,17.172,16.9853
2010-03-22,17.0423,16.8327,17.174,17.0033
2010-03-23,17.059,16.847,17.181,17.021
2010-03-24,17.0627,16.8518,17.1997,17.041
2010-03-25,17.0793,16.8793,17.2543,17.0777
2010-03-26,17.1197,16.9432,17.341,17.1517
2010-03-29,17.215,17.044,17.471,17.2627
2010-03-30,17.347,17.1688,17.629,17.391
2010-03-31,17.4943,17.3113,17.7903,17.5253
2010-04-01,17.6493,17.4577,17.929,17.6597
2010-04-05,17.792,17.589,18.034,17.7797
2010-04-06,17.907,17.6977,18.117,17.8787
2010-04-07,17.9877,17.796,18.1837,17.9703
2010-04-08,18.0657,17.8913,18.249,18.0677
2010-04-09,18.151,17.988,18.3307,18.174
2010-04-12,18.2483,18.0977,18.4397,18.288
2010-04-13,18.3547,18.2113,18.554,18.4003
