,open,low,high,close
2010-01-04,15.3515,15.1571,15.4809,15.2634
2010-01-05,15.3259,15.1472,15.4551,15.2516
2010-01-06,15.3163,15.1515,15.4497,15.2614
2010-01-07,15.3284,15.1724,15.4679,15.2912
2010-01-08,15.3575,15.2073,15.5048,15.3362
2010-01-11,15.4023,15.2568,15.5595,15.3983
2010-01-12,15.463,15.3147,15.6297,15.4697
2010-01-13,15.5341,15.3826,15.7157,15.5579
2010-01-14,15.623,15.4684,15.8219,15.6666
2010-01-15,15.7297,15.5669,15.9447,15.7874
2010-01-19,15.8461,15.6739,16.0758,15.9158
2010-01-20,15.9671,15.7827,16.2072,16.0394
2010-01-21,16.0837,15.8765,16.331,16.1439
2010-01-22,16.1784,15.9464,16.4296,16.2199
2010-01-25,16.2445,15.9885,16.4958,16.265
2010-01-26,16.2781,15.999,16.5292,16.276
2010-01-27,16.2775,15.9821,16.5324,16.2611
2010-01-28,16.2546,15.9456,16.5126,16.2251
2010-01-29,16.2112,15.8858,16.4672,16.1605
2010-02-01,16.1407,15.8011,16.3943,16.0725
2010-02-02,16.0506,15.7005,16.3013,15.9669
2010-02-03,15.9472,15.5874,16.1943,15.8469
2010-02-04,15.8293,15.4656,16.0722,15.7177
2010-02-05,15.7053,15.3478,15.9449,15.5978
2010-02-08,15.5922,15.2434,15.8299,15.4918
2010-02-09,15.4932,15.1516,15.728,15.3995
2010-02-10,15.411,15.076,15.6405,15.322
2010-02-11,15.3405,15.0097,15.5592,15.2485
2010-02-12,15.27,14.9464,15.4795,15.1796
2010-02-16,15.2045,14.8922,15.411,15.1234
2010-02-17,15.1505,14.8475,15.3554,15.0753
2010-02-18,15.1017,14.8074,15.3087,15.0369
2010-02-19,15.0623,14.7822,15.2752,15.0175
2010-02-22,15.0431,14.7763,15.265,15.0157
2010-02-23,15.0385,14.7862,15.2719,15.0263
2010-02-24,15.0477,14.8145,15.296,15.0583
2010-02-25,15.0735,14.8607,15.3387,15.1101
2010-02-26,15.1183,14.9259,15.4035,15.1851
2010-03-01,15.1896,15.0162,15.4965,15.2874
2010-03-02,15.2888,15.1299,15.6122,15.408
2010-03-03,15.4036,15.2581,15.7358,15.5375
2010-03-04,15.5271,15.3916,15.8622,15.6711
2010-03-05,15.6582,15.5321,15.9932,15.809
2010-03-08,15.793,15.6703,16.1233,15.9415
2010-03-09,15.9223,15.8003,16.2467,16.0707
2010-03-10,16.0502,15.9274,16.3663,16.1938
2010-03-11,16.1765,16.0491,16.4779,16.3052
2010-03-12,16.295,16.1597,16.5786,16.4012
2010-03-15,16.397,16.2535,16.6613,16.48
2010-03-16,16.4815,16.331,16.7253,16.5435
2010-03-17,16.5539,16.3989,16.7819,16.6035
2010-03-18,16.6245,16.4655,16.8393,16.6633
2010-03-19,16.6931,16.53,16.8965,16.7194
2010-03-22,16.7534,16.5869,16.9477,16.77
2010-03-23,16.8105,16.6408,16.9965,16.8188
2010-03-24,16.8641,16.6889,17.0431,16.864
2010-03-25,16.9143,16.7335,17.0905,16.9077
2010-03-26,16.9607,16.7778,17.1398,16.9558
2010-03-29,17.0139,16.8304,17.1967,17.013
2010-03-30,17.0763,16.8897,17.2627,17.0755
2010-03-31,17.1409,16.9503,17.3325,17.1381
2010-04-01,17.2058,17.0129,17.4031,17.2012
2010-04-05,17.2715,17.0784,17.4755,17.27
2010-04-06,17.3453,17.155,17.5579,17.3516
2010-04-07,17.4339,17.2468,17.6546,17.4448
2010-04-08,17.5318,17.346,17.7594,17.5448
2010-04-09,17.6375,17.4514,17.8651,17.6484
2010-04-12,17.7438,17.5587,17.9665,17.7532
2010-04-13,17.8475,17.6628,18.0641,17.8542
2010-04-14,17.9466,17.7676,18.1618,17.9593
2010-04-15,18.0535,17.8807,18.2671,18.0725
2010-04-16,18.1687,17.9895,18.3788,18.1839
2010-04-19,18.2796,18.0885,18.487,18.2889
2010-04-20,18.3872,18.1791,18.5886,18.3831
2010-04-21,18.4815,18.2522,18.6764,18.4603
2010-04-22,18.5572,18.3075,18.747,18.5229
2010-04-23,18.6157,18.3499,18.8048,18.5743
2010-04-26,18.6628,18.3798,18.8547,18.6124
2010-04-27,18.697,18.3921,18.8943,18.6326
2010-04-28,18.7151,18.385,18.9158,18.6325
2010-04-29,18.7104,18.3542,18.9123,18.6066
2010-04-30,18.6772,18.304,18.8809,18.5607
2010-05-03,18.626,18.2515,18.8324,18.5085
2010-05-04,18.5633,18.1916,18.7719,18.4443
2010-05-05,18.4815,18.1175,18.699,18.3722
2010-05-06,18.3938,18.025,18.6167,18.2826
2010-05-07,18.2938,17.9146,18.5208,18.1736
2010-05-10,18.1868,17.797,18.4181,18.0593
2010-05-11,18.0748,17.6806,18.3126,17.9476
2010-05-12,17.9658,17.5693,18.2063,17.8405
2010-05-13,17.8596,17.4604,18.1022,17.735
2010-05-14,17.7537,17.3505,17.997,17.6267
2010-05-17,17.645,17.227,17.8871,17.5082
2010-05-18,17.5315,17.0878,17.7712,17.378
2010-05-19,17.4145,16.9475,17.6511,17.2463
2010-05-20,17.2971,16.8163,17.5265,17.1125
2010-05-21,17.1709,16.6982,17.4038,16.9975
2010-05-24,17.0508,16.5866,17.285,16.8856
2010-05-25,16.9218,16.4645,17.158,16.7655
2010-05-26,16.7879,16.3318,17.0261,16.6335
2010-05-27,16.6464,16.1924,16.891,16.5018
2010-05-28,16.5092,16.0595,16.7621,16.3776
2010-06-01,16.3789,15.9362,16.6433,16.2587
2010-06-02,16.2518,15.8275,16.5324,16.1548
2010-06-03,16.1359,15.7342,16.4285,16.061
