,open,low,high,close
2010-01-04,15.5179,15.3218,15.689,15.4731
2010-01-05,15.5228,15.3346,15.7072,15.5016
2010-01-06,15.5497,15.3624,15.7402,15.538
2010-01-07,15.598,15.412,15.803,15.5992
2010-01-08,15.6591,15.4659,15.8601,15.6516
2010-01-11,15.7194,15.5231,15.918,15.7104
2010-01-12,15.7656,15.5528,15.9562,15.7408
2010-01-13,15.7972,15.5813,15.9957,15.7835
2010-01-14,15.8382,15.6316,16.0413,15.8352
2010-01-15,15.879,15.6626,16.0729,15.8584
2010-01-19,15.8906,15.6738,16.0948,15.884
2010-01-20,15.9097,15.7016,16.1243,15.9179
2010-01-21,15.9406,15.6815,16.1551,15.9015
2010-01-22,15.9124,15.6383,16.1297,15.858
2010-01-25,15.8805,15.5999,16.0933,15.8202
2010-01-26,15.8393,15.5606,16.0533,15.7735
2010-01-27,15.7883,15.5207,16.0204,15.7487
2010-01-28,15.7718,15.4975,16.0028,15.7331
2010-01-29,15.7598,15.4789,15.9836,15.7087
2010-02-01,15.7374,15.463,15.9597,15.697
2010-02-02,15.7248,15.4563,15.9479,15.6943
2010-02-03,15.7191,15.4603,15.9433,15.6883
2010-02-04,15.703,15.426,15.9214,15.6453
2010-02-05,15.663,15.3724,15.8825,15.6158
2010-02-08,15.629,15.327,15.8397,15.5615
2010-02-09,15.5824,15.2728,15.7888,15.5077
2010-02-10,15.5292,15.2299,15.7454,15.4647
2010-02-11,15.4847,15.1918,15.6976,15.4208
2010-02-12,15.4316,15.1421,15.6382,15.3694
2010-02-16,15.3891,15.1101,15.6175,15.3536
2010-02-17,15.381,15.1095,15.6248,15.3622
2010-02-18,15.3811,15.1206,15.6373,15.3807
2010-02-19,15.3908,15.1412,15.6509,15.398
2010-02-22,15.4112,15.1733,15.6813,15.4308
2010-02-23,15.4385,15.1964,15.7096,15.4493
2010-02-24,15.4583,15.227,15.7357,15.4859
2010-02-25,15.4806,15.2562,15.7708,15.532
2010-02-26,15.5273,15.3069,15.8177,15.5818
2010-03-01,15.5768,15.3637,15.8636,15.6323
2010-03-02,15.6264,15.4099,15.9045,15.668
2010-03-03,15.6627,15.4514,15.9348,15.6982
2010-03-04,15.6927,15.4768,15.9581,15.7289
2010-03-05,15.7292,15.5223,15.9932,15.7741
2010-03-08,15.7766,15.579,16.0359,15.8209
2010-03-09,15.818,15.6281,16.0829,15.8708
2010-03-10,15.8784,15.6991,16.1475,15.9358
2010-03-11,15.9471,15.7734,16.2085,16.001
2010-03-12,16.0191,15.8281,16.2698,16.0522
2010-03-15,16.0647,15.8777,16.3114,16.1031
2010-03-16,16.1214,15.9425,16.3609,16.1627
2010-03-17,16.1875,16.0126,16.421,16.2331
2010-03-18,16.258,16.079,16.4811,16.2931
2010-03-19,16.3209,16.1328,16.536,16.3397
2010-03-22,16.3567,16.1778,16.5775,16.3914
2010-03-23,16.4132,16.2371,16.6295,16.449
2010-03-24,16.4693,16.3016,16.7039,16.5253
2010-03-25,16.5578,16.3924,16.8055,16.6066
2010-03-26,16.6494,16.482,16.8975,16.6925
2010-03-29,16.7471,16.5693,16.9847,16.7822
2010-03-30,16.8362,16.6483,17.0649,16.8548
2010-03-31,16.9038,16.7243,17.135,16.9289
2010-04-01,16.9848,16.8082,17.2081,17.0095
2010-04-05,17.0696,16.8955,17.2857,17.0914
2010-04-06,17.151,16.9827,17.374,17.1868
2010-04-07,17.2488,17.0862,17.4737,17.2843
2010-04-08,17.3427,17.174,17.5677,17.3781
2010-04-09,17.4425,17.2662,17.6567,17.464
2010-04-12,17.5318,17.3583,17.7399,17.5485
2010-04-13,17.6117,17.44,17.8134,17.6285
2010-04-14,17.7046,17.5377,17.9159,17.7391
2010-04-15,17.8239,17.6515,18.0351,17.8483
2010-04-16,17.9303,17.6964,18.1307,17.9007
2010-04-19,17.9801,17.7295,18.1815,17.9491
2010-04-20,18.0451,17.7877,18.2379,18.0051
2010-04-21,18.1009,17.8268,18.2953,18.0421
2010-04-22,18.1224,17.8552,18.3345,18.0889
2010-04-23,18.1593,17.8973,18.3675,18.1276
2010-04-26,18.194,17.9242,18.3937,18.1456
2010-04-27,18.2019,17.919,18.4053,18.1335
2010-04-28,18.1957,17.9178,18.4046,18.1356
2010-04-29,18.2073,17.9385,18.4239,18.1615
2010-04-30,18.2288,17.9388,18.4362,18.1621
2010-05-03,18.2283,17.9453,18.4389,18.1722
2010-05-04,18.2209,17.9357,18.4282,18.1562
2010-05-05,18.1844,17.8962,18.413,18.1378
2010-05-06,18.1609,17.7886,18.3854,18.0575
2010-05-07,18.088,17.7047,18.3175,17.9733
2010-05-10,18.0523,17.6739,18.2795,17.9449
2010-05-11,18.0096,17.6407,18.2463,17.9091
2010-05-12,17.9758,17.608,18.2045,17.8686
2010-05-13,17.9298,17.5684,18.1552,17.8183
2010-05-14,17.8685,17.4934,18.0835,17.7426
2010-05-17,17.7922,17.4063,17.9994,17.6682
2010-05-18,17.7325,17.3115,17.9308,17.575
2010-05-19,17.6282,17.2241,17.8484,17.5005
2010-05-20,17.5334,17.1128,17.7469,17.3778
2010-05-21,17.3911,16.9876,17.6451,17.2915
2010-05-24,17.3022,16.8872,17.55,17.1785
2010-05-25,17.1635,16.7609,17.4311,17.073
2010-05-26,17.0775,16.6665,17.3429,16.9696
2010-05-27,16.9893,16.5852,17.262,16.9037
2010-05-28,16.9209,16.5123,17.1822,16.8183
2010-06-01,16.8261,16.4268,17.0951,16.7211
2010-06-02,16.7343,16.3422,17.0078,16.6491
2010-06-03,16.6643,16.2775,16.931,16.5764
2010-06-04,16.575,16.1948,16.8411,16.4847
2010-06-07,16.4826,16.0924,16.7388,16.3716
2010-06-08,16.371,15.9955,16.6383,16.2876
2010-06-09,16.291,15.9106,16.5488,16.1919
2010-06-10,16.207,15.8383,16.4628,16.1227
2010-06-11,16.1304,15.7802,16.3923,16.0651
2010-06-14,16.0771,15.7311,16.3313,16.003
2010-06-15,16.0214,15.6814,16.2773,15.9635
2010-06-16,15.976,15.6515,16.233,15.9306
2010-06-17,15.9472,15.6219,16.197,15.8987
2010-06-18,15.9179,15.6028,16.1568,15.8697
2010-06-21,15.8985,15.5869,16.1291,15.8426
2010-06-22,15.8696,15.5648,16.0948,15.8085
2010-06-23,15.8353,15.5325,16.0541,15.77
2010-06-24,15.7878,15.4877,15.9969,15.7141
2010-06-25,15.7427,15.4523,15.9581,15.681
2010-06-28,15.7127,15.4253,15.9192,15.6427
2010-06-29,15.6621,15.3641,15.8593,15.5748
2010-06-30,15.5961,15.2997,15.791,15.5015
2010-07-01,15.5192,15.2001,15.7045,15.4149
2010-07-02,15.4351,15.1135,15.6101,15.3239
2010-07-06,15.3564,15.0364,15.5303,15.2465
2010-07-07,15.2803,14.975,15.4739,15.2035
2010-07-08,15.2451,14.9416,15.431,15.1709
2010-07-09,15.2115,14.9184,15.4005,15.1533
