,open,low,high,close
2010-01-04,3291.4311,3283.8109,3305.5966,3295.2007
2010-01-05,3300.7874,3291.7073,3313.5644,3305.8005
2010-01-06,3308.8583,3297.8048,3317.3763,3307.2003
2010-01-07,3309.2389,3300.8699,3320.0842,3312.4669
2010-01-08,3314.1592,3305.5799,3321.3895,3315.6446
2010-01-11,3320.1062,3306.3866,3328.7596,3318.7631
2010-01-12,3317.0708,3304.2577,3328.1731,3312.5087
2010-01-13,3315.0472,3302.6718,3326.4487,3308.3391
2010-01-14,3313.3648,3299.2812,3320.9658,3304.8928
2010-01-15,3313.9099,3278.1875,3318.9772,3285.5952
2010-01-19,3301.2732,3272.9583,3325.3181,3301.0634
2010-01-20,3326.1822,3295.3055,3384.3788,3359.3756
2010-01-21,2241.1648,2220.3737,2280.7292,2263.8238
2010-01-22,1518.4098,1503.3691,1544.9094,1532.5825
2010-01-25,1036.0999,1024.9861,1053.863,1044.6683
2010-01-26,713.8433,705.9474,725.802,719.1122
2010-01-27,500.3222,493.9349,508.2947,503.1948
2010-01-28,357.5281,353.22,363.5264,360.0465
2010-01-29,263.2021,260.2866,268.281,265.5077
2010-02-01,201.3981,198.3978,204.854,202.1418
2010-02-02,159.4987,157.2352,161.9593,159.9312
2010-02-03,131.4758,129.5401,133.1429,131.4075
2010-02-04,112.2505,110.3767,113.3619,111.8083
2010-02-05,98.917,97.4545,100.1379,99.0622
2010-02-08,90.608,89.2797,91.592,90.7848
2010-02-09,85.312,84.1531,85.968,85.3665
2010-02-10,81.7213,80.8521,82.1753,81.7177
2010-02-11,79.3142,78.618,80.3835,80.0418
2010-02-12,78.5928,77.2687,79.5424,78.9945
2010-02-16,77.6885,76.7291,78.4149,78.013
2010-02-17,77.239,76.2994,77.7466,77.4253
2010-02-18,76.8894,76.1529,77.3977,77.1636
2010-02-19,76.7996,76.2686,78.0485,77.689
2010-02-22,77.6264,76.9524,78.729,78.3127
2010-02-23,78.1843,77.6283,79.1727,78.5918
2010-02-24,78.6362,78.0222,79.4484,78.9545
2010-02-25,78.7641,78.2248,79.4323,79.103
2010-02-26,79.0661,78.5165,79.6815,79.4453
2010-03-01,79.374,78.7244,80.4344,80.2669
2010-03-02,80.346,79.3996,81.1996,80.4346
2010-03-03,80.684,79.8497,81.8497,81.2731
2010-03-04,81.4893,80.7065,82.3431,81.742
2010-03-05,82.0629,81.411,82.6954,82.2814
2010-03-08,82.5653,81.824,82.987,82.4509
2010-03-09,82.5935,81.8893,82.898,82.4573
2010-03-10,82.5757,81.8096,82.8786,82.3282
2010-03-11,82.2971,81.6764,82.7158,82.3388
2010-03-12,82.4081,81.6809,82.7605,82.3059
2010-03-15,82.3454,81.7273,82.6737,82.2606
2010-03-16,82.3236,81.7315,82.6191,82.2737
2010-03-17,82.3791,81.8243,82.6261,82.3491
2010-03-18,82.4194,81.8829,82.6007,82.3494
2010-03-19,82.2996,81.8553,82.7271,82.253
2010-03-22,82.0497,81.6368,82.6114,82.292
2010-03-23,82.1831,81.6579,82.5576,82.3046
2010-03-24,82.1088,81.4386,82.3717,82.0164
2010-03-25,81.9625,81.4124,82.3412,81.911
2010-03-26,81.8683,81.2583,82.2774,81.7073
2010-03-29,81.7589,81.3522,82.1716,81.7215
2010-03-30,81.6859,81.3781,82.0544,81.681
2010-03-31,81.524,81.1887,81.8663,81.544
2010-04-01,81.5493,81.1358,81.8942,81.5793
2010-04-05,81.6729,81.0906,81.9128,81.4396
2010-04-06,81.4486,80.9004,81.6152,81.263
2010-04-07,81.2357,80.4369,81.3568,80.8254
2010-04-08,80.6405,79.9946,80.8179,80.4436
2010-04-09,80.367,79.8331,80.7286,80.459
2010-04-12,80.5113,79.932,80.8491,80.466
2010-04-13,80.4109,79.8547,80.796,80.4607
2010-04-14,80.4606,79.9931,80.8807,80.6038
2010-04-15,80.5671,79.9288,80.8538,80.4259
2010-04-16,80.328,78.4592,80.6459,79.8572
2010-04-19,79.6087,78.1661,80.2939,79.7315
2010-04-20,79.6958,78.5507,80.2359,79.8243
2010-04-21,79.8639,78.4038,80.224,79.5062
2010-04-22,79.3259,78.0526,79.766,79.2308
2010-04-23,79.0706,78.0184,79.5406,79.1372
2010-04-26,79.0437,78.3289,79.5838,79.1715
2010-04-27,78.8025,77.7426,79.2792,78.3443
2010-04-28,78.2017,77.4617,78.7461,77.9529
2010-04-29,78.0378,77.5212,78.5441,77.9986
2010-04-30,77.9918,77.3474,78.5161,77.6657
2010-05-03,77.8946,77.385,78.5507,77.9238
2010-05-04,77.9464,77.02,78.3838,77.4859
2010-05-05,77.2309,76.5166,77.9159,77.2239
2010-05-06,76.9573,74.8444,77.6939,76.3459
2010-05-07,76.0549,74.1396,77.0793,75.7006
2010-05-10,76.3932,74.9697,77.4862,76.5438
2010-05-11,76.7388,75.5998,77.9241,76.8992
2010-05-12,77.0559,76.1366,78.1327,77.2661
2010-05-13,77.3339,76.481,78.1218,77.2674
2010-05-14,77.2726,76.0907,77.8179,76.9216
2010-05-17,76.8684,75.7338,77.3886,76.7177
2010-05-18,76.6989,75.5725,77.3791,76.3018
2010-05-19,76.1493,75.135,77.0194,76.1445
2010-05-20,75.5662,74.1733,76.2162,74.8564
2010-05-21,74.0908,72.7822,75.2275,74.2409
2010-05-24,73.4972,72.0882,74.3283,73.0873
2010-05-25,72.2948,70.8854,73.1756,72.3015
2010-05-26,72.0232,70.6436,72.6104,71.641
2010-05-27,71.7121,70.7924,72.8802,72.2107
2010-05-28,71.9414,70.7116,72.8335,71.6571
2010-06-01,71.3109,70.4577,72.5357,71.1914
2010-06-02,71.044,70.3618,72.4671,71.5443
2010-06-03,71.496,70.6746,72.5281,71.8095
2010-06-04,71.3007,70.3764,72.102,71.2697
2010-06-07,70.9638,70.1842,71.728,70.8598
2010-06-08,70.7092,69.9928,72.1054,71.4532
2010-06-09,71.4295,70.4486,72.5936,71.5721
2010-06-10,71.723,71.0657,73.129,72.4148
2010-06-11,72.3486,71.7938,73.6627,73.0798
2010-06-14,73.1891,72.7259,74.3651,73.6932
2010-06-15,73.9027,73.4172,75.3501,74.8788
2010-06-16,74.8885,74.4415,76.0801,75.7559
2010-06-17,75.8323,75.481,77.1534,76.9139
2010-06-18,77.0382,76.7073,78.0956,77.9193
2010-06-21,78.0588,77.5216,78.8804,78.5495
2010-06-22,78.5525,78.051,79.3603,78.8763
2010-06-23,78.8517,77.9707,79.5368,78.9642
2010-06-24,78.8578,77.9805,79.6079,78.9295
2010-06-25,79.0219,78.4036,80.3719,79.9197
2010-06-28,79.7679,79.2324,80.7013,80.2864
2010-06-29,79.9453,79.3383,80.9409,80.201
2010-06-30,79.8968,79.3522,80.8872,80.0306
2010-07-01,79.7846,78.8781,80.4815,79.6238
2010-07-02,79.5397,78.1421,80.1443,78.8292
2010-07-06,78.8931,77.6681,79.7296,78.4094
2010-07-07,78.5154,77.4987,79.8164,78.913
2010-07-08,78.8803,77.9091,79.8509,79.0786
2010-07-09,79.0102,78.2361,79.8506,79.3024
2010-07-12,79.1968,78.3774,79.8337,79.3583
