date,open,low,high,close
2010-01-04,3283.422,3266.6836,3308.5331,3286.6256
2010-01-05,3283.6934,3266.9681,3308.6418,3286.9352
2010-01-06,3284.0294,3267.4062,3308.7558,3287.0723
2010-01-07,3284.1778,3267.7165,3308.8605,3287.3501
2010-01-08,3284.4943,3268.1197,3308.9559,3287.5835
2010-01-11,3284.732,3268.299,3309.1292,3287.8276
2010-01-12,3284.9189,3268.5076,3309.2516,3287.9471
2010-01-13,3285.0641,3268.6446,3309.3386,3288.003
2010-01-14,3285.1914,3268.7595,3309.3424,3288.0718
2010-01-15,3285.3677,3268.4598,3309.3818,3287.6884
2010-01-19,3285.3037,3268.4242,3309.5437,3288.0616
2010-01-20,3286.3079,3269.1873,3313.6331,3291.5189
2010-01-21,2478.6679,2422.5665,2537.8728,2503.6962
2010-01-22,1876.3175,1800.2245,1949.2698,1910.1054
2010-01-25,1425.9477,1342.1287,1502.5478,1456.5271
2010-01-26,1087.773,1005.9002,1161.723,1115.6609
2010-01-27,833.3311,754.4157,900.11,853.849
2010-01-28,639.7285,571.9788,698.4757,659.3794
2010-01-29,496.9147,439.6854,548.1499,514.8171
2010-02-01,389.3261,337.7361,430.7933,399.4683
2010-02-02,302.516,260.2047,332.7383,309.8915
2010-02-03,237.0705,205.4374,261.8339,243.8958
2010-02-04,190.2389,164.2908,208.4355,194.5235
2010-02-05,152.3109,134.3358,168.5445,159.6906
2010-02-08,127.2963,114.5837,140.8861,135.207
2010-02-09,110.5761,101.4324,121.49,117.6633
2010-02-10,99.1168,92.662,107.7519,105.059
2010-02-11,91.2276,86.5489,98.5315,96.7492
2010-02-12,86.6481,82.5752,92.3036,90.8223
2010-02-16,83.1311,80.2266,87.4275,86.4116
2010-02-17,80.9119,78.5879,84.0079,83.3143
2010-02-18,79.3462,77.6549,81.7454,81.2811
2010-02-19,78.4431,77.2568,81.0,80.5087
2010-02-22,78.7259,77.6225,80.7108,80.2208
2010-02-23,78.9196,78.088,80.5045,79.8967
2010-02-24,79.1286,78.3355,80.34,79.8312
2010-02-25,79.0922,78.4362,80.0356,79.7012
2010-02-26,79.2857,78.6627,80.0822,79.83
2010-03-01,79.5244,78.8278,80.6847,80.4538
2010-03-02,80.4586,79.4911,81.3472,80.5484
2010-03-03,80.7628,79.9242,81.93,81.2624
2010-03-04,81.5486,80.7921,82.3816,81.6961
2010-03-05,82.1065,81.4984,82.7142,82.2046
2010-03-08,82.6028,81.8993,82.9932,82.3835
2010-03-09,82.6188,81.9413,82.9041,82.4098
2010-03-10,82.5922,81.8401,82.8833,82.3064
2010-03-11,82.304,81.6893,82.7228,82.3229
2010-03-12,82.417,81.6896,82.7649,82.2967
2010-03-15,82.3486,81.7362,82.6761,82.2567
2010-03-16,82.3245,81.7376,82.6204,82.2704
2010-03-17,82.3826,81.8361,82.627,82.3427
2010-03-18,82.4237,81.8953,82.6012,82.345
2010-03-19,82.2949,81.86,82.7282,82.2539
2010-03-22,82.0269,81.6157,82.6114,82.2912
2010-03-23,82.1789,81.6469,82.5573,82.3037
2010-03-24,82.1003,81.4077,82.3706,82.0262
2010-03-25,81.9458,81.3901,82.3403,81.9215
2010-03-26,81.8499,81.2274,82.2766,81.722
2010-03-29,81.7381,81.3441,82.1706,81.7311
2010-03-30,81.6661,81.3762,82.0518,81.6886
2010-03-31,81.4949,81.1612,81.8567,81.5496
2010-04-01,81.5343,81.1108,81.8893,81.5835
2010-04-05,81.6796,81.0681,81.9104,81.4407
2010-04-06,81.4237,80.8569,81.5999,81.2595
2010-04-07,81.1891,80.3335,81.3349,80.8122
2010-04-08,80.5187,79.8581,80.7674,80.4243
2010-04-09,80.2497,79.723,80.6902,80.4467
2010-04-12,80.4613,79.8809,80.8321,80.4581
2010-04-13,80.3647,79.8107,80.7817,80.4553
2010-04-14,80.4402,79.9883,80.8773,80.6032
2010-04-15,80.5713,79.9134,80.8491,80.4049
2010-04-16,80.2612,78.0091,80.5809,79.676
2010-04-19,80.2187,77.9976,80.5581,79.6714
2010-04-20,80.2117,78.052,80.5468,79.685
2010-04-21,80.2114,78.0544,80.5348,79.6516
2010-04-22,80.1575,78.0277,80.4675,79.6073
2010-04-23,80.1309,78.0252,80.4332,79.5863
2010-04-26,80.1045,78.0514,80.4146,79.5783
2010-04-27,80.0816,78.0378,80.4035,79.5647
2010-04-28,80.0642,78.0269,80.3901,79.544
2010-04-29,80.044,78.0228,80.3679,79.5279
2010-04-30,80.023,78.0113,80.3416,79.4993
2010-05-03,79.9891,77.9996,80.3002,79.473
2010-05-04,79.945,77.9691,80.2527,79.4371
2010-05-05,79.9106,77.943,80.2131,79.4077
2010-05-06,79.8826,77.8812,80.1766,79.3871
2010-05-07,79.8561,77.8438,80.1441,79.3663
2010-05-10,79.8292,77.8327,80.1288,79.3577
2010-05-11,79.8179,77.8242,80.1201,79.3479
2010-05-12,79.8006,77.8198,80.1014,79.3363
2010-05-13,79.7862,77.8149,80.083,79.3233
2010-05-14,79.7702,77.8022,80.0674,79.308
2010-05-17,79.7508,77.783,80.0173,79.2777
2010-05-18,79.7117,77.7554,79.9808,79.218
2010-05-19,79.6387,77.7005,79.9141,79.1741
2010-05-20,79.5404,77.5845,79.7779,78.9821
2010-05-21,79.3005,77.3726,79.5863,78.8442
2010-05-24,79.1193,77.1932,79.3108,78.5583
2010-05-25,78.7822,76.8933,78.7503,78.1851
2010-05-26,78.4841,76.6639,78.2519,77.8357
2010-05-27,78.1981,76.4987,78.0008,77.663
2010-05-28,77.958,76.2617,77.6979,77.3127
2010-06-01,77.5485,75.9822,77.3363,76.9202
2010-06-02,77.189,75.7358,77.0334,76.7365
2010-06-03,77.0183,75.5843,76.8027,76.5715
2010-06-04,76.7698,75.3638,76.4614,76.2884
2010-06-07,76.5105,75.1574,76.1298,75.9956
2010-06-08,76.2215,74.94,75.975,75.8903
2010-06-09,76.1222,74.8281,75.8786,75.7516
2010-06-10,76.0012,74.7599,75.8188,75.7116
2010-06-11,75.9368,74.7232,75.7829,75.6807
2010-06-14,75.9135,74.7206,75.7825,75.6644
2010-06-15,75.9024,74.722,75.8145,75.6856
2010-06-16,75.915,74.7441,75.8452,75.7102
2010-06-17,75.939,74.7755,75.8852,75.743
2010-06-18,75.9679,74.8053,75.9198,75.7699
2010-06-21,75.995,74.8377,75.956,75.7985
2010-06-22,76.0216,74.8669,75.9908,75.8241
2010-06-23,76.047,74.8969,76.024,75.852
2010-06-24,76.0708,74.9268,76.0559,75.878
2010-06-25,76.0936,74.9542,76.0843,75.9081
2010-06-28,76.1174,74.9799,76.1118,75.9337
2010-06-29,76.1445,75.0077,76.1388,75.9571
2010-06-30,76.1659,75.0323,76.1601,75.9789
2010-07-01,76.1859,75.0505,76.1822,75.9951
2010-07-02,76.1994,75.0627,76.1974,76.0047
2010-07-06,76.2098,75.0761,76.2174,76.0181
2010-07-07,76.2238,75.0937,76.2408,76.0371
2010-07-08,76.2406,75.1132,76.2612,76.0556
