,open,low,high,close
2010-01-04,40.0,36.0,28.0,21.0
2010-01-05,44.0,32.0,14.5,41.5
2010-01-06,51.0,60.0,36.0,23.0
2010-01-07,22.0,39.0,27.5,43.0
2010-01-08,49.0,45.5,28.0,32.0
2010-01-11,12.0,-4.0,-11.5,-28.0
2010-01-12,-38.0,-26.0,-33.5,-60.5
2010-01-13,-19.0,-3.0,-27.5,-6.0
2010-01-14,-13.0,-7.5,-19.0,-30.0
2010-01-15,-23.0,-50.0,-34.0,-53.5
2010-01-19,-34.0,-21.0,19.0,48.5
2010-01-20,82.0,68.0,163.5,137.0
2010-01-21,-3253.87,-3219.49,-3271.57,-3245.28
2010-01-22,-3241.1,-3213.64,-3255.73,-3222.9
2010-01-25,-3218.52,-3214.28,-3232.23,-3234.66
2010-01-26,-3211.67,-3197.13,-3230.32,-3212.0
2010-01-27,-3218.22,-3216.09,-3241.72,-3234.64
2010-01-28,-3234.06,-3188.21,-3258.51,-3209.25
2010-01-29,-3205.45,-3166.58,-3227.21,-3188.57
2010-02-01,-3222.21,-3217.38,-3260.0,-3250.09
2010-02-02,-3304.3,-3274.09,-3372.83,-3305.49
2010-02-03,-3347.57,-3254.85,-3347.49,-3320.64
2010-02-04,-3306.2,-3304.95,-3381.2,-3352.39
2010-02-05,-3427.75,-3353.39,-3426.31,-3351.43
2010-02-08,-3371.01,-3312.07,-3370.5,-3310.77
2010-02-09,-3330.28,-3317.1,-3342.28,-3320.47
2010-02-10,-3329.46,-3299.25,-3335.41,-3329.08
2010-02-11,-3337.5,-3322.85,-3353.2,-3334.31
2010-02-12,-3352.85,-3327.43,-3365.14,-3354.6
2010-02-16,-3358.12,-3349.85,-3369.34,-3353.95
2010-02-17,-3358.66,-3359.56,-3398.09,-3375.75
2010-02-18,-3373.81,-3351.64,-3374.3,-3373.36
2010-02-19,-3366.38,-3359.5,-3379.65,-3368.26
2010-02-22,-3386.72,-3351.68,-3401.91,-3360.44
2010-02-23,-3370.7,-3319.02,-3369.94,-3335.85
2010-02-24,-3347.96,-3316.19,-3399.5,-3323.32
2010-02-25,-3290.48,-3281.37,-3320.6,-3302.6
2010-02-26,-3281.33,-3254.4,-3285.82,-3272.87
2010-03-01,-3293.01,-3268.36,-3291.06,-3270.59
2010-03-02,-3280.71,-3250.25,-3282.77,-3256.23
2010-03-03,-3268.14,-3210.25,-3266.85,-3208.05
2010-03-04,-3240.9,-3220.58,-3242.67,-3237.32
2010-03-05,-3226.79,-3222.18,-3255.1,-3232.14
2010-03-08,-3236.43,-3213.35,-3236.43,-3231.21
2010-03-09,-3237.35,-3192.98,-3237.28,-3201.53
2010-03-10,-3211.46,-3179.35,-3221.16,-3193.93
2010-03-11,-3199.76,-3188.59,-3212.61,-3204.64
2010-03-12,-3223.37,-3206.31,-3230.65,-3230.76
2010-03-15,-3225.78,-3207.18,-3242.5,-3227.83
2010-03-16,-3236.72,-3219.76,-3240.49,-3226.2
2010-03-17,-3226.51,-3193.99,-3226.36,-3206.0
2010-03-18,-3197.5,-3181.5,-3220.95,-3221.15
2010-03-19,-3208.44,-3204.2,-3222.52,-3216.94
2010-03-22,-3224.45,-3205.3,-3223.62,-3222.63
2010-03-23,-3209.55,-3193.3,-3216.55,-3203.67
2010-03-24,-3200.04,-3194.0,-3214.0,-3205.56
2010-03-25,-3198.33,-3193.64,-3207.72,-3203.8
2010-03-26,-3203.32,-3189.05,-3207.35,-3198.7
2010-03-29,-3201.46,-3198.46,-3207.54,-3207.75
2010-03-30,-3208.46,-3198.57,-3219.18,-3204.4
2010-03-31,-3218.8,-3215.19,-3243.51,-3229.73
2010-04-01,-3237.9,-3226.47,-3247.55,-3245.35
2010-04-05,-3243.08,-3229.0,-3243.05,-3228.84
2010-04-06,-3229.0,-3226.48,-3244.48,-3242.09
2010-04-07,-3243.19,-3235.49,-3243.16,-3242.05
2010-04-08,-3252.55,-3228.89,-3263.76,-3245.32
2010-04-09,-3231.18,-3220.49,-3246.45,-3219.51
2010-04-12,-3230.2,-3219.37,-3241.91,-3219.52
2010-04-13,-3229.79,-3212.8,-3229.31,-3217.55
2010-04-14,-3234.44,-3155.73,-3233.95,-3166.11
2010-04-15,-3195.22,-3182.7,-3257.2,-3251.93
2010-04-16,-3296.15,-3264.48,-3422.27,-3397.28
2010-04-19,7.04,7.07,6.16,6.76
2010-04-20,6.97,9.96,6.85,9.91
2010-04-21,8.72,9.89,8.43,10.03
2010-04-22,8.92,9.48,9.17,10.68
2010-04-23,5.28,8.04,5.81,7.59
2010-04-26,7.05,7.16,5.68,5.49
2010-04-27,3.77,2.15,0.88,0.26
2010-04-28,-0.79,2.28,-0.32,1.76
2010-04-29,2.01,2.73,1.97,2.58
2010-04-30,2.47,2.85,2.95,2.64
2010-05-03,3.9,5.41,4.82,5.83
2010-05-04,5.8,4.68,4.36,3.04
2010-05-05,1.81,2.58,2.48,2.47
2010-05-06,1.69,-2.4,2.53,0.06
2010-05-07,-0.29,-1.52,1.26,-0.01
2010-05-10,2.57,2.48,1.5,1.54
2010-05-11,0.28,2.29,0.94,0.71
2010-05-12,1.81,1.56,2.39,1.95
2010-05-13,1.55,1.73,1.69,1.02
2010-05-14,0.96,-0.55,0.51,-0.41
2010-05-17,-0.56,-1.48,-2.82,-2.43
2010-05-18,-2.92,-3.07,-2.73,-4.09
2010-05-19,-4.25,-4.72,-3.76,-3.32
2010-05-20,-5.14,-6.56,-5.39,-7.4
2010-05-21,-7.88,-8.63,-6.15,-6.39
2010-05-24,-7.36,-8.4,-7.65,-9.35
2010-05-25,-10.1,-10.66,-11.07,-11.18
2010-05-26,-10.81,-10.59,-11.25,-10.45
2010-05-27,-10.27,-9.66,-9.73,-9.6
