,open,low,high,close
2010-01-04,60.7241,70.2538,77.1496,68.8216
2010-01-05,74.9469,77.8921,79.6073,77.2599
2010-01-06,77.7833,79.3341,70.1729,56.8316
2010-01-07,56.122,72.2639,70.6559,65.541
2010-01-08,66.8819,78.6163,66.6109,64.2937
2010-01-11,71.8183,62.8678,82.7026,66.6721
2010-01-12,48.23,48.8798,54.779,39.3613
2010-01-13,48.23,48.0446,49.6946,39.3613
2010-01-14,47.0795,36.9858,36.0871,37.444
2010-01-15,53.9458,11.1325,43.5221,14.6689
2010-01-19,23.8167,36.9652,66.1587,62.3624
2010-01-20,72.695,69.4399,92.6163,82.7635
2010-01-21,2.643,2.4652,4.3336,4.8647
2010-01-22,2.7058,2.4642,4.3334,4.8603
2010-01-25,2.704,2.4629,4.3306,4.8576
2010-01-26,2.7007,2.4624,4.3257,4.8554
2010-01-27,2.9729,2.6053,4.5584,5.0704
2010-01-28,2.9694,2.7695,4.6156,5.2607
2010-01-29,3.2484,3.0551,4.9966,5.5262
2010-02-01,3.6783,3.0822,5.0228,5.5188
2010-02-02,3.6651,3.1312,5.0077,5.5342
2010-02-03,3.663,3.1261,5.001,5.5213
2010-02-04,3.6472,3.1083,4.9792,5.4968
2010-02-05,3.6285,3.1037,4.9775,5.783
2010-02-08,4.3158,3.6406,5.2822,6.0276
2010-02-09,4.6723,4.1285,5.3853,6.166
2010-02-10,4.667,4.347,5.3809,6.1619
2010-02-11,4.6655,4.3434,6.9679,7.7669
2010-02-12,7.1158,4.7501,7.8941,7.949
2010-02-16,7.0079,6.034,7.7396,7.8704
2010-02-17,7.642,6.0143,8.0703,8.1376
2010-02-18,7.6208,6.7754,8.5455,8.7824
2010-02-19,8.5292,8.1915,13.6451,12.8975
2010-02-22,14.9933,12.895,15.2938,14.7741
2010-02-23,15.0497,14.8719,15.279,14.5778
2010-02-24,15.8871,14.764,15.2422,16.3733
2010-02-25,15.474,14.6236,14.7964,16.1491
2010-02-26,18.7743,17.1938,18.6626,19.7303
2010-03-01,20.6802,17.4582,27.8914,28.9759
2010-03-02,34.4901,28.8813,32.2072,26.5296
2010-03-03,31.7005,28.8813,34.8005,38.8667
2010-03-04,42.5648,41.9105,36.1098,37.8819
2010-03-05,43.2778,44.9311,36.7274,42.4709
2010-03-08,46.0192,43.7232,38.5313,39.4196
2010-03-09,39.8646,38.8815,32.7038,37.5275
2010-03-10,39.0834,35.9582,34.4532,34.9095
2010-03-11,33.1735,33.8922,30.7109,38.78
2010-03-12,44.7842,39.0032,39.1556,37.6228
2010-03-15,40.7111,41.6225,35.0884,36.8217
2010-03-16,41.6814,40.2916,35.3283,39.7977
2010-03-17,45.5778,47.3888,38.9925,44.7983
2010-03-18,45.7934,47.1295,37.17,41.5618
2010-03-19,37.6013,41.4572,50.881,35.384
2010-03-22,29.8615,28.565,36.8536,46.0911
2010-03-23,51.7636,46.0434,39.2943,44.8913
2010-03-24,42.691,32.2391,29.9822,26.0394
2010-03-25,37.7909,43.1887,40.8793,35.8733
2010-03-26,38.0972,35.1115,37.4929,28.5685
2010-03-29,35.0753,51.4456,32.5645,44.4697
2010-03-30,35.0753,48.5948,29.0476,40.6951
2010-03-31,26.9605,34.9498,22.0357,32.9937
2010-04-01,45.5022,42.1542,45.1191,47.3387
2010-04-05,56.5359,41.3731,45.1191,35.1942
2010-04-06,32.7252,30.1869,23.3138,30.2456
2010-04-07,29.5161,17.6414,20.8732,18.058
2010-04-08,15.7218,14.6312,11.5984,15.8173
2010-04-09,27.2795,29.6387,37.2591,42.5499
2010-04-12,49.9871,47.5153,49.4798,42.3424
2010-04-13,40.4757,38.9386,41.9195,41.582
2010-04-14,47.8358,52.9968,50.4388,56.0519
2010-04-15,52.4549,42.8327,44.7419,35.543
2010-04-16,35.7345,13.4562,33.8468,20.2758
2010-04-19,20.7786,38.7356,25.2255,38.7806
2010-04-20,48.2006,53.1763,40.8275,49.0828
2010-04-21,52.2142,44.1336,43.0688,33.7929
2010-04-22,33.2084,38.9353,23.9407,31.7334
2010-04-23,37.7138,45.2941,30.7731,38.4017
2010-04-26,44.2357,55.0464,45.5489,45.5434
2010-04-27,36.7425,35.9699,31.1979,20.0249
2010-04-28,25.9268,39.5979,22.4461,29.3405
2010-04-29,38.1649,47.8763,33.3117,44.7571
2010-04-30,41.4033,41.698,40.5539,33.8269
2010-05-03,38.7341,47.7553,44.3323,52.8442
2010-05-04,46.3062,35.8977,34.5525,36.281
2010-05-05,23.2325,29.7433,22.7673,37.4855
2010-05-06,34.323,14.1518,30.2692,24.122
2010-05-07,20.9357,28.5187,18.575,23.2385
2010-05-10,51.6876,57.024,55.8701,61.065
2010-05-11,54.5109,58.2513,60.487,55.5149
2010-05-12,56.7905,60.4024,56.7747,58.482
2010-05-13,58.7769,59.961,49.8858,50.5875
2010-05-14,48.4712,42.0868,38.3745,40.7834
2010-05-17,36.642,39.7759,31.4447,41.8667
2010-05-18,41.5495,42.8849,46.2532,33.7605
2010-05-19,29.2029,33.5626,34.3933,39.9855
2010-05-20,24.6582,21.6299,22.7618,18.5255
2010-05-21,12.4812,14.4441,16.9839,28.4026
2010-05-24,28.3539,24.2328,14.5413,19.4151
2010-05-25,19.3027,16.6713,10.2802,19.2444
2010-05-26,36.0647,35.6619,20.9239,17.6538
2010-05-27,33.9054,44.4259,46.2656,53.3069
2010-05-28,47.1831,40.4288,40.5691,35.535
2010-06-01,32.5296,35.938,34.3496,34.0647
2010-06-02,37.2946,39.0415,39.9587,51.3359
2010-06-03,53.9848,53.5038,44.7963,52.046
2010-06-04,42.7671,38.2467,31.0952,36.2503
2010-06-07,38.5957,38.535,28.9599,35.3156
2010-06-08,37.9245,36.511,55.5354,58.5005
2010-06-09,62.2619,60.4359,62.2092,51.1803
2010-06-10,56.4587,68.4249,67.6026,65.8973
2010-06-11,65.6719,74.8424,71.8303,67.5524
2010-06-14,72.764,81.4794,78.6606,70.4971
2010-06-15,75.0937,82.3895,85.3006,80.568
2010-06-16,81.6275,88.2152,86.0697,81.4512
