date,open,low,high,close
2010-01-04,3289.7893,3262.2066,3314.5785,3289.9256
2010-01-05,3293.686,3266.0868,3318.3347,3293.7025
2010-01-06,3297.2603,3269.5579,3321.3264,3296.7603
2010-01-07,3300.3595,3272.8967,3324.5165,3300.0661
2010-01-08,3303.5744,3276.1446,3327.5496,3303.1322
2010-01-11,3306.7149,3279.1322,3330.5785,3306.0372
2010-01-12,3309.3843,3281.876,3333.3388,3308.7231
2010-01-13,3312.2851,3284.6983,3335.9752,3311.1901
2010-01-14,3314.8058,3287.1818,3337.9421,3313.0992
2010-01-15,3316.8802,3288.8223,3339.4917,3314.0868
2010-01-19,3318.1694,3290.2397,3341.1446,3315.7314
2010-01-20,3320.2438,3292.2562,3344.1818,3318.5496
2010-01-21,3294.9721,3267.1654,3318.9292,3293.3572
2010-01-22,3269.6655,3241.8295,3293.0884,3267.6307
2010-01-25,3243.9009,3216.2239,3267.3179,3241.9145
2010-01-26,3218.0193,3190.3385,3240.588,3215.4517
2010-01-27,3191.6002,3163.9741,3213.8879,3188.7729
2010-01-28,3164.7856,3137.2534,3185.5985,3160.8535
2010-01-29,3136.3935,3109.6701,3156.9687,3132.4149
2010-02-01,3107.6975,3081.6421,3128.1174,3103.7819
2010-02-02,3079.3149,3054.8976,3099.6643,3076.3894
2010-02-03,3052.0044,3028.6509,3072.3545,3049.9792
2010-02-04,3025.6143,3002.2464,3045.0718,3023.1288
2010-02-05,2998.4676,2975.4828,3017.6643,2996.0096
2010-02-08,2971.6245,2948.755,2990.6271,2969.1107
2010-02-09,2945.4404,2923.2913,2964.3025,2943.0324
2010-02-10,2919.2713,2897.186,2937.8032,2916.5813
2010-02-11,2893.1515,2871.0632,2910.847,2890.273
2010-02-12,2866.6238,2844.8944,2884.3087,2863.8465
2010-02-16,2839.8625,2818.2882,2857.4092,2836.9585
2010-02-17,2812.8694,2791.5067,2830.0985,2810.1052
2010-02-18,2785.7305,2764.6832,2802.8812,2783.1022
2010-02-19,2758.9505,2738.1584,2775.9254,2756.4968
2010-02-22,2732.333,2712.066,2749.3145,2729.9807
2010-02-23,2705.5917,2685.4626,2722.439,2703.3043
2010-02-24,2679.2573,2659.3577,2695.9142,2676.8058
2010-02-25,2652.6955,2633.6852,2669.3307,2650.7678
2010-02-26,2626.9241,2608.0497,2643.481,2625.0664
2010-03-01,2601.0976,2582.3277,2617.4888,2599.2144
2010-03-02,2575.3562,2556.6686,2591.627,2573.3364
2010-03-03,2548.9707,2530.9393,2565.1655,2547.5757
2010-03-04,2523.0873,2505.2816,2538.9492,2521.4821
2010-03-05,2496.8328,2479.1892,2512.6219,2495.3074
2010-03-08,2470.6474,2453.0045,2486.2464,2469.0164
2010-03-09,2444.471,2426.9964,2459.9425,2442.7807
2010-03-10,2418.211,2400.853,2433.3544,2416.1903
2010-03-11,2391.4485,2374.1126,2405.7212,2388.9288
2010-03-12,2364.0157,2347.0604,2377.8936,2361.7655
2010-03-15,2336.844,2320.216,2350.3936,2334.924
2010-03-16,2309.7967,2293.47,2323.3151,2308.1579
2010-03-17,2282.8007,2266.8089,2296.2295,2281.0711
2010-03-18,2255.6561,2239.8255,2268.8539,2253.9831
2010-03-19,2228.5988,2213.2205,2241.7298,2227.2976
2010-03-22,2201.9256,2187.0321,2215.0387,2200.9701
2010-03-23,2175.45,2160.6907,2188.4143,2174.4521
2010-03-24,2149.0447,2134.2858,2161.344,2147.5136
2010-03-25,2122.2734,2107.6276,2134.2637,2120.726
2010-03-26,2095.8286,2081.5611,2107.4468,2094.4475
2010-03-29,2069.9074,2055.6978,2081.0911,2068.1438
2010-03-30,2043.6805,2029.5691,2054.4945,2041.6694
2010-03-31,2017.0127,2003.0882,2027.6969,2015.1593
2010-04-01,1990.745,1976.8157,2001.1263,1988.644
2010-04-05,1964.3517,1950.4149,1974.4069,1962.1618
2010-04-06,1937.9633,1924.2208,1947.8946,1935.6652
2010-04-07,1911.4576,1897.8697,1921.3065,1909.2185
2010-04-08,1885.0481,1871.5028,1894.7259,1882.6869
2010-04-09,1858.2698,1844.788,1867.6643,1855.6414
2010-04-12,1831.2598,1817.9626,1840.5617,1828.5338
2010-04-13,1804.4021,1791.3279,1813.5385,1801.8764
2010-04-14,1777.605,1764.7186,1786.696,1775.0407
2010-04-15,1750.6859,1738.2211,1759.686,1748.4256
2010-04-16,1723.9904,1711.7088,1732.9193,1721.9398
2010-04-19,1697.4133,1685.3087,1705.9821,1695.0017
2010-04-20,1670.594,1658.7741,1678.9996,1668.2414
2010-04-21,1643.8684,1632.2874,1652.15,1641.6783
2010-04-22,1617.325,1605.7986,1625.4959,1615.0269
2010-04-23,1590.8586,1579.4593,1598.8768,1588.572
2010-04-26,1564.3089,1552.9548,1572.1385,1561.9045
2010-04-27,1537.6339,1526.6455,1545.2474,1535.4061
2010-04-28,1511.1628,1500.4959,1518.5753,1509.0604
2010-04-29,1484.5323,1473.9309,1491.6343,1482.2223
2010-04-30,1457.2422,1446.8896,1463.7786,1454.9165
2010-05-03,1429.5951,1420.0174,1436.1391,1427.5069
2010-05-04,1402.3063,1392.7388,1408.2304,1399.8343
2010-05-05,1374.0071,1365.057,1379.941,1372.1624
2010-05-06,1346.1675,1337.6727,1352.1083,1344.8036
2010-05-07,1318.6407,1310.249,1324.4955,1317.3607
2010-05-10,1291.1454,1283.0021,1296.9608,1289.8792
