date,open,low,high,close
2010-01-04,3297.9773,3280.4955,3307.5409,3296.8409
2010-01-05,3296.4909,3280.1909,3306.2409,3296.2909
2010-01-06,3295.7182,3280.4636,3305.3227,3295.9909
2010-01-07,3295.1591,3281.0955,3304.8818,3296.0045
2010-01-08,3295.0182,3282.1773,3304.7955,3296.4273
2010-01-11,3295.5864,3283.5591,3305.3318,3297.1773
2010-01-12,3296.5455,3285.0409,3306.2773,3297.9591
2010-01-13,3297.7545,3286.7455,3307.5727,3298.9364
2010-01-14,3299.4,3288.7273,3309.2727,3300.2909
2010-01-15,3301.5,3290.3909,3311.4227,3301.4773
2010-01-19,3303.6455,3291.9455,3313.8909,3303.0591
2010-01-20,3306.3864,3293.6136,3317.7864,3305.7909
2010-01-21,3279.1875,3265.4319,3291.8857,3278.8793
2010-01-22,3222.2469,3207.5989,3236.2421,3222.2958
2010-01-25,3135.7015,3120.0634,3150.8555,3135.9745
2010-01-26,3019.2046,3002.7085,3035.4795,3019.7169
2010-01-27,2872.8194,2855.6891,2890.0925,2873.7625
2010-01-28,2696.7063,2679.0996,2714.8327,2698.3468
2010-01-29,2490.9436,2472.9867,2509.8846,2493.4623
2010-02-01,2255.5064,2238.0204,2275.3229,2259.6678
2010-02-02,1990.7482,1974.4759,2010.9809,1996.6235
2010-02-03,1696.203,1681.5465,1715.3663,1702.4642
2010-02-04,1401.1685,1388.3355,1418.1823,1406.9494
2010-02-05,1135.7086,1124.595,1150.5618,1140.8959
2010-02-08,899.6998,890.3304,912.5319,904.4633
2010-02-09,693.3084,685.6367,704.1135,697.6642
2010-02-10,516.589,510.4383,525.4691,520.502
2010-02-11,369.3267,364.6257,376.4295,372.7178
2010-02-12,251.5341,248.1574,256.9269,254.2675
2010-02-16,163.1373,160.9536,166.7914,165.1099
2010-02-17,104.1755,102.4945,106.0853,104.7917
2010-02-18,74.3142,73.0291,75.043,74.0987
2010-02-19,74.4837,73.2936,75.2056,74.3855
2010-02-22,74.6929,73.6052,75.4231,74.7276
2010-02-23,74.9563,73.9513,75.6873,75.083
2010-02-24,75.2406,74.2992,75.9746,75.4362
2010-02-25,75.5167,74.6321,76.2599,75.7753
2010-02-26,75.8284,74.9705,76.564,76.1178
2010-03-01,76.1425,75.3291,76.8796,76.4792
2010-03-02,76.4914,75.7326,77.2544,76.8792
2010-03-03,76.9032,76.1751,77.7071,77.3343
2010-03-04,77.372,76.6724,78.2179,77.8375
2010-03-05,77.8938,77.2115,78.7547,78.3621
2010-03-08,78.429,77.7496,79.2727,78.8603
2010-03-09,78.9307,78.2544,79.7567,79.3342
2010-03-10,79.4115,78.7299,80.216,79.7851
2010-03-11,79.8731,79.1861,80.6545,80.2161
2010-03-12,80.3209,79.626,81.0735,80.621
2010-03-15,80.742,80.0453,81.4668,80.997
2010-03-16,81.1372,80.432,81.8211,81.3414
2010-03-17,81.4844,80.7838,82.111,81.6387
2010-03-18,81.7805,81.0835,82.3325,81.8722
2010-03-19,82.0033,81.3144,82.49,82.0389
2010-03-22,82.1478,81.4745,82.5998,82.1598
2010-03-23,82.2515,81.5925,82.6755,82.2501
2010-03-24,82.3195,81.6768,82.7195,82.3045
2010-03-25,82.3596,81.7349,82.7365,82.3311
2010-03-26,82.3664,81.761,82.7201,82.3223
2010-03-29,82.34,81.761,82.6745,82.2905
2010-03-30,82.2866,81.7338,82.6175,82.2499
2010-03-31,82.2216,81.6867,82.552,82.1843
2010-04-01,82.1382,81.6194,82.4857,82.1164
2010-04-05,82.0589,81.5485,82.4172,82.0433
