date,open,low,high,close
2010-01-04,3290.6,3283.6667,3304.4333,3294.2
2010-01-05,3301.2333,3292.7667,3314.6,3306.4
2010-01-06,3311.0667,3300.5333,3320.6333,3310.1667
2010-01-07,3313.2333,3304.6333,3324.4667,3316.2667
2010-01-08,3318.2667,3309.6,3325.4,3319.8
2010-01-11,3323.7,3309.9,3331.3,3321.9333
2010-01-12,3320.0,3306.7333,3330.4667,3314.8
2010-01-13,3316.8667,3303.9,3328.4667,3309.4667
2010-01-14,3314.3333,3299.4333,3322.2667,3304.1333
2010-01-15,3313.4667,3277.1,3318.7667,3283.4667
2010-01-19,3300.2,3268.8667,3323.5333,3296.1333
2010-01-20,3324.0,3289.5,3383.5,3356.3333
2010-01-21,2241.8433,2217.6367,2288.7433,2270.3733
2010-01-22,1376.268,1360.656,1410.5713,1398.692
2010-01-25,726.026,718.1713,747.6813,741.784
2010-01-26,291.302,286.7553,300.31,296.4733
2010-01-27,71.6727,68.9947,72.0267,69.8827
2010-01-28,71.778,69.8667,72.5947,71.0647
2010-01-29,72.6993,71.53,74.392,73.0713
2010-02-01,74.5907,72.9227,75.958,74.316
2010-02-02,75.3647,73.9853,76.4987,75.156
2010-02-03,75.624,74.3253,76.3867,75.112
2010-02-04,75.1967,73.6827,75.556,74.2847
2010-02-05,74.1287,72.876,74.7013,73.8533
2010-02-08,73.794,72.6967,74.39,73.8327
2010-02-09,73.956,72.9533,74.3853,73.9907
2010-02-10,74.1233,73.394,74.434,74.1773
2010-02-11,74.3367,73.7947,75.2807,75.1167
2010-02-12,75.3867,74.1953,76.2807,75.854
2010-02-16,75.6867,74.7587,76.436,76.086
2010-02-17,76.014,75.0707,76.564,76.2633
2010-02-18,76.1833,75.42,76.676,76.456
2010-02-19,76.386,75.8753,77.5307,77.2007
2010-02-22,77.334,76.7807,78.462,78.082
2010-02-23,78.1467,77.656,79.2347,78.6493
2010-02-24,78.8113,78.2527,79.7273,79.1867
2010-02-25,79.0893,78.5647,79.7807,79.402
2010-02-26,79.3953,78.8487,79.914,79.6767
2010-03-01,79.6047,78.9727,80.5787,80.452
2010-03-02,80.5333,79.5787,81.3833,80.6907
2010-03-03,80.9527,80.0667,82.15,81.548
2010-03-04,81.8307,80.982,82.7667,82.0973
2010-03-05,82.4733,81.778,83.1447,82.6547
2010-03-08,83.0,82.2693,83.3647,82.8067
