date,open,low,high,close
2010-01-04,50.5588,49.7407,50.8014,49.881
2010-01-05,49.5289,48.6117,49.8843,48.9126
2010-01-06,48.7057,47.8908,49.024,48.0319
2010-01-07,48.0748,47.4359,48.3179,47.7314
2010-01-08,47.7149,47.2209,47.9187,47.4521
2010-01-11,47.5622,47.0141,47.8581,47.6167
2010-01-12,47.7819,47.2317,48.007,47.7891
2010-01-13,47.9026,47.6238,48.1901,47.9902
2010-01-14,47.9505,47.8276,48.4782,48.3663
2010-01-15,48.2094,47.8707,48.4764,48.2849
2010-01-19,48.0835,47.9398,48.7238,48.5793
2010-01-20,48.2349,48.0605,48.7478,48.6925
2010-01-21,48.5083,47.8963,48.7531,48.5647
2010-01-22,48.4323,47.8449,48.6874,48.2019
2010-01-25,48.3815,47.9181,48.6395,48.3115
2010-01-26,48.4466,48.2142,49.0806,48.4356
2010-01-27,48.447,48.2498,49.0554,48.7313
2010-01-28,48.762,48.4023,49.1292,48.8158
2010-01-29,48.8284,48.5232,49.4465,49.0995
2010-02-01,49.157,48.7476,49.4657,49.1056
2010-02-02,49.2422,48.6932,49.6103,49.3988
2010-02-03,49.8877,49.0209,50.0623,49.6026
2010-02-04,49.5548,48.472,50.0329,48.8495
2010-02-05,48.9296,47.8511,49.4518,48.546
2010-02-08,48.7974,47.9651,49.091,48.376
2010-02-09,48.7578,48.1652,48.9995,48.5098
2010-02-10,48.6749,48.2568,48.93,48.6404
2010-02-11,48.713,48.2635,48.9335,48.7095
2010-02-12,48.4941,48.1283,48.8536,48.7647
2010-02-16,48.853,48.1728,49.1832,49.172
2010-02-17,49.1622,48.7879,49.576,49.5329
2010-02-18,49.126,48.9781,50.2011,50.034
2010-02-19,49.5615,49.3973,50.521,50.3274
2010-02-22,50.0449,49.9539,50.7852,50.637
2010-02-23,50.397,50.2509,50.8455,50.5538
2010-02-24,50.2893,50.1472,50.6794,50.5097
2010-02-25,50.2005,50.0959,50.5901,50.4924
2010-02-26,50.4276,50.0235,50.6148,50.26
2010-03-01,50.261,50.0499,50.582,50.3711
2010-03-02,50.4269,50.2049,50.5805,50.3826
2010-03-03,50.442,50.1466,50.7253,50.4952
2010-03-04,50.4474,50.19,50.8991,50.718
2010-03-05,50.7379,50.4459,51.292,51.1873
2010-03-08,51.1817,51.0157,51.7553,51.6128
2010-03-09,51.4532,50.666,51.7339,51.0527
2010-03-10,51.0824,50.1567,51.1929,50.4624
2010-03-11,50.3506,49.7773,50.7288,50.3086
2010-03-12,50.4087,49.8945,50.596,50.2104
2010-03-15,50.208,49.8773,50.7207,50.5045
2010-03-16,50.5556,50.2454,51.0061,50.9192
2010-03-17,51.0595,50.8463,51.5845,51.2747
2010-03-18,51.278,50.9692,51.6577,51.4688
2010-03-19,51.7631,51.4329,52.3072,52.2163
2010-03-22,52.2106,51.8286,52.5428,52.4523
2010-03-23,52.4927,52.0936,52.7872,52.7547
2010-03-24,52.6989,52.4409,53.1639,52.943
2010-03-25,53.0307,52.6763,53.2998,52.9031
