date,open,low,high,close
2010-01-04,50.2549,49.829,50.6558,50.2107
2010-01-05,50.1736,49.7246,50.5779,50.1107
2010-01-06,50.0735,49.6151,50.4722,49.9833
2010-01-07,49.9606,49.5032,50.3492,49.8754
2010-01-08,49.8494,49.3967,50.2282,49.7595
2010-01-11,49.7445,49.2847,50.1239,49.6742
2010-01-12,49.6687,49.2044,50.0379,49.5979
2010-01-13,49.5946,49.1501,49.9629,49.5331
2010-01-14,49.5212,49.0964,49.9066,49.4939
2010-01-15,49.4709,49.039,49.8385,49.4313
2010-01-19,49.3992,48.9883,49.7952,49.4015
2010-01-20,49.3499,48.9474,49.7442,49.3692
2010-01-21,49.3197,48.8885,49.6952,49.3224
2010-01-22,49.2714,48.8359,49.6427,49.2525
2010-01-25,49.225,48.7947,49.5919,49.2129
2010-01-26,49.1891,48.7779,49.5845,49.1806
2010-01-27,49.1521,48.7511,49.5545,49.1698
2010-01-28,49.1447,48.7379,49.5343,49.1532
2010-01-29,49.1289,48.7292,49.5399,49.1589
2010-02-01,49.1401,48.7356,49.5326,49.1521
2010-02-02,49.1435,48.727,49.5383,49.172
2010-02-03,49.2004,48.7511,49.5774,49.1958
2010-02-04,49.196,48.711,49.5917,49.1439
2010-02-05,49.1543,48.6451,49.557,49.1042
2010-02-08,49.1331,48.6215,49.5206,49.0654
2010-02-09,49.1154,48.6102,49.4947,49.0476
2010-02-10,49.0927,48.5975,49.4676,49.035
2010-02-11,49.0779,48.5815,49.4448,49.0226
2010-02-12,49.0424,48.5541,49.4153,49.0122
2010-02-16,49.0501,48.5383,49.4194,49.0355
2010-02-17,49.0672,48.575,49.4419,49.0704
2010-02-18,49.0658,48.5977,49.4999,49.1313
2010-02-19,49.1051,48.648,49.5545,49.1927
2010-02-22,49.1648,48.7262,49.6162,49.2663
2010-02-23,49.2309,48.802,49.6696,49.3162
2010-02-24,49.2694,48.8531,49.7047,49.3656
2010-02-25,49.3051,48.9042,49.7396,49.4146
2010-02-26,49.3643,48.9503,49.7801,49.4427
2010-03-01,49.3963,49.001,49.8152,49.4909
2010-03-02,49.4501,49.0624,49.8506,49.5328
2010-03-03,49.4955,49.1091,49.8974,49.5824
2010-03-04,49.5391,49.1609,49.9507,49.6442
2010-03-05,49.6065,49.2311,50.0282,49.7343
2010-03-08,49.6964,49.3364,50.1249,49.836
2010-03-09,49.7859,49.38,50.1944,49.865
2010-03-10,49.827,49.3946,50.2157,49.8686
2010-03-11,49.8208,49.3998,50.2217,49.8868
2010-03-12,49.8549,49.4325,50.2377,49.902
2010-03-15,49.8664,49.4558,50.2696,49.9463
2010-03-16,49.9168,49.5106,50.3184,50.0104
2010-03-17,49.9921,49.5979,50.4019,50.0831
2010-03-18,50.0593,49.6638,50.4608,50.1532
2010-03-19,50.1564,49.7627,50.5715,50.2774
2010-03-22,50.2664,49.8708,50.668,50.3824
2010-03-23,50.3763,49.9801,50.772,50.4999
2010-03-24,50.4877,50.104,50.8943,50.616
2010-03-25,50.6151,50.2282,51.0068,50.7162
2010-03-26,50.7158,50.3404,51.1192,50.8159
2010-03-29,50.8092,50.4404,51.2036,50.9073
2010-03-30,50.9054,50.5448,51.281,50.9903
2010-03-31,50.9875,50.626,51.3453,51.0542
2010-04-01,51.0584,50.7145,51.4173,51.1404
2010-04-05,51.1448,50.7987,51.4969,51.2096
2010-04-06,51.2182,50.8763,51.5658,51.2838
2010-04-07,51.2822,50.9467,51.668,51.3948
2010-04-08,51.3811,51.0469,51.7549,51.4877
2010-04-09,51.4869,51.1529,51.8503,51.583
2010-04-12,51.5764,51.2371,51.9259,51.6545
2010-04-13,51.6404,51.3178,52.0032,51.7397
2010-04-14,51.738,51.4223,52.0957,51.8446
2010-04-15,51.8288,51.51,52.17,51.918
2010-04-16,51.9011,51.5583,52.2442,51.9523
2010-04-19,51.9166,51.5832,52.2586,51.9751
2010-04-20,51.9417,51.5996,52.2811,52.0109
