date,open,low,high,close
2010-01-04,50.1516,48.1263,49.4074,47.361
2010-01-05,46.1085,44.8253,45.5585,44.8689
2010-01-06,45.1446,44.3732,44.0722,43.4739
2010-01-07,44.4151,44.0262,43.0527,44.2018
2010-01-08,44.2522,44.0262,42.8758,43.6256
2010-01-11,44.3046,43.5338,43.5303,45.0142
2010-01-12,45.5897,45.0801,44.3331,45.2852
2010-01-13,45.5018,46.3362,44.7508,45.7243
2010-01-14,45.3672,46.2398,45.6765,46.9788
2010-01-15,46.4502,45.9213,44.9293,45.7527
2010-01-19,45.3214,46.1553,46.252,47.4042
2010-01-20,46.385,46.5999,45.7398,47.2109
2010-01-21,47.3015,45.5458,45.7139,46.4101
2010-01-22,46.3455,45.7606,45.3968,45.1718
2010-01-25,46.3215,46.3192,45.343,46.7141
2010-01-26,46.802,47.7301,47.9961,47.0199
2010-01-27,46.6508,47.1225,46.6953,48.1569
2010-01-28,48.2783,47.8955,47.2259,47.8231
2010-01-29,47.8059,48.1443,48.7942,49.0491
2010-02-01,49.3313,49.0794,48.0476,48.3866
2010-02-02,48.9239,48.1882,48.8503,49.8862
2010-02-03,51.9105,50.2276,50.9146,50.1612
2010-02-04,48.7228,46.5541,49.5184,46.1838
2010-02-05,46.8303,45.0605,46.749,46.7499
2010-02-08,47.8555,47.4857,46.5601,46.6995
2010-02-09,47.9908,48.1605,47.1235,47.8241
2010-02-10,47.6862,48.0504,46.9824,48.0834
2010-02-11,48.0805,47.826,47.177,48.0562
2010-02-12,46.9399,47.1209,46.708,48.1465
2010-02-16,49.322,47.7842,48.8591,50.1606
2010-02-17,49.8652,50.9681,50.0498,50.9085
2010-02-18,48.8977,50.2272,52.298,52.5106
2010-02-19,51.1396,51.9189,52.2658,52.705
2010-02-22,52.3284,53.6179,52.8606,53.5684
2010-02-23,52.8147,53.6991,52.4916,52.274
2010-02-24,51.3994,52.3518,51.4207,52.3891
2010-02-25,51.3429,52.494,51.5158,52.5066
2010-02-26,52.7274,52.3338,51.9978,51.2736
2010-03-01,51.2882,52.7478,51.7516,52.5956
2010-03-02,52.563,53.5458,51.8851,52.3308
2010-03-03,52.2127,52.7339,52.7896,52.9383
2010-03-04,52.2399,53.1889,53.3888,53.8431
2010-03-05,53.6738,54.4773,55.1718,55.7065
2010-03-08,55.0576,56.7218,56.6259,56.6325
2010-03-09,55.2645,52.8011,54.8402,51.9417
2010-03-10,52.4772,51.0839,51.5082,50.4314
2010-03-11,49.8144,50.5323,50.5159,51.3203
2010-03-12,52.0162,52.2084,51.214,51.1947
2010-03-15,50.8171,51.7041,52.3306,52.9932
2010-03-16,52.9142,53.6281,53.5493,54.2682
2010-03-17,54.2961,55.5785,55.8639,54.9368
2010-03-18,54.0347,54.437,54.3294,54.9931
2010-03-19,55.6879,56.3799,57.5207,58.1535
2010-03-22,56.5367,57.1149,56.8657,57.2107
2010-03-23,56.796,57.4446,57.5542,58.1388
2010-03-24,57.1299,58.4772,58.8477,58.3703
2010-03-25,58.172,58.8023,58.5428,57.6078
2010-03-26,56.8198,58.3696,58.8435,57.8498
2010-03-29,56.659,57.8602,57.0677,57.5875
2010-03-30,57.0332,58.366,56.8382,57.2831
2010-03-31,56.4006,56.9996,56.1055,56.1044
2010-04-01,55.8986,57.632,56.7674,57.6052
2010-04-05,56.9211,57.632,57.4553,56.6126
2010-04-06,56.3031,57.4388,56.8901,57.1083
2010-04-07,55.8883,57.1637,59.1005,59.4291
2010-04-08,57.9537,59.1148,58.2429,58.4136
2010-04-09,58.5659,59.7235,58.9984,58.8024
2010-04-12,57.7395,58.3465,57.7213,57.2726
2010-04-13,56.2185,58.3755,58.0518,58.2718
2010-04-14,58.1889,60.0008,59.2111,59.6275
2010-04-15,58.046,59.0058,58.0301,57.5154
2010-04-16,57.005,56.1413,58.2437,54.823
2010-04-19,53.3189,54.5201,53.6445,54.1112
2010-04-20,53.9078,53.9626,54.2248,54.9805
2010-04-21,55.0706,54.7224,54.6453,54.0392
2010-04-22,52.5766,53.148,52.8821,53.1419
2010-04-23,53.03,53.3447,55.2943,55.9335
2010-04-26,55.6138,55.9672,55.5123,54.2235
2010-04-27,53.608,53.5139,53.5235,53.3521
2010-04-28,55.8627,56.423,57.0445,56.9036
2010-04-29,52.7497,54.4612,57.946,55.1467
2010-04-30,54.4434,54.9577,54.9171,55.2855
2010-05-03,54.4434,55.3687,54.8812,54.1847
2010-05-04,52.6937,52.4914,52.3218,51.584
2010-05-05,50.2781,51.5862,51.9812,52.1211
2010-05-06,51.6269,44.3512,50.8938,47.226
2010-05-07,47.2925,47.3904,48.6747,47.0052
2010-05-10,50.6562,50.0751,49.9903,50.0029
2010-05-11,48.462,49.0064,49.5991,50.2626
2010-05-12,51.1735,52.4175,55.7802,55.9012
2010-05-13,54.5634,55.9474,56.6925,55.6914
2010-05-14,53.9592,54.1174,54.454,53.655
2010-05-17,53.9801,53.2504,53.9718,54.3498
2010-05-18,54.1297,53.3201,54.6039,52.7284
2010-05-19,52.4081,52.5167,54.0086,52.9341
2010-05-20,50.8691,46.9754,51.0585,45.6278
2010-05-21,44.853,45.3054,44.3292,45.5828
2010-05-24,48.3071,45.1366,46.8931,43.8327
2010-05-25,44.1189,42.1188,42.358,42.8919
2010-05-26,45.9021,43.9881,43.7261,42.2994
2010-05-27,45.0114,45.2549,44.9325,46.0657
2010-05-28,46.7835,45.9676,44.8449,44.6575
2010-06-01,45.7748,44.7318,44.9275,43.4014
2010-06-02,44.7344,43.8453,43.8713,45.422
2010-06-03,46.1542,46.6079,46.1902,47.3256
2010-06-04,46.2364,44.695,44.5497,43.9149
2010-06-07,45.2282,44.744,43.55,44.0403
2010-06-08,45.069,44.2021,44.7389,46.2103
2010-06-09,46.9824,46.6797,46.5901,46.3558
2010-06-10,47.9534,48.7814,48.1897,49.1753
2010-06-11,48.8529,49.6097,49.8061,50.5741
2010-06-14,50.8335,50.9295,50.9175,50.8604
2010-06-15,50.8133,51.4296,52.3754,52.8633
2010-06-16,52.1006,53.1543,52.3988,52.3689
2010-06-17,52.1006,53.0589,52.6847,53.3072
2010-06-18,53.0792,54.218,54.3491,54.4166
2010-06-21,55.6444,55.4289,55.8304,54.996
2010-06-22,54.1269,55.835,56.184,55.2875
2010-06-23,54.1049,54.0421,54.263,53.7077
2010-06-24,52.5754,53.8921,53.5285,53.4802
2010-06-25,53.7628,52.9871,54.4191,54.3831
2010-06-28,54.0483,54.5526,54.8627,54.7783
2010-06-29,53.0406,51.338,52.7297,50.7451
2010-06-30,50.9201,51.1273,51.0892,50.0641
2010-07-01,50.3096,49.1948,49.6084,49.4075
2010-07-02,49.9706,49.2884,49.5323,48.5446
2010-07-06,50.1214,48.8727,49.5588,48.6193
2010-07-07,48.8695,49.8132,49.9893,51.1157
2010-07-08,51.7869,51.7955,51.0341,51.8839
2010-07-09,57.6167,57.6488,58.7034,57.0637
2010-07-12,55.7072,57.5746,57.7159,57.6878
2010-07-13,56.8445,58.8771,58.9933,59.2704
2010-07-14,57.7791,58.3413,58.7971,57.5255
2010-07-15,55.792,56.4107,56.6708,57.0192
2010-07-16,54.8353,54.6522,56.3181,53.9276
2010-07-19,53.4059,53.3439,53.4074,52.9765
2010-07-20,51.328,52.3118,52.5788,53.347
2010-07-21,53.2465,51.8544,53.6078,50.9892
2010-07-22,51.7121,52.4724,51.6102,51.9202
2010-07-23,51.052,52.1881,51.4627,51.555
2010-07-26,51.0138,52.4742,51.5101,51.7074
2010-07-27,51.6624,53.2467,52.4387,53.1126
2010-07-28,51.756,51.1748,51.6582,51.9207
2010-07-29,52.7874,51.853,52.5041,51.9207
2010-07-30,51.2946,51.8283,51.7871,52.1691
2010-08-02,52.8495,53.0177,52.695,52.5803
2010-08-03,51.7671,53.1318,52.2586,52.7193
2010-08-04,52.4642,54.2042,54.1104,54.8239
2010-08-05,53.3794,54.5897,54.1344,53.4848
2010-08-06,51.8743,51.9264,52.04,53.0161
2010-08-09,52.5038,53.9348,53.7055,54.4712
2010-08-10,53.0762,54.0912,54.2566,54.3633
2010-08-11,52.5565,51.1148,52.126,49.9712
2010-08-12,49.3363,49.5608,50.4376,51.2326
2010-08-13,50.8029,52.1108,52.3425,52.2613
2010-08-16,51.2139,51.7722,51.7595,52.4897
2010-08-17,53.5816,54.4396,54.6554,54.7757
2010-08-18,53.6554,54.2894,54.519,54.3849
2010-08-19,52.9856,52.6743,52.6843,51.6626
2010-08-20,51.332,52.1359,51.2029,52.0953
2010-08-23,51.9239,52.8769,52.0043,52.0199
2010-08-24,50.6601,50.612,50.2847,50.5199
2010-08-25,50.3667,50.3978,51.0771,51.7332
2010-08-26,51.6787,52.1744,51.4245,51.8519
2010-08-27,51.9636,51.8774,53.0843,53.9433
2010-08-30,53.3343,52.751,53.057,51.6182
2010-08-31,50.9026,51.1715,50.9313,51.712
2010-09-01,52.6192,53.4627,53.7915,54.3242
2010-09-02,54.056,54.8608,53.9764,54.0894
2010-09-03,54.4152,55.0526,55.0379,55.6411
2010-09-07,54.5112,54.1353,54.4222,52.9523
2010-09-08,52.8893,54.5569,54.9392,54.7425
2010-09-09,56.4287,57.3503,57.2237,56.833
2010-09-10,56.1996,57.1592,56.96,56.8069
2010-09-13,55.897,57.7166,58.1052,58.0531
2010-09-14,57.294,59.0915,59.7729,59.3513
2010-09-15,57.8805,59.41,60.5077,60.0048
2010-09-16,58.5353,60.6474,60.5692,60.155
2010-09-17,59.427,61.0533,61.5127,60.3648
2010-09-20,59.35,61.5377,62.6871,62.0425
2010-09-21,61.0414,62.7172,63.0594,61.7743
2010-09-22,60.1766,60.037,62.1555,58.6539
2010-09-23,57.2045,58.0703,58.4328,56.5383
2010-09-24,57.3328,59.1992,60.2086,58.8787
2010-09-27,58.0328,59.4392,59.4123,57.6061
2010-09-28,57.7515,58.7305,59.9967,59.2074
2010-09-29,57.9794,59.2086,58.4552,57.4275
2010-09-30,58.268,60.2556,60.3565,58.3897
2010-10-01,59.6331,59.0964,60.016,58.2309
2010-10-04,57.6195,59.3287,58.8095,57.9883
2010-10-05,58.5759,59.3502,61.0732,60.6071
2010-10-06,60.1441,61.7777,60.7,59.5199
2010-10-07,60.007,61.0112,60.7615,59.2745
2010-10-08,59.0411,60.7535,59.6135,58.9973
2010-10-11,58.7639,61.1324,60.1074,59.5215
2010-10-12,58.7074,60.6652,60.959,60.4998
2010-10-13,53.8454,55.4922,54.4338,53.805
2010-10-14,53.9096,55.5739,55.3734,54.4512
2010-10-15,59.612,60.9312,59.5676,58.5744
2010-10-18,59.308,60.9017,60.2374,59.8017
2010-10-19,59.4318,59.7723,60.6093,57.435
2010-10-20,58.493,60.3479,61.0575,59.3675
2010-10-21,60.9034,61.723,61.3394,59.0357
2010-10-22,59.9136,61.8377,61.3586,58.9151
2010-10-25,60.3828,62.4532,61.5343,59.4923
2010-10-26,59.9034,61.9727,62.1038,60.3985
2010-10-27,60.066,60.2606,60.5502,58.3889
2010-10-28,60.504,58.3917,60.878,56.5773
2010-10-29,57.0035,58.3613,57.1067,55.9448
2010-11-01,57.2359,59.2543,59.4543,57.5318
2010-11-02,58.8338,60.9311,59.5146,58.0078
2010-11-03,58.89,59.2736,59.2734,57.9338
2010-11-04,59.9566,61.4261,62.2549,60.8692
2010-11-05,61.4502,62.4066,62.4035,59.9217
2010-11-08,60.3924,60.3699,60.2449,58.044
2010-11-09,58.7545,57.9595,58.5196,56.0101
2010-11-10,56.326,58.2099,58.2298,57.4853
2010-11-11,57.3942,58.1211,57.4706,55.3983
2010-11-12,55.5694,57.138,56.0298,54.6027
2010-11-15,55.3938,57.4512,56.7417,55.0988
2010-11-16,55.0623,54.0652,54.8903,52.5262
2010-11-17,52.866,53.7597,52.6408,52.7181
2010-11-18,54.2072,55.3818,55.4814,55.1005
2010-11-19,55.4857,56.4935,55.6977,55.4245
2010-11-22,55.0534,56.2587,54.8773,54.727
2010-11-23,53.1789,53.3328,53.3984,51.7738
2010-11-24,52.5669,53.5732,53.3984,53.4839
2010-11-26,52.6786,53.793,52.3991,51.8871
2010-11-29,51.3637,52.243,52.6203,52.5662
2010-11-30,52.3082,52.422,52.288,51.0273
2010-12-01,53.4393,53.6436,53.1229,52.8398
2010-12-02,53.5748,55.0732,54.5085,53.5017
2010-12-03,53.9868,53.9839,53.4382,52.6387
2010-12-06,52.9952,53.7189,52.3273,51.8644
2010-12-07,53.5159,53.9508,53.0713,52.2152
2010-12-08,52.6726,53.7054,52.6643,52.5305
2010-12-09,53.5682,53.7593,52.9813,52.7304
2010-12-10,54.0265,55.2559,54.7675,54.2713
2010-12-13,55.7927,57.4742,57.6381,55.548
2010-12-14,56.1612,57.7912,57.3891,54.9143
2010-12-15,55.5673,57.2191,56.9474,55.1089
2010-12-16,56.6945,58.0215,57.2846,56.4763
2010-12-17,57.8817,58.5202,57.504,55.4036
2010-12-20,58.0179,56.1594,57.5537,55.1837
2010-12-21,56.5183,57.5098,58.6207,56.8241
2010-12-22,58.2699,59.7188,59.2318,57.4704
2010-12-23,58.4956,60.1347,59.2565,57.4444
2010-12-27,58.0769,59.6783,58.8907,57.2589
2010-12-28,58.8894,60.0372,59.2519,57.7191
2010-12-29,59.2367,60.1827,59.7185,57.6914
2010-12-30,59.0321,60.1827,60.0055,57.878
2010-12-31,58.8931,60.1827,59.7277,57.531
2011-01-03,60.0749,60.4158,60.4784,57.5015
2011-01-04,58.2181,59.8171,59.7845,57.381
2011-01-05,57.7689,59.7362,59.0487,56.7404
2011-01-06,57.3846,58.4385,57.3593,55.9172
