,open,low,high,close
2010-01-04,50.4027,49.818,50.6913,50.038
2010-01-05,49.8227,49.0773,50.1653,49.3633
2010-01-06,49.1873,48.424,49.514,48.618
2010-01-07,48.5753,47.8847,48.85,48.1513
2010-01-08,48.0927,47.5227,48.34,47.778
2010-01-11,47.822,47.2927,48.1107,47.768
2010-01-12,47.8953,47.3787,48.1387,47.8753
2010-01-13,47.982,47.618,48.26,48.0393
2010-01-14,48.0467,47.8033,48.4787,48.3053
2010-01-15,48.2227,47.8967,48.54,48.334
2010-01-19,48.1813,47.9767,48.7053,48.5187
2010-01-20,48.25,48.0467,48.7467,48.6227
2010-01-21,48.4187,47.946,48.7587,48.5747
2010-01-22,48.4153,47.892,48.7147,48.344
2010-01-25,48.3927,47.914,48.6767,48.3527
2010-01-26,48.438,48.0847,48.9127,48.3827
2010-01-27,48.4307,48.152,48.9593,48.5673
2010-01-28,48.6107,48.2973,49.048,48.694
2010-01-29,48.7127,48.42,49.28,48.9393
2010-02-01,48.962,48.5927,49.3567,49.0093
2010-02-02,49.092,48.6073,49.4673,49.2207
2010-02-03,49.5407,48.8347,49.794,49.398
2010-02-04,49.464,48.566,49.8727,49.0187
2010-02-05,49.1233,48.144,49.5727,48.7527
2010-02-08,48.9413,48.0687,49.3007,48.5427
2010-02-09,48.8187,48.1167,49.1273,48.51
2010-02-10,48.6853,48.1627,48.9813,48.5647
2010-02-11,48.7093,48.24,48.9487,48.674
2010-02-12,48.608,48.2113,48.9207,48.75
2010-02-16,48.7893,48.2087,49.1153,49.0207
2010-02-17,49.0053,48.5547,49.3907,49.2993
2010-02-18,49.0593,48.7573,49.8567,49.698
2010-02-19,49.364,49.1107,50.2067,50.018
2010-02-22,49.75,49.58,50.5153,50.334
2010-02-23,50.0673,49.9107,50.6553,50.3873
2010-02-24,50.13,49.9613,50.608,50.4007
2010-02-25,50.1447,49.9913,50.5367,50.3887
2010-02-26,50.2687,49.9473,50.5293,50.2467
2010-03-01,50.1827,49.9353,50.502,50.278
2010-03-02,50.2773,50.0307,50.5093,50.3007
2010-03-03,50.3333,50.0473,50.618,50.386
2010-03-04,50.3687,50.1027,50.7587,50.5567
2010-03-05,50.5547,50.2833,51.0447,50.9087
2010-03-08,50.8907,50.6773,51.4227,51.2707
2010-03-09,51.158,50.5913,51.5467,51.0767
2010-03-10,51.0567,50.324,51.2967,50.714
2010-03-11,50.6287,50.0193,50.962,50.492
2010-03-12,50.52,49.9493,50.7407,50.2973
2010-03-15,50.2947,49.8613,50.6987,50.392
2010-03-16,50.43,50.0953,50.858,50.704
2010-03-17,50.794,50.546,51.2893,51.0407
2010-03-18,51.0727,50.772,51.4873,51.28
2010-03-19,51.4667,51.148,51.974,51.8273
2010-03-22,51.8787,51.5127,52.2553,52.118
2010-03-23,52.1727,51.7827,52.5093,52.4207
2010-03-24,52.4053,52.0873,52.8213,52.6513
2010-03-25,52.7047,52.354,53.0233,52.72
2010-03-26,52.7487,52.4673,53.156,52.742
2010-03-29,52.734,52.478,53.0967,52.7367
2010-03-30,52.7547,52.5247,52.9973,52.6873
2010-03-31,52.6947,52.4167,52.8353,52.5467
2010-04-01,52.5893,52.406,52.792,52.618
2010-04-05,52.658,52.4093,52.8507,52.5927
2010-04-06,52.6567,52.402,52.88,52.6373
2010-04-07,52.614,52.3713,53.1553,52.956
2010-04-08,52.848,52.5847,53.3027,53.1247
2010-04-09,53.114,52.8187,53.48,53.2733
2010-04-12,53.2293,52.8873,53.4947,53.2507
2010-04-13,53.1687,52.93,53.5227,53.312
2010-04-14,53.342,53.1293,53.6407,53.492
2010-04-15,53.428,53.1727,53.6493,53.47
2010-04-16,53.398,52.9613,53.67,53.2013
2010-04-19,53.0207,52.6547,53.3087,52.9207
2010-04-20,52.7867,52.352,53.0647,52.7787
2010-04-21,52.7233,52.194,52.9167,52.596
2010-04-22,52.456,51.9827,52.6853,52.426
2010-04-23,52.3433,51.89,52.786,52.6427
2010-04-26,52.6187,52.1207,52.9467,52.6653
2010-04-27,52.6193,52.094,52.8893,52.5893
2010-04-28,52.9013,52.3907,53.2207,52.9507
2010-04-29,52.8013,52.4513,53.592,53.062
2010-04-30,52.9033,52.5247,53.5713,53.1273
2010-05-03,52.95,52.5933,53.5333,53.082
2010-05-04,52.808,52.3833,53.2433,52.7587
2010-05-05,52.3847,52.0887,52.9253,52.5167
2010-05-06,52.252,51.0527,52.59,51.8207
2010-05-07,51.5773,50.568,52.16,51.266
2010-05-10,51.5207,50.566,51.986,51.2213
2010-05-11,51.2433,50.5387,51.8673,51.2953
2010-05-12,51.4573,51.028,52.5,52.1193
2010-05-13,52.1753,52.002,53.158,52.818
2010-05-14,52.712,52.456,53.4533,53.08
2010-05-17,53.0587,52.6187,53.5627,53.2693
2010-05-18,53.3233,52.696,53.6493,53.154
2010-05-19,53.1867,52.5493,53.5533,52.9907
2010-05-20,52.788,51.6227,53.176,51.9347
2010-05-21,51.5393,50.674,52.0727,51.1227
2010-05-24,51.0873,49.9433,51.506,50.2533
2010-05-25,50.0313,48.9407,50.426,49.5147
2010-05-26,49.5907,48.5113,49.8307,48.952
2010-05-27,49.202,48.5133,49.658,49.1427
2010-05-28,49.3207,48.6867,49.6527,49.1267
2010-06-01,49.2153,48.6633,49.6727,48.9627
2010-06-02,49.0193,48.5313,49.6093,49.0947
2010-06-03,49.052,48.74,49.7947,49.4387
2010-06-04,49.108,48.5733,49.6827,49.122
2010-06-07,48.9467,48.452,49.442,48.9133
2010-06-08,48.824,48.2973,49.3973,49.0427
2010-06-09,49.0373,48.514,49.6087,49.138
2010-06-10,49.3427,48.972,49.9753,49.6267
2010-06-11,49.7447,49.5053,50.522,50.2893
2010-06-14,50.4033,50.1027,51.0933,50.8073
2010-06-15,50.8773,50.602,51.6813,51.442
2010-06-16,51.3847,51.1633,52.07,51.81
2010-06-17,51.7213,51.5167,52.3413,52.146
2010-06-18,52.0853,51.922,52.7253,52.5307
2010-06-21,52.766,52.3807,53.2013,52.8873
2010-06-22,53.048,52.7633,53.5893,53.1593
2010-06-23,53.2033,52.7687,53.6367,53.146
2010-06-24,53.0467,52.7147,53.53,53.0513
2010-06-25,53.0647,52.5027,53.512,53.0773
2010-06-28,53.0927,52.5533,53.5413,53.1553
2010-06-29,53.0127,52.178,53.3293,52.6953
2010-06-30,52.632,51.888,52.988,52.254
2010-07-01,52.2453,51.392,52.526,51.8127
2010-07-02,51.8687,51.0353,52.1473,51.354
2010-07-06,51.6307,50.718,51.8927,51.0633
2010-07-07,51.32,50.69,51.824,51.284
2010-07-08,51.5953,50.9907,51.956,51.6067
2010-07-09,52.9167,52.2407,53.218,52.7033
2010-07-12,53.68,53.214,54.0993,53.6773
2010-07-13,54.4607,54.1653,54.9587,54.6587
2010-07-14,55.1807,54.7247,55.5133,55.0787
2010-07-15,55.2593,54.7453,55.5453,55.2113
2010-07-16,55.0067,54.3487,55.3453,54.7353
2010-07-19,54.588,53.8333,54.8207,54.1867
2010-07-20,53.8707,53.2713,54.2813,53.8113
2010-07-21,53.688,52.824,54.056,53.2513
2010-07-22,53.376,52.654,53.6893,53.02
2010-07-23,53.076,52.554,53.43,52.8747
2010-07-26,52.8907,52.5667,53.3,52.818
2010-07-27,52.898,52.7193,53.3473,53.0113
2010-07-28,52.904,52.5587,53.294,53.04
2010-07-29,53.1447,52.5113,53.4073,53.0353
2010-07-30,53.1033,52.4733,53.404,53.0633
2010-08-02,53.3253,52.614,53.5113,53.1293
2010-08-03,53.3007,52.7507,53.5293,53.186
2010-08-04,53.388,53.0433,53.8013,53.5627
2010-08-05,53.606,53.304,54.0067,53.684
2010-08-06,53.5553,53.148,53.9147,53.694
2010-08-09,53.5853,53.272,54.034,53.8853
2010-08-10,53.7193,53.382,54.194,54.0007
2010-08-11,53.722,53.0633,54.0353,53.4833
2010-08-12,53.194,52.5987,53.7033,53.2673
2010-08-13,53.0387,52.6293,53.7113,53.2527
2010-08-16,52.982,52.5973,53.628,53.2807
2010-08-17,53.3787,53.0273,53.9967,53.6973
2010-08-18,53.762,53.412,54.324,54.038
2010-08-19,53.9967,53.4807,54.352,53.8873
2010-08-20,53.8427,53.3767,54.12,53.7767
2010-08-23,53.7613,53.372,54.0173,53.65
2010-08-24,53.4467,53.0153,53.674,53.326
2010-08-25,53.1753,52.7307,53.5467,53.2833
2010-08-26,53.2193,52.8067,53.5507,53.3247
2010-08-27,53.3487,52.852,53.8113,53.658
2010-08-30,53.682,53.0267,54.0153,53.6327
2010-08-31,53.5973,52.9907,53.9253,53.624
2010-09-01,53.7853,53.2707,54.2093,53.9593
2010-09-02,54.1427,53.6733,54.4393,54.1827
2010-09-03,54.4753,54.02,54.746,54.57
2010-09-07,54.7333,54.15,54.9173,54.5507
2010-09-08,54.7053,54.292,55.114,54.7567
2010-09-09,55.2313,54.768,55.532,55.202
2010-09-10,55.5793,55.094,55.8166,55.548
2010-09-13,55.796,55.4313,56.1826,56.0027
2010-09-14,56.2027,55.9047,56.716,56.588
2010-09-15,56.6047,56.272,57.206,57.0793
2010-09-16,56.946,56.692,57.5333,57.4187
2010-09-17,57.3747,57.0707,57.9067,57.6793
2010-09-20,57.67,57.4027,58.3327,58.1167
2010-09-21,58.162,57.8127,58.6733,58.3827
2010-09-22,58.4,57.8047,58.8153,58.1987
2010-09-23,58.1447,57.5147,58.5007,57.76
2010-09-24,57.916,57.4433,58.4827,57.784
2010-09-27,57.8467,57.4207,58.3653,57.638
2010-09-28,57.746,57.3353,58.3853,57.8573
2010-09-29,57.7633,57.4013,58.2767,57.8693
2010-09-30,57.8787,57.638,58.5247,58.044
2010-10-01,58.1933,57.6693,58.6507,58.1053
2010-10-04,58.174,57.7213,58.6253,58.1273
2010-10-05,58.3127,57.7613,58.954,58.5807
2010-10-06,58.6853,58.1593,59.1753,58.8287
2010-10-07,58.9433,58.3827,59.314,58.956
2010-10-08,59.0,58.5347,59.2987,58.9993
2010-10-11,59.01,58.682,59.3427,59.0847
2010-10-12,58.9567,58.7133,59.4613,59.268
2010-10-13,58.2713,58.1303,58.838,58.5853
2010-10-14,57.7527,57.6887,58.4807,58.1407
2010-10-15,58.3753,58.2083,58.91,58.54
2010-10-18,58.888,58.6607,59.398,59.132
2010-10-19,59.3553,58.935,59.8827,59.3127
2010-10-20,59.628,59.2707,60.3907,59.8987
2010-10-21,60.1847,59.6773,60.73,60.2087
2010-10-22,60.3527,59.8933,60.872,60.3033
2010-10-25,60.572,60.1713,60.98,60.464
2010-10-26,60.6667,60.3327,61.1387,60.7833
2010-10-27,60.7433,60.232,61.082,60.7093
2010-10-28,60.822,59.9013,61.0753,60.39
2010-10-29,60.4613,59.6287,60.6513,60.03
2010-11-01,60.2,59.5587,60.6833,60.0273
2010-11-02,60.288,59.8153,60.7353,60.1427
2010-11-03,60.3873,59.892,60.788,60.294
2010-11-04,60.682,60.318,61.3473,61.0127
