date,open,low,high,close
2010-01-04,330.66,327.9481,334.0411,331.4099
2010-01-05,331.5905,328.8997,335.0162,332.4309
2010-01-06,332.44,329.774,335.6813,333.1336
2010-01-07,333.1057,330.5689,336.2936,333.8095
2010-01-08,333.7061,331.2478,337.6037,335.2867
2010-01-11,335.2693,332.6728,339.0728,336.6165
2010-01-12,336.557,333.4982,340.2373,337.1454
2010-01-13,337.2125,333.5946,340.6423,337.7249
2010-01-14,337.6685,334.2037,340.984,338.1082
2010-01-15,338.0572,334.47,341.1769,338.0256
2010-01-19,337.9613,334.4871,341.1706,338.0412
2010-01-20,337.5554,333.8893,340.6772,337.2744
2010-01-21,336.8997,331.2189,339.7241,334.774
2010-01-22,334.1626,329.0219,337.6551,332.6174
2010-01-25,332.4738,326.8826,335.7889,330.1767
2010-01-26,329.5048,322.9929,332.5348,325.9885
2010-01-27,325.5129,319.2421,329.0076,322.9734
2010-01-28,322.9384,316.3869,326.245,319.8816
2010-01-29,320.1452,313.4776,323.4007,316.7329
2010-02-01,317.0923,310.6255,320.4721,314.3031
2010-02-02,314.5283,308.4811,318.1147,312.2942
2010-02-03,312.4104,306.7287,316.0069,310.3719
2010-02-04,309.9427,302.8259,313.1967,306.4594
2010-02-05,306.2339,299.7949,310.2894,304.0156
2010-02-08,304.2116,297.9268,308.7218,301.7551
2010-02-09,302.3534,296.2395,306.7293,299.986
2010-02-10,300.3692,294.3043,304.3341,297.735
2010-02-11,298.4722,292.7686,302.6309,296.5288
2010-02-12,296.9977,291.6678,301.5784,296.0089
2010-02-16,296.8093,291.7471,301.2843,296.1176
2010-02-17,296.9465,291.7778,301.0039,295.8283
2010-02-18,296.5383,291.6566,300.3711,295.4342
2010-02-19,295.947,291.4512,300.192,295.0881
2010-02-22,295.3254,290.9178,299.5117,294.3216
2010-02-23,294.5744,289.5008,298.541,292.6309
2010-02-24,293.1168,288.4236,297.8495,292.4347
2010-02-25,292.539,288.2709,297.6448,292.7209
2010-02-26,292.9591,288.8032,298.0302,293.5751
2010-03-01,293.8221,289.6315,298.5026,294.2851
2010-03-02,294.5771,290.6267,299.8528,295.7303
2010-03-03,296.0364,291.7451,300.9273,296.695
2010-03-04,297.0568,292.7399,301.7161,297.726
2010-03-05,298.2895,294.2246,302.6851,298.9073
2010-03-08,299.4257,295.308,303.7627,300.2619
2010-03-09,300.5004,296.3472,304.452,301.0122
2010-03-10,301.1708,297.1846,304.8956,301.6681
2010-03-11,301.7212,298.0166,305.6941,302.774
2010-03-12,303.0764,299.4741,306.8613,303.8832
2010-03-15,304.01,300.4385,307.5945,304.861
2010-03-16,305.0253,301.5377,308.3941,305.7628
2010-03-17,305.9752,302.7722,309.2661,306.7378
2010-03-18,306.9862,303.4672,309.9636,307.1332
2010-03-19,307.7475,304.0532,310.4423,307.5624
2010-03-22,307.9706,304.53,310.7145,307.9479
2010-03-23,308.3543,304.8958,310.9226,308.1995
2010-03-24,308.4768,305.3009,311.9675,309.2186
2010-03-25,309.63,306.6151,313.2087,310.2311
2010-03-26,310.7129,307.3556,314.3174,310.752
2010-03-29,311.1974,307.9884,314.6681,311.2175
2010-03-30,311.6719,308.5133,314.9283,311.6873
2010-03-31,311.8889,308.9758,315.1794,312.1085
2010-04-01,312.5166,309.7762,315.8642,312.8324
2010-04-05,313.3569,310.3166,316.6295,313.2408
2010-04-06,313.461,310.3455,316.7886,313.5893
2010-04-07,313.4371,310.6135,316.9359,313.6579
2010-04-08,313.5307,310.6151,316.6972,313.4781
2010-04-09,313.3688,310.6203,316.4737,313.3469
2010-04-12,313.3613,310.5908,316.1848,313.0748
2010-04-13,313.1926,310.3183,315.7472,312.801
2010-04-14,312.9736,310.2261,316.1294,313.4361
2010-04-15,313.5628,310.9465,316.9142,314.1679
2010-04-16,314.0978,310.8649,317.31,313.9796
2010-04-19,313.9951,311.0316,317.8993,314.6548
2010-04-20,314.8946,311.7924,318.6413,315.1982
2010-04-21,315.4132,312.576,319.1245,315.8936
2010-04-22,315.992,313.3316,321.5108,317.9961
2010-04-23,318.088,315.1638,323.4383,319.6022
2010-04-26,319.6863,316.6968,325.7299,321.7115
2010-04-27,321.579,318.1542,327.6604,322.8114
2010-04-28,322.8753,317.7605,328.6442,323.5255
2010-04-29,323.8386,318.0224,329.5504,324.285
