date,open,low,high,close
2010-01-04,316.6227,314.8542,321.2654,316.7987
2010-01-05,317.6221,315.9147,322.2503,318.028
2010-01-06,318.8366,316.9928,323.0556,318.8627
2010-01-07,319.7108,317.841,323.7608,319.6315
2010-01-08,320.5049,318.6028,324.7946,320.77
2010-01-11,321.7354,319.6009,325.7468,321.7817
2010-01-12,322.7403,320.3435,326.7188,322.3052
2010-01-13,323.3827,320.6494,327.0519,322.7958
2010-01-14,323.8161,321.0987,327.4011,323.1334
2010-01-15,324.1714,321.3746,327.6885,323.3387
2010-01-19,324.3911,321.5681,327.8854,323.5709
2010-01-20,324.5259,321.6451,327.9943,323.6345
2010-01-21,324.596,321.5107,328.0134,323.5372
2010-01-22,324.4175,321.3963,327.9104,323.4496
2010-01-25,324.3677,321.2796,327.8436,323.3185
2010-01-26,324.1281,320.7751,327.4878,322.7986
2010-01-27,323.5801,320.4742,326.9914,322.4414
2010-01-28,323.3416,320.1798,326.6616,322.1533
2010-01-29,323.1004,319.8452,326.356,321.7126
2010-02-01,322.7568,319.4329,325.9958,321.4632
2010-02-02,322.4401,319.2069,325.7517,321.3113
2010-02-03,322.2315,318.9847,325.4837,321.0098
2010-02-04,321.8317,317.8469,324.8542,319.7835
2010-02-05,320.6436,316.7357,323.8334,318.9963
2010-02-08,320.0366,316.1103,323.4082,318.3347
2010-02-09,319.4733,315.5423,322.7284,317.6682
2010-02-10,318.7666,314.681,321.635,316.6499
2010-02-11,317.9498,313.9218,320.8598,316.1082
2010-02-12,317.2662,313.2021,320.2818,315.6999
2010-02-16,316.9696,312.8799,319.9139,315.4267
2010-02-17,316.6865,312.501,319.5293,315.0205
2010-02-18,316.2884,312.1345,319.0715,314.6058
2010-02-19,315.8368,311.7516,318.713,314.1862
2010-02-22,315.2743,311.1743,318.0858,313.601
2010-02-23,314.6757,310.2441,317.4149,312.6084
2010-02-24,313.7333,309.2921,316.7433,312.1441
2010-02-25,313.2172,308.8278,316.3123,311.8942
2010-02-26,312.9896,308.591,316.0549,311.7454
2010-03-01,312.8136,308.3916,315.8074,311.5695
2010-03-02,312.6322,308.2575,315.7586,311.5466
2010-03-03,312.5996,308.1679,315.6888,311.4719
2010-03-04,312.5146,308.0865,315.5838,311.4221
2010-03-05,312.484,308.0888,315.5305,311.4109
2010-03-08,312.4675,308.067,315.5193,311.4213
2010-03-09,312.4556,308.0529,315.4665,311.3873
2010-03-10,312.4027,308.0183,315.3771,311.3472
2010-03-11,312.3264,307.9896,315.3474,311.3702
2010-03-12,312.3678,308.0508,315.3794,311.4034
2010-03-15,312.3734,308.0697,315.3695,311.4316
2010-03-16,312.3945,308.108,315.3766,311.4603
2010-03-17,312.4168,308.1572,315.3996,311.4917
2010-03-18,312.4478,308.172,315.4098,311.4864
2010-03-19,312.4653,308.1849,315.4061,311.4877
