date,open,low,high,close
2010-01-04,73.38,78.252,69.6,69.95
2010-01-05,68.43,74.39,70.12,73.39
2010-01-06,67.51,66.9799,58.11,61.91
2010-01-07,59.85,70.7,61.6,67.75
2010-01-08,67.55,68.3375,71.63,74.77
2010-01-11,73.67,70.43,70.159,70.02
2010-01-12,66.6,70.83,69.08,68.03
2010-01-13,71.6,63.5099,62.79,70.53
2010-01-14,62.125,76.96,64.2601,65.75
2010-01-15,65.75,71.05,67.0099,66.4
2010-01-19,66.64,67.43,66.72,68.07
2010-01-20,67.7,69.92,67.99,63.43
2010-01-21,64.67,42.63,58.88,41.78
2010-01-22,34.2,37.55,33.792,35.34
2010-01-25,33.23,32.719,34.86,28.16
2010-01-26,20.79,9.91,17.8,3.45
2010-01-27,8.36,7.85,8.69,15.39
2010-01-28,19.25,13.0419,18.55,11.47
2010-01-29,12.31,15.84,14.37,13.69
2010-02-01,12.07,8.49,0.93,5.25
2010-02-02,8.63,6.57,7.82,10.28
2010-02-03,11.44,15.21,11.4824,16.11
2010-02-04,7.0,-11.77,-0.95,-12.73
2010-02-05,-13.2,-11.62,-6.18,-4.3
2010-02-08,-0.1,2.41,8.33,-0.74
2010-02-09,8.01,11.19,10.35,13.55
2010-02-10,10.82,9.01,8.1,7.38
2010-02-11,15.25,14.08,16.59,16.55
2010-02-12,15.63,15.3,18.3531,19.18
2010-02-16,19.02,21.15,20.4899,21.03
2010-02-17,20.32,25.07,19.575,25.03
2010-02-18,23.66,23.495,23.5201,23.14
2010-02-19,22.33,23.0,21.01,15.54
2010-02-22,13.47,13.45,13.049,9.14
2010-02-23,9.43,-1.97,3.1299,-9.02
2010-02-24,-2.73,-2.89,-1.22,-0.47
2010-02-25,-2.16,8.16,-1.09,16.27
2010-02-26,18.43,17.22,15.7695,23.92
2010-03-01,22.3,29.07,20.5,29.56
2010-03-02,31.7,38.5315,41.49,38.96
2010-03-03,35.13,32.12,33.665,33.23
2010-03-04,35.58,34.09,33.21,33.45
2010-03-05,35.51,37.8,35.41,34.48
2010-03-08,35.03,33.1,36.43,38.34
2010-03-09,36.91,35.62,32.74,30.18
2010-03-10,28.07,29.14,21.62,23.56
2010-03-11,21.95,23.14,20.69,21.71
2010-03-12,23.41,22.31,21.35,21.12
2010-03-15,17.92,16.4508,8.6,10.15
2010-03-16,9.67,11.4592,6.9901,9.73
2010-03-17,9.97,11.98,4.13,4.73
2010-03-18,3.59,4.07,1.59,4.79
2010-03-19,9.47,14.55,7.99,13.25
2010-03-22,13.11,18.8,15.59,18.14
2010-03-23,17.75,14.17,3.1,1.51
2010-03-24,1.64,5.93,9.7141,13.22
2010-03-25,14.316,19.1,16.2,11.66
2010-03-26,18.0975,21.91,21.85,23.18
2010-03-29,26.8,26.5,15.735,22.852
2010-03-30,21.14,23.38,21.9,23.19
2010-03-31,19.87,27.19,20.895,28.52
2010-04-01,32.19,35.7699,32.15,30.04
2010-04-05,28.6,28.81,27.8,29.81
2010-04-06,28.45,25.59,23.12,22.16
2010-04-07,18.5,19.23,18.91,16.52
2010-04-08,17.6,15.49,9.61,7.55
2010-04-09,5.54,4.67,0.37,4.81
2010-04-12,4.61,7.76,4.26,1.59
2010-04-13,3.89,0.03,-10.24,-2.66
2010-04-14,-3.7166,-1.75,-0.24,0.86
2010-04-15,0.66,2.78,3.4909,3.08
2010-04-16,2.59,-6.06,-2.5138,-5.25
2010-04-19,-3.13,-1.095,3.5585,3.55
2010-04-20,6.22,2.93,1.25,0.4
2010-04-21,-1.6,1.54,-6.285,1.49
2010-04-22,-0.15,5.09,20.51,21.47
2010-04-23,22.665,25.189,22.75,26.84
2010-04-26,24.72,38.3,31.62,27.98
2010-04-27,27.75,30.9,30.044,30.65
2010-04-28,31.37,15.73,29.37,24.71
2010-04-29,30.88,21.56,32.21,29.94
2010-04-30,29.54,32.66,34.06,32.59
2010-05-03,30.81,29.74,28.8,22.74
2010-05-04,21.29,20.692,18.64,15.53
2010-05-05,9.94,10.31,16.82,10.93
2010-05-06,9.4,-0.37,15.51,13.6
2010-05-07,11.48,5.86,9.5601,1.92
2010-05-10,11.5,14.36,14.01,17.86
2010-05-11,13.14,16.27,14.87,15.44
2010-05-12,14.98,12.28,10.6,10.77
2010-05-13,10.98,5.67,5.71,1.81
2010-05-14,-1.94,-9.2,-2.7817,-8.7
2010-05-17,-4.23,-7.32,-4.13,-5.92
2010-05-18,-1.12,-10.12,-2.67,-14.75
2010-05-19,-18.07,-19.54,-17.6865,-13.0
2010-05-20,-18.49,-15.6,-12.08,-19.23
2010-05-21,-24.93,-23.58,-10.35,-10.18
2010-05-24,-7.21,-5.97,4.0001,0.36
2010-05-25,-9.09,-14.4,-11.26,-15.93
2010-05-26,-16.12,-18.95,-13.435,-21.19
2010-05-27,-16.33,-14.45,-17.82,-9.4225
2010-05-28,-12.55,-12.7505,-12.79,-13.36
2010-06-01,-18.995,-13.9,-14.0,-19.0
2010-06-02,-17.2,-8.15,-12.025,-0.76
2010-06-03,2.94,-0.21,2.81,4.02
2010-06-04,-1.66,-6.98,-7.08,-15.12
2010-06-07,-13.56,-24.72,-16.43,-28.34
2010-06-08,-30.5,-37.27,-32.2285,-36.02
2010-06-09,-36.4,-40.52,-33.57,-41.56
2010-06-10,-33.85,-35.45,-28.12,-27.66
2010-06-11,-29.29,-27.7599,-27.142,-28.09
2010-06-14,-24.71,-23.98,-20.5,-17.33
2010-06-15,-16.14,-12.49,-14.47,-14.73
2010-06-16,-16.45,-15.18,-12.54,-13.69
2010-06-17,-15.22,-18.11,-15.458,-17.84
2010-06-18,-16.35,-19.51,-17.015,-20.86
2010-06-21,-17.96,-22.1,-17.79,-23.87
2010-06-22,-23.53,-28.04,-25.86,-35.5
2010-06-23,-35.51,-36.39,-35.78,-37.82
2010-06-24,-37.4,-44.67,-38.85,-48.14
2010-06-25,-45.04,-42.69,-39.33,-38.68
2010-06-28,-39.27,-40.72,-39.92,-45.61
2010-06-29,-47.08,-50.92,-49.78,-54.22
2010-06-30,-53.35,-57.3,-51.55,-58.26
