date,open,low,high,close
2010-01-04,57.8455,59.3785,58.5366,59.0901
2010-01-05,58.3859,59.4992,58.7659,58.9797
2010-01-06,58.4083,59.5402,57.8309,58.0574
2010-01-07,57.9756,59.5523,57.864,58.1788
2010-01-08,57.9674,59.3612,60.1831,60.7041
2010-01-11,60.9825,61.8879,61.0089,60.6752
2010-01-12,60.4304,59.7096,60.2649,57.8161
2010-01-13,58.2544,56.8322,57.4353,58.1192
2010-01-14,57.6811,58.4788,57.3299,57.5274
2010-01-15,57.5802,57.2566,56.8279,55.7531
2010-01-19,55.7012,56.308,56.0442,56.046
2010-01-20,54.4033,53.8025,53.9864,52.9434
2010-01-21,53.2523,46.4435,51.9535,46.7969
2010-01-22,45.8592,47.2053,47.5773,47.165
2010-01-25,48.5507,46.734,47.5987,45.6644
2010-01-26,44.4082,41.2783,42.6922,40.34
2010-01-27,41.1455,40.7012,41.0756,43.0053
2010-01-28,44.4693,42.615,42.7116,42.0989
2010-01-29,43.3465,41.7777,41.7551,41.2379
2010-02-01,42.1105,41.217,40.7898,42.6719
2010-02-02,42.7415,42.7787,41.9232,43.3136
2010-02-03,43.3866,43.4416,42.0205,43.0405
2010-02-04,42.0592,37.8827,39.5638,37.9486
2010-02-05,38.8,39.5934,38.6283,41.5272
2010-02-08,42.8991,42.4365,42.6791,41.4165
2010-02-09,42.836,42.4456,41.1731,42.2962
2010-02-10,42.1623,41.4859,39.6913,40.8157
2010-02-11,41.9346,42.1921,41.3853,43.4095
2010-02-12,42.688,43.1359,43.1117,45.1072
2010-02-16,46.0859,46.4753,45.3359,46.7669
2010-02-17,46.952,46.3689,45.2965,45.8158
2010-02-18,45.6503,45.9761,44.2492,45.4917
2010-02-19,45.1155,45.721,45.5882,45.523
2010-02-22,44.9049,44.7951,44.1552,44.3925
2010-02-23,44.4417,42.4269,43.2007,42.0374
2010-02-24,42.5829,43.103,43.855,45.9686
2010-02-25,44.8363,45.7272,45.3121,47.2451
2010-02-26,47.5242,47.7436,47.2167,48.8362
2010-03-01,48.8338,48.7534,47.622,48.6772
2010-03-02,48.7673,49.4636,50.5304,50.7768
2010-03-03,50.839,50.0926,50.0757,49.883
2010-03-04,50.0369,50.0423,49.5064,50.2967
2010-03-05,50.8573,51.7359,50.313,50.9498
2010-03-08,50.9133,50.9483,50.9457,51.698
2010-03-09,51.0407,51.1216,50.0169,50.3868
2010-03-10,50.1768,50.8009,49.4345,50.3239
2010-03-11,50.0152,51.0285,50.7326,51.7111
2010-03-12,52.4129,53.1376,52.1438,52.0024
2010-03-15,51.5478,51.9835,51.055,51.9263
2010-03-16,52.0214,52.6581,51.4932,51.9744
2010-03-17,52.1099,53.3699,51.9743,52.4268
2010-03-18,52.5425,51.9614,51.651,50.9212
2010-03-19,52.0541,51.8189,51.1075,51.1325
2010-03-22,50.5894,51.6382,50.5315,51.1235
2010-03-23,51.1402,51.4116,50.3936,50.8106
2010-03-24,50.4278,51.6576,53.3302,53.2035
2010-03-25,53.5085,54.6602,54.2887,53.4689
2010-03-26,53.6203,53.0601,54.2335,52.1439
2010-03-29,52.009,52.9286,51.7695,52.1247
2010-03-30,52.1168,52.7565,51.559,52.2775
2010-03-31,51.4213,52.7108,51.6145,52.2641
2010-04-01,52.7355,53.9719,53.2148,53.3691
2010-04-05,53.5492,53.2706,53.7148,52.4728
2010-04-06,51.3643,51.5515,51.6431,52.3962
2010-04-07,50.9803,52.3804,51.655,51.4879
2010-04-08,51.3443,51.4806,50.2342,50.6055
2010-04-09,50.5207,51.4941,50.2052,50.7181
2010-04-12,50.9754,51.3621,49.8691,50.1464
2010-04-13,50.422,50.412,49.1826,50.0422
2010-04-14,50.1931,50.9958,52.1651,53.2288
2010-04-15,52.8019,53.8959,53.7364,53.7671
2010-04-16,52.808,51.0679,52.471,50.5381
2010-04-19,50.7256,51.9165,53.3011,53.3928
2010-04-20,53.8808,53.9923,54.0439,53.1413
2010-04-21,52.8482,54.3081,53.2608,53.8139
2010-04-22,53.1895,54.4652,59.498,58.2564
2010-04-23,57.6985,58.1019,58.5465,57.1235
2010-04-26,56.6377,57.5895,60.0953,58.9379
2010-04-27,57.8292,57.8051,59.5005,55.9458
2010-04-28,56.3495,51.3054,56.441,54.9516
2010-04-29,55.6147,53.2514,56.4897,55.2804
2010-04-30,55.7626,55.4462,56.5893,54.5157
2010-05-03,54.7688,55.412,55.3178,54.4049
2010-05-04,52.767,52.578,52.4572,52.0977
2010-05-05,50.8241,51.8242,53.74,52.8576
2010-05-06,52.2566,48.8099,53.0241,51.7615
2010-05-07,52.1646,49.9976,51.4876,49.7609
2010-05-10,52.6016,53.6554,53.9771,54.8969
2010-05-11,53.9146,54.4382,54.2393,53.6956
2010-05-12,54.4893,54.5772,53.5664,53.7093
2010-05-13,53.8624,53.2749,52.9468,52.0086
2010-05-14,51.6618,49.9333,50.3979,49.4961
2010-05-17,50.0652,49.2476,48.8459,49.6852
2010-05-18,50.8166,48.3171,50.3579,47.4617
2010-05-19,47.1901,46.9246,47.0457,48.2074
2010-05-20,46.6158,47.1681,47.1053,46.1008
2010-05-21,44.9705,46.5276,49.1986,50.5691
2010-05-24,49.5853,50.902,52.9289,51.7592
2010-05-25,49.302,48.6081,49.0293,48.8862
2010-05-26,49.8166,49.2736,49.2933,48.2097
2010-05-27,49.8672,50.4387,49.5016,50.6702
2010-05-28,50.9055,51.1246,50.2585,50.0687
2010-06-01,49.7037,49.8361,49.9222,48.7656
2010-06-02,49.7437,50.6559,50.5151,51.6672
2010-06-03,51.9937,51.7898,51.2184,51.8085
2010-06-04,50.2942,49.2655,49.8883,48.5276
2010-06-07,48.7607,46.7172,47.7151,45.954
2010-06-08,45.6635,44.6592,44.5131,45.6292
2010-06-09,45.1917,44.7266,44.6458,44.1631
2010-06-10,44.7126,45.5741,45.2105,47.3312
2010-06-11,45.4823,47.0426,45.6431,47.0735
2010-06-14,46.5507,47.4706,47.8449,48.2793
2010-06-15,48.8297,49.4991,48.0425,48.9162
2010-06-16,47.8424,49.3286,48.2897,49.1438
2010-06-17,48.6595,48.9935,47.8792,48.8635
2010-06-18,49.0594,48.8762,47.5702,48.2686
2010-06-21,48.7664,48.924,48.2263,48.312
2010-06-22,48.1372,48.3049,48.462,47.4874
2010-06-23,46.94,47.1275,46.4671,46.6034
2010-06-24,45.4268,44.5,44.3398,44.1058
2010-06-25,44.3132,45.6467,44.3734,46.1284
2010-06-28,45.8065,46.7593,45.3429,46.0128
2010-06-29,44.1663,44.1959,42.6646,43.9217
2010-06-30,42.517,42.6654,41.5396,42.5044
2010-07-01,41.0292,40.8049,39.8129,41.8403
2010-07-02,40.4642,41.0877,38.803,41.0551
2010-07-06,40.6993,40.8017,39.1662,40.9814
2010-07-07,39.1746,41.1807,38.527,42.1127
2010-07-08,41.2839,42.25,40.2922,43.1954
2010-07-09,42.1393,41.8413,40.3483,42.1692
2010-07-12,40.6231,41.8412,39.3559,42.1299
2010-07-13,41.7749,42.614,40.0174,42.5435
2010-07-14,41.2669,41.0715,39.4846,41.8697
2010-07-15,40.7535,41.3265,38.9961,42.1573
2010-07-16,40.7301,39.4817,38.6938,39.7823
2010-07-19,38.7316,39.8182,37.0532,40.2056
2010-07-20,38.4544,39.7276,39.6185,42.7904
2010-07-21,42.2609,42.6184,39.9949,42.2861
2010-07-22,42.2424,43.4455,42.6129,45.0115
2010-07-23,43.84,45.1412,44.3767,46.4756
2010-07-26,45.9069,45.8412,44.4273,45.73
2010-07-27,45.5932,46.2164,44.0103,45.7886
2010-07-28,45.7919,46.3636,44.5764,45.6953
2010-07-29,46.5505,46.5467,45.3132,46.4373
2010-07-30,44.9958,44.0804,43.8668,44.5457
2010-08-02,44.7716,46.0447,44.4128,46.8606
2010-08-03,46.5885,45.2534,44.5761,45.1313
2010-08-04,44.5023,44.7033,43.1167,44.7671
2010-08-05,43.5882,43.9131,41.6078,43.9139
2010-08-06,42.5249,42.0682,40.9583,43.052
2010-08-09,42.4218,42.4517,40.0141,43.2239
2010-08-10,41.6852,41.0645,39.3941,41.2072
2010-08-11,38.81,37.7757,36.3718,38.5115
2010-08-12,36.1956,36.2356,34.1179,37.9223
2010-08-13,36.2272,36.4822,34.3266,36.9517
2010-08-16,35.3092,35.9171,33.7911,37.5508
