,open,low,high,close
2010-01-04,330.2758,327.066,333.4444,330.547
2010-01-05,330.574,327.71,333.9084,331.122
2010-01-06,330.9595,328.501,334.2612,331.9285
2010-01-07,331.925,329.484,335.2472,332.9665
2010-01-08,332.934,330.5574,336.3442,334.1445
2010-01-11,334.141,331.6604,337.4791,335.212
2010-01-12,334.993,332.3189,338.3117,335.614
2010-01-13,335.372,332.4619,338.7167,336.124
2010-01-14,335.897,332.9889,339.2972,336.649
2010-01-15,336.52,333.4979,339.8017,336.984
2010-01-19,336.9725,334.0039,340.2102,337.6665
2010-01-20,337.3215,334.4014,340.6337,337.942
2010-01-21,337.6755,333.5779,340.8502,337.276
2010-01-22,336.8335,332.7839,340.3532,336.5145
2010-01-25,336.284,331.8614,339.8304,335.464
2010-01-26,334.946,329.7754,338.3529,333.2155
2010-01-27,332.7475,327.3779,336.1324,330.9535
2010-01-28,330.694,325.0515,333.9489,328.5595
2010-01-29,328.563,322.6265,331.7809,325.984
2010-02-01,325.972,320.0055,329.3979,323.747
2010-02-02,323.5565,317.535,327.0099,321.287
2010-02-03,321.1495,315.142,324.5951,318.786
2010-02-04,318.449,311.5255,321.8201,315.26
2010-02-05,315.0275,308.1695,318.8481,312.2885
2010-02-08,312.307,305.2936,316.0371,308.8365
2010-02-09,309.036,301.9936,312.7756,305.533
2010-02-10,305.6725,298.7226,309.2896,302.242
2010-02-11,302.523,295.9061,306.3876,299.334
2010-02-12,299.5725,292.9671,303.7551,296.8
2010-02-16,297.236,290.7421,301.5291,294.7955
2010-02-17,295.296,288.6131,299.3906,292.54
2010-02-18,293.244,286.7278,297.3091,290.625
2010-02-19,291.227,285.9103,295.7001,289.664
2010-02-22,290.29,284.7953,294.4526,288.4095
2010-02-23,288.8405,283.2693,293.0156,286.8885
2010-02-24,287.739,282.8768,292.4986,287.107
2010-02-25,287.712,283.0373,292.5086,287.1625
2010-02-26,287.6355,283.2673,292.5932,287.7215
2010-03-01,288.056,283.8503,292.9237,288.432
2010-03-02,288.739,284.6778,293.9252,289.344
2010-03-03,289.7255,285.3908,294.6959,289.9765
2010-03-04,290.4485,285.9963,295.3573,290.747
2010-03-05,291.6235,288.1253,296.6268,292.789
2010-03-08,293.5845,289.8553,298.1933,294.4055
2010-03-09,294.87,291.1573,299.0518,295.7985
2010-03-10,296.012,292.4038,300.1173,297.0345
2010-03-11,297.2835,293.9038,301.7023,298.881
2010-03-12,299.0585,295.6608,303.2773,300.3485
2010-03-15,300.553,297.0804,304.4263,301.5025
2010-03-16,301.5355,298.0544,305.3013,302.3615
2010-03-17,302.373,299.1759,306.2618,303.5075
2010-03-18,303.5695,300.1541,307.3733,304.4675
2010-03-19,304.802,301.1601,308.1983,305.4595
2010-03-22,305.8355,302.3206,309.2108,306.688
2010-03-23,307.0635,303.9371,310.3898,308.389
2010-03-24,308.582,305.4851,311.9205,309.8055
2010-03-25,310.2588,307.0991,313.3855,311.026
2010-03-26,311.4613,308.1256,314.5434,311.7265
2010-03-29,312.1503,308.9506,315.2939,312.457
2010-03-30,312.8718,309.6215,315.5299,312.7915
2010-03-31,313.0743,310.1715,315.8514,313.304
2010-04-01,313.6608,310.931,316.5094,313.9135
2010-04-05,314.2278,311.287,317.1099,314.263
2010-04-06,314.4393,311.538,317.3249,314.4515
2010-04-07,314.5643,311.885,317.6917,314.76
2010-04-08,314.9083,312.1595,317.9577,314.9535
2010-04-09,315.1523,312.397,318.0112,314.8945
2010-04-12,315.0193,312.2465,317.7857,314.698
2010-04-13,314.9548,312.153,317.6372,314.5005
2010-04-14,314.766,312.0215,317.8257,314.7575
2010-04-15,314.974,312.186,318.1667,315.0135
2010-04-16,315.1035,312.187,318.3907,315.0785
2010-04-19,315.0055,312.3368,318.8161,315.55
2010-04-20,315.673,312.8348,319.4356,315.9875
2010-04-21,316.09,313.4173,319.9764,316.583
2010-04-22,316.6825,313.9853,321.0907,317.5365
2010-04-23,317.5532,314.6588,321.9282,318.287
2010-04-26,318.2467,315.5023,323.0607,319.5895
2010-04-27,319.4347,316.4023,324.4607,320.4705
2010-04-28,320.3852,316.4283,325.4902,321.1785
2010-04-29,321.3372,316.7853,326.5199,321.948
2010-04-30,322.0902,317.3318,327.3264,322.426
2010-05-03,322.5542,317.9698,327.8899,323.0175
2010-05-04,323.0597,318.4234,328.3394,323.28
2010-05-05,323.3182,318.6319,328.9932,323.798
2010-05-06,323.7617,318.4709,329.7417,324.279
2010-05-07,324.3202,318.5054,330.2747,324.4335
2010-05-10,324.8797,319.2129,331.2527,325.559
2010-05-11,325.7492,320.1994,332.3667,326.509
2010-05-12,326.7535,321.1314,332.9787,326.998
2010-05-13,327.2535,321.4344,333.2742,327.1345
2010-05-14,327.424,321.5564,333.3681,327.2955
2010-05-17,327.6525,321.4296,333.1047,327.0445
2010-05-18,327.4805,320.8151,332.9592,326.4385
2010-05-19,326.8635,319.8941,332.3841,325.848
2010-05-20,326.088,318.9886,330.7946,324.0995
2010-05-21,324.191,317.3631,329.6416,323.282
2010-05-24,323.199,316.5516,328.8161,322.345
2010-05-25,321.9225,315.2821,327.4161,321.297
2010-05-26,320.952,315.0311,326.4613,320.2645
2010-05-27,320.1,314.6671,325.5328,319.6364
2010-05-28,319.394,314.0391,324.7128,319.0054
2010-06-01,318.6365,313.1866,324.0043,318.1394
2010-06-02,318.1885,312.9075,323.7858,318.1779
2010-06-03,318.4225,312.9535,323.4753,318.1189
2010-06-04,318.1365,313.0455,323.0568,317.5814
2010-06-07,317.6075,312.449,322.5013,316.7999
2010-06-08,316.446,310.771,320.9723,315.0554
2010-06-09,314.97,308.9545,319.4198,313.1689
2010-06-10,313.3035,307.255,318.0448,311.8859
2010-06-11,311.8455,306.0155,316.8197,310.8159
2010-06-14,310.8805,305.4165,316.2943,310.4059
2010-06-15,310.53,305.301,316.0353,310.0909
2010-06-16,309.887,305.3215,315.5863,310.2114
2010-06-17,309.976,305.5375,315.5997,310.1529
2010-06-18,310.2305,305.6925,315.5552,310.3599
2010-06-21,310.7325,305.9725,315.2897,309.7994
2010-06-22,310.3825,305.397,314.4427,308.8524
2010-06-23,309.883,305.0365,313.9372,308.2659
2010-06-24,309.0355,304.07,313.037,307.2924
2010-06-25,307.9815,303.0715,312.1065,306.2095
2010-06-28,306.971,302.124,311.1795,305.217
2010-06-29,305.865,300.917,309.8545,304.031
2010-06-30,304.443,299.2505,308.231,301.9625
2010-07-01,302.355,296.9765,306.1687,299.713
2010-07-02,300.4275,295.1955,304.1167,297.924
2010-07-06,298.7895,293.844,302.4667,296.672
2010-07-07,297.4025,292.9745,301.2667,295.673
2010-07-08,296.3925,292.25,300.2657,295.181
2010-07-09,295.5925,291.3,299.1877,293.861
2010-07-12,294.3765,290.097,297.8628,292.5895
2010-07-13,293.156,288.928,296.2848,291.144
2010-07-14,291.472,287.099,294.5798,289.431
2010-07-15,289.86,285.3365,292.7488,287.716
2010-07-16,288.1115,283.2665,290.9292,285.5515
2010-07-19,285.904,281.2625,288.8552,283.568
2010-07-20,283.6885,279.2325,286.9837,281.965
2010-07-21,282.084,277.698,285.1232,280.419
2010-07-22,280.6755,276.485,283.8882,279.4765
2010-07-23,279.7495,276.0,283.2282,279.295
2010-07-26,279.3205,275.437,282.5702,278.6145
2010-07-27,278.62,274.7511,281.7172,277.9675
2010-07-28,278.241,274.5751,281.3873,277.7475
2010-07-29,278.2795,274.7366,281.3508,277.9615
2010-07-30,278.351,274.8911,281.419,277.9765
2010-08-02,278.4985,275.2756,281.7515,278.54
2010-08-03,278.867,275.5891,282.058,278.7925
2010-08-04,279.1915,275.7546,282.2695,278.794
2010-08-05,279.068,275.6301,282.0255,278.455
2010-08-06,278.6345,275.2647,281.67,278.1685
2010-08-09,278.481,274.9492,281.3435,277.916
2010-08-10,278.036,274.2767,280.8345,277.1965
2010-08-11,277.143,273.2577,279.886,276.028
2010-08-12,275.7915,271.8697,278.576,274.68
2010-08-13,274.4485,270.8812,277.343,273.6095
2010-08-16,273.295,269.7247,276.3038,272.5605
2010-08-17,272.3565,268.7497,275.0508,271.19
2010-08-18,270.964,267.3239,273.6961,269.8237
2010-08-19,269.4205,265.5669,271.8481,267.7757
2010-08-20,267.4435,263.3974,269.5126,265.3322
2010-08-23,265.073,261.1194,267.1181,263.0412
2010-08-24,262.588,258.6903,264.8021,260.7865
2010-08-25,260.135,256.3212,262.7231,258.9055
2010-08-26,258.125,254.4502,260.8786,257.16
2010-08-27,256.5545,253.1637,259.4556,256.057
2010-08-30,255.211,251.5302,258.0131,254.2005
2010-08-31,253.213,249.8867,256.1096,252.63
2010-09-01,251.845,248.5542,254.7956,251.536
2010-09-02,250.84,247.6139,254.0614,250.916
2010-09-03,250.485,247.3714,253.6699,250.5985
2010-09-07,250.0545,246.8324,253.3024,249.922
2010-09-08,249.4585,246.5489,252.9329,249.7615
2010-09-09,249.7455,246.9944,253.1994,250.273
2010-09-10,250.4535,247.8835,253.9294,251.0485
2010-09-13,251.4825,249.004,254.9604,252.3589
2010-09-14,252.7445,250.3035,256.0427,253.5005
2010-09-15,253.7685,251.328,257.1032,254.6834
2010-09-16,254.914,252.4345,258.2273,255.7953
2010-09-17,256.124,253.5505,259.4408,256.9508
2010-09-20,257.302,254.895,261.1408,258.6623
2010-09-21,258.983,256.386,262.7808,260.2167
2010-09-22,260.647,257.976,264.3303,261.5955
2010-09-23,262.0535,259.2021,265.2763,262.352
2010-09-24,262.879,260.0481,266.1838,263.2875
2010-09-27,263.754,260.8316,266.8293,263.7585
2010-09-28,264.3945,261.5466,267.3353,264.5345
2010-09-29,265.224,262.2166,268.1373,265.104
2010-09-30,265.6545,262.7171,268.5288,265.3125
2010-10-01,265.87,262.7764,268.4665,265.1905
2010-10-04,265.5555,262.5344,268.233,264.93
2010-10-05,265.474,262.5499,268.449,265.3895
2010-10-06,266.0055,262.9149,268.8285,265.7165
2010-10-07,266.164,263.0908,269.0569,265.7925
2010-10-08,266.241,263.0203,268.9564,265.6665
2010-10-11,265.9335,262.5973,268.4729,265.0935
2010-10-12,265.454,261.9643,268.1724,264.836
2010-10-13,265.333,261.6533,267.8774,264.45
2010-10-14,264.947,261.381,267.5409,264.2935
2010-10-15,264.7785,261.407,267.4909,264.4755
2010-10-18,265.108,261.736,267.8854,264.923
2010-10-19,265.3805,262.203,268.3599,265.5145
2010-10-20,265.918,262.796,269.0514,266.2365
2010-10-21,266.851,263.752,270.0984,267.298
2010-10-22,267.734,264.603,270.7844,268.001
2010-10-25,268.5615,265.3495,271.5859,268.842
2010-10-26,269.2322,266.195,272.3479,269.6425
2010-10-27,269.9957,267.1415,273.2509,270.7875
2010-10-28,271.1457,268.1925,274.5199,272.235
2010-10-29,272.4897,269.691,276.0284,273.717
2010-11-01,274.0557,271.0175,277.4144,275.072
2010-11-02,275.3182,272.4875,278.4645,276.138
2010-11-03,276.3522,273.4695,279.4915,277.2555
2010-11-04,277.5547,274.8175,280.8535,278.918
2010-11-05,279.1857,276.4285,282.6494,280.5505
2010-11-08,280.7512,278.128,284.349,282.363
2010-11-09,282.6012,279.9155,285.9555,283.814
2010-11-10,284.0247,281.3585,287.3965,285.36
2010-11-11,285.5407,282.8455,288.9715,286.772
2010-11-12,286.8232,284.0715,290.126,287.8575
2010-11-15,287.7702,285.0435,290.6325,288.2915
2010-11-16,288.3002,285.5405,291.1159,288.5855
2010-11-17,288.6337,285.7385,291.4594,289.1065
2010-11-18,289.1522,286.3825,292.0819,289.7315
2010-11-19,289.7747,286.9775,292.6542,290.3205
2010-11-22,290.2307,287.2105,293.1255,290.562
2010-11-23,290.4215,287.206,293.3115,290.5975
2010-11-24,290.727,287.4575,293.6461,290.9445
2010-11-26,290.8548,287.6535,293.7666,290.966
2010-11-29,290.8303,287.4075,293.5576,290.7785
2010-11-30,290.4188,287.2815,293.4301,290.8315
2010-12-01,290.6833,287.511,293.9551,291.386
2010-12-02,291.3538,288.362,295.1301,292.5315
2010-12-03,292.3533,289.263,295.9156,293.2265
2010-12-06,293.1178,290.0735,296.7571,294.1165
2010-12-07,294.2318,291.0775,297.8071,295.0245
2010-12-08,295.0843,292.16,299.0991,296.426
2010-12-09,296.5568,293.7095,300.6766,297.7805
2010-12-10,298.0398,294.9695,302.0431,299.2045
2010-12-13,299.558,296.6695,303.8136,300.8795
2010-12-14,301.2045,298.245,305.4436,302.5645
2010-12-15,302.9235,299.888,307.0955,304.152
2010-12-16,304.5335,301.594,308.6075,305.6975
2010-12-17,305.8845,302.8761,309.769,306.923
2010-12-20,307.175,304.2546,311.1008,308.231
2010-12-21,308.546,306.0451,312.6869,310.1445
2010-12-22,310.5525,308.2336,314.6934,312.4325
2010-12-23,312.6005,310.2626,316.5554,314.176
2010-12-27,314.4358,312.1691,318.2704,315.995
2010-12-28,316.3743,314.1971,320.2704,317.911
2010-12-29,318.4448,316.1768,322.1294,319.74
2010-12-30,319.9833,317.6197,323.3654,320.841
2010-12-31,320.9048,318.4792,323.7864,321.3035
2011-01-03,321.4553,318.8302,324.3164,321.5745
2011-01-04,321.6803,319.1342,324.4144,321.7825
2011-01-05,321.5833,319.0127,324.4064,321.6515
2011-01-06,321.5058,318.6987,324.0934,321.2725
2011-01-07,320.9633,317.9222,323.3759,320.5665
2011-01-10,320.3513,317.6447,323.0779,320.2274
2011-01-11,320.0095,317.0297,322.5529,319.6334
2011-01-12,319.529,316.5457,322.0643,319.2174
2011-01-13,319.15,316.1352,321.5854,318.9774
2011-01-14,318.9105,315.9735,321.3659,318.7199
2011-01-18,318.7245,315.7214,321.1679,318.4569
2011-01-19,318.38,314.9879,320.7289,317.6884
2011-01-20,317.6265,314.1949,319.9884,316.8449
2011-01-21,316.9285,313.4314,319.3554,315.9884
2011-01-24,316.0785,312.6384,318.5554,315.2529
2011-01-25,315.305,311.5369,317.7139,314.2874
2011-01-26,314.357,310.655,316.7514,313.3554
2011-01-27,313.448,309.8608,316.0174,312.6174
2011-01-28,312.749,308.9824,315.3454,311.7589
2011-01-31,311.933,308.2609,314.7509,311.0994
2011-02-01,311.2705,307.9659,314.4479,311.0739
2011-02-02,311.222,307.8854,314.3974,310.9814
2011-02-03,310.708,307.2364,313.8789,310.4564
2011-02-04,310.151,306.9244,313.4414,309.9834
2011-02-07,309.8465,306.7919,313.1384,309.7844
2011-02-08,309.486,306.2554,312.4499,309.093
2011-02-09,308.8605,305.7884,312.0584,308.6765
2011-02-10,308.3105,305.3219,311.6824,308.316
2011-02-11,307.875,305.1189,311.4884,308.074
2011-02-14,307.6085,304.5671,311.1774,307.3545
2011-02-15,306.867,303.4301,310.4784,306.221
2011-02-16,305.8725,302.7726,309.6454,305.592
2011-02-17,305.1715,302.1466,309.2364,305.2615
2011-02-18,304.7605,301.7601,308.8619,304.91
