date,open,low,high,close
2010-01-04,319.5892,315.5811,323.3928,319.6746
2010-01-05,320.2267,316.2403,323.9749,320.2973
2010-01-06,320.8537,316.8893,324.5466,320.9009
2010-01-07,321.4573,317.5223,325.0989,321.4919
2010-01-08,322.0433,318.1472,325.6459,322.0842
2010-01-11,322.6266,318.7718,326.1976,322.6792
2010-01-12,323.2183,319.3993,326.7593,323.2722
2010-01-13,323.8173,320.0215,327.3181,323.8666
2010-01-14,324.4105,320.6424,327.8818,324.4561
2010-01-15,324.9954,321.2551,328.4382,325.042
2010-01-19,325.5709,321.8608,328.9836,325.6257
2010-01-20,326.129,322.4567,329.5178,326.1951
2010-01-21,326.6652,323.0227,330.0313,326.7368
2010-01-22,327.1717,323.5709,330.5287,327.2666
2010-01-25,327.6772,324.1088,331.0235,327.7779
2010-01-26,328.1587,324.6049,331.4827,328.2344
2010-01-27,328.5813,325.0349,331.8876,328.6267
2010-01-28,328.9405,325.3816,332.2332,328.9514
2010-01-29,329.2331,325.6485,332.5178,329.1957
2010-02-01,329.4516,325.8354,332.7334,329.37
2010-02-02,329.6003,325.9531,332.8799,329.4795
2010-02-03,329.686,326.0073,332.9618,329.5243
2010-02-04,329.703,325.9773,332.9782,329.4902
2010-02-05,329.6401,325.8652,332.9269,329.387
2010-02-08,329.5137,325.6865,332.8239,329.2178
2010-02-09,329.3262,325.4383,332.6586,328.9753
2010-02-10,329.0671,325.1062,332.4136,328.6456
2010-02-11,328.7244,324.6891,332.0847,328.2323
2010-02-12,328.299,324.1885,331.6774,327.7417
2010-02-16,327.8036,323.6211,331.2054,327.188
2010-02-17,327.2416,322.9857,330.668,326.5663
2010-02-18,326.6132,322.2824,330.0578,325.8706
2010-02-19,325.9108,321.5047,329.3772,325.1017
2010-02-22,325.1338,320.648,328.6261,324.2575
2010-02-23,324.2866,319.7067,327.7966,323.3173
2010-02-24,323.3471,318.6711,326.8731,322.2849
2010-02-25,322.3142,317.5526,325.8641,321.1801
2010-02-26,321.2027,316.3685,324.7829,320.0096
2010-03-01,320.0265,315.1243,323.641,318.7792
2010-03-02,318.7963,313.8274,322.4537,317.5073
2010-03-03,317.5268,312.4857,321.2282,316.191
2010-03-04,316.2228,311.1095,319.9671,314.8418
2010-03-05,314.8975,309.7325,318.6848,313.4923
2010-03-08,313.5766,308.3705,317.4028,312.1575
2010-03-09,312.2625,307.0191,316.118,310.8318
2010-03-10,310.958,305.6987,314.8519,309.5497
2010-03-11,309.7009,304.4433,313.6359,308.3327
2010-03-12,308.5101,303.2617,312.4813,307.1843
2010-03-15,307.3802,302.1512,311.3853,306.1109
2010-03-16,306.3197,301.1181,310.3534,305.1102
2010-03-17,305.3301,300.16,309.3883,304.1763
2010-03-18,304.4073,299.2626,308.4854,303.2963
2010-03-19,303.5522,298.4447,307.647,302.4966
2010-03-22,302.779,297.7286,306.8844,301.7892
2010-03-23,302.0929,297.0999,306.191,301.1645
2010-03-24,301.4792,296.5505,305.5715,300.6295
