date,open,low,high,close
2010-01-04,328.9938,325.9431,332.2909,329.4196
2010-01-05,329.7587,326.7461,333.0733,330.2409
2010-01-06,330.478,327.5078,333.6983,330.9052
2010-01-07,331.0992,328.2237,334.2879,331.5495
2010-01-08,331.6817,328.8811,335.2313,332.6049
2010-01-11,332.7554,329.9173,336.276,333.6062
2010-01-12,333.7172,330.6663,337.1904,334.2183
2010-01-13,334.3744,331.044,337.7333,334.8491
2010-01-14,334.9276,331.6605,338.2324,335.3718
2010-01-15,335.437,332.1016,338.6441,335.6462
2010-01-19,335.6883,332.4052,338.9407,335.9483
2010-01-20,335.7609,332.3788,338.9687,335.8333
2010-01-21,335.6713,331.2485,338.7206,334.7831
2010-01-22,334.472,330.2438,337.8481,333.8016
2010-01-25,333.6979,329.1774,336.9931,332.5836
2010-01-26,332.1956,327.124,335.3439,330.3699
2010-01-27,330.0533,324.9979,333.4296,328.6047
2010-01-28,328.4846,323.1931,331.7732,326.6877
2010-01-29,326.7084,321.2601,329.9759,324.6366
2010-02-01,324.7095,319.2657,328.0406,322.8539
2010-02-02,322.8661,317.5486,326.3095,321.2136
2010-02-03,321.177,315.9769,324.639,319.5645
2010-02-04,319.2569,313.261,322.5536,316.8491
2010-02-05,316.6372,310.8701,320.3404,314.7616
2010-02-08,314.7603,308.9849,318.72,312.6959
2010-02-09,312.9105,307.1451,316.8473,310.8271
2010-02-10,310.956,305.1497,314.723,308.6796
2010-02-11,309.0105,303.3282,312.9011,307.028
2010-02-12,307.2564,301.7197,311.3902,305.7276
2010-02-16,306.1484,300.7208,310.2665,304.7727
2010-02-17,305.2397,299.7427,309.1775,303.6601
2010-02-18,304.0946,298.7279,307.9365,302.518
2010-02-19,302.8774,297.7004,306.9374,301.4212
2010-02-22,301.6564,296.5348,305.7068,300.1319
2010-02-23,300.3821,294.9373,304.3369,298.3811
2010-02-24,298.7581,293.5043,303.1104,297.3759
2010-02-25,297.5731,292.5528,302.1482,296.6578
2010-02-26,296.9253,291.9993,301.5322,296.2984
2010-03-01,296.5768,291.6744,301.0307,295.9515
2010-03-02,296.2568,291.5204,301.0466,296.0614
2010-03-03,296.381,291.5218,301.021,296.028
2010-03-04,296.3863,291.5573,300.9408,296.1201
2010-03-05,296.5912,291.9358,301.0342,296.3817
2010-03-08,296.8441,292.2175,301.2672,296.8259
2010-03-09,297.1565,292.5691,301.3881,297.0597
2010-03-10,297.3492,292.9064,301.4645,297.332
2010-03-11,297.5651,293.3318,301.7978,297.9172
2010-03-12,298.2711,294.1614,302.4054,298.5932
2010-03-15,298.8608,294.8355,302.8799,299.2912
2010-03-16,299.5733,295.6626,303.4603,300.0316
2010-03-17,300.335,296.6432,304.1498,300.8815
2010-03-18,301.2011,297.4322,304.8212,301.5091
2010-03-19,302.0096,298.2214,305.4382,302.1966
2010-03-22,302.5986,298.9787,305.9919,302.8819
2010-03-23,303.2785,299.7013,306.5319,303.518
2010-03-24,303.8486,300.4597,307.5168,304.5551
2010-03-25,304.9426,301.6752,308.6285,305.5987
2010-03-26,306.0165,302.6178,309.697,306.4088
2010-03-29,306.8092,303.5106,310.4009,307.1852
2010-03-30,307.5935,304.3447,311.0493,307.9513
2010-03-31,308.2347,305.136,311.6755,308.6851
2010-04-01,309.0678,306.092,312.5095,309.5665
2010-04-05,310.0086,306.9206,313.3859,310.288
2010-04-06,310.5707,307.453,313.9435,310.9404
2010-04-07,311.0194,308.061,314.4594,311.4224
2010-04-08,311.4927,308.5053,314.755,311.739
2010-04-09,311.8035,308.9145,315.0141,312.0369
2010-04-12,312.1484,309.2637,315.1889,312.2126
2010-04-13,312.3704,309.4479,315.2405,312.3431
2010-04-14,312.5236,309.6788,315.6663,312.9026
2010-04-15,313.0606,310.3009,316.291,313.5153
2010-04-16,313.5731,310.516,316.723,313.6582
2010-04-19,313.7528,310.8303,317.2409,314.2093
2010-04-20,314.4131,311.4289,317.8352,314.69
2010-04-21,314.8807,312.0359,318.2933,315.2345
2010-04-22,315.3643,312.6131,319.7078,316.4776
2010-04-23,316.6018,313.727,320.9392,317.5112
2010-04-26,317.6244,314.7212,322.395,318.8329
2010-04-27,318.8296,315.7059,323.7217,319.6915
2010-04-28,319.7758,315.7714,324.6052,320.3669
2010-04-29,320.5739,316.1365,325.4662,321.075
2010-04-30,321.3707,316.86,326.3108,321.643
2010-05-03,321.9924,317.5468,326.9573,322.1689
2010-05-04,322.2933,317.7938,327.1909,322.3401
