,open,low,high,close
2010-01-04,3.2849,3.252,3.3144,3.2874
2010-01-05,3.3115,3.2885,3.3735,3.3509
2010-01-06,3.3791,3.35,3.4618,3.4356
2010-01-07,3.4734,3.4295,3.5348,3.5024
2010-01-08,3.5304,3.4557,3.5792,3.5322
2010-01-11,3.5758,3.5047,3.6119,3.5672
2010-01-12,3.5859,3.501,3.6159,3.5564
2010-01-13,3.5795,3.5045,3.6085,3.5413
2010-01-14,3.5644,3.5066,3.5926,3.5332
2010-01-15,3.5429,3.4748,3.5641,3.4972
2010-01-19,3.4771,3.418,3.5627,3.5103
2010-01-20,3.4947,3.4256,3.5749,3.4935
2010-01-21,3.4782,3.3489,3.5376,3.4184
2010-01-22,3.4084,3.2992,3.4869,3.3566
2010-01-25,3.3688,3.26,3.43,3.3051
2010-01-26,3.3106,3.2123,3.3687,3.2417
2010-01-27,3.2521,3.175,3.3112,3.2127
2010-01-28,3.2367,3.1687,3.2899,3.2062
2010-01-29,3.2334,3.1887,3.2921,3.2293
2010-02-01,3.2622,3.2179,3.3051,3.2544
2010-02-02,3.2814,3.2439,3.3292,3.2972
2010-02-03,3.3097,3.2803,3.3645,3.3164
2010-02-04,3.3148,3.2415,3.355,3.2681
2010-02-05,3.2761,3.2066,3.312,3.2462
2010-02-08,3.2546,3.1813,3.2809,3.2075
2010-02-09,3.2262,3.1502,3.2554,3.1896
2010-02-10,3.2026,3.1379,3.2276,3.1839
2010-02-11,3.1894,3.1397,3.2147,3.1839
2010-02-12,3.174,3.1352,3.2029,3.1749
2010-02-16,3.1801,3.1526,3.2349,3.212
2010-02-17,3.2384,3.2157,3.2991,3.2731
2010-02-18,3.2887,3.2726,3.3538,3.3252
2010-02-19,3.326,3.3146,3.3842,3.3602
2010-02-22,3.3667,3.3518,3.4197,3.3988
2010-02-23,3.3963,3.3588,3.4454,3.3903
2010-02-24,3.3945,3.3699,3.4539,3.4164
2010-02-25,3.3991,3.3739,3.4429,3.4151
2010-02-26,3.4018,3.3828,3.4506,3.4167
2010-03-01,3.4132,3.3768,3.4525,3.4139
2010-03-02,3.4177,3.3869,3.4533,3.4146
2010-03-03,3.4205,3.3937,3.4501,3.4146
2010-03-04,3.4187,3.3982,3.4639,3.424
2010-03-05,3.44,3.4207,3.4802,3.4536
2010-03-08,3.4784,3.4665,3.5249,3.4948
2010-03-09,3.5095,3.4996,3.6432,3.6105
2010-03-10,3.6671,3.6487,3.799,3.7412
2010-03-11,3.789,3.7674,3.9486,3.9086
2010-03-12,3.9512,3.8496,4.0696,3.9602
2010-03-15,3.9608,3.8713,4.063,3.9686
2010-03-16,3.9877,3.9141,4.0968,4.0246
2010-03-17,4.054,3.9662,4.1522,4.0629
2010-03-18,4.0966,4.0051,4.1635,4.0782
2010-03-19,4.1051,3.9979,4.1554,4.0468
2010-03-22,4.062,3.9833,4.1639,4.0672
2010-03-23,4.0936,4.0341,4.1832,4.1098
2010-03-24,4.1179,4.0781,4.2082,4.1455
2010-03-25,4.1799,4.1513,4.2872,4.2093
2010-03-26,4.2564,4.2128,4.3398,4.2672
2010-03-29,4.3237,4.2059,4.3893,4.2644
2010-03-30,4.2879,4.1783,4.3471,4.23
2010-03-31,4.2455,4.1424,4.2901,4.1891
2010-04-01,4.2186,4.1173,4.2692,4.2001
2010-04-05,4.2499,4.1666,4.2853,4.2332
2010-04-06,4.2715,4.2084,4.3025,4.2662
2010-04-07,4.2991,4.2543,4.347,4.3122
2010-04-08,4.3312,4.2898,4.4083,4.381
2010-04-09,4.4161,4.3837,4.4785,4.4564
2010-04-12,4.5051,4.4708,4.5516,4.5397
2010-04-13,4.5671,4.5361,4.6178,4.5922
2010-04-14,4.6433,4.6179,4.7491,4.7307
2010-04-15,4.7861,4.6887,4.8864,4.7904
2010-04-16,4.8323,4.6286,4.9049,4.7483
2010-04-19,4.8049,4.6572,4.948,4.8197
2010-04-20,4.9053,4.7684,5.0191,4.8993
2010-04-21,4.9796,4.8147,5.0615,4.9416
2010-04-22,4.9715,4.8294,5.0396,4.9498
2010-04-23,4.9687,4.8571,5.0398,4.9493
2010-04-26,4.9354,4.7987,4.9874,4.8634
2010-04-27,4.8305,4.6638,4.8701,4.7082
2010-04-28,4.708,4.5856,4.7767,4.6285
2010-04-29,4.6528,4.5589,4.7312,4.6057
2010-04-30,4.6185,4.4972,4.6713,4.526
2010-05-03,4.5634,4.4551,4.6041,4.4808
2010-05-04,4.4835,4.3748,4.5153,4.3986
2010-05-05,4.3658,4.2534,4.4144,4.3125
2010-05-06,4.2934,4.1188,4.348,4.2042
2010-05-07,4.2021,4.0281,4.2547,4.1131
2010-05-10,4.2197,4.0432,4.2609,4.1211
2010-05-11,4.169,4.0406,4.2316,4.1132
2010-05-12,4.1668,4.0496,4.2089,4.1131
2010-05-13,4.1409,4.0401,4.1713,4.0854
2010-05-14,4.0843,3.9788,4.1061,4.0307
2010-05-17,4.0347,3.886,4.0503,3.9528
2010-05-18,3.9838,3.8031,3.9952,3.8545
2010-05-19,3.8758,3.7446,3.9207,3.8111
2010-05-20,3.8054,3.6712,3.8421,3.7225
2010-05-21,3.687,3.5936,3.8003,3.6998
2010-05-24,3.7086,3.6189,3.8172,3.6962
2010-05-25,3.6554,3.5714,3.7849,3.6965
2010-05-26,3.7283,3.6384,3.8398,3.7259
2010-05-27,3.805,3.7303,3.896,3.803
2010-05-28,3.8605,3.7901,3.9295,3.8419
2010-06-01,3.8632,3.799,3.9291,3.8355
2010-06-02,3.8629,3.8097,3.92,3.8548
2010-06-03,3.8868,3.8446,3.9472,3.8831
2010-06-04,3.8688,3.8179,3.9304,3.8484
2010-06-07,3.8429,3.7489,3.887,3.7737
2010-06-08,3.7848,3.7083,3.8326,3.7457
2010-06-09,3.7726,3.7156,3.8398,3.7756
2010-06-10,3.8208,3.7583,3.8694,3.8088
2010-06-11,3.8276,3.784,3.879,3.8273
2010-06-14,3.8531,3.8133,3.89,3.8415
2010-06-15,3.8757,3.8384,3.9186,3.8886
2010-06-16,3.9025,3.8701,3.9434,3.9235
2010-06-17,3.9389,3.8867,3.9718,3.9392
2010-06-18,3.9523,3.9052,3.9861,3.9668
2010-06-21,3.9884,3.9449,4.0163,3.9901
2010-06-22,3.998,3.9505,4.0251,3.9802
2010-06-23,3.988,3.9307,4.0146,3.9558
2010-06-24,3.9503,3.8824,3.9667,3.9008
2010-06-25,3.9188,3.8629,3.9609,3.913
2010-06-28,3.9219,3.8814,3.9812,3.9418
2010-06-29,3.9209,3.8257,3.9618,3.8738
2010-06-30,3.8838,3.7846,3.9275,3.8334
2010-07-01,3.8632,3.7249,3.8991,3.8106
2010-07-02,3.845,3.7112,3.8906,3.7976
2010-07-06,3.8485,3.7052,3.8892,3.7886
2010-07-07,3.835,3.7183,3.8919,3.8191
2010-07-08,3.8685,3.7783,3.924,3.8652
2010-07-09,3.9002,3.8298,3.9646,3.9228
2010-07-12,3.9502,3.901,4.021,3.9883
2010-07-13,4.0315,3.9995,4.1186,4.099
2010-07-14,4.1192,4.0615,4.1833,4.15
2010-07-15,4.1696,4.0729,4.2165,4.1696
2010-07-16,4.1459,4.0301,4.1933,4.0964
2010-07-19,4.0872,3.9807,4.1549,4.0674
2010-07-20,4.036,3.9598,4.1319,4.0484
2010-07-21,4.0439,3.9505,4.1142,4.0172
2010-07-22,4.0296,3.9664,4.1105,4.0434
2010-07-23,4.0286,3.9778,4.0979,4.0393
2010-07-26,4.0276,3.9957,4.1175,4.0789
2010-07-27,4.0895,4.0548,4.1714,4.111
2010-07-28,4.1085,4.0681,4.1743,4.1111
2010-07-29,4.1253,4.0738,4.1725,4.1203
2010-07-30,4.1105,4.0771,4.1607,4.1198
2010-08-02,4.1419,4.1118,4.1778,4.1486
2010-08-03,4.1546,4.1183,4.1801,4.1495
2010-08-04,4.16,4.124,4.178,4.1527
2010-08-05,4.1501,4.1137,4.1595,4.1412
2010-08-06,4.1288,4.0859,4.1355,4.1189
2010-08-09,4.116,4.0648,4.1292,4.1086
2010-08-10,4.0897,4.0456,4.1064,4.0744
2010-08-11,4.0437,3.9783,4.0598,3.9994
2010-08-12,3.9734,3.9254,3.9992,3.9509
2010-08-13,3.9418,3.9033,3.9748,3.919
2010-08-16,3.9093,3.8779,3.9445,3.8931
2010-08-17,3.9011,3.8533,3.9263,3.8684
2010-08-18,3.878,3.8394,3.9074,3.8545
2010-08-19,3.8585,3.8103,3.8911,3.8223
2010-08-20,3.8221,3.7666,3.8471,3.7864
2010-08-23,3.7997,3.7488,3.829,3.7612
2010-08-24,3.7545,3.7137,3.7905,3.7308
2010-08-25,3.7209,3.6759,3.7535,3.6997
2010-08-26,3.7091,3.656,3.7375,3.6717
2010-08-27,3.6903,3.6362,3.7305,3.6856
2010-08-30,3.696,3.633,3.7268,3.6677
2010-08-31,3.6785,3.6189,3.7155,3.6686
2010-09-01,3.69,3.6461,3.7481,3.7163
2010-09-02,3.7278,3.6972,3.7997,3.7634
2010-09-03,3.7913,3.759,3.8551,3.8086
2010-09-07,3.8189,3.7785,3.8633,3.8159
2010-09-08,3.8295,3.7963,3.8627,3.8244
2010-09-09,3.8505,3.8258,3.8919,3.8539
2010-09-10,3.8758,3.854,3.9101,3.8754
2010-09-13,3.9074,3.8942,3.9464,3.9174
2010-09-14,3.9352,3.9068,3.9662,3.9314
2010-09-15,3.937,3.912,3.9604,3.9344
2010-09-16,3.9277,3.9085,3.9721,3.9525
2010-09-17,3.9566,3.9283,3.9934,3.9586
2010-09-20,3.9609,3.939,4.0019,3.9756
2010-09-21,3.9865,3.9462,4.0141,3.9709
2010-09-22,3.975,3.931,4.0093,3.947
2010-09-23,3.9361,3.8927,3.9753,3.9022
2010-09-24,3.9134,3.8805,3.9564,3.9033
2010-09-27,3.9098,3.8779,3.9488,3.8928
2010-09-28,3.9037,3.866,3.9332,3.8892
2010-09-29,3.8975,3.8671,3.9514,3.8989
2010-09-30,3.9177,3.8746,3.9714,3.9028
2010-10-01,3.9393,3.8966,4.0159,3.9652
2010-10-04,3.9881,3.9425,4.0551,3.9912
2010-10-05,4.0205,3.9894,4.0933,4.043
2010-10-06,4.067,4.0267,4.1241,4.0706
2010-10-07,4.1005,4.07,4.1559,4.1165
2010-10-08,4.1375,4.1043,4.1815,4.1526
2010-10-11,4.1736,4.1218,4.2026,4.1747
2010-10-12,4.1791,4.1367,4.2269,4.2096
2010-10-13,4.2149,4.1631,4.2634,4.2372
2010-10-14,4.2136,4.1184,4.2461,4.1933
2010-10-15,4.1881,4.0579,4.2122,4.1231
2010-10-18,4.1351,4.0323,4.2158,4.1432
2010-10-19,4.1381,4.0362,4.2144,4.1211
2010-10-20,4.1299,4.0357,4.1896,4.1208
2010-10-21,4.1334,4.0351,4.1871,4.1071
2010-10-22,4.1257,4.0544,4.175,4.1099
2010-10-25,4.1593,4.0851,4.1955,4.1448
2010-10-26,4.164,4.1107,4.2038,4.1604
2010-10-27,4.1671,4.1258,4.2029,4.1682
2010-10-28,4.1788,4.1397,4.2052,4.1735
2010-10-29,4.177,4.1494,4.1999,4.1769
2010-11-01,4.1819,4.1393,4.2024,4.1724
2010-11-02,4.1889,4.1478,4.2039,4.1752
2010-11-03,4.1866,4.1536,4.2015,4.1835
2010-11-04,4.201,4.1706,4.2458,4.2356
2010-11-05,4.2477,4.2255,4.3378,4.3265
2010-11-08,4.3428,4.2952,4.4083,4.3755
2010-11-09,4.3973,4.3093,4.4427,4.3648
2010-11-10,4.3899,4.3217,4.4633,4.3951
2010-11-11,4.3978,4.3429,4.4605,4.3964
2010-11-12,4.3875,4.3176,4.4503,4.373
2010-11-15,4.3787,4.3209,4.4349,4.3644
2010-11-16,4.3547,4.2861,4.396,4.3242
2010-11-17,4.3196,4.2464,4.3499,4.2839
2010-11-18,4.303,4.2397,4.3452,4.2902
2010-11-19,4.2906,4.2346,4.3217,4.2841
2010-11-22,4.2779,4.2109,4.2976,4.2505
2010-11-23,4.2338,4.1735,4.2469,4.1991
2010-11-24,4.1996,4.1494,4.2229,4.184
2010-11-26,4.1748,4.1286,4.1959,4.1541
2010-11-29,4.1505,4.1137,4.1799,4.1459
2010-11-30,4.1364,4.1066,4.192,4.1571
2010-12-01,4.1764,4.1516,4.2249,4.199
2010-12-02,4.2198,4.2051,4.296,4.2701
2010-12-03,4.2721,4.2546,4.3519,4.3326
2010-12-06,4.3337,4.3161,4.4062,4.3783
2010-12-07,4.4119,4.3986,4.4952,4.4674
2010-12-08,4.4886,4.4617,4.5566,4.5388
2010-12-09,4.5671,4.5367,4.6236,4.6056
2010-12-10,4.6301,4.5969,4.6912,4.6803
2010-12-13,4.7075,4.6723,4.7654,4.7465
2010-12-14,4.7641,4.6927,4.8047,4.7532
2010-12-15,4.7571,4.6655,4.7882,4.7226
2010-12-16,4.7311,4.6432,4.7637,4.6965
2010-12-17,4.7048,4.6348,4.76,4.713
2010-12-20,4.7281,4.6601,4.7688,4.7269
2010-12-21,4.7472,4.6905,4.7837,4.7455
2010-12-22,4.763,4.7017,4.7898,4.7545
2010-12-23,4.7632,4.7084,4.7798,4.7432
2010-12-27,4.7421,4.702,4.7942,4.7633
2010-12-28,4.7682,4.7291,4.807,4.7803
2010-12-29,4.7897,4.7479,4.8154,4.7883
2010-12-30,4.7979,4.7606,4.8138,4.7898
2010-12-31,4.7911,4.7588,4.8051,4.7799
2011-01-03,4.7967,4.7762,4.844,4.8278
2011-01-04,4.8428,4.8045,4.8852,4.8623
2011-01-05,4.866,4.8408,4.9343,4.9097
2011-01-06,4.9217,4.8829,4.986,4.9369
2011-01-07,4.9466,4.8829,5.0061,4.9522
2011-01-10,4.9521,4.8914,4.9963,4.9521
2011-01-11,4.9646,4.9096,5.004,4.9606
2011-01-12,4.9857,4.9449,5.0414,5.0118
2011-01-13,5.033,4.9863,5.081,5.0352
2011-01-14,5.0517,5.0165,5.1187,5.0807
2011-01-18,5.0259,4.9535,5.0788,5.0038
2011-01-19,4.9791,4.8958,5.0182,4.9323
2011-01-20,4.917,4.8423,4.9591,4.892
2011-01-21,4.8977,4.8422,4.9447,4.8917
2011-01-24,4.9025,4.8387,4.9372,4.8815
2011-01-25,4.8861,4.8163,4.9118,4.8608
2011-01-26,4.8706,4.8129,4.8964,4.8422
2011-01-27,4.8559,4.8106,4.8819,4.8354
2011-01-28,4.8485,4.7793,4.8781,4.7942
2011-01-31,4.8102,4.7597,4.8557,4.7973
2011-02-01,4.8224,4.7852,4.8694,4.8266
2011-02-02,4.8413,4.7978,4.8765,4.832
2011-02-03,4.8424,4.7842,4.8689,4.8231
2011-02-04,4.8367,4.7743,4.8535,4.8199
2011-02-07,4.836,4.7903,4.8656,4.8443
2011-02-08,4.8555,4.809,4.8782,4.8591
2011-02-09,4.8634,4.8063,4.8777,4.8536
2011-02-10,4.8428,4.7911,4.8576,4.8296
2011-02-11,4.821,4.7798,4.8694,4.8449
2011-02-14,4.8414,4.8047,4.8849,4.8662
2011-02-15,4.8599,4.8298,4.903,4.882
2011-02-16,4.8869,4.845,4.9164,4.8901
2011-02-17,4.8869,4.856,4.9261,4.9091
2011-02-18,4.9098,4.8737,4.9397,4.913
2011-02-22,4.8901,4.8038,4.9098,4.8427
2011-02-23,4.8351,4.7255,4.861,4.7939
2011-02-24,4.7817,4.6745,4.8085,4.7549
