date,open,low,high,close
2010-01-04,3.7832,3.7115,3.8276,3.7646
2010-01-05,3.7655,3.6968,3.8141,3.7532
2010-01-06,3.7555,3.6877,3.8075,3.7476
2010-01-07,3.7523,3.6839,3.8023,3.7429
2010-01-08,3.7473,3.6754,3.7958,3.7354
2010-01-11,3.743,3.6717,3.7897,3.7303
2010-01-12,3.7356,3.6624,3.7809,3.72
2010-01-13,3.7265,3.6545,3.7711,3.7093
2010-01-14,3.7164,3.6469,3.7603,3.6996
2010-01-15,3.7054,3.6349,3.7476,3.6859
2010-01-19,3.6876,3.6185,3.7385,3.6788
2010-01-20,3.6804,3.6103,3.7317,3.6681
2010-01-21,3.6691,3.5903,3.7185,3.6487
2010-01-22,3.6499,3.5722,3.7025,3.6293
2010-01-25,3.6333,3.5546,3.6843,3.6098
2010-01-26,3.6132,3.5348,3.6641,3.5874
2010-01-27,3.5915,3.5156,3.6429,3.5685
2010-01-28,3.5749,3.5002,3.6257,3.5524
2010-01-29,3.56,3.489,3.6117,3.5411
2010-02-01,3.5503,3.4802,3.6,3.5313
2010-02-02,3.5405,3.4724,3.5907,3.5254
2010-02-03,3.5331,3.4674,3.5843,3.5178
2010-02-04,3.5237,3.4529,3.5729,3.5013
2010-02-05,3.5084,3.4381,3.5566,3.4876
2010-02-08,3.4948,3.4241,3.5412,3.4711
2010-02-09,3.48,3.4088,3.526,3.4569
2010-02-10,3.4653,3.3956,3.5101,3.4444
2010-02-11,3.4519,3.3846,3.496,3.433
2010-02-12,3.4382,3.3732,3.482,3.4206
2010-02-16,3.4275,3.3652,3.4746,3.4152
2010-02-17,3.4252,3.365,3.4734,3.415
2010-02-18,3.424,3.3662,3.4732,3.4157
2010-02-19,3.4228,3.3674,3.4716,3.4159
2010-02-22,3.4236,3.3694,3.472,3.4181
2010-02-23,3.4244,3.3685,3.4724,3.4147
2010-02-24,3.4218,3.3686,3.4713,3.4165
2010-02-25,3.4202,3.3681,3.4678,3.4152
2010-02-26,3.4188,3.3687,3.467,3.4144
2010-03-01,3.4188,3.3675,3.4657,3.4132
2010-03-02,3.4184,3.3686,3.4644,3.4126
2010-03-03,3.418,3.3697,3.4627,3.412
2010-03-04,3.4171,3.3707,3.4636,3.4129
2010-03-05,3.4197,3.3745,3.4653,3.4171
2010-03-08,3.4255,3.3826,3.4719,3.4241
2010-03-09,3.4316,3.3903,3.4908,3.4434
2010-03-10,3.4574,3.4161,3.5191,3.4686
2010-03-11,3.4829,3.4422,3.5513,3.5033
2010-03-12,3.5181,3.4664,3.584,3.5261
2010-03-15,3.5358,3.4842,3.6013,3.5438
2010-03-16,3.556,3.5054,3.6241,3.5685
2010-03-17,3.5825,3.5291,3.6507,3.592
2010-03-18,3.6073,3.5521,3.6721,3.6129
2010-03-19,3.6279,3.569,3.6906,3.6269
2010-03-22,3.6407,3.5842,3.7107,3.647
2010-03-23,3.6626,3.6081,3.7321,3.6706
2010-03-24,3.6839,3.6321,3.7544,3.694
2010-03-25,3.7111,3.6612,3.7849,3.7221
2010-03-26,3.7417,3.6904,3.8135,3.7508
2010-03-29,3.7729,3.7109,3.8426,3.7717
2010-03-30,3.7903,3.7275,3.859,3.7872
2010-03-31,3.8049,3.7412,3.8713,3.8
2010-04-01,3.8198,3.7548,3.8863,3.8186
2010-04-05,3.8418,3.778,3.9055,3.8401
2010-04-06,3.8626,3.801,3.9248,3.8621
2010-04-07,3.8845,3.8254,3.948,3.8863
2010-04-08,3.9072,3.849,3.9744,3.9148
2010-04-09,3.938,3.8817,4.0035,3.9458
2010-04-12,3.9716,3.9158,4.0345,3.9797
2010-04-13,4.0032,3.9487,4.0662,4.0109
2010-04-14,4.0382,3.9853,4.1088,4.0557
2010-04-15,4.0846,4.0222,4.1557,4.0925
2010-04-16,4.1205,4.0411,4.1886,4.1153
2010-04-19,4.146,4.0703,4.2247,4.1526
2010-04-20,4.1887,4.1117,4.2655,4.1925
2010-04-21,4.2297,4.1463,4.3033,4.2285
2010-04-22,4.26,4.1767,4.3319,4.2598
2010-04-23,4.2897,4.2086,4.362,4.2891
2010-04-26,4.3139,4.2277,4.3834,4.3047
2010-04-27,4.3254,4.2327,4.3925,4.3064
2010-04-28,4.33,4.2408,4.4004,4.3134
2010-04-29,4.3398,4.2533,4.4116,4.3255
2010-04-30,4.35,4.259,4.4183,4.3276
2010-05-03,4.3554,4.2649,4.4213,4.3317
