,open,low,high,close
2010-01-04,3.8736,3.8163,3.8545,3.8532
2010-01-05,3.8538,3.7984,3.8404,3.8402
2010-01-06,3.8438,3.7878,3.8346,3.8336
2010-01-07,3.8394,3.7818,3.8288,3.8261
2010-01-08,3.8325,3.7701,3.8209,3.8151
2010-01-11,3.8246,3.762,3.8119,3.8047
2010-01-12,3.8148,3.7501,3.8009,3.7904
2010-01-13,3.8045,3.7419,3.7901,3.7776
2010-01-14,3.7934,3.7328,3.7782,3.7666
2010-01-15,3.782,3.7201,3.7643,3.7525
2010-01-19,3.7656,3.7025,3.7556,3.7456
2010-01-20,3.7594,3.6944,3.75,3.7347
2010-01-21,3.7483,3.6718,3.7351,3.7134
2010-01-22,3.7289,3.6554,3.7174,3.6953
2010-01-25,3.7155,3.6393,3.7,3.6768
2010-01-26,3.6993,3.6246,3.6812,3.6581
2010-01-27,3.6819,3.6051,3.6568,3.6363
2010-01-28,3.6675,3.5926,3.6397,3.6224
2010-01-29,3.6569,3.5863,3.6296,3.6145
2010-02-01,3.6521,3.5811,3.622,3.6069
2010-02-02,3.6442,3.5747,3.6147,3.6027
2010-02-03,3.6386,3.5699,3.6105,3.5962
2010-02-04,3.6321,3.5579,3.6024,3.5814
2010-02-05,3.6177,3.5418,3.5857,3.5662
2010-02-08,3.6048,3.5253,3.5676,3.5477
2010-02-09,3.5878,3.507,3.5491,3.5324
2010-02-10,3.5728,3.4931,3.5314,3.5206
2010-02-11,3.5595,3.4818,3.5167,3.5098
2010-02-12,3.5426,3.4663,3.4989,3.4949
2010-02-16,3.5304,3.4557,3.491,3.4875
2010-02-17,3.5255,3.4523,3.4893,3.4846
2010-02-18,3.5215,3.4503,3.4886,3.4828
2010-02-19,3.5179,3.4483,3.4867,3.4808
2010-02-22,3.5154,3.4471,3.4865,3.4801
2010-02-23,3.5129,3.4437,3.4862,3.4753
2010-02-24,3.5081,3.4414,3.4848,3.4746
2010-02-25,3.5055,3.4395,3.4819,3.4724
2010-02-26,3.5022,3.4378,3.4808,3.4703
2010-03-01,3.4997,3.435,3.4794,3.468
2010-03-02,3.4972,3.4338,3.4782,3.4661
2010-03-03,3.4944,3.4326,3.4762,3.4644
2010-03-04,3.4915,3.4315,3.4763,3.4636
2010-03-05,3.4909,3.4319,3.477,3.4643
2010-03-08,3.4918,3.4333,3.4795,3.4656
2010-03-09,3.4928,3.4344,3.4819,3.4673
2010-03-10,3.4955,3.4373,3.4867,3.4703
2010-03-11,3.4983,3.4402,3.4937,3.4767
2010-03-12,3.5087,3.446,3.505,3.4817
2010-03-15,3.5119,3.451,3.5095,3.4866
2010-03-16,3.5188,3.46,3.5203,3.4984
2010-03-17,3.5423,3.4824,3.5501,3.5174
2010-03-18,3.5614,3.5024,3.5674,3.5297
2010-03-19,3.5735,3.5121,3.5811,3.5364
2010-03-22,3.5789,3.521,3.5967,3.55
2010-03-23,3.5934,3.5427,3.6169,3.5695
