date,open,low,high,close
2010-01-04,45.2675,45.3383,44.333,45.0987
2010-01-05,45.698,45.902,45.5042,46.1569
2010-01-06,46.6929,46.7006,46.5658,47.0353
2010-01-07,47.5996,47.4889,46.7282,47.1151
2010-01-08,47.3476,46.7853,46.5126,46.6861
2010-01-11,47.4184,47.4973,46.5126,47.0132
2010-01-12,46.969,46.6509,46.0729,46.2201
2010-01-13,46.7117,46.8116,45.8525,46.0764
2010-01-14,46.5174,46.8116,45.6305,46.1615
2010-01-15,46.3214,46.0938,45.2592,45.5041
2010-01-19,45.35,45.3862,45.7975,46.5365
2010-01-20,46.8611,46.6359,46.1565,45.9464
2010-01-21,46.2755,44.8946,45.0935,44.5809
2010-01-22,45.1597,45.0615,44.5716,44.4396
2010-01-25,45.4273,44.9922,44.1264,44.2967
2010-01-26,44.8549,44.5741,43.6826,43.725
2010-01-27,44.5378,44.504,43.3869,44.1829
2010-01-28,45.1685,45.0315,43.9656,44.55
2010-01-29,45.3266,45.6445,44.4469,45.2819
2010-02-01,46.0384,45.9945,44.7366,45.4649
2010-02-02,45.9708,46.0828,45.1245,46.1064
2010-02-03,46.2917,46.5271,45.6099,45.7934
2010-02-04,45.9448,45.0179,44.7249,44.3391
2010-02-05,45.052,44.8699,43.8594,44.715
2010-02-08,45.2186,44.8699,43.8594,44.184
2010-02-09,44.9415,44.5668,43.7797,44.4714
2010-02-10,44.8716,44.8509,43.5385,44.6645
2010-02-11,44.9587,45.1369,43.7487,44.7623
2010-02-12,44.8148,44.9788,43.666,44.5224
2010-02-16,45.2603,45.5606,44.9352,45.8022
2010-02-17,46.6616,46.9858,46.1686,46.7628
2010-02-18,46.8347,47.2666,46.3722,46.9541
2010-02-19,46.8347,47.2666,46.1062,46.8685
2010-02-22,47.189,47.4585,46.5221,47.2596
2010-02-23,47.189,46.9375,46.5221,46.3062
2010-02-24,46.6266,47.1342,46.2453,47.2893
2010-02-25,46.8108,47.0455,45.7835,46.7669
2010-02-26,46.8108,47.2474,46.3285,46.8663
2010-03-01,47.094,46.9227,46.234,46.7774
2010-03-02,47.0091,47.3934,46.234,46.8799
2010-03-03,47.0091,47.3934,46.1366,46.8799
2010-03-04,46.9217,47.3934,46.7072,47.1954
2010-03-05,47.6153,48.0298,46.9359,47.9291
2010-03-08,48.3022,48.9715,48.0688,48.5523
2010-03-09,48.4005,48.9715,50.8438,51.1296
2010-03-10,52.1911,52.713,52.9107,52.4345
2010-03-11,52.3647,52.9897,53.9422,54.3809
2010-03-12,54.2645,52.8848,54.3124,52.3032
2010-03-15,51.2613,51.7389,51.3735,51.5404
2010-03-16,51.8451,52.5936,52.5631,52.9365
2010-03-17,53.07,53.2484,53.4916,52.9365
2010-03-18,52.9786,53.3421,52.6725,52.6424
2010-03-19,52.4279,52.2773,52.2655,51.4791
2010-03-22,51.1658,52.0659,52.7537,52.7188
2010-03-23,52.8159,53.9018,53.1923,53.4956
2010-03-24,52.8969,54.1443,53.5624,53.6676
2010-03-25,54.0197,55.3256,55.2704,54.6902
2010-03-26,54.8023,55.5941,55.1618,55.0267
2010-03-29,55.1131,53.9457,55.5173,53.7084
2010-03-30,52.8053,53.3028,53.0573,52.8176
2010-03-31,52.4479,52.8756,52.3396,52.4245
2010-04-01,52.611,52.9714,52.9864,53.5665
2010-04-05,53.8972,54.9288,53.8954,54.2537
2010-04-06,53.8972,55.1097,54.0759,54.5105
2010-04-07,54.2185,55.5633,54.9728,55.1083
2010-04-08,54.5406,55.6545,55.7634,56.0317
2010-04-09,56.035,57.5152,56.4546,56.6906
2010-04-12,56.6829,58.027,57.0518,57.4206
2010-04-13,56.6329,58.1125,57.4191,57.2027
2010-04-14,57.3961,59.0459,59.507,59.6181
2010-04-15,59.3597,59.3806,60.5044,58.3223
2010-04-16,57.6581,55.5701,57.8301,55.7549
2010-04-19,55.9782,57.503,58.6054,58.1529
2010-04-20,58.6063,59.6749,59.5876,58.7916
2010-04-21,58.6733,58.5874,59.3672,58.3888
2010-04-22,56.9871,58.0495,57.7384,57.7848
2010-04-23,57.1264,58.5143,58.2049,57.6837
2010-04-26,56.3382,56.0916,56.6162,55.2264
2010-04-27,54.2346,53.4496,54.3049,52.758
2010-04-28,53.1188,54.0206,54.1583,53.6169
2010-04-29,53.9343,54.7955,54.7694,54.4589
2010-04-30,54.082,53.5906,53.9879,52.776
2010-05-03,53.3,53.6727,53.3009,53.0864
2010-05-04,52.275,52.2625,52.1441,51.7883
2010-05-05,50.7853,50.5516,51.1101,51.1105
2010-05-06,51.1002,49.3412,51.2887,49.947
2010-05-07,50.1217,49.5168,49.9887,49.6188
2010-05-10,52.0663,51.5657,51.9356,51.4047
2010-05-11,50.4656,51.1261,50.9275,50.987
2010-05-12,51.228,51.3412,50.8363,51.0679
2010-05-13,50.5945,50.8458,50.1962,50.3081
2010-05-14,49.6577,49.3621,49.118,49.3947
2010-05-17,49.425,48.1026,48.8513,48.4194
2010-05-18,49.0356,47.6901,48.4057,47.3886
2010-05-19,47.3658,47.6901,47.4376,48.0803
2010-05-20,47.531,46.859,46.7462,46.6761
2010-05-21,45.9898,46.2039,47.138,47.7114
2010-05-24,48.5738,48.4045,48.4399,47.9683
2010-05-25,47.0016,46.7045,47.171,47.9683
2010-05-26,49.4952,49.2918,49.3128,48.6637
2010-05-27,49.9308,50.2738,49.6737,50.0223
2010-05-28,49.8579,50.0275,49.4054,49.5225
2010-06-01,48.9853,49.13,48.6922,48.6169
2010-06-02,48.9128,49.2142,48.4257,49.2179
2010-06-03,49.4457,49.8893,49.3653,49.5607
2010-06-04,48.6349,48.576,48.3398,48.1556
2010-06-07,48.3418,47.3867,47.5028,46.9609
2010-06-08,47.4689,47.6474,46.8974,47.6651
2010-06-09,48.1825,48.5971,48.239,48.9573
2010-06-10,49.5003,49.5282,48.8954,49.2124
2010-06-11,48.8317,49.3629,48.5377,49.0462
2010-06-14,49.296,49.6194,48.6332,49.0462
2010-06-15,49.3739,49.7058,49.2086,50.0063
2010-06-16,49.61,50.0541,49.3049,50.0063
2010-06-17,50.0051,49.8785,49.5963,49.742
2010-06-18,49.6881,50.0567,49.4037,50.1883
2010-06-21,50.3286,50.7688,49.9959,50.2781
2010-06-22,49.9246,50.1327,49.6023,49.5513
2010-06-23,49.5205,49.502,49.1109,49.1001
2010-06-24,48.7973,48.6135,47.9513,48.1199
2010-06-25,48.7169,49.0783,48.872,49.608
2010-06-28,49.3951,49.998,49.6183,50.1532
2010-06-29,49.3122,48.1411,48.6047,47.7871
2010-06-30,48.4035,48.1411,48.0297,48.0639
2010-07-01,48.5787,47.3614,47.9336,48.25
2010-07-02,48.495,48.2143,48.3227,48.3441
2010-07-06,48.9425,48.3089,48.4603,48.3441
2010-07-07,48.5138,48.7848,48.5675,49.3908
2010-07-08,49.6791,50.1841,49.528,50.0459
2010-07-09,49.8567,50.3679,50.0549,50.6949
2010-07-12,50.5662,51.2822,50.8892,51.3378
2010-07-13,51.7382,52.5273,52.6002,53.0285
2010-07-14,52.4599,52.2364,52.3818,52.1556
2010-07-15,52.0871,51.2737,51.9433,51.6751
2010-07-16,50.4468,49.8718,50.4403,49.2741
2010-07-19,49.3923,49.4138,49.8121,50.001
2010-07-20,49.2179,49.8819,50.0231,50.0919
2010-07-21,50.4629,50.0698,50.0231,49.633
2010-07-22,49.9294,50.7274,50.3469,51.0024
2010-07-23,50.1971,50.7274,50.0359,50.3527
2010-07-26,50.1971,51.0134,50.9964,51.5191
2010-07-27,51.8823,52.3264,52.2647,51.6081
2010-07-28,51.1413,51.4253,51.0334,50.9428
2010-07-29,51.2299,51.3254,50.9225,51.2169
2010-07-30,50.4856,51.3254,50.5871,51.0236
2010-08-02,51.6465,52.2838,51.4542,51.855
2010-08-03,51.3639,51.7092,51.1122,51.265
2010-08-04,51.2688,51.7626,50.9972,51.3588
2010-08-05,50.8855,51.3289,50.4208,50.9598
2010-08-06,50.5016,50.7147,50.0755,50.5604
2010-08-09,50.5963,50.7147,50.4779,50.7567
2010-08-10,50.1086,50.608,49.8359,49.9501
2010-08-11,49.3346,48.9331,48.803,48.4811
2010-08-12,48.2917,48.8304,47.9055,48.6857
2010-08-13,48.891,49.3708,48.6261,48.7891
2010-08-16,48.6046,49.0547,48.1743,48.6893
2010-08-17,49.0598,48.8427,48.2965,48.4876
2010-08-18,48.5256,48.9549,48.0661,48.5959
2010-08-19,48.4281,48.3085,47.9498,47.8794
2010-08-20,47.7451,47.5635,46.7982,47.4726
2010-08-23,47.8519,48.0292,47.3129,47.4726
2010-08-24,46.9728,47.2818,46.3999,47.0592
2010-08-25,46.9241,46.858,46.061,46.7486
2010-08-26,47.313,47.0991,46.4587,46.5404
2010-08-27,46.9631,46.8828,46.5922,47.7243
2010-08-30,47.5826,47.2523,46.5922,46.7762
2010-08-31,46.8739,46.8108,46.2346,47.2381
2010-09-01,47.6666,48.1653,47.8627,48.8415
2010-09-02,48.6133,49.2409,48.9116,49.2099
2010-09-03,49.7552,50.0605,49.5566,49.5508
2010-09-07,49.1209,49.1384,48.3159,48.6649
2010-09-08,48.8045,49.2572,48.0711,48.7813
2010-09-09,49.2477,49.8529,49.2478,49.595
2010-09-10,49.5806,50.0912,49.122,49.595
2010-09-13,50.0251,50.8046,50.0304,50.524
2010-09-14,50.1926,50.1966,49.7722,49.939
2010-09-15,49.5732,50.0747,49.0007,49.7049
2010-09-16,49.2362,49.8286,49.662,50.2972
2010-09-17,50.4913,50.6911,50.1874,50.0574
2010-09-20,49.9207,50.5648,49.9225,50.5371
2010-09-21,50.7136,50.5648,50.1899,49.9275
2010-09-22,49.6851,49.795,49.6506,49.2032
2010-09-23,48.681,48.788,48.4591,48.2541
2010-09-24,48.9143,49.4379,48.7371,49.5409
2010-09-27,49.3824,49.6976,49.0168,49.1347
2010-09-28,49.2676,49.3113,48.6122,49.2901
2010-09-29,49.2095,49.7088,49.8743,49.7586
2010-09-30,50.1077,49.9749,50.151,49.6343
2010-10-01,50.3458,50.6387,51.3792,51.8376
2010-10-04,51.5223,51.8092,51.6484,51.0801
2010-10-05,51.3985,52.3202,52.0534,52.2624
2010-10-06,52.2161,52.4484,52.1891,51.8799
2010-10-07,52.2161,53.0898,52.5986,52.8165
2010-10-08,52.6865,53.2181,52.7358,52.9329
2010-10-11,53.0392,52.9237,52.8745,52.8004
2010-10-12,52.2472,53.0557,53.2927,53.5105
2010-10-13,53.4259,53.716,54.1208,53.6288
2010-10-14,52.3742,50.9468,52.086,51.1165
2010-10-15,51.4725,49.8465,51.1828,49.7444
2010-10-18,50.2166,50.6593,52.4409,52.346
2010-10-19,51.7723,51.5901,52.2886,51.0035
2010-10-20,51.3954,51.4491,51.2298,51.5775
2010-10-21,51.7526,51.4491,51.9367,51.0905
2010-10-22,51.3687,52.2587,51.4814,51.5557
2010-10-25,52.7932,52.924,52.7454,52.6994
2010-10-26,52.0184,53.0571,52.4367,52.3225
2010-10-27,52.0184,52.905,52.1264,52.196
2010-10-28,52.3798,53.0419,52.27,52.196
2010-10-29,51.9817,53.0419,51.953,52.196
2010-11-01,52.2278,52.2566,52.2475,51.9319
2010-11-02,52.3669,52.9647,52.2475,52.178
2010-11-03,52.0751,52.9647,52.0825,52.4257
2010-11-04,52.7072,53.5349,54.1449,54.1176
2010-11-05,54.0627,55.3249,56.588,55.9388
2010-11-08,56.2095,56.5046,56.7183,55.2145
2010-11-09,55.5671,54.709,55.8658,53.3501
2010-11-10,53.6282,54.8417,55.6955,54.7027
2010-11-11,54.1511,55.3735,54.8456,53.9079
2010-11-12,53.5371,53.4532,54.5072,52.9944
2010-11-15,53.5371,54.3914,54.1674,53.339
2010-11-16,52.8486,52.694,52.8276,52.0456
2010-11-17,52.1663,52.0928,52.01,51.6634
2010-11-18,52.5401,53.0462,53.3322,52.9517
2010-11-19,52.5401,53.0462,52.3542,52.5375
2010-11-22,52.3989,52.1266,52.0308,51.4126
2010-11-23,50.9374,51.2236,50.4463,50.4147
2010-11-24,50.8687,51.3664,51.0527,51.2329
2010-11-26,50.8687,51.214,50.5806,50.5099
2010-11-29,50.5864,51.214,50.735,50.9949
2010-11-30,50.7254,51.3633,51.807,51.5979
2010-12-01,52.7533,53.5325,52.8503,52.7796
2010-12-02,53.2748,54.3606,54.8388,54.1458
2010-12-03,54.0484,54.7704,54.9767,54.4806
2010-12-06,54.9338,55.7957,55.5292,54.4806
2010-12-07,56.1608,57.2669,57.5173,56.3485
2010-12-08,56.8773,57.3936,57.3435,56.5618
2010-12-09,57.6975,58.5194,58.2417,57.0683
2010-12-10,57.93,58.7656,58.9944,57.9348
2010-12-13,59.0737,59.9737,59.9726,58.3493
2010-12-14,59.1302,58.2385,59.2538,56.6464
2010-12-15,56.8938,56.2524,56.9961,55.2793
2010-12-16,56.0469,56.2524,56.491,55.2318
2010-12-17,55.8165,56.6347,57.1349,56.4641
2010-12-20,57.4188,57.8826,57.6448,56.5712
2010-12-21,57.5348,58.3699,58.0257,56.8948
2010-12-22,57.6522,57.8593,57.8494,56.7515
2010-12-23,57.1703,57.8593,57.143,56.0337
2010-12-27,56.2146,57.3406,58.0545,57.0285
2010-12-28,57.7701,58.5988,58.1837,57.1381
2010-12-29,57.8871,58.5988,58.1837,56.9903
2010-12-30,57.5626,58.5988,57.8153,56.8408
2010-12-31,56.9941,58.0585,57.4455,56.3895
2011-01-03,57.4218,58.8306,59.299,58.2977
2011-01-04,58.9631,59.4629,59.8076,58.2977
2011-01-05,58.4664,60.0864,60.5595,59.0606
2011-01-06,59.8425,60.7011,61.175,58.7483
2011-01-07,59.0958,59.0368,60.2193,58.5908
2011-01-10,58.5183,59.414,58.909,58.1155
2011-01-11,58.8687,59.9145,59.5484,58.4582
2011-01-12,59.3344,60.7754,60.7892,60.0112
2011-01-13,60.4724,61.3779,61.2725,59.3664
2011-01-14,59.7078,61.4176,61.6331,60.3414
2011-01-18,57.8082,56.8476,57.973,55.3855
2011-01-19,56.5358,56.3427,56.4392,54.8304
2011-01-20,55.298,55.8383,55.7723,55.2862
2011-01-21,56.2954,57.39,56.9367,56.2952
2011-01-24,56.9858,57.2196,57.0644,55.8678
2011-01-25,56.0543,56.2015,56.0501,55.2986
2011-01-26,55.8994,56.7236,56.1821,55.1557
2011-01-27,55.7428,56.7236,56.011,55.3901
2011-01-28,55.8685,55.1928,56.2818,53.8167
2011-01-31,54.2996,55.329,55.2443,54.9985
2011-02-01,55.8309,56.927,56.4684,55.9163
