date,open,low,high,close
2010-01-04,3.362,3.3218,3.39,3.358
2010-01-05,3.372,3.342,3.418,3.386
2010-01-06,3.406,3.374,3.472,3.44
2010-01-07,3.472,3.436,3.54,3.506
2010-01-08,3.536,3.476,3.602,3.562
2010-01-11,3.596,3.528,3.654,3.608
2010-01-12,3.63,3.542,3.666,3.606
2010-01-13,3.628,3.54,3.646,3.578
2010-01-14,3.594,3.518,3.616,3.55
2010-01-15,3.562,3.496,3.582,3.516
2010-01-19,3.498,3.436,3.56,3.498
2010-01-20,3.488,3.43,3.558,3.486
2010-01-21,3.468,3.37,3.534,3.44
2010-01-22,3.419,3.314,3.502,3.388
2010-01-25,3.383,3.276,3.468,3.35
2010-01-26,3.359,3.246,3.41,3.272
2010-01-27,3.285,3.184,3.336,3.22
2010-01-28,3.245,3.184,3.302,3.214
2010-01-29,3.244,3.194,3.292,3.228
2010-02-01,3.254,3.214,3.3,3.25
2010-02-02,3.28,3.248,3.328,3.302
2010-02-03,3.324,3.294,3.374,3.336
2010-02-04,3.342,3.288,3.386,3.324
2010-02-05,3.33,3.264,3.366,3.304
2010-02-08,3.304,3.232,3.34,3.266
2010-02-09,3.272,3.19,3.304,3.22
2010-02-10,3.23,3.144,3.252,3.186
2010-02-11,3.2,3.144,3.226,3.192
2010-02-12,3.192,3.144,3.22,3.184
2010-02-16,3.19,3.156,3.238,3.216
2010-02-17,3.228,3.206,3.282,3.262
2010-02-18,3.272,3.256,3.336,3.308
2010-02-19,3.314,3.3,3.38,3.35
2010-02-22,3.368,3.352,3.434,3.406
2010-02-23,3.412,3.38,3.464,3.414
2010-02-24,3.41,3.382,3.464,3.422
2010-02-25,3.408,3.376,3.45,3.414
2010-02-26,3.406,3.374,3.452,3.41
2010-03-01,3.402,3.3609,3.444,3.396
2010-03-02,3.396,3.3689,3.436,3.406
2010-03-03,3.404,3.3729,3.432,3.396
2010-03-04,3.406,3.3789,3.448,3.404
2010-03-05,3.422,3.3929,3.458,3.424
2010-03-08,3.446,3.432,3.49,3.458
2010-03-09,3.474,3.462,3.574,3.542
2010-03-10,3.584,3.568,3.702,3.654
2010-03-11,3.7,3.68,3.842,3.804
2010-03-12,3.847,3.778,3.986,3.898
2010-03-15,3.915,3.836,4.054,3.964
2010-03-16,3.995,3.912,4.0955,4.01
2010-03-17,4.023,3.926,4.1155,4.028
2010-03-18,4.045,3.936,4.0975,3.996
2010-03-19,4.01,3.928,4.0635,3.982
2010-03-22,4.012,3.938,4.096,4.012
2010-03-23,4.04,3.9687,4.1125,4.028
2010-03-24,4.04,3.9907,4.1165,4.048
2010-03-25,4.07,4.0367,4.1745,4.098
2010-03-26,4.132,4.1087,4.2385,4.18
2010-03-29,4.23,4.1547,4.3,4.208
2010-03-30,4.238,4.15,4.306,4.2
2010-03-31,4.236,4.132,4.29,4.18
2010-04-01,4.21,4.09,4.25,4.162
2010-04-05,4.196,4.084,4.232,4.152
2010-04-06,4.174,4.112,4.21,4.174
