date,open,low,high,close
2010-01-04,4.3639,4.2469,4.4408,4.3381
2010-01-05,4.3637,4.2475,4.4395,4.3377
2010-01-06,4.3626,4.2473,4.4374,4.3365
2010-01-07,4.3608,4.2465,4.4347,4.3347
2010-01-08,4.3583,4.2449,4.4313,4.3321
2010-01-11,4.3551,4.2425,4.4271,4.3287
2010-01-12,4.351,4.2391,4.4219,4.3243
2010-01-13,4.346,4.2349,4.4159,4.319
2010-01-14,4.3402,4.23,4.4092,4.3129
2010-01-15,4.3336,4.2243,4.4016,4.306
2010-01-19,4.3261,4.2178,4.3932,4.2985
2010-01-20,4.318,4.2106,4.3841,4.2902
2010-01-21,4.3091,4.2026,4.3744,4.2812
2010-01-22,4.2995,4.1938,4.364,4.2716
2010-01-25,4.2893,4.1845,4.3529,4.2613
2010-01-26,4.2784,4.1745,4.3412,4.2505
2010-01-27,4.2669,4.1641,4.329,4.2392
2010-01-28,4.255,4.1531,4.3163,4.2273
2010-01-29,4.2425,4.1417,4.303,4.2151
2010-02-01,4.2297,4.1301,4.2896,4.2027
2010-02-02,4.2168,4.1184,4.2759,4.19
2010-02-03,4.2037,4.1065,4.2621,4.1771
2010-02-04,4.1904,4.0943,4.2481,4.164
2010-02-05,4.1768,4.0818,4.2338,4.1505
2010-02-08,4.163,4.069,4.2192,4.1368
2010-02-09,4.1489,4.0559,4.2045,4.1228
2010-02-10,4.1343,4.0424,4.1893,4.1084
2010-02-11,4.1196,4.0287,4.1739,4.0939
2010-02-12,4.1045,4.0147,4.1583,4.0791
2010-02-16,4.0892,4.0005,4.1425,4.0642
2010-02-17,4.0738,3.9862,4.1267,4.0492
2010-02-18,4.0584,3.9717,4.1108,4.0341
2010-02-19,4.0429,3.9572,4.0949,4.0189
2010-02-22,4.0273,3.9426,4.0788,4.0036
2010-02-23,4.0117,3.9279,4.0628,3.9882
2010-02-24,3.9961,3.9131,4.0469,3.973
2010-02-25,3.9804,3.8984,4.031,3.9577
2010-02-26,3.9649,3.8836,4.0152,3.9425
2010-03-01,3.9493,3.8688,3.9992,3.9271
2010-03-02,3.9336,3.8539,3.9833,3.9117
2010-03-03,3.918,3.839,3.9674,3.8964
2010-03-04,3.9024,3.8241,3.9515,3.881
2010-03-05,3.8867,3.8092,3.9357,3.8657
2010-03-08,3.8711,3.7943,3.9198,3.8504
2010-03-09,3.8555,3.7796,3.9041,3.8353
2010-03-10,3.8401,3.765,3.8886,3.8204
2010-03-11,3.8248,3.7505,3.8734,3.8056
2010-03-12,3.8098,3.7361,3.8583,3.7909
2010-03-15,3.7949,3.722,3.8434,3.7765
2010-03-16,3.7803,3.7081,3.8288,3.7623
2010-03-17,3.7661,3.6946,3.8147,3.7486
2010-03-18,3.7525,3.6817,3.8011,3.7356
2010-03-19,3.7395,3.6693,3.7881,3.7229
2010-03-22,3.7269,3.6573,3.7755,3.7107
2010-03-23,3.7148,3.6458,3.7635,3.699
2010-03-24,3.7032,3.6348,3.752,3.6878
2010-03-25,3.6923,3.6245,3.7412,3.6773
2010-03-26,3.6819,3.6147,3.731,3.6674
2010-03-29,3.6722,3.6055,3.7214,3.658
2010-03-30,3.663,3.5967,3.7124,3.6492
2010-03-31,3.6543,3.5885,3.7039,3.6409
2010-04-01,3.6462,3.5808,3.6961,3.6332
2010-04-05,3.6387,3.5736,3.6887,3.6259
2010-04-06,3.6316,3.5669,3.6818,3.6191
2010-04-07,3.625,3.5606,3.6753,3.6128
2010-04-08,3.6188,3.5549,3.6693,3.607
2010-04-09,3.6132,3.5498,3.6639,3.6018
2010-04-12,3.6082,3.5453,3.6592,3.5973
2010-04-13,3.6039,3.5414,3.6551,3.5934
2010-04-14,3.6002,3.5381,3.6517,3.5902
2010-04-15,3.5972,3.5354,3.649,3.5877
2010-04-16,3.5949,3.5333,3.6469,3.5857
2010-04-19,3.5932,3.5318,3.6455,3.5843
2010-04-20,3.5922,3.5311,3.6447,3.5837
2010-04-21,3.5919,3.5312,3.6448,3.5839
2010-04-22,3.5924,3.5319,3.6455,3.5848
2010-04-23,3.5937,3.5334,3.647,3.5865
2010-04-26,3.5956,3.5356,3.6492,3.5888
2010-04-27,3.5982,3.5382,3.6521,3.5916
2010-04-28,3.6013,3.5414,3.6555,3.595
2010-04-29,3.605,3.5451,3.6594,3.5989
2010-04-30,3.6091,3.5491,3.6639,3.6032
2010-05-03,3.6137,3.5536,3.6688,3.6079
2010-05-04,3.6188,3.5586,3.6741,3.6132
2010-05-05,3.6243,3.5641,3.68,3.6189
2010-05-06,3.6303,3.57,3.6864,3.6252
2010-05-07,3.6368,3.5764,3.6933,3.6319
2010-05-10,3.644,3.5834,3.7008,3.6392
2010-05-11,3.6516,3.5908,3.7088,3.647
2010-05-12,3.6598,3.5987,3.7174,3.6553
2010-05-13,3.6684,3.6072,3.7264,3.664
2010-05-14,3.6775,3.616,3.7358,3.6731
2010-05-17,3.687,3.6251,3.7456,3.6826
2010-05-18,3.6968,3.6345,3.7557,3.6923
2010-05-19,3.7069,3.6442,3.7661,3.7024
2010-05-20,3.7173,3.6543,3.7769,3.7127
2010-05-21,3.7281,3.6646,3.7879,3.7234
2010-05-24,3.7391,3.6752,3.7993,3.7344
2010-05-25,3.7504,3.686,3.8111,3.7456
2010-05-26,3.762,3.6971,3.8231,3.7572
2010-05-27,3.774,3.7086,3.8355,3.7691
2010-05-28,3.7863,3.7204,3.8483,3.7814
2010-06-01,3.799,3.7325,3.8614,3.7939
2010-06-02,3.812,3.7449,3.8747,3.8067
2010-06-03,3.8252,3.7575,3.8884,3.8198
2010-06-04,3.8386,3.7702,3.9021,3.8328
2010-06-07,3.8519,3.7828,3.9157,3.8458
2010-06-08,3.8652,3.7954,3.9291,3.8585
2010-06-09,3.8783,3.8078,3.9423,3.8712
2010-06-10,3.8913,3.8202,3.9555,3.8839
2010-06-11,3.9043,3.8325,3.9686,3.8964
2010-06-14,3.9171,3.8446,3.9815,3.9086
2010-06-15,3.9295,3.8565,3.9941,3.9207
2010-06-16,3.9418,3.8681,4.0065,3.9326
2010-06-17,3.9539,3.8797,4.0187,3.9444
2010-06-18,3.9658,3.891,4.0307,3.9559
2010-06-21,3.9775,3.902,4.0424,3.9671
2010-06-22,3.9889,3.9128,4.0538,3.978
2010-06-23,4.0,3.9231,4.0648,3.9885
2010-06-24,4.0106,3.9332,4.0754,3.9988
2010-06-25,4.0209,3.943,4.0857,4.0087
2010-06-28,4.031,3.9526,4.0957,4.0185
2010-06-29,4.0409,3.9619,4.1055,4.0279
2010-06-30,4.0504,3.9708,4.115,4.037
2010-07-01,4.0596,3.9794,4.1242,4.0458
2010-07-02,4.0685,3.9877,4.1331,4.0542
2010-07-06,4.077,3.9956,4.1416,4.0622
2010-07-07,4.0852,4.003,4.1497,4.0698
2010-07-08,4.0929,4.0099,4.1573,4.077
2010-07-09,4.1001,4.0164,4.1645,4.0836
2010-07-12,4.1068,4.0224,4.1711,4.0897
2010-07-13,4.1129,4.0279,4.177,4.0952
2010-07-14,4.1184,4.033,4.1825,4.1004
2010-07-15,4.1236,4.0376,4.1874,4.105
2010-07-16,4.1281,4.0415,4.1916,4.1089
2010-07-19,4.1317,4.0447,4.1951,4.112
2010-07-20,4.1348,4.0473,4.198,4.1145
2010-07-21,4.1371,4.0491,4.2002,4.1163
2010-07-22,4.1389,4.0504,4.2017,4.1175
2010-07-23,4.1401,4.0513,4.2028,4.1184
2010-07-26,4.1409,4.0518,4.2035,4.1189
2010-07-27,4.1413,4.0519,4.2037,4.1189
2010-07-28,4.1413,4.0516,4.2035,4.1186
2010-07-29,4.1409,4.051,4.2029,4.118
2010-07-30,4.1401,4.05,4.202,4.117
2010-08-02,4.1391,4.0489,4.2009,4.1158
2010-08-03,4.1379,4.0475,4.1994,4.1143
2010-08-04,4.1364,4.046,4.1977,4.1127
2010-08-05,4.1345,4.0443,4.1956,4.1108
2010-08-06,4.1324,4.0422,4.1932,4.1085
2010-08-09,4.13,4.0398,4.1905,4.106
2010-08-10,4.1272,4.0372,4.1875,4.1033
2010-08-11,4.1243,4.0344,4.1844,4.1003
2010-08-12,4.1212,4.0316,4.1811,4.0973
2010-08-13,4.1179,4.0287,4.1776,4.0942
2010-08-16,4.1145,4.0257,4.1741,4.091
2010-08-17,4.1112,4.0228,4.1705,4.0878
2010-08-18,4.1078,4.0198,4.1668,4.0846
2010-08-19,4.1044,4.0168,4.163,4.0812
2010-08-20,4.1009,4.0138,4.1591,4.0778
2010-08-23,4.0972,4.0106,4.155,4.0742
2010-08-24,4.0933,4.0071,4.1506,4.0703
2010-08-25,4.0891,4.0035,4.146,4.0662
2010-08-26,4.0847,3.9996,4.1412,4.062
2010-08-27,4.0802,3.9956,4.1362,4.0576
2010-08-30,4.0755,3.9914,4.131,4.053
2010-08-31,4.0706,3.9872,4.1258,4.0484
2010-09-01,4.0658,3.983,4.1206,4.0439
2010-09-02,4.0611,3.979,4.1157,4.0396
2010-09-03,4.0566,3.975,4.1108,4.0354
