date,open,low,high,close
2010-01-04,164.9367,162.9837,166.8151,164.9169
2010-01-05,165.0689,163.1408,166.9699,165.1009
2010-01-06,165.2379,163.3149,167.1078,165.2511
2010-01-07,165.3868,163.4893,167.2986,165.4546
2010-01-08,165.5662,163.6608,167.4647,165.5998
2010-01-11,165.7219,163.7732,167.5892,165.6975
2010-01-12,165.7921,163.8266,167.6366,165.7323
2010-01-13,165.8285,163.8642,167.67,165.787
2010-01-14,165.8641,163.9191,167.72,165.832
2010-01-15,165.8926,163.9299,167.7213,165.8218
2010-01-19,165.8781,163.9294,167.716,165.8388
2010-01-20,165.8768,163.9358,167.7236,165.8708
2010-01-21,165.9328,163.8184,167.7773,165.7888
2010-01-22,165.814,163.6287,167.6457,165.5975
2010-01-25,165.6553,163.4791,167.4925,165.4235
2010-01-26,165.4791,163.2696,167.3123,165.1851
2010-01-27,165.2377,163.0237,167.0765,164.9607
2010-01-28,165.0572,162.8094,166.8818,164.7694
2010-01-29,164.8832,162.5635,166.6851,164.5063
2010-02-01,164.6362,162.3446,166.4976,164.3198
2010-02-02,164.4561,162.202,166.3501,164.1988
2010-02-03,164.349,162.1185,166.245,164.0846
2010-02-04,164.2001,161.9273,166.078,163.8648
2010-02-05,163.9807,161.7132,165.8876,163.7057
2010-02-08,163.8215,161.5346,165.7025,163.4991
2010-02-09,163.6392,161.3398,165.503,163.3186
2010-02-10,163.461,161.1827,165.3366,163.1598
2010-02-11,163.3125,161.0363,165.1723,163.0104
2010-02-12,163.1331,160.8741,164.9974,162.8616
2010-02-16,163.0047,160.7712,164.8784,162.772
2010-02-17,162.9226,160.6899,164.7688,162.6817
2010-02-18,162.8028,160.5946,164.6347,162.5677
2010-02-19,162.6668,160.4946,164.5095,162.463
2010-02-22,162.5772,160.4214,164.4023,162.3687
2010-02-23,162.4826,160.3474,164.3336,162.2758
2010-02-24,162.3983,160.2904,164.2503,162.2111
2010-02-25,162.2972,160.1925,164.1222,162.1107
2010-02-26,162.1982,160.1117,164.0053,162.0163
2010-03-01,162.105,160.0471,163.9116,161.9265
2010-03-02,162.0243,159.9956,163.8434,161.8744
2010-03-03,161.9753,159.9503,163.7714,161.8063
2010-03-04,161.9143,159.9201,163.7727,161.8359
2010-03-05,161.9667,160.0034,163.8461,161.9235
2010-03-08,162.0636,160.1256,163.9583,162.0533
2010-03-09,162.1809,160.2547,164.0934,162.1647
2010-03-10,162.3134,160.396,164.2286,162.325
2010-03-11,162.4623,160.5714,164.3817,162.5083
2010-03-12,162.668,160.7916,164.5777,162.7124
2010-03-15,162.853,160.9488,164.7519,162.8898
2010-03-16,163.0411,161.1555,164.9431,163.1078
2010-03-17,163.2677,161.3918,165.1552,163.3297
2010-03-18,163.4797,161.6257,165.3617,163.5611
2010-03-19,163.7208,161.8605,165.5723,163.7962
2010-03-22,163.9256,162.0797,165.7588,163.9988
2010-03-23,164.1276,162.2635,165.94,164.1764
2010-03-24,164.2835,162.45,166.1043,164.3442
2010-03-25,164.4631,162.6521,166.3113,164.5172
2010-03-26,164.6421,162.8039,166.4616,164.6541
2010-03-29,164.7934,162.9487,166.5922,164.8082
2010-03-30,164.9486,163.0758,166.7264,164.9159
2010-03-31,165.0314,163.1869,166.8073,165.0096
2010-04-01,165.141,163.2904,166.8924,165.095
2010-04-05,165.2318,163.3966,166.9986,165.2272
2010-04-06,165.3528,163.5401,167.1116,165.353
2010-04-07,165.4764,163.692,167.2884,165.5334
2010-04-08,165.6505,163.882,167.5099,165.7624
2010-04-09,165.8903,164.1053,167.7311,165.9814
2010-04-12,166.1112,164.3304,167.9385,166.1758
2010-04-13,166.2988,164.5399,168.1362,166.3901
2010-04-14,166.5875,164.8437,168.4281,166.6939
2010-04-15,166.8982,165.1522,168.7096,166.982
2010-04-16,167.1724,164.9947,168.9998,166.879
2010-04-19,166.9827,164.8309,168.9134,166.8207
2010-04-20,166.9738,164.7189,168.8773,166.7085
2010-04-21,166.8868,164.5924,168.7832,166.581
2010-04-22,166.74,164.4563,168.672,166.4576
2010-04-23,166.6326,164.334,168.5417,166.3091
2010-04-26,166.4701,164.124,168.3523,166.075
2010-04-27,166.2042,163.8949,168.1529,165.8613
2010-04-28,166.0477,163.744,167.9807,165.7162
2010-04-29,165.9412,163.6554,167.8671,165.6264
2010-04-30,165.711,163.3217,167.6152,165.2916
2010-05-03,165.4181,163.0465,167.3371,165.0327
2010-05-04,165.1494,162.7971,167.0914,164.7772
2010-05-05,164.8699,162.5414,166.8312,164.5053
2010-05-06,164.5848,162.1564,166.5328,164.1416
2010-05-07,164.27,161.8178,166.2052,163.7949
2010-05-10,164.0211,161.4798,165.9379,163.4676
2010-05-11,163.6667,161.1531,165.6029,163.1152
2010-05-12,163.3482,160.8437,165.3086,162.8543
2010-05-13,163.1025,160.5744,165.0322,162.5558
2010-05-14,162.7797,160.2683,164.6899,162.239
2010-05-17,162.4631,159.9119,164.3556,161.9177
2010-05-18,162.1554,159.5298,164.0178,161.5151
2010-05-19,161.7586,159.1457,163.6262,161.1641
2010-05-20,161.3724,158.7621,163.2305,160.7532
2010-05-21,160.9741,158.3931,162.9063,160.4231
2010-05-24,160.6631,158.0344,162.5791,160.0341
2010-05-25,160.238,157.6436,162.2613,159.7476
2010-05-26,159.9764,157.3493,161.9914,159.4288
2010-05-27,159.697,157.0819,161.7137,159.1914
2010-05-28,159.4465,156.8527,161.4528,158.9467
2010-06-01,159.1976,156.6043,161.206,158.6665
2010-06-02,158.9156,156.3508,160.9404,158.4397
2010-06-03,158.686,156.1237,160.6831,158.2037
2010-06-04,158.4153,155.8875,160.4403,157.9421
2010-06-07,158.1508,155.5918,160.1588,157.6263
2010-06-08,157.8391,155.255,159.8231,157.301
2010-06-09,157.5236,154.943,159.4886,156.9649
2010-06-10,157.197,154.5554,159.1326,156.5847
2010-06-11,156.8057,154.202,158.7542,156.2413
2010-06-14,156.4828,153.861,158.3994,155.8675
2010-06-15,156.1246,153.5239,158.0551,155.5566
2010-06-16,155.7956,153.2319,157.7306,155.2534
2010-06-17,155.4867,152.9366,157.4134,154.9594
2010-06-18,155.1971,152.6839,157.1233,154.6843
2010-06-21,154.9421,152.4318,156.8451,154.4065
2010-06-22,154.6568,152.1393,156.532,154.0849
2010-06-23,154.3166,151.8212,156.2017,153.7732
2010-06-24,153.9858,151.5144,155.8702,153.4651
2010-06-25,153.7072,151.2507,155.6248,153.2388
2010-06-28,153.4887,151.0093,155.3748,152.967
2010-06-29,153.1853,150.7169,155.0548,152.6522
2010-06-30,152.8655,150.394,154.7145,152.3016
2010-07-01,152.5184,150.0515,154.3708,151.9547
2010-07-02,152.1838,149.7177,154.0103,151.6125
2010-07-06,151.8815,149.412,153.6887,151.2953
2010-07-07,151.5628,149.1277,153.4008,151.0417
2010-07-08,151.3227,148.8725,153.1348,150.7863
2010-07-09,151.061,148.6384,152.8948,150.5777
2010-07-12,150.8405,148.4317,152.6557,150.3592
2010-07-13,150.6382,148.2624,152.468,150.1935
2010-07-14,150.4522,148.0886,152.2568,150.0109
2010-07-15,150.2812,147.9202,152.1584,149.9324
2010-07-16,150.3006,147.8896,152.1558,149.8707
2010-07-19,150.2575,147.8274,152.0827,149.802
2010-07-20,150.1251,147.7245,152.0442,149.7874
2010-07-21,150.1239,147.7104,152.0265,149.7415
2010-07-22,150.1035,147.6522,151.9914,149.6892
2010-07-23,150.0469,147.6016,151.9326,149.6514
2010-07-26,150.0033,147.5624,151.8846,149.6276
2010-07-27,149.9883,147.5532,151.8481,149.5883
2010-07-28,149.9393,147.5405,151.7957,149.5491
2010-07-29,149.912,147.542,151.8179,149.5988
2010-07-30,149.9356,147.5954,151.844,149.6188
2010-08-02,149.9828,147.6612,151.8734,149.67
2010-08-03,150.0179,147.7227,151.9076,149.7277
2010-08-04,150.0769,147.8092,151.9952,149.8372
