,open,low,high,close
2010-01-04,166.1983,164.9327,168.0782,166.585
2010-01-05,166.8461,165.6601,168.8574,167.495
2010-01-06,167.6588,166.4315,169.4786,168.1393
2010-01-07,168.2932,167.1475,170.3616,169.047
2010-01-08,169.0586,167.7954,171.0348,169.5482
2010-01-11,169.6302,168.0549,171.4181,169.7398
2010-01-12,169.6664,167.9573,171.3288,169.557
2010-01-13,169.5086,167.7823,171.1708,169.5106
2010-01-14,169.3649,167.728,171.1279,169.4172
2010-01-15,169.1968,167.4282,170.8109,169.0165
2010-01-19,168.7981,167.0922,170.4858,168.8111
2010-01-20,168.5126,166.8282,170.2662,168.7139
2010-01-21,168.5866,165.8702,170.3361,167.9669
2010-01-22,167.6441,164.5731,169.3279,166.6481
2010-01-25,166.5475,163.6137,168.2776,165.5369
2010-01-26,165.4392,162.3839,167.156,164.141
2010-01-27,164.0402,161.0397,165.8011,162.9371
2010-01-28,163.1059,159.9835,164.7915,162.0183
2010-01-29,162.2806,158.8241,163.8475,160.7518
2010-02-01,161.0938,157.9085,163.0287,160.0259
2010-02-02,160.3849,157.5029,162.5022,159.732
2010-02-03,160.1502,157.4655,162.2582,159.4937
2010-02-04,159.6854,156.7974,161.6679,158.6543
2010-02-05,158.8406,156.0424,160.9814,158.2263
2010-02-08,158.4053,155.545,160.3736,157.5476
2010-02-09,157.8619,154.9836,159.7219,157.0659
2010-02-10,157.377,154.6766,159.3055,156.7387
2010-02-11,157.0935,154.4455,158.9259,156.4826
2010-02-12,156.6436,154.1307,158.5044,156.2395
2010-02-16,156.5156,154.1754,158.4316,156.35
2010-02-17,156.657,154.331,158.4086,156.4367
2010-02-18,156.5573,154.3833,158.2354,156.3694
2010-02-19,156.3623,154.3935,158.1177,156.3514
2010-02-22,156.4421,154.5493,158.1037,156.3855
2010-02-23,156.4771,154.6789,158.3043,156.4155
2010-02-24,156.5593,154.8876,158.3943,156.5978
2010-02-25,156.5279,154.8335,158.2082,156.5494
