date,open,low,high,close
2010-01-04,23.33,24.46,24.4,23.64
2010-01-05,24.02,24.49,25.11,26.48
2010-01-06,23.37,23.13,19.4,19.0
2010-01-07,19.32,20.14,20.7552,20.83
2010-01-08,20.46,18.43,19.49,17.47
2010-01-11,17.31,13.24,14.33,11.53
2010-01-12,10.12,10.01,10.47,8.02
2010-01-13,9.82,8.78,8.42,8.61
2010-01-14,7.8,7.9125,4.3,3.08
2010-01-15,3.17,1.7699,2.8,0.49
2010-01-19,0.31,1.9,1.9275,2.99
2010-01-20,3.5,4.82,5.79,7.25
2010-01-21,10.08,-1.13,10.02,1.43
2010-01-22,-2.42,-8.46,-4.35,-8.3
2010-01-25,-6.24,-6.8,-5.57,-8.32
2010-01-26,-10.29,-12.6,-9.79,-13.22
2010-01-27,-12.24,-14.69,-12.54,-13.67
2010-01-28,-11.52,-14.66,-13.76,-15.35
2010-01-29,-14.96,-18.0,-16.06,-18.03
2010-02-01,-18.48,-13.52,-13.05,-10.52
2010-02-02,-9.55,-5.75,-6.38,-3.42
2010-02-03,-2.02,-2.04,-2.28,-1.99
2010-02-04,-4.6,-9.12,-8.33,-13.08
2010-02-05,-14.425,-13.74,-11.03,-10.32
2010-02-08,-9.7,-9.97,-9.79,-11.63
2010-02-09,-6.62,-7.55,-6.08,-4.76
2010-02-10,-6.9,-7.73,-5.55,-6.85
2010-02-11,-4.71,-5.75,-5.18,-5.88
2010-02-12,-7.83,-8.96,-8.34,-8.05
2010-02-16,-8.46,-7.42,-7.16,-6.11
2010-02-17,-6.36,-6.77,-8.07,-5.32
2010-02-18,-7.72,-8.16,-8.71,-9.21
2010-02-19,-9.78,-9.21,-9.41,-9.77
2010-02-22,-8.49,-7.22,-7.93,-8.31
2010-02-23,-9.06,-7.49,-6.04,-7.72
2010-02-24,-5.61,-4.38,-6.34,-7.13
2010-02-25,-8.57,-5.61,-9.94,-4.08
2010-02-26,-3.87,-2.88,-4.45,-2.19
2010-03-01,-3.41,-3.38,-3.96,-5.12
2010-03-02,-4.36,-4.45,-4.1,-4.22
