,open,low,high,close
2010-01-04,64.158,67.3297,70.1593,68.1354
2010-01-05,70.4191,73.4052,73.5862,72.7501
2010-01-06,74.4241,75.3832,69.6929,66.205
2010-01-07,69.7508,75.7038,75.2621,71.3921
2010-01-08,73.2851,75.7038,69.6888,61.1212
2010-01-11,67.7294,58.6738,60.7187,54.0499
2010-01-12,50.7358,46.7772,47.5711,46.0067
2010-01-13,45.6911,44.1819,45.6295,48.8342
2010-01-14,45.6659,48.0284,48.6482,47.6368
2010-01-15,44.5722,40.5474,41.5244,40.8022
2010-01-19,38.021,38.8123,40.6135,45.148
2010-01-20,40.9619,40.558,43.3002,47.5589
2010-01-21,52.1147,25.8359,51.9962,34.8828
2010-01-22,31.8255,20.8109,30.9532,27.0645
2010-01-25,28.8151,28.5023,29.2576,29.3075
2010-01-26,27.4407,24.1083,27.2021,25.202
2010-01-27,23.2408,21.7282,23.5553,26.922
2010-01-28,32.8007,27.2457,30.1694,31.9425
2010-01-29,33.3572,24.774,29.766,26.7327
2010-02-01,27.7413,29.4277,30.9521,37.6383
2010-02-02,37.4424,42.0586,38.0239,45.4348
2010-02-03,46.3628,49.8331,44.8321,46.0057
2010-02-04,42.2121,38.7213,37.5449,36.4381
2010-02-05,36.1645,36.5717,34.9426,43.3882
2010-02-08,43.1793,41.0587,35.378,39.2004
2010-02-09,40.9095,39.2095,33.4752,42.0247
2010-02-10,41.0629,44.2415,39.6136,44.3792
2010-02-11,44.7742,45.4075,39.5467,45.2887
2010-02-12,41.1855,43.137,37.6192,45.0548
2010-02-16,47.8845,51.531,48.6148,52.8746
2010-02-17,53.3276,54.1604,49.9756,52.5394
2010-02-18,48.3599,51.7624,45.2424,48.784
2010-02-19,46.1609,50.7161,46.6802,49.953
2010-02-22,52.0815,54.7308,50.123,51.4046
2010-02-23,51.1749,54.3475,57.2118,51.3733
2010-02-24,52.4253,57.023,53.5852,56.1945
2010-02-25,49.4767,48.6143,44.4263,48.8058
2010-02-26,49.5619,51.5411,46.418,49.6595
2010-03-01,50.3373,54.3387,51.0275,50.3319
2010-03-02,52.5111,56.6024,55.775,57.6443
2010-03-03,58.1603,57.612,54.5673,53.5608
2010-03-04,55.0688,60.4254,66.4177,67.9752
2010-03-05,70.3004,74.9115,73.9635,73.5121
2010-03-08,74.2212,78.0928,77.1299,76.8288
2010-03-09,75.9293,78.75,78.8947,73.0464
2010-03-10,77.2303,79.833,79.0612,76.9772
2010-03-11,78.6366,82.3892,80.5581,78.7285
2010-03-12,82.4504,85.1153,83.5082,80.2687
2010-03-15,77.9125,70.071,78.0897,74.3681
2010-03-16,78.3864,74.4746,79.6591,77.7488
2010-03-17,81.3466,76.8653,81.428,78.2871
2010-03-18,78.2405,76.9726,80.7334,79.2892
2010-03-19,80.7083,77.3487,81.3586,79.8629
2010-03-22,71.7165,74.0137,74.0461,71.3586
2010-03-23,71.787,65.5522,73.2334,65.4583
2010-03-24,60.7923,66.3239,68.1854,63.6093
2010-03-25,64.4961,68.8496,74.54,64.8947
2010-03-26,64.8192,56.9102,59.1404,55.8189
2010-03-29,58.445,55.897,55.0572,59.4791
2010-03-30,59.5855,52.2953,56.1778,49.2262
2010-03-31,44.6967,49.1156,45.0518,46.713
2010-04-01,50.2712,47.7863,46.3386,45.308
2010-04-05,47.0827,48.9701,51.431,55.8809
2010-04-06,53.2028,58.2428,53.3001,54.8392
2010-04-07,54.0593,60.4568,64.8801,64.5975
2010-04-08,62.7447,67.6001,70.7152,70.9311
2010-04-09,70.7467,72.5519,71.0834,69.2649
2010-04-12,67.2161,73.2476,68.1513,63.6672
2010-04-13,60.6376,69.0708,66.2583,66.9376
2010-04-14,71.5514,79.6154,77.1616,76.4207
2010-04-15,73.6362,80.3522,75.6077,73.7271
2010-04-16,67.1916,27.5803,76.8422,30.4643
2010-04-19,27.7748,27.1921,29.8479,35.1634
2010-04-20,42.3197,32.9154,35.598,32.0916
2010-04-21,38.5263,31.9842,32.0962,31.1413
2010-04-22,35.7357,31.2859,31.0137,31.3992
2010-04-23,38.7162,32.9132,29.7615,29.6995
2010-04-26,35.8775,27.3571,26.3205,24.8375
2010-04-27,31.1464,26.1318,25.6148,27.3239
2010-04-28,39.8743,36.5897,29.4507,36.4982
2010-04-29,43.4644,43.7088,37.7562,43.0026
2010-04-30,36.9716,28.8694,28.4108,28.1074
2010-05-03,33.9785,34.2072,26.815,35.2339
2010-05-04,35.6744,36.3331,30.7843,35.1889
2010-05-05,34.8961,35.7096,29.5987,33.9722
2010-05-06,34.341,28.6508,26.9549,28.815
2010-05-07,32.4015,33.058,24.965,30.1596
2010-05-10,39.1479,32.7814,33.7208,31.9501
2010-05-11,32.6243,33.5027,28.814,30.0544
2010-05-12,35.8891,35.1163,34.0261,40.993
2010-05-13,42.7866,39.8688,35.9646,37.7912
2010-05-14,37.4132,36.3821,30.5958,36.0491
2010-05-17,37.5189,32.1979,30.995,35.2979
2010-05-18,37.9458,30.0023,30.2852,29.2393
2010-05-19,31.6725,29.4247,25.9408,35.6117
2010-05-20,32.2148,28.9907,25.2299,31.0728
2010-05-21,30.9905,30.6154,37.0846,40.5815
2010-05-24,41.7891,31.5207,36.2776,35.8091
2010-05-25,33.2474,27.924,37.0086,46.2913
2010-05-26,48.5923,44.6129,44.6773,43.2687
2010-05-27,46.8937,47.9084,43.0056,50.6373
2010-05-28,49.0689,52.6819,45.2805,49.5757
2010-06-01,48.8303,49.2724,47.1554,45.8598
2010-06-02,45.3676,47.8948,43.3083,50.9182
2010-06-03,50.3997,51.5501,44.2113,49.55
2010-06-04,45.9699,49.3171,46.5572,46.4102
2010-06-07,46.1809,39.9274,38.9298,40.6958
2010-06-08,41.091,34.6155,31.1105,39.339
2010-06-09,40.2281,38.4196,30.6156,37.8137
2010-06-10,38.6067,30.2085,27.5281,33.3689
2010-06-11,32.3565,35.5005,24.649,38.339
2010-06-14,41.6484,36.7543,29.6848,34.9329
2010-06-15,37.8574,36.5569,31.0849,43.677
2010-06-16,41.2817,44.534,35.3279,44.0633
2010-06-17,43.437,43.3001,35.9394,44.7474
2010-06-18,45.6056,50.4432,42.6656,47.1241
2010-06-21,50.0677,49.8071,44.7345,45.9993
2010-06-22,45.3048,42.1562,36.5541,39.0547
2010-06-23,38.3038,37.7503,32.7551,40.0099
2010-06-24,38.9944,39.1929,31.6867,39.7872
2010-06-25,46.8455,47.4384,52.7491,54.4392
2010-06-28,54.5721,50.9649,50.906,46.3977
2010-06-29,43.405,41.5471,38.0399,40.0444
2010-06-30,41.1524,36.7261,34.7052,35.4176
2010-07-01,37.8146,33.6524,33.5458,35.1817
2010-07-02,38.9753,34.4139,30.7065,35.062
2010-07-06,43.5212,39.9735,39.108,39.5564
2010-07-07,40.8262,43.8087,45.4676,50.9646
2010-07-08,52.1678,49.1838,49.0046,49.8805
2010-07-09,48.5663,52.6619,53.3079,57.0192
2010-07-12,53.6899,57.2112,52.6033,54.34
2010-07-13,55.6324,62.9291,61.2578,61.7385
2010-07-14,57.3949,60.9495,55.0372,57.6233
2010-07-15,59.0646,61.4382,69.3451,69.3671
2010-07-16,75.6767,77.2319,76.5144,70.7559
2010-07-19,65.8262,69.7149,64.0648,68.9641
2010-07-20,54.449,61.0774,66.8907,73.8199
2010-07-21,64.2819,69.7492,68.5682,66.9061
2010-07-22,62.0687,61.9512,65.335,65.3477
2010-07-23,57.8506,62.6556,61.0232,66.9607
2010-07-26,58.8809,63.8175,62.1375,68.5668
2010-07-27,61.2959,67.0074,63.4368,64.4488
2010-07-28,56.7434,66.2103,59.9395,64.3161
2010-07-29,58.809,67.8521,68.5288,74.6993
2010-07-30,63.5049,73.24,68.9561,67.5543
2010-08-02,65.5854,74.4555,69.365,70.9252
2010-08-03,63.6651,73.5391,69.9762,71.6911
2010-08-04,66.0331,76.1338,75.5493,76.5934
2010-08-05,69.0375,78.223,70.967,74.4146
2010-08-06,65.5443,74.9429,70.2317,71.0242
2010-08-09,67.8493,76.3755,70.5286,71.4538
2010-08-10,61.5615,68.8539,63.358,64.2384
2010-08-11,54.7702,51.7163,51.983,47.6608
2010-08-12,45.3254,48.2769,47.1911,48.2038
2010-08-13,49.2313,49.1983,46.716,44.1888
2010-08-16,45.1247,45.5888,42.4,43.2334
2010-08-17,48.0662,49.8998,45.1153,46.5633
2010-08-18,47.7046,48.3684,45.8088,49.0059
2010-08-19,48.1074,43.1631,44.639,41.5651
2010-08-20,44.5038,47.3729,41.7218,46.5556
2010-08-23,46.9451,44.8969,39.7555,41.5819
2010-08-24,37.9006,35.9644,29.7713,34.0616
2010-08-25,33.5906,33.1443,29.3362,37.3553
2010-08-26,41.5021,30.4424,28.8386,30.6642
2010-08-27,33.5568,23.7208,20.9102,26.8312
2010-08-30,29.7381,21.2721,18.2528,22.2052
2010-08-31,26.0441,20.0369,15.4433,23.486
2010-09-01,35.5587,30.5153,28.9293,35.723
2010-09-02,38.4896,33.6399,28.5172,35.8851
2010-09-03,43.7147,45.6679,56.7583,57.995
2010-09-07,55.0794,54.6173,51.6932,52.4309
2010-09-08,53.0561,57.9217,59.5346,57.5054
2010-09-09,61.9505,65.2228,61.6002,60.7038
2010-09-10,60.9897,65.8724,61.7491,63.1138
2010-09-13,66.0587,72.336,69.2294,69.69
2010-09-14,68.0277,72.0319,65.7757,63.8432
2010-09-15,61.9107,65.2418,62.3521,63.8981
2010-09-16,63.1129,66.3489,61.1551,62.7344
2010-09-17,62.502,63.5931,61.1144,58.2685
2010-09-20,58.3322,60.4765,60.7994,60.5643
2010-09-21,61.2078,63.9887,66.7097,58.617
2010-09-22,53.3832,50.0008,50.9101,47.351
2010-09-23,43.1876,39.5253,41.0267,39.3722
2010-09-24,42.9086,45.7846,43.4466,46.8373
2010-09-27,45.6062,45.6704,46.1698,43.6146
2010-09-28,44.0835,40.8081,41.4698,41.1797
2010-09-29,39.6953,36.9459,37.3479,39.7116
2010-09-30,40.7076,43.7902,44.5209,40.3523
2010-10-01,40.5432,45.7243,49.5027,51.5167
2010-10-04,51.4381,45.3244,49.4054,47.9082
2010-10-05,50.8582,50.7843,55.2952,56.8285
2010-10-06,58.9094,60.5652,61.0075,60.0466
2010-10-07,65.6482,62.9621,61.0884,60.738
2010-10-08,61.1179,64.5365,63.9662,64.6408
2010-10-11,65.3273,66.2905,62.4368,62.5892
2010-10-12,58.9374,64.8647,68.7557,69.6033
2010-10-13,70.5992,73.1933,71.5497,67.3654
2010-10-14,62.4418,56.336,60.0092,54.6043
2010-10-15,56.9978,56.6537,53.6047,51.4976
2010-10-18,51.3165,57.2508,58.7691,59.9626
2010-10-19,61.5126,65.5483,70.3232,66.4836
2010-10-20,63.6618,67.9092,71.2488,71.4166
2010-10-21,69.6021,74.1592,73.3477,70.2204
2010-10-22,70.1017,71.3019,66.7625,64.097
2010-10-25,67.9795,65.5491,64.5183,62.6388
2010-10-26,58.2241,66.1898,61.4028,64.8029
2010-10-27,59.3772,67.4072,66.1014,68.9349
2010-10-28,67.2262,74.7897,72.5006,74.4677
2010-10-29,69.5258,75.6965,71.6051,65.6028
2010-11-01,67.965,71.3361,68.4575,66.5261
2010-11-02,68.5634,74.7177,68.5536,69.1407
2010-11-03,70.8965,67.9922,69.0256,68.2405
2010-11-04,71.8097,72.6985,76.142,75.3093
2010-11-05,76.2668,78.1397,82.6984,81.1207
2010-11-08,81.6524,82.0526,83.161,73.4459
2010-11-09,82.0523,68.7277,79.0127,63.9234
2010-11-10,64.2983,67.0495,68.0886,65.1912
2010-11-11,62.3449,67.5007,68.6146,66.1576
2010-11-12,63.7566,62.5687,64.8068,59.1559
2010-11-15,60.7615,63.5043,67.9624,62.423
2010-11-16,61.1047,61.8347,57.0945,54.9715
2010-11-17,57.9159,58.6061,52.0925,54.2586
2010-11-18,59.8665,63.7099,61.5286,60.8643
2010-11-19,65.5074,64.018,56.934,58.2793
2010-11-22,51.334,38.0201,46.0273,41.9272
2010-11-23,36.9135,36.2359,37.7334,35.4895
2010-11-24,36.6059,39.7694,37.3042,42.8801
2010-11-26,35.4341,38.4912,34.3717,38.8158
2010-11-29,34.8393,39.1701,32.0299,38.8158
2010-11-30,34.4379,33.4773,36.7344,34.6782
2010-12-01,36.4975,37.6408,36.4065,42.2715
2010-12-02,40.3854,45.7174,51.4179,52.9305
2010-12-03,50.5683,53.4065,49.0362,52.4259
2010-12-06,52.0497,55.2106,51.3402,53.3108
2010-12-07,62.3065,54.9915,56.36,50.0836
2010-12-08,51.3766,56.7092,60.3051,61.2667
2010-12-09,64.8608,68.2555,64.4961,61.9127
2010-12-10,62.6026,68.6169,66.2659,66.016
2010-12-13,66.6286,73.1462,71.6154,67.9352
2010-12-14,69.4488,67.4164,67.1258,59.9302
2010-12-15,57.8564,59.031,55.831,53.0779
2010-12-16,54.677,51.2518,50.9662,50.7949
