date,open,low,high,close
2010-01-04,165.051,163.5079,166.695,165.21
2010-01-05,165.326,163.9599,167.118,165.655
2010-01-06,165.769,164.4599,167.519,166.1755
2010-01-07,166.329,165.1049,168.2515,166.967
2010-01-08,167.039,165.7664,168.7705,167.3605
2010-01-11,167.4575,166.0844,169.1265,167.602
2010-01-12,167.581,166.1649,169.253,167.693
2010-01-13,167.6575,166.2779,169.4115,167.8415
2010-01-14,167.817,166.5331,169.6475,168.131
2010-01-15,168.0045,166.6086,169.743,168.142
2010-01-19,168.1395,166.7621,169.9319,168.4385
2010-01-20,168.339,166.9681,170.1719,168.6685
2010-01-21,168.614,166.6356,170.3844,168.4395
2010-01-22,168.2735,166.0231,170.0569,167.9155
2010-01-25,167.827,165.5786,169.6819,167.483
2010-01-26,167.3725,164.9481,169.2619,166.8285
2010-01-27,166.7085,164.1871,168.6229,166.2155
2010-01-28,166.196,163.5241,168.1234,165.674
2010-01-29,165.715,162.7301,167.5034,164.775
2010-02-01,164.8415,161.8441,166.7594,163.9895
2010-02-02,164.0215,161.0511,165.9219,163.1825
2010-02-03,163.2675,160.2781,165.1059,162.237
2010-02-04,162.262,159.1126,164.1399,161.058
2010-02-05,161.0867,157.8586,162.9254,159.8825
2010-02-08,159.9837,156.7021,161.7839,158.722
2010-02-09,158.8657,155.6586,160.7074,157.7685
2010-02-10,158.0037,154.8951,159.9509,157.059
2010-02-11,157.3232,154.2016,159.2334,156.308
2010-02-12,156.5417,153.398,158.4224,155.578
2010-02-16,155.9267,152.899,157.9194,155.1875
2010-02-17,155.5762,152.4945,157.459,154.7075
2010-02-18,155.0667,152.0225,156.8795,154.1045
2010-02-19,154.3277,151.9085,156.1795,153.87
2010-02-22,154.2532,152.0975,156.0905,153.9995
2010-02-23,154.2872,152.168,156.186,154.0855
2010-02-24,154.4087,152.4765,156.3235,154.458
2010-02-25,154.6827,152.779,156.499,154.6875
2010-02-26,154.7842,153.0445,156.5885,154.8405
2010-03-01,154.8877,153.4625,156.759,155.2315
2010-03-02,155.2557,153.8475,156.984,155.5125
2010-03-03,155.5252,154.0265,157.0815,155.5515
2010-03-04,155.5417,154.0765,157.277,155.8705
2010-03-05,156.0337,154.804,157.8865,156.6955
2010-03-08,156.887,155.7335,158.698,157.4795
2010-03-09,157.6345,156.5925,159.578,158.367
2010-03-10,158.5125,157.5535,160.5185,159.3395
2010-03-11,159.444,158.5205,161.4295,160.3335
2010-03-12,160.4745,159.608,162.4805,161.379
2010-03-15,161.5535,160.57,163.5155,162.359
2010-03-16,162.505,161.518,164.4495,163.2985
2010-03-17,163.448,162.506,165.434,164.2675
2010-03-18,164.4775,163.545,166.492,165.3535
2010-03-19,165.6615,164.618,167.5525,166.4395
2010-03-22,166.612,165.578,168.5015,167.4119
2010-03-23,167.584,166.447,169.3315,168.3184
2010-03-24,168.399,167.2855,170.167,169.1224
2010-03-25,169.3495,168.3085,171.2815,170.0629
2010-03-26,170.3055,169.141,172.206,170.8889
2010-03-29,171.1735,169.9145,173.013,171.7644
2010-03-30,172.0275,170.604,173.7645,172.3959
2010-03-31,172.5755,171.235,174.375,173.0414
2010-04-01,173.249,171.8045,174.7825,173.3719
2010-04-05,173.5275,172.043,175.0385,173.6709
2010-04-06,173.764,172.2775,175.1985,173.8239
2010-04-07,173.9475,172.518,175.4835,174.1994
2010-04-08,174.2395,172.8385,175.9065,174.5774
2010-04-09,174.6835,173.1585,176.278,174.8579
2010-04-12,174.901,173.3505,176.4802,175.0019
2010-04-13,175.0815,173.687,176.7202,175.2879
2010-04-14,175.5605,174.1625,177.1962,175.7244
2010-04-15,175.9945,174.567,177.5822,176.1059
2010-04-16,176.3655,173.5615,178.0152,175.2684
2010-04-19,175.236,172.514,177.2912,174.5394
2010-04-20,174.7475,171.6525,176.7792,173.7305
2010-04-21,174.0185,170.838,176.0957,172.9355
2010-04-22,173.233,169.9705,175.3977,172.1675
2010-04-23,172.4805,169.0815,174.4972,171.2925
2010-04-26,171.5475,168.062,173.5727,170.2505
2010-04-27,170.3665,166.9875,172.6607,169.2
2010-04-28,169.4865,166.187,171.8042,168.4815
2010-04-29,168.964,165.6115,171.2737,167.962
2010-04-30,167.973,164.3015,170.2987,166.711
2010-05-03,166.831,163.1397,169.1627,165.528
2010-05-04,165.652,161.9237,168.0857,164.3555
2010-05-05,164.4125,160.6432,166.7517,162.947
2010-05-06,162.9815,158.8322,165.1432,161.088
2010-05-07,161.2365,157.0322,163.4207,159.2815
2010-05-10,159.723,155.2002,161.8965,157.581
2010-05-11,157.965,153.4222,160.1715,155.717
2010-05-12,155.9815,151.3827,158.257,153.831
2010-05-13,154.1225,149.4207,156.3995,151.85
2010-05-14,152.112,148.7382,154.2865,150.9765
2010-05-17,151.5055,147.9147,153.315,149.9425
2010-05-18,150.368,146.8447,152.167,148.8115
2010-05-19,149.182,145.7997,151.0165,147.87
2010-05-20,148.1955,144.7727,149.891,146.7225
2010-05-21,147.04,143.7352,149.0275,145.8835
2010-05-24,146.304,142.9847,148.3255,145.1165
2010-05-25,145.528,142.1872,147.6755,144.5925
2010-05-26,144.9092,141.4372,147.083,143.757
2010-05-27,144.0782,140.5722,146.283,142.9925
2010-05-28,143.7042,140.5622,145.948,142.9455
2010-06-01,143.5252,140.3205,145.7355,142.5635
2010-06-02,143.1737,139.986,145.368,142.3325
2010-06-03,143.0142,139.751,145.0695,142.125
2010-06-04,142.7487,139.8835,144.9315,142.1215
2010-06-07,142.5937,139.701,144.7675,141.906
2010-06-08,142.0962,139.3935,144.2565,141.6035
2010-06-09,141.9057,139.127,143.9525,141.345
2010-06-10,141.5737,138.578,143.4585,140.6735
2010-06-11,140.8222,138.007,142.8385,140.223
2010-06-14,140.5072,137.582,142.4865,139.7335
2010-06-15,140.0652,137.3205,142.1415,139.4465
2010-06-16,139.6837,137.276,141.867,139.4315
2010-06-17,139.6337,137.2319,141.7795,139.2925
2010-06-18,139.6147,137.3204,141.791,139.3965
2010-06-21,139.743,137.3734,141.626,139.2525
2010-06-22,139.52,137.2774,141.366,139.1575
2010-06-23,139.4785,137.2039,141.0255,138.783
2010-06-24,138.9712,136.8749,140.5345,138.517
2010-06-25,138.6742,136.5942,140.327,138.2525
2010-06-28,138.4722,136.2657,140.056,137.8725
2010-06-29,138.0082,135.8392,139.5285,137.4675
2010-06-30,137.5922,135.3333,138.9935,136.7895
2010-07-01,136.9312,134.6833,138.4185,136.1445
2010-07-02,136.4282,134.0823,137.744,135.586
2010-07-06,136.0012,133.7433,137.3,135.265
2010-07-07,135.6662,133.5943,137.1225,135.1675
2010-07-08,135.5827,133.4613,137.01,135.1005
2010-07-09,135.4707,133.6258,137.0465,135.315
2010-07-12,135.6847,133.7773,137.1595,135.3955
2010-07-13,135.7542,134.0128,137.364,135.736
2010-07-14,135.9872,134.2305,137.4735,135.844
2010-07-15,136.1852,134.336,137.873,136.252
2010-07-16,136.9112,134.8776,138.554,136.6945
2010-07-19,137.4037,135.2066,138.953,137.0695
2010-07-20,137.5305,135.4186,139.432,137.628
2010-07-21,138.156,136.0321,140.093,138.238
2010-07-22,138.905,136.6036,140.768,138.812
2010-07-23,139.5305,137.1766,141.3895,139.432
2010-07-26,140.0505,137.6658,141.7945,139.859
2010-07-27,140.486,138.1893,142.2585,140.3875
2010-07-28,141.087,138.8698,142.8985,141.0595
2010-07-29,141.8165,139.7003,143.841,142.125
2010-07-30,142.7995,140.7653,144.824,143.109
2010-08-02,143.835,141.8613,145.887,144.192
2010-08-03,144.754,142.8783,146.8655,145.2385
2010-08-04,145.813,143.9248,147.9215,146.2675
2010-08-05,146.7485,144.9668,148.874,147.2905
2010-08-06,147.7075,145.9258,149.752,148.1465
2010-08-09,148.6235,146.8538,150.6465,149.054
2010-08-10,149.3995,147.6073,151.325,149.7365
2010-08-11,150.021,148.17,151.9455,150.246
2010-08-12,150.4105,148.6695,152.1625,150.456
2010-08-13,150.306,148.771,152.085,150.5515
2010-08-16,150.3015,148.916,152.1588,150.6555
2010-08-17,150.6265,149.2455,152.1618,150.6395
2010-08-18,150.551,149.289,152.1103,150.75
2010-08-19,150.5405,149.395,152.0993,150.775
2010-08-20,150.58,149.529,152.1273,150.818
2010-08-23,150.6165,149.5985,152.1023,150.745
2010-08-24,150.402,149.4395,151.8938,150.581
2010-08-25,150.1925,149.238,151.7278,150.455
2010-08-26,150.026,148.9395,151.3283,149.9165
2010-08-27,149.515,148.312,150.7448,149.363
