,open,low,high,close
2010-01-04,165.5333,164.9275,168.0489,166.9844
2010-01-05,167.5078,166.9963,170.5444,169.5933
2010-01-06,170.0189,169.442,173.1322,172.24
2010-01-07,172.3856,171.681,175.2133,174.4011
2010-01-08,174.1289,173.0867,176.4267,175.31
2010-01-11,174.9378,173.3733,177.0211,175.3167
2010-01-12,174.7933,172.3978,176.1967,173.7189
2010-01-13,173.3544,170.3989,174.38,171.7422
2010-01-14,171.1667,168.3925,172.1167,169.7289
2010-01-15,169.19,166.8828,170.4744,168.52
2010-01-19,167.8044,165.9964,169.4419,167.6478
2010-01-20,166.9589,165.1561,168.6094,167.03
2010-01-21,166.5689,163.7203,168.4303,166.22
2010-01-22,165.81,161.2367,167.6539,164.24
2010-01-25,164.2211,157.9833,166.0619,160.9189
2010-01-26,160.8467,154.9233,162.5033,156.97
2010-01-27,157.2922,152.7156,159.0367,154.1456
2010-01-28,154.6011,151.0933,156.3233,152.5567
2010-01-29,153.4556,149.8244,155.0411,151.8378
2010-02-01,153.0889,149.1022,154.7744,151.5911
2010-02-02,152.8689,149.2967,155.1078,151.9378
2010-02-03,153.0878,150.8456,156.1833,153.47
2010-02-04,154.0156,152.4278,157.0911,154.5489
2010-02-05,154.6928,153.0678,157.4056,154.9133
2010-02-08,154.5778,151.9756,156.5644,153.6511
2010-02-09,153.5717,150.6567,155.3522,152.8622
2010-02-10,153.0978,150.19,154.5767,152.3233
2010-02-11,153.0439,150.5811,154.4744,152.7933
2010-02-12,153.2389,151.2267,154.7611,153.2222
2010-02-16,153.4978,151.8667,155.2144,154.1289
2010-02-17,154.1422,152.7433,155.9067,155.0644
2010-02-18,155.1833,153.87,156.7233,156.04
2010-02-19,155.8556,154.6689,157.1922,156.4611
2010-02-22,156.0389,155.0967,157.3178,156.4644
2010-02-23,155.9956,155.2233,157.6133,156.3756
2010-02-24,156.3544,155.6267,158.2411,156.6611
2010-02-25,156.6944,155.8156,158.7233,156.9389
2010-02-26,156.84,155.8178,158.4456,157.07
2010-03-01,156.5789,155.4778,157.8111,156.7633
2010-03-02,156.5311,155.6156,157.7144,156.8211
2010-03-03,156.8533,156.0444,158.2489,157.07
2010-03-04,157.4611,156.7667,159.5078,158.3033
2010-03-05,158.8444,158.1,161.3433,160.1778
2010-03-08,160.9011,160.3511,164.1544,163.2467
2010-03-09,163.9833,163.4856,167.2756,166.1122
2010-03-10,166.7567,166.1511,169.9067,168.57
2010-03-11,168.9389,168.0844,171.6089,170.0889
2010-03-12,170.5456,169.5856,172.8433,171.7044
2010-03-15,171.99,170.8244,173.9411,172.9678
2010-03-16,173.3689,171.9322,175.0356,174.1211
2010-03-17,174.31,172.5478,175.8411,174.7822
2010-03-18,175.0911,173.5822,176.6122,175.7022
2010-03-19,175.9756,174.6089,177.2656,176.5144
2010-03-22,176.5822,175.4233,177.6444,177.0864
2010-03-23,176.9444,175.3878,177.6356,176.9317
2010-03-24,176.3722,174.83,177.1778,176.1992
2010-03-25,175.7644,174.26,177.0211,175.3806
2010-03-26,175.0544,173.8,176.8211,174.6353
2010-03-29,174.8756,173.3744,176.7011,174.2378
2010-03-30,174.6956,172.5456,175.9444,173.5889
2010-03-31,174.0144,171.6411,174.9111,172.9089
2010-04-01,173.0689,170.7211,173.7778,171.8433
2010-04-05,171.8344,170.1511,172.9267,171.3667
2010-04-06,171.4878,170.0656,172.7478,171.3911
2010-04-07,171.51,170.5856,173.4944,172.5233
2010-04-08,172.5322,171.8211,175.2233,174.1622
2010-04-09,174.1167,173.3956,177.4944,176.24
2010-04-12,176.29,175.1611,179.386,177.8
2010-04-13,178.0233,176.5178,180.3631,178.6278
2010-04-14,179.3078,177.8989,181.0991,179.4089
2010-04-15,180.56,179.3678,182.1387,180.74
2010-04-16,182.3233,178.2378,183.9793,180.0378
2010-04-19,180.5378,173.37,182.8033,176.2911
2010-04-20,175.9433,165.0044,178.9489,169.1311
2010-04-21,168.2367,159.1956,171.7967,163.8356
