,open,low,high,close
2010-01-04,165.8229,165.1098,168.1087,166.8658
2010-01-05,167.2762,166.638,169.798,168.7578
2010-01-06,168.9587,168.1577,171.0931,170.0725
2010-01-07,170.2378,169.5239,172.844,171.8471
2010-01-08,171.722,170.7183,174.1285,172.7731
2010-01-11,172.7704,171.097,174.7707,173.0049
2010-01-12,172.6995,170.7101,174.3955,172.4187
2010-01-13,172.1562,170.0934,173.7862,171.986
2010-01-14,171.5469,169.6224,173.2864,171.3651
2010-01-15,170.7933,168.6088,172.1931,170.1073
2010-01-19,169.5631,167.5142,171.069,169.2155
2010-01-20,168.5682,166.598,170.2118,168.6058
2010-01-21,168.3387,164.459,170.0142,166.8898
2010-01-22,166.2927,161.8071,167.8508,164.19
2010-01-25,164.0655,159.9589,165.7692,162.0747
2010-01-26,161.9836,157.7734,163.7081,159.5655
2010-01-27,159.5118,155.5065,161.3355,157.5449
2010-01-28,158.0229,153.886,159.6946,156.1465
2010-01-29,156.8227,152.1705,158.2586,154.2042
2010-02-01,155.0291,151.0624,157.178,153.4238
2010-02-02,154.2551,151.0409,156.7345,153.5558
2010-02-03,154.464,151.8349,156.9147,153.9209
2010-02-04,154.3344,151.5491,156.5393,153.2871
2010-02-05,153.6496,151.0909,156.1445,153.4713
2010-02-08,153.7363,151.0487,155.8715,153.0984
2010-02-09,153.5713,150.8607,155.4711,153.0487
2010-02-10,153.4592,151.0755,155.4556,153.1771
2010-02-11,153.6067,151.3158,155.3907,153.3431
2010-02-12,153.3821,151.3125,155.1745,153.4735
2010-02-16,153.7278,151.8778,155.5544,154.14
2010-02-17,154.4648,152.5651,155.9707,154.7035
2010-02-18,154.6882,153.044,156.0836,154.9829
2010-02-19,154.7535,153.4925,156.332,155.3715
2010-02-22,155.3218,154.1476,156.7396,155.7564
2010-02-23,155.7031,154.6507,157.4907,156.0931
2010-02-24,156.1345,155.2358,157.9653,156.6244
2010-02-25,156.2798,155.226,157.8249,156.6422
2010-02-26,156.3676,155.3405,157.7647,156.6625
2010-03-01,156.4671,155.5658,157.9105,156.6756
2010-03-02,156.6131,155.8342,158.2529,157.0431
2010-03-03,157.0631,156.1187,158.5042,157.1987
2010-03-04,157.3505,156.5375,159.5325,158.4169
2010-03-05,158.8373,158.1502,161.2289,160.1409
2010-03-08,160.6349,160.0191,163.1644,162.1485
2010-03-09,162.482,161.7784,165.1431,163.7375
2010-03-10,164.2925,163.476,166.9293,165.6673
2010-03-11,166.0755,165.3609,168.7011,167.6351
2010-03-12,168.2389,167.468,170.6651,169.5498
2010-03-15,169.8687,168.5762,172.07,170.8662
2010-03-16,171.2505,170.0042,173.3893,172.3573
2010-03-17,172.7805,171.4949,174.6709,173.6131
2010-03-18,173.8665,172.6685,175.5938,174.6722
2010-03-19,174.988,173.5758,176.3476,175.5615
2010-03-22,175.5116,174.1531,176.6913,175.939
2010-03-23,175.8911,174.2364,176.8956,175.9603
2010-03-24,175.6682,174.2871,176.8616,175.7965
2010-03-25,175.6747,174.4584,177.2655,175.677
2010-03-26,175.6369,174.0409,176.9845,175.163
2010-03-29,175.3178,173.6124,176.5284,174.9016
2010-03-30,175.0711,172.99,176.1498,174.1453
2010-03-31,174.0511,172.2651,175.2338,173.34
2010-04-01,173.4685,171.5805,174.4927,172.5695
2010-04-05,172.7784,171.0571,174.1053,172.465
