,open,low,high,close
2010-01-04,41.5158,41.1871,41.8981,41.5713
2010-01-05,41.6093,41.317,42.053,41.7468
2010-01-06,41.7596,41.4885,42.2212,41.9331
2010-01-07,41.9319,41.6766,42.4759,42.1891
2010-01-08,42.1474,41.8961,42.6726,42.4165
2010-01-11,42.4191,42.1218,42.9021,42.6134
2010-01-12,42.5638,42.2009,43.0162,42.6971
2010-01-13,42.6563,42.2675,43.1583,42.8471
2010-01-14,42.8039,42.4462,43.3149,43.028
2010-01-15,42.9504,42.5396,43.4258,43.0995
2010-01-19,43.0004,42.5841,43.4639,43.1275
2010-01-20,43.0095,42.607,43.4923,43.1647
2010-01-21,43.0206,42.4005,43.4681,42.9266
2010-01-22,42.8032,42.066,43.2593,42.5742
2010-01-25,42.5167,41.7575,42.9412,42.2519
2010-01-26,42.1785,41.4181,42.6409,41.8798
2010-01-27,41.8031,41.0835,42.3297,41.6196
2010-01-28,41.5818,40.8355,42.0937,41.3931
2010-01-29,41.3742,40.6136,41.8572,41.1321
2010-02-01,41.1299,40.4229,41.6461,40.9565
2010-02-02,40.9706,40.3181,41.5223,40.8819
2010-02-03,40.898,40.2667,41.4483,40.789
2010-02-04,40.7563,40.0466,41.2682,40.519
2010-02-05,40.5164,39.7173,41.0031,40.2648
2010-02-08,40.2615,39.4411,40.7019,39.973
2010-02-09,40.0166,39.2356,40.4628,39.7693
2010-02-10,39.8336,39.111,40.3183,39.6273
2010-02-11,39.6841,38.9817,40.1733,39.5114
2010-02-12,39.5307,38.8632,40.022,39.3986
2010-02-16,39.4165,38.7919,39.9746,39.4022
2010-02-17,39.4368,38.8235,39.9615,39.4041
2010-02-18,39.4266,38.8552,39.9566,39.4425
2010-02-19,39.4348,38.8984,39.9716,39.4435
2010-02-22,39.4714,38.9732,40.0439,39.5238
2010-02-23,39.5544,38.9973,40.1076,39.5072
2010-02-24,39.5517,39.0438,40.1413,39.5855
2010-02-25,39.561,39.0595,40.1471,39.6393
2010-02-26,39.6212,39.161,40.3074,39.817
2010-03-01,39.8058,39.3333,40.4453,39.9696
2010-03-02,39.9734,39.4895,40.5951,40.0921
2010-03-03,40.0984,39.6333,40.7026,40.198
2010-03-04,40.2399,39.7979,40.805,40.3341
2010-03-05,40.4109,40.0018,40.9759,40.5457
2010-03-08,40.6207,40.218,41.1502,40.7217
2010-03-09,40.772,40.3791,41.2925,40.8691
2010-03-10,40.9584,40.6012,41.4886,41.0548
2010-03-11,41.1355,40.8064,41.6432,41.251
2010-03-12,41.3408,41.0016,41.8191,41.4303
2010-03-15,41.4914,41.1588,41.951,41.589
2010-03-16,41.672,41.313,42.0895,41.7523
2010-03-17,41.8356,41.5106,42.2874,41.956
2010-03-18,42.029,41.6826,42.4403,42.1304
2010-03-19,42.2052,41.8398,42.5914,42.2736
2010-03-22,42.3064,41.9766,42.7217,42.4337
2010-03-23,42.474,42.1733,42.9326,42.6615
2010-03-24,42.6851,42.3951,43.1496,42.9065
2010-03-25,42.9317,42.6657,43.453,43.1331
2010-03-26,43.1654,42.9068,43.7185,43.3499
2010-03-29,43.4013,43.0976,43.9154,43.5349
2010-03-30,43.5858,43.2637,44.0656,43.6788
2010-03-31,43.6998,43.4064,44.1991,43.8225
2010-04-01,43.8729,43.6079,44.3513,44.0004
2010-04-05,44.056,43.7745,44.4999,44.1793
2010-04-06,44.2199,43.962,44.6878,44.3916
2010-04-07,44.4277,44.122,44.871,44.5376
2010-04-08,44.5552,44.249,45.0323,44.7135
2010-04-09,44.7406,44.4261,45.2042,44.896
2010-04-12,44.9254,44.6316,45.386,45.079
2010-04-13,45.0961,44.8159,45.5445,45.2214
2010-04-14,45.3823,45.0735,45.8375,45.5288
2010-04-15,45.6698,45.3783,46.1332,45.8198
2010-04-16,45.9366,45.4355,46.3629,45.8728
2010-04-19,45.9499,45.4341,46.3789,45.9047
2010-04-20,46.0116,45.5232,46.4345,45.979
2010-04-21,46.0925,45.5506,46.5071,45.9955
2010-04-22,46.0581,45.4817,46.4518,45.9509
2010-04-23,46.0071,45.4369,46.3936,45.9266
2010-04-26,45.9626,45.344,46.3131,45.8024
2010-04-27,45.7959,45.1201,46.1948,45.5446
2010-04-28,45.5785,44.9564,46.0205,45.4038
2010-04-29,45.4753,44.8807,45.9164,45.3232
2010-04-30,45.3906,44.6792,45.7917,45.1119
2010-05-03,45.2106,44.5539,45.6444,45.0052
2010-05-04,45.0425,44.3756,45.4712,44.8042
2010-05-05,44.8036,44.1493,45.3105,44.632
2010-05-06,44.6305,43.7167,45.1043,44.2982
2010-05-07,44.3169,43.3614,44.8228,43.9831
2010-05-10,44.148,43.1875,44.6998,43.8036
2010-05-11,43.909,43.0003,44.5139,43.5988
2010-05-12,43.7136,42.7941,44.2687,43.4218
2010-05-13,43.5036,42.5999,44.0228,43.1738
2010-05-14,43.181,42.2705,43.6518,42.8563
2010-05-17,42.8657,41.9233,43.3019,42.5571
2010-05-18,42.6391,41.5806,43.0328,42.2019
2010-05-19,42.2312,41.2606,42.6922,41.9072
2010-05-20,41.8544,40.8492,42.3378,41.487
2010-05-21,41.3599,40.4411,42.0963,41.3094
2010-05-24,41.201,40.2045,41.8818,41.0096
2010-05-25,40.8178,39.8769,41.5658,40.7631
2010-05-26,40.6082,39.681,41.3205,40.5205
2010-05-27,40.4524,39.5895,41.1884,40.453
2010-05-28,40.3806,39.5024,41.0539,40.3118
2010-06-01,40.2195,39.3414,40.8934,40.0834
2010-06-02,40.0573,39.2099,40.7135,39.9691
2010-06-03,39.974,39.0849,40.5787,39.8219
2010-06-04,39.7681,38.864,40.3371,39.5462
2010-06-07,39.512,38.581,40.0604,39.2064
2010-06-08,39.1877,38.3099,39.7741,38.9939
2010-06-09,39.0116,38.1042,39.5445,38.736
2010-06-10,38.8054,37.9535,39.3535,38.6101
2010-06-11,38.6266,37.8264,39.1593,38.4764
2010-06-14,38.48,37.683,38.9907,38.2822
2010-06-15,38.3061,37.555,38.837,38.1918
2010-06-16,38.1918,37.508,38.7541,38.1358
2010-06-17,38.1431,37.46,38.6813,38.0784
2010-06-18,38.1001,37.4614,38.6512,38.0978
2010-06-21,38.1529,37.4915,38.674,38.0884
2010-06-22,38.1449,37.4797,38.6782,38.0304
2010-06-23,38.0786,37.4517,38.6392,38.0319
2010-06-24,38.0439,37.3706,38.5662,37.9535
2010-06-25,38.0356,37.3787,38.5862,38.0169
2010-06-28,38.1032,37.4068,38.6104,37.992
2010-06-29,38.0116,37.2833,38.4702,37.8299
2010-06-30,37.8439,37.1355,38.3019,37.6385
2010-07-01,37.6444,36.8717,38.0717,37.4125
2010-07-02,37.4394,36.6461,37.86,37.181
2010-07-06,37.2874,36.4883,37.6843,37.016
2010-07-07,37.1437,36.3965,37.6523,37.0382
2010-07-08,37.2162,36.3838,37.68,37.0619
2010-07-09,37.1874,36.4246,37.7145,37.1517
2010-07-12,37.2684,36.5521,37.7913,37.2693
2010-07-13,37.4359,36.7808,37.9929,37.5031
2010-07-14,37.6254,37.0043,38.1523,37.7093
2010-07-15,37.8572,37.1629,38.3456,37.9127
2010-07-16,38.0318,37.2686,38.4798,37.9638
2010-07-19,38.0762,37.2976,38.5114,38.0163
2010-07-20,38.0511,37.3411,38.5687,38.1224
2010-07-21,38.2126,37.3883,38.6812,38.1068
2010-07-22,38.2409,37.4705,38.7248,38.182
2010-07-23,38.2882,37.5706,38.8006,38.2985
2010-07-26,38.393,37.715,38.9101,38.4551
2010-07-27,38.5807,37.9556,39.0963,38.6355
2010-07-28,38.7271,38.1358,39.2375,38.7685
2010-07-29,38.8894,38.2808,39.3626,38.882
2010-07-30,38.9463,38.3978,39.4659,38.9945
2010-08-02,39.1195,38.6029,39.6585,39.2289
2010-08-03,39.3302,38.8069,39.8328,39.3933
2010-08-04,39.4993,38.9954,39.9716,39.5661
2010-08-05,39.6327,39.1781,40.1029,39.7247
2010-08-06,39.7346,39.2552,40.1792,39.7928
2010-08-09,39.8112,39.2972,40.2128,39.797
2010-08-10,39.7984,39.2884,40.1651,39.739
2010-08-11,39.6895,39.146,40.0306,39.5519
2010-08-12,39.4657,38.9634,39.8308,39.3821
2010-08-13,39.3001,38.8206,39.6503,39.1953
2010-08-16,39.101,38.6674,39.4622,39.0403
2010-08-17,38.9784,38.5368,39.3118,38.8769
2010-08-18,38.8099,38.415,39.1843,38.7647
2010-08-19,38.6798,38.2653,39.0456,38.583
2010-08-20,38.5073,38.1087,38.8595,38.4217
2010-08-23,38.3574,37.9668,38.6923,38.248
2010-08-24,38.16,37.7482,38.4699,38.0238
2010-08-25,37.9167,37.5222,38.2401,37.8185
2010-08-26,37.731,37.3085,38.0451,37.5719
2010-08-27,37.513,37.1045,37.8719,37.4364
2010-08-30,37.3623,36.9429,37.7038,37.2404
2010-08-31,37.1799,36.7845,37.5529,37.1084
2010-09-01,37.0881,36.7272,37.5246,37.1185
2010-09-02,37.1088,36.7542,37.5378,37.169
2010-09-03,37.1893,36.8736,37.6435,37.3133
2010-09-07,37.2899,36.9617,37.7115,37.3635
2010-09-08,37.3473,37.0558,37.8318,37.4911
2010-09-09,37.5529,37.2182,38.0291,37.7037
2010-09-10,37.7436,37.4221,38.2065,37.8694
2010-09-13,37.9899,37.7042,38.488,38.1533
2010-09-14,38.2504,37.9493,38.7269,38.3791
2010-09-15,38.4489,38.1657,38.9405,38.6138
2010-09-16,38.6533,38.3866,39.1352,38.8327
2010-09-17,38.8727,38.5384,39.3141,38.9474
2010-09-20,39.0012,38.6829,39.5021,39.1613
2010-09-21,39.2222,38.8588,39.6946,39.3027
2010-09-22,39.3434,38.9532,39.8102,39.3717
2010-09-23,39.3795,38.9683,39.8088,39.3556
2010-09-24,39.4014,39.0114,39.8168,39.4025
2010-09-27,39.4243,39.0235,39.8116,39.3818
2010-09-28,39.4281,38.9964,39.7808,39.35
2010-09-29,39.3772,38.9186,39.7026,39.2688
2010-09-30,39.3011,38.8366,39.6365,39.16
2010-10-01,39.2161,38.7917,39.5884,39.1304
2010-10-04,39.198,38.7899,39.5866,39.1161
2010-10-05,39.2173,38.8224,39.6114,39.1685
