date,open,low,high,close
2010-01-04,42.4172,42.0162,42.7804,42.41
2010-01-05,42.447,42.0747,42.8516,42.4979
2010-01-06,42.5179,42.1644,42.9354,42.5969
2010-01-07,42.6072,42.2689,43.0814,42.7471
2010-01-08,42.7294,42.3985,43.1931,42.8827
2010-01-11,42.8938,42.5363,43.3309,43.0017
2010-01-12,42.9771,42.5788,43.3946,43.0477
2010-01-13,43.0278,42.6144,43.4796,43.1402
2010-01-14,43.1177,42.7273,43.577,43.2563
2010-01-15,43.2094,42.7854,43.6462,43.3013
2010-01-19,43.2383,42.8119,43.6679,43.318
2010-01-20,43.2403,42.8246,43.6838,43.3413
2010-01-21,43.244,42.6822,43.6645,43.1788
2010-01-22,43.093,42.4497,43.5198,42.9348
2010-01-25,42.8917,42.2296,43.2977,42.7058
2010-01-26,42.651,41.9839,43.0828,42.4381
2010-01-27,42.38,41.7365,42.856,42.2408
2010-01-28,42.2079,41.5431,42.6756,42.0628
2010-01-29,42.0423,41.3643,42.4918,41.8586
2010-02-01,41.8493,41.2039,42.3222,41.709
2010-02-02,41.711,41.0998,42.2093,41.6261
2010-02-03,41.6298,41.0312,42.1292,41.5307
2010-02-04,41.5018,40.8488,41.977,41.3149
2010-02-05,41.306,40.59,41.7653,41.1066
2010-02-08,41.0974,40.363,41.5261,40.8701
2010-02-09,40.8928,40.181,41.3254,40.6899
2010-02-10,40.7275,40.052,41.1863,40.5498
2010-02-11,40.5836,39.9194,41.046,40.4267
2010-02-12,40.436,39.7937,40.9007,40.3054
2010-02-16,40.3142,39.6997,40.8249,40.2628
2010-02-17,40.2832,39.6759,40.7732,40.2207
2010-02-18,40.2336,39.6543,40.7283,40.2051
2010-02-19,40.1978,39.6427,40.6984,40.1661
2010-02-22,40.1829,39.6546,40.7091,40.1824
2010-02-23,40.2015,39.6349,40.7165,40.1358
2010-02-24,40.1648,39.632,40.706,40.1545
2010-02-25,40.1375,39.6103,40.6783,40.1593
2010-02-26,40.1461,39.6482,40.7567,40.25
2010-03-01,40.2412,39.7369,40.8235,40.3276
2010-03-02,40.3288,39.8186,40.9017,40.3884
2010-03-03,40.3913,39.8952,40.9546,40.4407
2010-03-04,40.4679,39.9891,41.0065,40.516
2010-03-05,40.5675,40.113,41.1072,40.6453
2010-03-08,40.6968,40.2491,41.2136,40.7544
2010-03-09,40.7903,40.3518,41.3015,40.8476
2010-03-10,40.9106,40.4986,41.4286,40.9692
2010-03-11,41.0277,40.6379,41.531,41.1013
2010-03-12,41.1671,40.7737,41.6506,41.2252
2010-03-15,41.2727,40.8869,41.7432,41.3379
2010-03-16,41.401,41.0004,41.8423,41.4563
2010-03-17,41.5205,41.1455,41.9838,41.6043
2010-03-18,41.6627,41.2761,42.0978,41.7355
2010-03-19,41.796,41.3989,42.2127,41.8481
2010-03-22,41.8808,41.51,42.3156,41.9738
2010-03-23,42.0117,41.6632,42.4747,42.1475
2010-03-24,42.1743,41.8359,42.6408,42.3358
2010-03-25,42.3636,42.0446,42.8684,42.5147
2010-03-26,42.5474,42.2367,43.0743,42.6899
2010-03-29,42.7355,42.3975,43.2372,42.846
2010-03-30,42.8917,42.5436,43.3705,42.9761
2010-03-31,43.0018,42.6753,43.4938,43.1073
2010-04-01,43.1528,42.8479,43.6308,43.2627
2010-04-05,43.3121,42.9988,43.7665,43.4204
2010-04-06,43.46,43.165,43.9301,43.6023
2010-04-07,43.639,43.3144,44.0922,43.7413
2010-04-08,43.7656,43.4423,44.241,43.9015
2010-04-09,43.932,43.6048,44.3981,44.0675
2010-04-12,44.0994,43.7878,44.5632,44.2351
2010-04-13,44.2587,43.958,44.7139,44.3766
2010-04-14,44.4974,44.1793,44.9567,44.6305
2010-04-15,44.74,44.4349,45.2044,44.8766
2010-04-16,44.9713,44.5257,45.4103,44.9641
2010-04-19,45.0332,44.5759,45.4733,45.0364
2010-04-20,45.1261,44.6854,45.5614,45.1359
2010-04-21,45.2312,44.7526,45.66,45.1957
2010-04-22,45.2575,44.7532,45.6712,45.2124
2010-04-23,45.2701,44.7672,45.6777,45.2404
2010-04-26,45.2845,44.7462,45.6664,45.1986
2010-04-27,45.2137,44.6332,45.6266,45.0626
2010-04-28,45.1042,44.556,45.5453,45.0002
2010-04-29,45.0671,44.5344,45.5074,44.9751
2010-04-30,45.0395,44.4251,45.4525,44.8589
2010-05-03,44.9449,44.3631,45.3791,44.809
2010-05-04,44.8542,44.2623,45.2847,44.6926
2010-05-05,44.7119,44.1251,45.195,44.5917
2010-05-06,44.6095,43.8438,45.0711,44.3778
2010-05-07,44.4084,43.6074,44.8921,44.1706
2010-05-10,44.2999,43.4879,44.8155,44.0498
2010-05-11,44.1407,43.3564,44.6939,43.9088
2010-05-12,44.007,43.2091,44.5287,43.7834
2010-05-13,43.8601,43.0669,44.3591,43.6071
2010-05-14,43.6337,42.83,44.1006,43.3798
2010-05-17,43.4071,42.5762,43.8507,43.1601
2010-05-18,43.2359,42.3205,43.6501,42.8982
2010-05-19,42.9388,42.0752,43.3974,42.6722
2010-05-20,42.6567,41.7639,43.1305,42.3573
2010-05-21,42.2897,41.4493,42.9353,42.201
2010-05-24,42.1433,41.2456,42.7555,41.9603
2010-05-25,41.8436,40.9779,42.5047,41.7521
2010-05-26,41.6568,40.7958,42.2979,41.544
2010-05-27,41.5045,40.6829,42.1652,41.4522
2010-05-28,41.4083,40.5734,42.0303,41.3109
2010-06-01,41.2521,40.4141,41.8772,41.1099
2010-06-02,41.0941,40.2741,41.7099,40.9842
2010-06-03,40.9888,40.1381,41.5718,40.836
2010-06-04,40.8007,39.937,41.3609,40.6001
2010-06-07,40.5771,39.6921,41.1239,40.3181
2010-06-08,40.305,39.4526,40.8778,40.1189
2010-06-09,40.1299,39.2552,40.6674,39.8873
2010-06-10,39.9336,39.0938,40.4814,39.7433
2010-06-11,39.7547,38.9482,40.2923,39.594
2010-06-14,39.5968,38.7917,40.1195,39.4037
2010-06-15,39.4203,38.6455,39.9562,39.2829
2010-06-16,39.2835,38.5544,39.8407,39.1861
2010-06-17,39.1915,38.464,39.7329,39.0897
2010-06-18,39.1048,38.4085,39.655,39.0465
2010-06-21,39.0845,38.3747,39.6146,38.9863
2010-06-22,39.0259,38.3149,39.564,38.895
2010-06-23,38.9298,38.246,39.4864,38.845
2010-06-24,38.856,38.1427,39.387,38.7429
2010-06-25,38.8014,38.1003,39.3513,38.7376
2010-06-28,38.8,38.0734,39.3208,38.6753
2010-06-29,38.6937,37.9462,39.181,38.5214
2010-06-30,38.536,37.8021,39.0217,38.3469
2010-07-01,38.3559,37.5789,38.8195,38.1475
2010-07-02,38.1706,37.3791,38.6281,37.9427
2010-07-06,38.0198,37.2235,38.4594,37.7811
2010-07-07,37.874,37.112,38.3874,37.7457
2010-07-08,37.8744,37.0546,38.3573,37.7137
2010-07-09,37.8092,37.0352,38.3341,37.7287
2010-07-12,37.8198,37.0771,38.342,37.7659
2010-07-13,37.8922,37.1915,38.4376,37.8854
2010-07-14,37.9838,37.3076,38.5094,37.9916
2010-07-15,38.1086,37.3849,38.6083,38.1006
2010-07-16,38.1998,37.4302,38.6716,38.111
2010-07-19,38.2067,37.4263,38.6687,38.1242
2010-07-20,38.1683,37.4338,38.6849,38.1756
2010-07-21,38.257,37.4456,38.7404,38.1472
2010-07-22,38.2589,37.4827,38.752,38.1809
2010-07-23,38.275,37.5343,38.7869,38.2446
2010-07-26,38.3317,37.6183,38.8467,38.3382
2010-07-27,38.4469,37.7704,38.961,38.4511
2010-07-28,38.5377,37.8862,39.0485,38.5353
2010-07-29,38.6422,37.9814,39.1278,38.6089
2010-07-30,38.6783,38.0603,39.1948,38.6839
2010-08-02,38.7945,38.201,39.3242,38.8436
2010-08-03,38.9391,38.3444,39.4446,38.9598
2010-08-04,39.059,38.4807,39.5438,39.0844
2010-08-05,39.1574,38.6158,39.6402,39.202
2010-08-06,39.2366,38.6822,39.7014,39.2607
2010-08-09,39.3,38.7257,39.7347,39.2769
2010-08-10,39.3039,38.7351,39.7133,39.2508
2010-08-11,39.2422,38.6535,39.632,39.1359
2010-08-12,39.1006,38.5419,39.5042,39.0295
2010-08-13,38.9947,38.4542,39.3861,38.9087
2010-08-16,38.8633,38.3569,39.26,38.8065
2010-08-17,38.7807,38.2725,39.1567,38.6961
2010-08-18,38.6651,38.192,39.0665,38.6179
2010-08-19,38.573,38.0906,38.9671,38.4911
2010-08-20,38.4504,37.9823,38.8336,38.3755
