,open,low,high,close
2010-01-04,41.556,41.1698,42.1351,41.8704
2010-01-05,41.6937,41.5035,42.4677,42.4222
2010-01-06,42.0602,42.0436,43.0227,43.0879
2010-01-07,42.829,42.7398,43.9548,43.8444
2010-01-08,43.5139,43.3354,44.155,44.1721
2010-01-11,44.2277,43.7686,44.4141,44.2705
2010-01-12,44.21,43.7607,44.4101,44.2607
2010-01-13,44.2054,43.734,44.4126,44.2605
2010-01-14,44.2053,43.7424,44.4201,44.2639
2010-01-15,44.2059,43.7285,44.4203,44.2298
2010-01-19,44.0857,43.6617,44.3218,44.1602
2010-01-20,43.9873,43.6489,44.2889,44.1548
2010-01-21,43.9444,43.1907,44.0021,43.1507
2010-01-22,42.6551,41.2482,42.7545,41.5078
2010-01-25,41.3986,40.1955,41.4814,40.6128
2010-01-26,40.3583,39.3576,40.7497,39.7582
2010-01-27,39.4861,38.7944,40.1898,39.661
2010-01-28,39.5172,38.7829,40.1509,39.6487
2010-01-29,39.5242,38.783,40.1038,39.6385
2010-02-01,39.5098,38.7848,40.1026,39.6383
2010-02-02,39.5229,39.0412,40.1655,39.8336
2010-02-03,39.7472,39.5429,40.4499,39.8721
2010-02-04,39.7475,39.5219,40.4455,39.7978
2010-02-05,39.695,39.2953,40.3606,39.7573
2010-02-08,39.6422,39.1458,40.1582,39.4714
2010-02-09,39.443,39.0142,39.9341,39.2697
2010-02-10,39.2612,38.9759,39.8939,39.2356
2010-02-11,39.2184,38.9731,39.8777,39.22
2010-02-12,39.215,38.7875,39.862,39.2015
2010-02-16,39.1735,38.7759,39.9349,39.5496
2010-02-17,39.5412,39.1077,40.0665,39.7271
2010-02-18,39.6075,39.3036,40.1497,39.9708
2010-02-19,39.6897,39.5687,40.3059,39.9791
2010-02-22,39.8702,39.8715,40.7477,40.1841
2010-02-23,40.1464,39.8562,40.9389,40.1804
2010-02-24,40.1449,39.861,40.9423,40.2082
2010-02-25,40.1451,39.8597,40.9372,40.213
2010-02-26,40.171,39.9057,41.1633,40.4116
2010-03-01,40.4109,40.0592,41.2488,40.485
2010-03-02,40.5432,40.3644,41.3814,40.6957
2010-03-03,40.7905,40.5641,41.4504,40.7571
2010-03-04,41.0531,40.9943,41.5643,40.9636
2010-03-05,41.3392,41.4509,41.6757,41.201
2010-03-08,41.554,41.8134,41.8913,41.3421
2010-03-09,41.5837,41.8389,41.9408,41.4654
2010-03-10,41.7976,42.0335,42.3759,41.7636
2010-03-11,41.9567,42.161,42.4966,42.0334
2010-03-12,42.1576,42.2342,42.5943,42.0967
2010-03-15,42.1634,42.2392,42.6037,42.2108
2010-03-16,42.3399,42.3101,42.653,42.5101
2010-03-17,42.4052,42.4241,42.7555,42.8889
2010-03-18,42.5717,42.4731,42.8214,42.9794
2010-03-19,42.6339,42.5064,42.8609,43.0028
2010-03-22,42.6403,42.5764,42.9505,43.1001
2010-03-23,42.6987,42.8662,43.2918,43.4187
2010-03-24,42.8974,43.1621,43.5205,43.7171
2010-03-25,43.1532,43.7823,44.4857,44.0612
2010-03-26,43.4086,44.0967,44.8988,44.4874
2010-03-29,44.227,44.1669,44.9725,44.5932
2010-03-30,44.349,44.1814,44.9741,44.5931
2010-03-31,44.3485,44.1819,44.9743,44.6021
2010-04-01,44.3529,44.1914,45.0259,44.6238
2010-04-05,44.3692,44.194,45.0581,44.6601
2010-04-06,44.3735,44.3043,45.1484,44.8966
2010-04-07,44.5207,44.3794,45.4846,44.9385
2010-04-08,44.5738,44.4109,45.6504,45.0501
2010-04-09,44.6821,44.4729,45.8419,45.1491
2010-04-12,44.7809,44.7466,46.0614,45.2546
2010-04-13,44.8878,44.8812,46.1142,45.2581
2010-04-14,45.2687,45.4133,46.7168,46.0235
2010-04-15,46.3271,46.2773,47.2901,46.5466
2010-04-16,46.9239,46.2645,47.3703,46.5321
2010-04-19,46.8675,46.1709,47.3222,46.5022
2010-04-20,46.8565,46.1652,47.3119,46.4995
2010-04-21,46.7844,46.0784,47.21,46.2438
2010-04-22,46.4224,45.663,46.7285,45.8356
2010-04-23,46.0755,45.5892,46.3745,45.7801
2010-04-26,46.029,45.4957,46.2332,45.5098
2010-04-27,45.299,44.3641,45.6923,44.3773
2010-04-28,44.2651,44.066,44.8112,44.2812
2010-04-29,44.2407,44.0568,44.7681,44.2733
2010-04-30,44.2319,43.8598,44.6869,44.0988
2010-05-03,44.0979,43.8314,44.5732,44.0926
2010-05-04,44.0647,43.8232,44.4372,44.0842
2010-05-05,43.9812,43.7021,44.3977,44.0342
2010-05-06,43.8052,42.4843,43.6952,43.4666
2010-05-07,43.0797,42.1038,42.8839,43.1614
2010-05-10,43.0612,42.071,42.8923,43.0618
2010-05-11,42.9676,42.0385,42.8793,42.9902
2010-05-12,42.9518,42.0067,42.7964,42.9263
2010-05-13,42.8718,41.8216,42.7287,42.9175
2010-05-14,42.7586,41.76,42.5086,42.7802
2010-05-17,41.8956,40.4311,41.4114,41.7354
2010-05-18,41.8181,39.5951,41.2578,40.736
2010-05-19,41.0463,39.1173,40.9279,40.3643
2010-05-20,40.4945,38.314,40.561,39.5991
2010-05-21,39.699,37.7389,40.5586,39.6022
2010-05-24,39.7022,37.7489,40.555,39.5705
2010-05-25,39.5684,37.7263,40.3836,39.5672
2010-05-26,39.5639,37.73,40.3756,39.5543
2010-05-27,39.5641,37.8986,40.3837,39.6513
2010-05-28,39.6354,38.0912,40.3833,39.6501
2010-06-01,39.6286,38.0929,40.3774,39.6436
2010-06-02,39.587,38.1517,40.3405,39.6417
2010-06-03,39.5979,38.1572,40.3266,39.6359
2010-06-04,39.5394,37.9397,39.9067,39.2899
2010-06-07,39.1777,37.4801,39.404,38.8421
2010-06-08,38.7078,37.1701,38.9551,38.8156
2010-06-09,38.6881,37.1374,38.8425,38.5629
2010-06-10,38.5714,37.1642,38.7618,38.5561
2010-06-11,38.5447,37.1659,38.7231,38.5476
2010-06-14,38.5388,37.1723,38.7149,38.5164
2010-06-15,38.4853,37.1861,38.6475,38.5112
2010-06-16,38.4794,37.3437,38.6949,38.5121
2010-06-17,38.4968,37.4006,38.729,38.5113
2010-06-18,38.5102,37.5513,38.9694,38.572
