,open,low,high,close
2010-01-04,50.7641,51.7789,51.9131,51.9788
2010-01-05,52.0197,53.5142,53.1543,52.9195
2010-01-06,52.8271,54.3125,53.5132,53.1891
2010-01-07,53.2394,54.7597,54.9591,54.1569
2010-01-08,53.9377,55.4544,54.2593,54.0133
2010-01-11,54.8248,55.7923,54.94,53.8155
2010-01-12,53.2533,53.3417,53.2301,52.4604
2010-01-13,52.6556,53.2203,53.7648,53.3337
2010-01-14,53.4407,55.0493,54.1297,53.8329
2010-01-15,53.5611,53.7293,53.5348,52.5212
2010-01-19,52.3221,52.9813,52.428,52.0108
2010-01-20,51.794,52.6594,52.3148,52.1527
2010-01-21,51.8321,48.8615,51.4591,48.6658
2010-01-22,48.7186,46.7113,48.4842,47.1199
2010-01-25,47.635,46.7439,46.6533,47.1818
2010-01-26,46.7323,45.9627,46.5779,46.3335
2010-01-27,45.9746,45.6719,46.1027,47.4442
2010-01-28,47.7379,46.7328,46.9797,47.6299
2010-01-29,47.7022,46.8626,46.7127,47.0214
2010-02-01,47.046,47.1085,46.842,47.8866
2010-02-02,47.9723,48.3244,48.0446,49.0154
2010-02-03,48.9835,49.0705,48.7055,48.7122
2010-02-04,48.0221,46.4305,46.9975,46.5278
2010-02-05,46.6663,44.652,45.5653,46.4732
2010-02-08,46.262,45.1279,44.7781,45.8168
2010-02-09,46.1459,45.9607,45.4442,46.6972
2010-02-10,46.7576,47.0301,46.7195,47.303
2010-02-11,47.0296,46.8085,46.5397,47.4926
2010-02-12,46.8228,46.8085,46.275,47.4117
2010-02-16,47.2115,47.4329,47.8003,48.8312
2010-02-17,48.9856,49.0094,48.2825,48.7953
2010-02-18,48.5801,49.0248,48.3764,49.2628
2010-02-19,48.809,49.2274,48.6763,48.7975
2010-02-22,49.2015,49.774,49.6165,49.8374
2010-02-23,49.8752,49.0226,49.5396,48.6488
2010-02-24,48.7572,49.4031,49.1061,49.8647
2010-02-25,48.908,48.9388,48.673,49.6061
2010-02-26,49.6338,50.362,51.1977,51.235
2010-03-01,51.4088,51.5969,51.0002,51.0584
2010-03-02,51.3402,51.5188,51.3361,50.7912
2010-03-03,50.8841,51.4837,50.7889,50.6756
