,open,low,high,close
2010-01-04,42.3017,41.7522,42.8844,42.3542
2010-01-05,42.3699,41.8243,42.9567,42.4284
2010-01-06,42.4388,41.8929,43.0173,42.4917
2010-01-07,42.5074,41.9622,43.0892,42.5633
2010-01-08,42.5731,42.0275,43.1512,42.6277
2010-01-11,42.64,42.0913,43.2153,42.6901
2010-01-12,42.6961,42.1437,43.2718,42.7442
2010-01-13,42.7552,42.1987,43.3313,42.8055
2010-01-14,42.8151,42.261,43.3835,42.8596
2010-01-15,42.8668,42.3101,43.4346,42.9072
2010-01-19,42.9117,42.3541,43.47,42.9498
2010-01-20,42.9552,42.3959,43.5153,42.9937
2010-01-21,42.9986,42.4197,43.5559,43.0166
2010-01-22,43.0194,42.4273,43.5717,43.0223
2010-01-25,43.0308,42.4349,43.5819,43.0269
2010-01-26,43.0298,42.429,43.5826,43.0174
2010-01-27,43.0222,42.4199,43.5743,43.0101
2010-01-28,43.0168,42.4072,43.5564,42.9911
2010-01-29,42.995,42.3955,43.5349,42.9761
2010-02-01,42.977,42.377,43.5084,42.9536
2010-02-02,42.9586,42.3579,43.4874,42.9359
2010-02-03,42.9445,42.3516,43.4758,42.928
2010-02-04,42.933,42.3294,43.4549,42.8961
2010-02-05,42.8992,42.2899,43.4208,42.8581
2010-02-08,42.8633,42.2529,43.3831,42.8188
2010-02-09,42.8383,42.2291,43.3593,42.7995
2010-02-10,42.818,42.2081,43.3397,42.7761
2010-02-11,42.7989,42.1863,43.3188,42.7564
2010-02-12,42.7753,42.1605,43.2902,42.7277
2010-02-16,42.743,42.1293,43.2599,42.698
2010-02-17,42.7132,42.1029,43.2286,42.6735
2010-02-18,42.6847,42.0738,43.1986,42.6473
2010-02-19,42.6576,42.0488,43.1731,42.6202
2010-02-22,42.6357,42.0299,43.1539,42.5988
2010-02-23,42.6117,42.0072,43.1323,42.5736
2010-02-24,42.5919,41.9901,43.1106,42.5521
2010-02-25,42.5678,41.9748,43.0847,42.5436
2010-02-26,42.561,41.9735,43.0863,42.5527
2010-03-01,42.5676,41.976,43.0857,42.5504
2010-03-02,42.5647,41.9725,43.085,42.5445
2010-03-03,42.5553,41.9682,43.0769,42.5361
2010-03-04,42.5496,41.9622,43.0687,42.5283
2010-03-05,42.5462,41.9621,43.0664,42.5266
2010-03-08,42.5439,41.962,43.0634,42.5274
2010-03-09,42.5464,41.9624,43.0549,42.5164
2010-03-10,42.5403,41.9645,43.0491,42.5142
2010-03-11,42.5367,41.9611,43.0369,42.5021
2010-03-12,42.5288,41.95,43.0239,42.4871
2010-03-15,42.5097,41.9326,43.0063,42.4716
2010-03-16,42.4998,41.92,42.9945,42.4607
2010-03-17,42.4874,41.9099,42.9749,42.4386
2010-03-18,42.4655,41.8948,42.9525,42.4269
2010-03-19,42.4532,41.8855,42.9367,42.4193
2010-03-22,42.4443,41.883,42.9326,42.42
2010-03-23,42.4433,41.8837,42.9319,42.4181
2010-03-24,42.4396,41.8818,42.93,42.4186
2010-03-25,42.4411,41.8939,42.9396,42.4279
2010-03-26,42.4546,41.9223,42.9588,42.458
2010-03-29,42.4912,41.9548,42.9835,42.4828
2010-03-30,42.5112,41.9714,42.9927,42.4893
2010-03-31,42.5108,41.9728,42.9927,42.4875
2010-04-01,42.5144,41.9772,42.9885,42.4832
2010-04-05,42.5081,41.9751,42.9799,42.4836
2010-04-06,42.5062,41.9757,42.9799,42.4835
2010-04-07,42.5017,41.9729,42.9768,42.4772
2010-04-08,42.4977,41.9752,42.9763,42.478
2010-04-09,42.4869,41.9655,42.966,42.4683
2010-04-12,42.4841,41.9617,42.959,42.4598
2010-04-13,42.4787,41.9604,42.9548,42.4583
