,open,low,high,close
2010-01-04,41.68,41.4452,41.9713,41.7167
2010-01-05,41.7333,41.5253,42.072,41.8143
2010-01-06,41.8,41.6163,42.2177,41.9673
2010-01-07,41.9447,41.788,42.4947,42.2427
2010-01-08,42.2053,42.0627,42.8733,42.6337
2010-01-11,42.5843,42.4253,43.319,43.0787
2010-01-12,42.9997,42.788,43.7383,43.4853
2010-01-13,43.387,43.0953,44.1153,43.8377
2010-01-14,43.7307,43.3573,44.405,44.1057
2010-01-15,43.988,43.5153,44.569,44.2317
2010-01-19,44.0963,43.5387,44.5993,44.214
2010-01-20,44.061,43.4663,44.5407,44.1373
2010-01-21,43.9687,43.3037,44.4257,43.9433
2010-01-22,43.7547,42.9797,44.1762,43.554
2010-01-25,43.3757,42.4893,43.7863,43.019
2010-01-26,42.8523,41.8697,43.275,42.356
2010-01-27,42.231,41.1424,42.672,41.599
2010-01-28,41.5303,40.3694,41.981,40.8097
2010-01-29,40.8133,39.6807,41.2912,40.1367
2010-02-01,40.1927,39.1717,40.7225,39.662
2010-02-02,39.75,38.8601,40.3333,39.4067
2010-02-03,39.5283,38.7724,40.1283,39.3447
2010-02-04,39.4657,38.827,40.059,39.3807
2010-02-05,39.4813,38.8758,40.061,39.4307
2010-02-08,39.5033,38.871,40.0532,39.4237
2010-02-09,39.4937,38.8005,39.978,39.3307
2010-02-10,39.3927,38.6277,39.8213,39.12
2010-02-11,39.1857,38.3852,39.5927,38.8997
2010-02-12,38.976,38.1995,39.378,38.7387
2010-02-16,38.822,38.1206,39.2573,38.678
2010-02-17,38.764,38.1601,39.2497,38.7367
2010-02-18,38.803,38.3033,39.3417,38.9187
2010-02-19,38.949,38.5528,39.5313,39.1817
2010-02-22,39.1843,38.865,39.81,39.4857
2010-02-23,39.4837,39.1663,40.1157,39.7617
2010-02-24,39.754,39.428,40.377,39.9857
2010-02-25,39.9627,39.6233,40.586,40.1623
2010-02-26,40.1473,39.8003,40.8148,40.3523
2010-03-01,40.344,39.9647,41.0287,40.5413
2010-03-02,40.519,40.1194,41.2102,40.725
2010-03-03,40.6823,40.2851,41.391,40.9377
2010-03-04,40.911,40.5081,41.6008,41.166
2010-03-05,41.1867,40.7865,41.8235,41.4147
2010-03-08,41.4703,41.0769,42.021,41.624
2010-03-09,41.7133,41.3516,42.2032,41.8273
2010-03-10,41.961,41.6219,42.3947,42.0193
2010-03-11,42.1887,41.8855,42.5872,42.2307
2010-03-12,42.392,42.1058,42.7557,42.4107
2010-03-15,42.5433,42.2774,42.9113,42.5787
2010-03-16,42.6993,42.435,43.0573,42.7487
2010-03-17,42.8563,42.5848,43.21,42.9207
2010-03-18,43.0007,42.6973,43.3347,43.0613
2010-03-19,43.1243,42.7812,43.4337,43.17
2010-03-22,43.219,42.8577,43.5297,43.2897
2010-03-23,43.328,42.9662,43.665,43.438
2010-03-24,43.4427,43.0845,43.8103,43.5973
2010-03-25,43.5837,43.2457,44.0103,43.7713
2010-03-26,43.7407,43.4507,44.2573,43.9823
2010-03-29,43.9577,43.6937,44.5457,44.2207
2010-03-30,44.2047,43.9412,44.825,44.4367
2010-03-31,44.4307,44.1542,45.06,44.6
2010-04-01,44.6207,44.3392,45.2417,44.733
2010-04-05,44.7777,44.4662,45.3317,44.8333
2010-04-06,44.89,44.5606,45.3737,44.914
2010-04-07,44.9607,44.6297,45.3959,44.982
2010-04-08,45.0247,44.6983,45.4401,45.0853
2010-04-09,45.1213,44.7806,45.5137,45.2233
2010-04-12,45.2413,44.8965,45.6476,45.38
2010-04-13,45.3803,45.0359,45.8125,45.527
2010-04-14,45.5723,45.211,46.0215,45.7217
2010-04-15,45.8163,45.4533,46.2716,45.96
2010-04-16,46.0917,45.6667,46.5403,46.1487
2010-04-19,46.312,45.821,46.7531,46.2857
2010-04-20,46.4983,45.9287,46.9226,46.3963
2010-04-21,46.6123,45.9537,47.026,46.4267
2010-04-22,46.5827,45.8047,46.9641,46.2743
2010-04-23,46.372,45.5367,46.7385,46.0333
2010-04-26,46.0867,45.2503,46.4323,45.7567
2010-04-27,45.7517,44.899,46.0923,45.3893
2010-04-28,45.319,44.4833,45.6707,44.9587
