date,open,low,high,close
2010-01-04,41.5722,41.4156,41.9822,41.7089
2010-01-05,41.7222,41.5989,42.3611,42.0878
2010-01-06,42.1011,42.0011,42.9578,42.7333
2010-01-07,42.6956,42.5956,43.6589,43.4433
2010-01-08,43.2967,43.1622,44.2089,44.0256
2010-01-11,43.88,43.6333,44.6633,44.42
2010-01-12,44.2633,43.8144,44.7733,44.4544
2010-01-13,44.38,43.7167,44.7689,44.33
2010-01-14,44.2089,43.4844,44.5978,44.1556
2010-01-15,44.05,43.3711,44.5656,44.1467
2010-01-19,43.9656,43.3956,44.4656,44.0778
2010-01-20,43.8511,43.2889,44.2867,43.8478
2010-01-21,43.5622,42.8022,43.9344,43.2478
2010-01-22,42.9844,41.8589,43.385,42.2978
2010-01-25,42.1778,40.6401,42.5378,41.0256
2010-01-26,41.0622,39.5301,41.4644,39.8689
2010-01-27,39.9967,38.7902,40.4856,39.1889
2010-01-28,39.2833,38.4668,39.9444,39.0044
2010-01-29,39.0911,38.4278,39.7733,39.1089
2010-02-01,39.2378,38.57,39.8406,39.2278
2010-02-02,39.4067,38.8344,39.9622,39.4356
2010-02-03,39.6067,39.1933,40.2211,39.7378
2010-02-04,39.8,39.3878,40.43,39.8644
2010-02-05,39.8511,39.1761,40.3678,39.6222
2010-02-08,39.5444,38.4956,39.8544,38.9422
2010-02-09,38.9833,37.825,39.2067,38.4089
2010-02-10,38.5511,37.6178,38.8278,38.1889
2010-02-11,38.4344,37.8427,38.8811,38.4033
2010-02-12,38.5489,38.1822,39.1233,38.6756
2010-02-16,38.6978,38.3811,39.3678,39.0178
2010-02-17,38.9433,38.62,39.6122,39.3267
2010-02-18,39.2767,38.9578,39.9511,39.7356
2010-02-19,39.7044,39.3978,40.2811,40.0067
2010-02-22,39.99,39.7367,40.5856,40.2544
2010-02-23,40.2411,39.9178,40.8244,40.2811
2010-02-24,40.3567,39.9822,41.0311,40.4033
2010-02-25,40.43,39.9311,41.0756,40.4122
2010-02-26,40.3733,39.9744,41.155,40.7122
2010-03-01,40.5433,40.1633,41.3389,41.03
2010-03-02,40.9422,40.5979,41.7806,41.48
2010-03-03,41.4711,41.0214,42.0778,41.6489
2010-03-04,41.7667,41.3161,42.2294,41.7189
2010-03-05,41.8978,41.5181,42.2433,41.8122
2010-03-08,42.0556,41.7635,42.3922,42.0722
2010-03-09,42.28,42.0244,42.6344,42.3778
2010-03-10,42.5278,42.2622,42.8933,42.5644
2010-03-11,42.6489,42.4111,43.0633,42.6989
2010-03-12,42.8222,42.6056,43.2311,42.8589
2010-03-15,42.94,42.7078,43.2989,43.0211
2010-03-16,43.1,42.7611,43.3678,43.1244
2010-03-17,43.1511,42.7717,43.42,43.2178
2010-03-18,43.2889,42.8667,43.5678,43.3589
2010-03-19,43.4189,43.0228,43.7522,43.5167
2010-03-22,43.5256,43.1078,43.8378,43.5978
2010-03-23,43.5511,43.2017,43.9644,43.72
2010-03-24,43.6156,43.3656,44.1544,43.9844
2010-03-25,43.9189,43.76,44.6311,44.3878
2010-03-26,44.3433,44.1972,45.13,44.7356
2010-03-29,44.7778,44.5444,45.5544,44.9089
2010-03-30,44.9911,44.6269,45.6167,44.9089
2010-03-31,44.9911,44.5361,45.4522,44.8244
2010-04-01,44.8767,44.4753,45.2344,44.7844
2010-04-05,44.8133,44.5217,45.1667,44.8689
2010-04-06,44.9333,44.7286,45.3022,45.1156
2010-04-07,45.1667,44.88,45.5274,45.3422
2010-04-08,45.3444,44.9856,45.777,45.5311
2010-04-09,45.4922,45.0244,45.9533,45.6089
2010-04-12,45.5733,45.1578,46.0948,45.7622
2010-04-13,45.7656,45.4044,46.2185,45.8811
2010-04-14,46.0544,45.7656,46.5011,46.1789
2010-04-15,46.5011,46.2056,46.9289,46.5711
2010-04-16,47.0311,46.4511,47.4633,46.9156
2010-04-19,47.1511,46.3056,47.56,46.8056
2010-04-20,46.8822,45.7689,47.2367,46.2956
2010-04-21,46.2511,45.2956,46.61,45.7989
2010-04-22,45.8256,45.0033,46.1669,45.49
2010-04-23,45.4933,44.78,45.8317,45.2911
2010-04-26,45.2022,44.4311,45.4719,44.9522
2010-04-27,44.7878,43.9522,45.0928,44.4267
2010-04-28,44.2789,43.4556,44.6825,43.8411
2010-04-29,43.8111,43.085,44.3944,43.43
2010-04-30,43.5622,42.8989,44.1544,43.2967
2010-05-03,43.5378,42.8883,44.0678,43.3356
2010-05-04,43.51,42.7433,43.9267,43.1922
2010-05-05,43.21,42.5383,43.7456,43.0356
2010-05-06,42.8578,41.9211,43.4567,42.5689
2010-05-07,42.3922,41.1789,43.1067,42.0822
2010-05-10,42.1622,40.4822,42.8244,41.5144
2010-05-11,41.84,40.3922,42.6222,41.3311
2010-05-12,41.8122,40.6911,42.5833,41.4411
2010-05-13,41.6633,40.9411,42.3633,41.5
2010-05-14,41.4933,40.7689,41.8967,41.2922
2010-05-17,41.0433,40.2556,41.2411,40.7756
2010-05-18,40.6,39.5656,40.6656,40.1867
2010-05-19,40.1344,39.0144,40.3133,39.7256
2010-05-20,39.7167,38.5278,40.0678,39.2467
2010-05-21,38.99,38.1189,39.88,39.0811
2010-05-24,38.6167,37.7844,39.8067,38.8878
2010-05-25,38.2989,37.6167,39.7944,39.0411
2010-05-26,38.6222,37.78,39.76,38.9389
2010-05-27,38.7011,38.0456,39.6867,39.1211
2010-05-28,39.1733,38.53,39.7889,39.2511
2010-06-01,39.4189,38.8567,40.0156,39.4956
2010-06-02,39.6833,39.0022,40.1189,39.4433
2010-06-03,39.6,38.8422,40.0278,39.2667
2010-06-04,39.41,38.5678,39.7456,39.0144
2010-06-07,39.1122,38.1511,39.3944,38.5444
2010-06-08,38.5333,37.5867,38.8511,37.9811
2010-06-09,38.0089,37.0789,38.3878,37.4644
2010-06-10,37.6256,36.8778,38.1167,37.4367
2010-06-11,37.6789,37.0144,38.1244,37.59
2010-06-14,37.75,37.23,38.2044,37.8222
2010-06-15,37.8189,37.3456,38.2472,37.8756
2010-06-16,37.81,37.4056,38.3278,37.9422
2010-06-17,37.8911,37.5178,38.4661,38.1089
2010-06-18,38.1033,37.7711,38.7256,38.3833
2010-06-21,38.46,38.0467,39.0061,38.6489
2010-06-22,38.7833,38.2789,39.2922,38.7789
2010-06-23,38.9556,38.3467,39.4498,38.7733
2010-06-24,38.8467,38.2022,39.3874,38.6356
2010-06-25,38.6844,38.0306,39.2517,38.6333
2010-06-28,38.6967,37.9489,39.193,38.6244
2010-06-29,38.7489,37.945,39.1665,38.6011
2010-06-30,38.6222,37.7389,38.9033,38.14
2010-07-01,38.0211,37.115,38.2533,37.4444
2010-07-02,37.3133,36.38,37.5556,36.72
2010-07-06,36.7644,35.7689,37.025,36.2789
2010-07-07,36.5611,35.6644,36.9944,36.3411
2010-07-08,36.81,35.9322,37.3361,36.7989
2010-07-09,37.2133,36.4744,37.9678,37.5678
2010-07-12,37.8522,37.1211,38.5494,38.2222
2010-07-13,38.3311,37.8544,39.1022,38.8756
2010-07-14,38.9589,38.6256,39.5978,39.4156
2010-07-15,39.5467,39.2322,40.1378,39.9811
2010-07-16,40.0722,39.4533,40.4322,40.1244
2010-07-19,40.2067,39.2433,40.4478,39.9556
2010-07-20,39.8678,38.84,40.1633,39.5533
2010-07-21,39.4733,38.4767,39.9056,39.2511
2010-07-22,39.1956,38.3722,39.7878,39.1289
2010-07-23,39.2789,38.4589,39.8389,39.1211
2010-07-26,39.3156,38.7322,39.9133,39.39
2010-07-27,39.5578,39.1467,40.1433,39.7733
2010-07-28,39.8467,39.6156,40.4422,40.1889
2010-07-29,40.2867,40.0011,40.7811,40.3789
2010-07-30,40.4156,40.0789,40.8767,40.3744
2010-08-02,40.4633,40.09,40.9567,40.4622
2010-08-03,40.4978,40.1622,41.0756,40.66
2010-08-04,40.8122,40.46,41.335,41.0156
2010-08-05,41.0656,40.7167,41.4756,41.1833
2010-08-06,41.1467,40.7667,41.4472,41.1833
2010-08-09,40.9867,40.5567,41.2454,40.9078
2010-08-10,40.6833,40.1256,40.8846,40.44
2010-08-11,40.2322,39.5478,40.3605,39.7467
2010-08-12,39.5011,38.8322,39.6453,38.9933
2010-08-13,38.7067,38.13,38.9311,38.2878
2010-08-16,37.9967,37.6222,38.3514,37.87
2010-08-17,37.7089,37.4056,38.0658,37.6389
2010-08-18,37.5833,37.3611,37.9846,37.6367
2010-08-19,37.6433,37.3378,38.0267,37.5744
2010-08-20,37.54,37.2289,37.9811,37.5111
2010-08-23,37.4622,37.0711,37.8322,37.2922
2010-08-24,37.2278,36.8244,37.525,37.0467
2010-08-25,36.96,36.5167,37.1944,36.7378
2010-08-26,36.6178,36.1344,36.8628,36.4022
2010-08-27,36.3144,35.8311,36.6722,36.2056
2010-08-30,36.19,35.6722,36.6017,36.0678
2010-08-31,36.1133,35.6611,36.6211,36.15
2010-09-01,36.2133,35.8144,36.7644,36.3156
2010-09-02,36.4233,36.1344,37.0678,36.78
2010-09-03,36.9611,36.7467,37.65,37.4756
2010-09-07,37.6233,37.4089,38.2244,38.1044
2010-09-08,38.1811,37.9811,38.7578,38.5833
2010-09-09,38.62,38.3211,39.1378,38.8533
2010-09-10,38.97,38.6489,39.5589,39.2278
2010-09-13,39.52,39.1378,40.07,39.7178
2010-09-14,40.0233,39.7033,40.5544,40.1733
2010-09-15,40.46,40.1822,40.9811,40.6
2010-09-16,40.65,40.3956,41.14,40.79
2010-09-17,40.7311,40.4078,41.1811,40.8378
2010-09-20,40.7167,40.3111,41.1422,40.7733
2010-09-21,40.7589,40.2156,41.1889,40.6789
2010-09-22,40.7278,40.1456,41.2256,40.6444
2010-09-23,40.6589,39.9944,41.0644,40.3544
2010-09-24,40.3244,39.7222,40.67,40.0158
2010-09-27,39.9578,39.3944,40.1722,39.595
2010-09-28,39.6289,39.14,39.82,39.3897
2010-09-29,39.42,38.8778,39.5544,39.1283
2010-09-30,39.1933,38.5811,39.3389,38.8492
