,open,low,high,close
2010-01-04,22.2129,21.8455,22.5308,22.2078
2010-01-05,22.2219,21.8602,22.5468,22.2283
2010-01-06,22.2417,21.8841,22.5685,22.2526
2010-01-07,22.2646,21.9106,22.5999,22.2841
2010-01-08,22.2926,21.9406,22.6271,22.3156
2010-01-11,22.3287,21.9761,22.6578,22.3485
2010-01-12,22.3591,22.01,22.6886,22.3807
2010-01-13,22.3907,22.0446,22.7247,22.4188
2010-01-14,22.427,22.0853,22.7687,22.4666
2010-01-15,22.4728,22.1242,22.8089,22.5019
2010-01-19,22.5058,22.1565,22.8411,22.5345
2010-01-20,22.5434,22.1993,22.882,22.575
2010-01-21,22.5873,22.2396,22.9289,22.6171
2010-01-22,22.6278,22.2778,22.993,22.6507
2010-01-25,22.6669,22.313,23.028,22.6861
2010-01-26,22.6951,22.3444,23.0589,22.7128
2010-01-27,22.7193,22.3735,23.0944,22.7522
2010-01-28,22.7605,22.4131,23.1317,22.7889
2010-01-29,22.8005,22.4537,23.1699,22.8265
2010-02-01,22.839,22.4938,23.2058,22.8651
2010-02-02,22.877,22.5308,23.2403,22.8979
2010-02-03,22.9079,22.5585,23.2667,22.9235
2010-02-04,22.9306,22.5759,23.2852,22.9354
2010-02-05,22.9453,22.5874,23.3011,22.9524
2010-02-08,22.9613,22.6009,23.313,22.9612
2010-02-09,22.9723,22.6117,23.322,22.9699
2010-02-10,22.9804,22.6225,23.3311,22.9804
2010-02-11,22.9917,22.6334,23.3372,22.9887
2010-02-12,22.9959,22.6391,23.338,22.9932
2010-02-16,23.0003,22.6486,23.3469,23.0074
2010-02-17,23.014,22.6622,23.3558,23.0192
2010-02-18,23.0241,22.6764,23.3664,23.0338
2010-02-19,23.0374,22.695,23.3809,23.052
2010-02-22,23.0613,22.7207,23.4027,23.0765
2010-02-23,23.0838,22.7449,23.4228,23.0961
2010-02-24,23.1058,22.7717,23.4472,23.1237
2010-02-25,23.123,22.7919,23.469,23.143
2010-02-26,23.1408,22.8151,23.4893,23.167
2010-03-01,23.165,22.8409,23.5097,23.189
2010-03-02,23.1926,22.8694,23.5326,23.2145
2010-03-03,23.2172,22.898,23.5552,23.238
2010-03-04,23.2407,22.9251,23.5758,23.2626
2010-03-05,23.2672,22.9532,23.6032,23.2944
2010-03-08,23.2981,22.9866,23.6312,23.3222
2010-03-09,23.3227,23.0117,23.6517,23.3443
2010-03-10,23.3469,23.0404,23.6771,23.3708
2010-03-11,23.3719,23.0695,23.7073,23.4052
2010-03-12,23.4099,23.1104,23.7448,23.4423
2010-03-15,23.4456,23.1487,23.7814,23.4826
2010-03-16,23.4869,23.1922,23.8201,23.5258
2010-03-17,23.5286,23.2366,23.8611,23.5698
2010-03-18,23.5705,23.2786,23.9003,23.6095
2010-03-19,23.6125,23.3194,23.9411,23.651
2010-03-22,23.6498,23.3613,23.9811,23.6931
2010-03-23,23.6921,23.4035,24.0191,23.735
2010-03-24,23.7316,23.4477,24.059,23.7753
2010-03-25,23.7744,23.4917,24.1023,23.8145
2010-03-26,23.8136,23.5356,24.1362,23.8531
2010-03-29,23.85,23.5727,24.1692,23.8877
2010-03-30,23.8849,23.6096,24.2026,23.92
2010-03-31,23.9148,23.6429,24.2321,23.9521
2010-04-01,23.9497,23.6794,24.2654,23.9897
2010-04-05,23.9885,23.7199,24.3017,24.0303
2010-04-06,24.0277,23.7635,24.3488,24.0803
2010-04-07,24.0787,23.808,24.3959,24.1233
2010-04-08,24.1194,23.8521,24.4434,24.1725
2010-04-09,24.1691,23.9018,24.4897,24.2215
2010-04-12,24.2189,23.9545,24.5408,24.2754
2010-04-13,24.2716,24.0088,24.5916,24.3288
2010-04-14,24.328,24.0687,24.6525,24.3931
2010-04-15,24.3921,24.1333,24.7145,24.4565
2010-04-16,24.4542,24.1747,24.7724,24.5055
2010-04-19,24.4977,24.2207,24.8204,24.5564
2010-04-20,24.5442,24.2685,24.8788,24.6163
2010-04-21,24.5941,24.32,24.9369,24.6708
2010-04-22,24.644,24.3655,24.9825,24.7151
