date,open,low,high,close
2010-01-04,22.7369,22.4987,22.9651,22.7441
2010-01-05,22.7391,22.5217,23.017,22.8123
2010-01-06,22.8049,22.5977,23.0982,22.8978
2010-01-07,22.8845,22.6836,23.2298,23.0189
2010-01-08,22.9878,22.7843,23.3279,23.1324
2010-01-11,23.1319,22.9105,23.4396,23.2455
2010-01-12,23.2317,23.0181,23.5444,23.3469
2010-01-13,23.3325,23.123,23.6725,23.4767
2010-01-14,23.4532,23.257,23.838,23.6532
2010-01-15,23.6215,23.3716,23.9696,23.7453
2010-01-19,23.7042,23.44,24.0458,23.8162
2010-01-20,23.8085,23.5667,24.1691,23.9299
2010-01-21,23.943,23.6708,24.3187,24.0451
2010-01-22,24.0494,23.7564,24.5588,24.1046
2010-01-25,24.1408,23.8196,24.6132,24.1718
2010-01-26,24.1646,23.8587,24.6415,24.185
2010-01-27,24.1651,23.8836,24.6971,24.274
2010-01-28,24.2665,23.9699,24.7612,24.3422
2010-01-29,24.3554,24.0576,24.8277,24.4125
2010-02-01,24.4311,24.1378,24.8783,24.4856
2010-02-02,24.5005,24.1961,24.9194,24.5222
2010-02-03,24.5252,24.1984,24.9128,24.5163
2010-02-04,24.5028,24.1433,24.864,24.4338
2010-02-05,24.4387,24.0611,24.8055,24.3896
2010-02-08,24.3893,23.9991,24.7317,24.3039
2010-02-09,24.317,23.9287,24.6486,24.2264
2010-02-10,24.2364,23.8659,24.5754,24.1677
2010-02-11,24.1824,23.8106,24.4921,24.1032
2010-02-12,24.0936,23.7315,24.3871,24.0229
2010-02-16,24.0142,23.6828,24.3388,24.0073
2010-02-17,23.9976,23.6635,24.2961,23.9809
2010-02-18,23.9626,23.6508,24.2679,23.9742
2010-02-19,23.95,23.6659,24.2662,23.99
2010-02-22,24.0024,23.7225,24.3084,24.0433
2010-02-23,24.0431,23.768,24.3391,24.0649
2010-02-24,24.0799,23.8263,24.3934,24.133
2010-02-25,24.0866,23.8428,24.4303,24.1489
2010-02-26,24.0984,23.8778,24.4569,24.1928
2010-03-01,24.148,23.9266,24.4829,24.223
2010-03-02,24.2149,23.9888,24.5236,24.2723
2010-03-03,24.2601,24.048,24.5604,24.3082
2010-03-04,24.2973,24.0958,24.5842,24.3494
2010-03-05,24.3509,24.1476,24.6476,24.4304
2010-03-08,24.427,24.2278,24.7107,24.4837
2010-03-09,24.4625,24.2557,24.7268,24.5014
2010-03-10,24.4946,24.3037,24.7719,24.5451
2010-03-11,24.5304,24.3529,24.8431,24.6332
2010-03-12,24.6408,24.4678,24.9528,24.7319
