,open,low,high,close
2010-01-04,23.0112,22.7224,23.2052,22.9821
2010-01-05,23.0036,22.7226,23.2083,22.9844
2010-01-06,23.0055,22.7336,23.2162,22.9996
2010-01-07,23.0162,22.7617,23.2758,23.0439
2010-01-08,23.0371,22.808,23.3093,23.0947
2010-01-11,23.1018,22.8825,23.3521,23.1472
2010-01-12,23.1317,22.9413,23.4047,23.1956
2010-01-13,23.1618,23.0344,23.4855,23.2807
2010-01-14,23.2261,23.2505,23.6505,23.5608
2010-01-15,23.4059,23.5203,23.8135,23.6625
2010-01-19,23.5029,23.617,23.9193,23.7554
2010-01-20,23.6402,23.8469,24.0933,23.8964
2010-01-21,23.7975,23.971,24.2866,24.0107
2010-01-22,23.8872,24.053,24.6779,24.0551
2010-01-25,23.9807,24.1032,24.7015,24.1401
2010-01-26,24.009,24.1173,24.7122,24.1503
2010-01-27,24.0166,24.1175,24.7397,24.2447
2010-01-28,24.1251,24.2042,24.782,24.3142
2010-01-29,24.2274,24.3076,24.8335,24.3864
2010-02-01,24.309,24.3923,24.8681,24.4623
2010-02-02,24.38,24.4338,24.8934,24.4875
2010-02-03,24.4006,24.4218,24.8922,24.4868
2010-02-04,24.3985,24.4139,24.887,24.4827
2010-02-05,24.3948,24.4048,24.8826,24.4792
2010-02-08,24.3925,24.3944,24.8769,24.4638
2010-02-09,24.3771,24.3629,24.8635,24.4461
2010-02-10,24.3618,24.3355,24.8502,24.4334
2010-02-11,24.3518,24.3061,24.8208,24.4059
2010-02-12,24.3142,24.2166,24.7444,24.3312
2010-02-16,24.2451,24.1703,24.7192,24.3225
2010-02-17,24.2383,24.1567,24.7033,24.3116
2010-02-18,24.2178,24.1201,24.6792,24.2995
2010-02-19,24.2004,24.1099,24.6618,24.2953
2010-02-22,24.2046,24.1115,24.6656,24.2968
2010-02-23,24.2079,24.1123,24.665,24.2964
2010-02-24,24.209,24.1141,24.666,24.3022
2010-02-25,24.2087,24.1134,24.6679,24.3022
2010-02-26,24.2088,24.1154,24.669,24.3054
2010-03-01,24.2161,24.1201,24.6708,24.3084
2010-03-02,24.2223,24.1252,24.6749,24.3133
2010-03-03,24.2288,24.1286,24.6785,24.3158
2010-03-04,24.2313,24.1339,24.6792,24.3195
2010-03-05,24.2431,24.1618,24.703,24.3696
2010-03-08,24.2945,24.2626,24.7387,24.3899
2010-03-09,24.3098,24.2766,24.7444,24.4016
2010-03-10,24.3334,24.3166,24.7774,24.4308
2010-03-11,24.3679,24.3596,24.8431,24.5001
2010-03-12,24.49,24.5053,25.0002,24.5975
2010-03-15,24.633,24.6459,25.1833,24.7444
2010-03-16,24.8267,24.8235,25.3461,24.879
2010-03-17,24.9746,24.9811,25.5205,25.032
2010-03-18,25.1501,25.0871,25.6386,25.1143
2010-03-19,25.2965,25.1633,25.7548,25.1991
2010-03-22,25.3433,25.229,25.8333,25.2696
2010-03-23,25.4377,25.3036,25.8919,25.365
2010-03-24,25.4973,25.3863,25.9572,25.4202
2010-03-25,25.6166,25.5137,26.0753,25.5134
2010-03-26,25.6793,25.6196,26.0832,25.5829
2010-03-29,25.7054,25.6353,26.0885,25.6168
2010-03-30,25.7212,25.6494,26.0974,25.6324
2010-03-31,25.7207,25.6489,26.0923,25.6512
2010-04-01,25.7422,25.6652,26.1049,25.7054
2010-04-05,25.7831,25.706,26.1287,25.7653
2010-04-06,25.8186,25.7583,26.2297,25.9583
2010-04-07,26.0043,25.8726,26.3881,26.0595
2010-04-08,26.0453,25.9632,26.5205,26.2136
2010-04-09,26.15,26.1138,26.614,26.3241
2010-04-12,26.2174,26.2469,26.729,26.4732
2010-04-13,26.3166,26.417,26.8392,26.5928
2010-04-14,26.4252,26.6283,27.0605,26.8278
2010-04-15,26.6022,26.8846,27.2622,27.0247
2010-04-16,26.7432,26.8778,27.3887,27.0524
2010-04-19,26.7522,26.8823,27.4066,27.0888
2010-04-20,26.7754,26.8942,27.4931,27.1878
2010-04-21,26.8062,26.9221,27.5838,27.2361
2010-04-22,26.8442,26.9272,27.5892,27.2407
2010-04-23,26.8588,26.9288,27.5862,27.2426
2010-04-26,26.8692,26.9264,27.5793,27.2362
2010-04-27,26.8661,26.9187,27.5652,27.2284
2010-04-28,26.8621,26.911,27.5524,27.2181
2010-04-29,26.8623,26.9064,27.5588,27.2202
2010-04-30,26.8799,26.9028,27.5555,27.2153
2010-05-03,26.881,26.9006,27.5505,27.2154
2010-05-04,26.8809,26.897,27.5472,27.2072
2010-05-05,26.8653,26.888,27.5388,27.2014
2010-05-06,26.8602,26.744,27.5184,27.1443
2010-05-07,26.7897,26.6638,27.4652,27.0623
2010-05-10,26.7834,26.6547,27.452,27.0542
2010-05-11,26.7639,26.6406,27.4478,27.0492
2010-05-12,26.7654,26.6404,27.4331,27.0452
2010-05-13,26.7649,26.6329,27.4087,27.0239
2010-05-14,26.7367,26.5925,27.3368,26.9737
2010-05-17,26.6972,26.5301,27.246,26.9263
2010-05-18,26.6525,26.3782,27.1017,26.7184
