date,open,low,high,close
2010-01-04,0.67,0.76,0.74,1.1
2010-01-05,0.94,0.92,1.09,1.16
2010-01-06,1.0,0.93,0.91,0.75
2010-01-07,0.71,1.09,1.49,1.38
2010-01-08,1.26,1.48,1.47,1.87
2010-01-11,2.21,1.86,1.91,1.74
2010-01-12,1.62,1.67,1.73,1.84
2010-01-13,1.88,1.8,2.31,2.32
2010-01-14,2.3,2.34,2.96,2.88
2010-01-15,2.82,2.08,2.57,2.11
2010-01-19,1.92,1.56,1.86,1.61
2010-01-20,2.04,2.03,1.83,1.55
2010-01-21,1.79,1.34,1.87,1.43
2010-01-22,1.42,1.07,2.36,0.5
2010-01-25,1.04,0.6801,0.87,0.6
2010-01-26,-0.11,0.12,0.41,-0.01
2010-01-27,-0.01,0.08,0.685,0.81
2010-01-28,0.94,0.67,0.48,0.28
2010-01-29,0.6,0.36,0.05,-0.25
2010-02-01,-0.07,0.44,0.1393,0.56
2010-02-02,0.67,0.66,0.54,0.38
2010-02-03,-0.04,-0.55,-0.49,-0.55
2010-02-04,-0.93,-1.04,-1.34,-1.49
2010-02-05,-1.23,-1.29,-2.59,-0.7
2010-02-08,-1.09,-1.0101,-1.1,-1.32
2010-02-09,-0.76,-0.97,-1.05,-0.82
2010-02-10,-0.7,-0.85,-1.345,-1.51
2010-02-11,-1.56,-1.505,-1.67,-1.5
2010-02-12,-1.95,-1.91,-2.07,-1.82
2010-02-16,-1.89,-1.68,-1.4792,-1.32
2010-02-17,-1.32,-1.27,-1.42,-1.14
2010-02-18,-1.13,-0.69,-0.85,-0.55
2010-02-19,-0.46,0.19,-0.15,0.49
2010-02-22,0.67,0.98,0.46,0.58
2010-02-23,0.51,0.79,0.6,0.78
2010-02-24,0.8,1.12,1.05,1.29
2010-02-25,0.68,0.73,0.9,0.69
2010-02-26,0.54,0.925,1.01,1.12
2010-03-01,1.37,1.41,1.34,1.25
2010-03-02,1.59,1.36,1.0299,0.88
2010-03-03,0.85,1.13,1.02,0.92
2010-03-04,1.02,1.02,0.81,0.83
2010-03-05,1.03,0.83,1.0,1.06
2010-03-08,0.65,0.73,0.6,0.44
2010-03-09,0.37,0.32,0.25,0.4
2010-03-10,0.37,0.38,0.29,0.18
2010-03-11,0.72,0.82,0.74,1.17
2010-03-12,1.48,1.35,1.285,1.06
2010-03-15,0.97,1.06,1.25,1.39
2010-03-16,1.11,1.22,1.23,1.38
2010-03-17,1.34,1.29,1.41,1.56
2010-03-18,1.44,1.25,1.445,1.25
2010-03-19,1.27,1.13,1.14,0.94
2010-03-22,0.74,0.88,1.07,1.23
2010-03-23,1.43,1.42,1.42,1.58
2010-03-24,1.3,1.34,1.25,1.23
2010-03-25,1.47,1.31,1.18,0.7
2010-03-26,0.48,0.61,0.175,0.5
