date,open,low,high,close
2010-01-04,23.41,23.0643,23.6833,23.3963
2010-01-05,23.4183,23.0737,23.6948,23.4107
2010-01-06,23.4322,23.0913,23.7098,23.4237
2010-01-07,23.4442,23.1038,23.7338,23.4428
2010-01-08,23.4628,23.123,23.7538,23.4655
2010-01-11,23.4823,23.1387,23.7623,23.4718
2010-01-12,23.4883,23.1507,23.7708,23.4768
2010-01-13,23.501,23.1655,23.7925,23.4985
2010-01-14,23.5208,23.1847,23.8177,23.5238
2010-01-15,23.5447,23.2048,23.8399,23.5375
2010-01-19,23.5457,23.201,23.8262,23.5385
2010-01-20,23.5487,23.2085,23.8247,23.5328
2010-01-21,23.5458,23.2087,23.8305,23.536
2010-01-22,23.5585,23.2195,23.868,23.5447
2010-01-25,23.5703,23.2278,23.881,23.554
2010-01-26,23.5737,23.241,23.8895,23.567
2010-01-27,23.5795,23.2503,23.9064,23.5822
2010-01-28,23.5997,23.279,23.9284,23.6117
2010-01-29,23.6272,23.3085,23.9476,23.6323
2010-02-01,23.6525,23.3363,23.9719,23.66
2010-02-02,23.6762,23.365,23.9951,23.69
2010-02-03,23.6992,23.3845,24.0086,23.698
2010-02-04,23.7112,23.3885,24.0167,23.6967
2010-02-05,23.7097,23.3813,24.0121,23.6877
2010-02-08,23.701,23.3697,24.0027,23.6737
2010-02-09,23.685,23.3537,23.9849,23.6585
2010-02-10,23.6698,23.3457,23.9746,23.652
2010-02-11,23.6645,23.3454,23.9681,23.6522
2010-02-12,23.6557,23.3421,23.9597,23.6502
2010-02-16,23.654,23.3451,23.9631,23.6538
2010-02-17,23.6578,23.3474,23.9654,23.6558
2010-02-18,23.661,23.3558,23.9747,23.6688
2010-02-19,23.6757,23.3709,23.9889,23.683
2010-02-22,23.692,23.3858,24.0066,23.6997
2010-02-23,23.7077,23.3998,24.0202,23.7087
2010-02-24,23.7188,23.4163,24.0389,23.7288
2010-02-25,23.7418,23.4369,24.0616,23.7513
2010-02-26,23.7558,23.4509,24.0702,23.7593
2010-03-01,23.7618,23.4598,24.0751,23.7622
