,open,low,high,close
2010-01-04,22.9399,22.6101,23.2211,22.9296
2010-01-05,22.9473,22.6224,23.2354,22.948
2010-01-06,22.965,22.6436,23.2549,22.9697
2010-01-07,22.9854,22.6668,23.2837,22.9981
2010-01-08,23.0103,22.6933,23.3079,23.0264
2010-01-11,23.0432,22.725,23.3353,23.0556
2010-01-12,23.0699,22.7547,23.3625,23.0838
2010-01-13,23.0976,22.7848,23.3947,23.1177
2010-01-14,23.1296,22.8209,23.4346,23.1611
2010-01-15,23.1709,22.8551,23.4706,23.192
2010-01-19,23.1995,22.8824,23.4985,23.2201
2010-01-20,23.2326,22.9204,23.5351,23.2562
2010-01-21,23.2719,22.9557,23.5776,23.2936
2010-01-22,23.3078,22.989,23.6373,23.3227
2010-01-25,23.3422,23.0191,23.6681,23.3534
2010-01-26,23.3658,23.0455,23.6948,23.3754
2010-01-27,23.3853,23.0696,23.726,23.4102
2010-01-28,23.4217,23.1042,23.7592,23.4424
2010-01-29,23.4572,23.1401,23.7935,23.4758
2010-02-01,23.4916,23.1757,23.8258,23.5104
2010-02-02,23.5259,23.2085,23.8571,23.5397
2010-02-03,23.5533,23.2323,23.8806,23.5621
2010-02-04,23.5727,23.246,23.8965,23.5708
2010-02-05,23.5842,23.2539,23.9097,23.5846
2010-02-08,23.597,23.2637,23.919,23.5903
2010-02-09,23.6049,23.2708,23.9253,23.5958
2010-02-10,23.6098,23.2779,23.9317,23.6031
2010-02-11,23.6178,23.2849,23.9349,23.6081
2010-02-12,23.6186,23.2867,23.9327,23.609
2010-02-16,23.6193,23.2922,23.9385,23.6197
2010-02-17,23.6295,23.3018,23.9442,23.628
2010-02-18,23.6359,23.312,23.9515,23.6389
2010-02-19,23.6455,23.3265,23.9628,23.6534
2010-02-22,23.6657,23.3481,23.9813,23.6743
2010-02-23,23.6844,23.3685,23.9982,23.6904
2010-02-24,23.7029,23.3914,24.0194,23.7145
2010-02-25,23.7164,23.4079,24.0381,23.7305
2010-02-26,23.7307,23.4273,24.0554,23.7511
2010-03-01,23.7513,23.4493,24.0727,23.7696
2010-03-02,23.7752,23.4738,24.0924,23.7913
2010-03-03,23.7959,23.4984,24.1116,23.8111
2010-03-04,23.8156,23.5215,24.1288,23.8319
2010-03-05,23.8382,23.5455,24.1528,23.8599
2010-03-08,23.8651,23.5749,24.1773,23.8839
2010-03-09,23.8858,23.5961,24.1943,23.9023
2010-03-10,23.9061,23.6208,24.2162,23.925
2010-03-11,23.9272,23.6461,24.243,23.9558
2010-03-12,23.9613,23.6832,24.2772,23.9894
2010-03-15,23.9935,23.7179,24.3107,24.0264
2010-03-16,24.0313,23.758,24.3465,24.0666
2010-03-17,24.0698,23.7993,24.3847,24.1077
2010-03-18,24.1088,23.8384,24.4213,24.1447
2010-03-19,24.1479,23.8764,24.4597,24.1837
2010-03-22,24.1825,23.9156,24.4973,24.2234
2010-03-23,24.2222,23.9554,24.5331,24.2629
2010-03-24,24.2592,23.9973,24.5707,24.301
2010-03-25,24.2996,24.0391,24.6119,24.3381
2010-03-26,24.3366,24.0809,24.6438,24.3747
2010-03-29,24.3707,24.116,24.6747,24.4071
2010-03-30,24.4033,24.1507,24.7061,24.4372
2010-03-31,24.4309,24.1818,24.7334,24.4671
2010-04-01,24.4634,24.2162,24.7644,24.5024
2010-04-05,24.4999,24.2546,24.7985,24.5409
2010-04-06,24.5368,24.2963,24.8435,24.5888
2010-04-07,24.5856,24.3391,24.8887,24.63
2010-04-08,24.6244,24.3816,24.9344,24.6777
2010-04-09,24.6724,24.4299,24.9793,24.7254
2010-04-12,24.7208,24.4816,25.0291,24.7783
2010-04-13,24.7724,24.5351,25.0791,24.8311
2010-04-14,24.828,24.5946,25.1395,24.8951
2010-04-15,24.8917,24.6593,25.2013,24.9588
2010-04-16,24.9539,24.7011,25.2595,25.0085
2010-04-19,24.998,24.7479,25.3083,25.0604
2010-04-20,25.0453,24.797,25.3681,25.1219
2010-04-21,25.0967,24.8502,25.428,25.1785
2010-04-22,25.1484,24.8976,25.4759,25.2252
2010-04-23,25.1955,24.9429,25.5188,25.2704
2010-04-26,25.2396,24.9845,25.5611,25.308
2010-04-27,25.2739,25.0152,25.5956,25.3347
2010-04-28,25.3066,25.0496,25.6289,25.3666
2010-04-29,25.3436,25.0892,25.674,25.41
2010-04-30,25.3887,25.1284,25.7151,25.4443
2010-05-03,25.4262,25.1674,25.7536,25.4855
2010-05-04,25.4618,25.1977,25.7869,25.5145
2010-05-05,25.4855,25.2243,25.816,25.5417
2010-05-06,25.5103,25.2208,25.84,25.5533
2010-05-07,25.5208,25.2279,25.8546,25.5593
2010-05-10,25.5476,25.2549,25.8822,25.5881
2010-05-11,25.569,25.2796,25.915,25.6187
2010-05-12,25.6027,25.3143,25.9458,25.6522
2010-05-13,25.6343,25.3444,25.9737,25.6771
2010-05-14,25.6552,25.3536,25.9895,25.6873
2010-05-17,25.6662,25.3601,25.9973,25.6989
2010-05-18,25.6775,25.352,26.0056,25.6896
2010-05-19,25.6661,25.3415,25.9964,25.6768
2010-05-20,25.6458,25.3183,25.9756,25.6485
2010-05-21,25.6017,25.2781,25.9559,25.6329
2010-05-24,25.5892,25.2598,25.9391,25.6108
2010-05-25,25.5554,25.2311,25.9169,25.5936
2010-05-26,25.5439,25.2129,25.9015,25.5721
2010-05-27,25.5262,25.1981,25.8886,25.5638
2010-05-28,25.5185,25.1858,25.8754,25.5479
2010-06-01,25.4991,25.1638,25.8568,25.5208
2010-06-02,25.4761,25.1402,25.8366,25.5053
2010-06-03,25.4615,25.1199,25.8177,25.4827
2010-06-04,25.4304,25.0898,25.7843,25.4483
2010-06-07,25.3989,25.0543,25.7492,25.4075
2010-06-08,25.3568,25.0124,25.7086,25.3713
2010-06-09,25.3245,24.9782,25.674,25.3324
2010-06-10,25.2922,24.9503,25.6489,25.3117
2010-06-11,25.2666,24.9262,25.6225,25.2849
