date,open,low,high,close
2010-01-04,23.1962,22.8699,23.4354,23.1554
2010-01-05,23.1749,22.8593,23.4297,23.1575
2010-01-06,23.1753,22.8673,23.4354,23.1673
2010-01-07,23.1821,22.8807,23.4607,23.1918
2010-01-08,23.1993,22.9016,23.478,23.2169
2010-01-11,23.2333,22.934,23.5024,23.245
2010-01-12,23.2562,22.9635,23.5279,23.2724
2010-01-13,23.2825,22.9953,23.5646,23.3129
2010-01-14,23.3185,23.04,23.6176,23.3729
2010-01-15,23.3742,23.0818,23.6636,23.4089
2010-01-19,23.4052,23.1109,23.6941,23.4401
2010-01-20,23.4463,23.1623,23.7438,23.4883
2010-01-21,23.5011,23.2099,23.8065,23.541
2010-01-22,23.5508,23.2545,23.9052,23.5782
2010-01-25,23.5984,23.2939,23.9466,23.6197
2010-01-26,23.6252,23.3267,23.9803,23.6445
2010-01-27,23.6448,23.3556,24.0241,23.6954
2010-01-28,23.6989,23.406,24.0721,23.7416
2010-01-29,23.7514,23.4589,24.1223,23.7897
2010-02-01,23.8013,23.511,24.1686,23.8404
2010-02-02,23.8507,23.5574,24.2125,23.8801
2010-02-03,23.8863,23.5854,24.2405,23.9054
2010-02-04,23.9056,23.5932,24.2533,23.9038
2010-02-05,23.9095,23.5896,24.261,23.9127
2010-02-08,23.9164,23.5905,24.2616,23.9063
2010-02-09,23.9141,23.5869,24.2569,23.9002
2010-02-10,23.9071,23.5842,24.2535,23.8987
2010-02-11,23.9071,23.5822,24.2445,23.8933
2010-02-12,23.8935,23.5702,24.2255,23.8805
2010-02-16,23.8805,23.5662,24.2229,23.8874
2010-02-17,23.8866,23.5706,24.2205,23.8899
2010-02-18,23.8857,23.5766,24.2216,23.8982
2010-02-19,23.8912,23.5915,24.2307,23.9136
2010-02-22,23.9183,23.6207,24.2543,23.9421
2010-02-23,23.9425,23.6474,24.2747,23.9608
2010-02-24,23.9661,23.6795,24.3039,23.9959
2010-02-25,23.9803,23.6986,24.3282,24.0146
2010-02-26,23.9956,23.724,24.3495,24.0428
2010-03-01,24.024,23.7548,24.3711,24.0674
2010-03-02,24.0596,23.7915,24.3985,24.0994
2010-03-03,24.0898,23.8289,24.4256,24.1284
2010-03-04,24.1185,23.8636,24.4493,24.1595
2010-03-05,24.1536,23.9004,24.4868,24.205
