,open,low,high,close
2010-01-04,26.9456,26.5819,27.2347,26.9254
2010-01-05,26.948,26.5954,27.2556,26.9595
2010-01-06,26.9683,26.6671,27.2851,27.0323
2010-01-07,27.0391,26.7769,27.5434,27.304
2010-01-08,27.1872,27.0029,27.7663,27.4759
2010-01-11,27.3473,27.3152,27.9274,27.7064
2010-01-12,27.4796,27.333,27.9982,27.7422
2010-01-13,27.5177,27.3815,28.0836,27.8338
2010-01-14,27.588,27.5331,28.2114,27.9689
2010-01-15,27.6849,27.5573,28.2777,27.975
2010-01-19,27.6986,27.5601,28.2909,27.9915
2010-01-20,27.7112,27.5658,28.3084,27.9878
2010-01-21,27.7173,27.5623,28.3137,27.988
2010-01-22,27.7216,27.5574,28.3167,27.9842
2010-01-25,27.7199,27.5531,28.3116,27.979
2010-01-26,27.7167,27.55,28.3128,27.974
2010-01-27,27.7115,27.5437,28.3109,27.9797
2010-01-28,27.7297,27.5485,28.3363,27.9945
2010-01-29,27.7603,27.5881,28.3955,28.0069
2010-02-01,27.795,27.6291,28.4327,28.0387
2010-02-02,27.8431,27.6968,28.452,28.0641
2010-02-03,27.8616,27.7007,28.4566,28.0644
2010-02-04,27.8621,27.6908,28.4538,28.0486
2010-02-05,27.8538,27.6662,28.4105,28.0304
2010-02-08,27.831,27.6049,28.3446,27.9634
2010-02-09,27.7821,27.5448,28.2615,27.9217
2010-02-10,27.731,27.5255,28.2425,27.9116
2010-02-11,27.7213,27.5066,28.1962,27.8917
2010-02-12,27.6845,27.4477,28.0998,27.8537
2010-02-16,27.6664,27.4367,28.0657,27.8482
2010-02-17,27.6657,27.4325,28.0558,27.8399
2010-02-18,27.6602,27.429,28.0399,27.8352
2010-02-19,27.6496,27.427,28.0226,27.8297
2010-02-22,27.6479,27.4267,28.0236,27.8322
2010-02-23,27.651,27.4256,28.0235,27.8279
2010-02-24,27.6502,27.4237,28.0196,27.8258
2010-02-25,27.6468,27.4213,28.0089,27.8198
2010-02-26,27.6441,27.4109,27.9877,27.8084
2010-03-01,27.6365,27.4004,27.9632,27.7978
2010-03-02,27.6299,27.3994,27.9693,27.7994
2010-03-03,27.6367,27.4148,27.9756,27.8053
2010-03-04,27.6416,27.4216,27.98,27.8102
2010-03-05,27.6567,27.5089,28.026,27.8924
2010-03-08,27.7321,27.6937,28.1053,27.9304
2010-03-09,27.7724,27.788,28.1864,28.042
2010-03-10,27.8604,27.9916,28.3891,28.222
2010-03-11,28.0188,28.1832,28.5247,28.3873
2010-03-12,28.1772,28.3888,28.7286,28.5173
2010-03-15,28.292,28.5271,28.9211,28.7023
2010-03-16,28.439,28.7203,29.1575,28.9079
2010-03-17,28.6208,28.9885,29.4193,29.1493
2010-03-18,28.8375,29.0917,29.6113,29.2852
2010-03-19,29.0686,29.2081,29.7748,29.4179
2010-03-22,29.1602,29.3137,29.8971,29.516
2010-03-23,29.2737,29.4876,30.1399,29.851
2010-03-24,29.4999,29.6927,30.4243,30.0205
2010-03-25,29.7813,29.9351,30.9489,30.2372
2010-03-26,30.0375,30.1699,31.1828,30.4638
2010-03-29,30.3058,30.3147,31.2422,30.5976
2010-03-30,30.4403,30.4003,31.2524,30.6348
