date,Aroon Down,Aroon Up
2010-01-04,0.0,45.0
2010-01-05,0.0,42.5
2010-01-06,0.0,40.0
2010-01-07,0.0,37.5
2010-01-08,0.0,100.0
2010-01-11,40.0,97.5
2010-01-12,37.5,95.0
2010-01-13,35.0,92.5
2010-01-14,32.5,100.0
2010-01-15,30.0,100.0
2010-01-19,27.5,100.0
2010-01-20,25.0,100.0
2010-01-21,22.5,97.5
2010-01-22,100.0,95.0
2010-01-25,100.0,92.5
2010-01-26,97.5,90.0
2010-01-27,95.0,87.5
2010-01-28,100.0,85.0
2010-01-29,97.5,82.5
2010-02-01,95.0,80.0
2010-02-02,92.5,77.5
2010-02-03,90.0,75.0
2010-02-04,87.5,72.5
2010-02-05,100.0,70.0
2010-02-08,97.5,67.5
2010-02-09,95.0,65.0
2010-02-10,92.5,62.5
2010-02-11,90.0,60.0
2010-02-12,87.5,57.5
2010-02-16,85.0,55.0
2010-02-17,82.5,52.5
2010-02-18,80.0,50.0
2010-02-19,77.5,47.5
2010-02-22,75.0,45.0
2010-02-23,72.5,42.5
2010-02-24,70.0,40.0
2010-02-25,67.5,37.5
2010-02-26,65.0,35.0
2010-03-01,62.5,32.5
2010-03-02,60.0,30.0
2010-03-03,57.5,27.5
2010-03-04,55.0,25.0
2010-03-05,52.5,22.5
2010-03-08,50.0,20.0
2010-03-09,47.5,17.5
2010-03-10,45.0,15.0
2010-03-11,42.5,12.5
2010-03-12,40.0,10.0
2010-03-15,37.5,7.5
2010-03-16,35.0,5.0
2010-03-17,32.5,2.5
2010-03-18,30.0,0.0
2010-03-19,27.5,0.0
2010-03-22,25.0,0.0
2010-03-23,22.5,100.0
2010-03-24,20.0,100.0
2010-03-25,17.5,100.0
2010-03-26,15.0,97.5
2010-03-29,12.5,95.0
2010-03-30,10.0,92.5
2010-03-31,7.5,90.0
2010-04-01,5.0,87.5
2010-04-05,2.5,100.0
2010-04-06,0.0,100.0
2010-04-07,0.0,100.0
2010-04-08,2.5,100.0
2010-04-09,0.0,100.0
2010-04-12,22.5,100.0
2010-04-13,20.0,100.0
2010-04-14,17.5,100.0
2010-04-15,15.0,100.0
2010-04-16,12.5,97.5
2010-04-19,10.0,95.0
2010-04-20,7.5,92.5
2010-04-21,5.0,90.0
2010-04-22,2.5,100.0
2010-04-23,0.0,100.0
2010-04-26,0.0,97.5
2010-04-27,0.0,95.0
2010-04-28,0.0,92.5
2010-04-29,0.0,90.0
2010-04-30,0.0,87.5
2010-05-03,0.0,85.0
2010-05-04,5.0,82.5
2010-05-05,2.5,80.0
2010-05-06,0.0,77.5
2010-05-07,0.0,75.0
2010-05-10,15.0,72.5
2010-05-11,12.5,70.0
2010-05-12,10.0,67.5
2010-05-13,7.5,65.0
2010-05-14,5.0,62.5
2010-05-17,100.0,60.0
2010-05-18,100.0,57.5
2010-05-19,100.0,55.0
2010-05-20,100.0,52.5
2010-05-21,100.0,50.0
2010-05-24,97.5,47.5
2010-05-25,95.0,45.0
2010-05-26,92.5,42.5
2010-05-27,90.0,40.0
2010-05-28,87.5,37.5
2010-06-01,85.0,35.0
2010-06-02,82.5,32.5
2010-06-03,80.0,30.0
2010-06-04,77.5,27.5
2010-06-07,75.0,25.0
2010-06-08,100.0,22.5
2010-06-09,97.5,20.0
2010-06-10,95.0,17.5
2010-06-11,92.5,15.0
2010-06-14,90.0,12.5
2010-06-15,87.5,10.0
2010-06-16,85.0,7.5
2010-06-17,82.5,5.0
2010-06-18,80.0,2.5
2010-06-21,77.5,0.0
2010-06-22,75.0,10.0
2010-06-23,72.5,7.5
2010-06-24,70.0,5.0
2010-06-25,67.5,2.5
2010-06-28,65.0,0.0
2010-06-29,62.5,0.0
2010-06-30,60.0,0.0
2010-07-01,57.5,0.0
2010-07-02,55.0,0.0
2010-07-06,52.5,5.0
2010-07-07,50.0,2.5
2010-07-08,47.5,0.0
2010-07-09,45.0,0.0
2010-07-12,42.5,0.0
2010-07-13,40.0,100.0
2010-07-14,37.5,97.5
2010-07-15,35.0,95.0
2010-07-16,32.5,92.5
2010-07-19,30.0,90.0
2010-07-20,27.5,87.5
2010-07-21,25.0,85.0
2010-07-22,22.5,82.5
2010-07-23,20.0,100.0
2010-07-26,17.5,100.0
2010-07-27,15.0,100.0
2010-07-28,12.5,97.5
2010-07-29,10.0,95.0
2010-07-30,7.5,92.5
2010-08-02,5.0,90.0
2010-08-03,2.5,87.5
2010-08-04,0.0,85.0
2010-08-05,0.0,82.5
2010-08-06,37.5,80.0
2010-08-09,35.0,77.5
2010-08-10,32.5,75.0
2010-08-11,30.0,72.5
2010-08-12,27.5,70.0
2010-08-13,25.0,67.5
2010-08-16,22.5,65.0
2010-08-17,20.0,62.5
2010-08-18,17.5,60.0
2010-08-19,15.0,57.5
2010-08-20,12.5,55.0
2010-08-23,10.0,52.5
2010-08-24,7.5,50.0
2010-08-25,5.0,47.5
2010-08-26,2.5,45.0
2010-08-27,0.0,42.5
2010-08-30,2.5,40.0
2010-08-31,0.0,37.5
2010-09-01,0.0,35.0
2010-09-02,85.0,32.5
2010-09-03,82.5,30.0
2010-09-07,80.0,27.5
2010-09-08,77.5,25.0
2010-09-09,75.0,22.5
2010-09-10,72.5,20.0
2010-09-13,70.0,17.5
2010-09-14,67.5,15.0
2010-09-15,65.0,12.5
2010-09-16,62.5,10.0
2010-09-17,60.0,7.5
2010-09-20,57.5,5.0
2010-09-21,55.0,2.5
2010-09-22,52.5,0.0
2010-09-23,50.0,7.5
2010-09-24,47.5,5.0
2010-09-27,45.0,2.5
2010-09-28,42.5,0.0
2010-09-29,40.0,2.5
2010-09-30,37.5,0.0
2010-10-01,35.0,7.5
2010-10-04,100.0,5.0
2010-10-05,100.0,2.5
2010-10-06,97.5,0.0
2010-10-07,95.0,85.0
2010-10-08,92.5,82.5
2010-10-11,90.0,80.0
2010-10-12,87.5,77.5
2010-10-13,85.0,75.0
2010-10-14,82.5,72.5
2010-10-15,80.0,70.0
2010-10-18,77.5,67.5
2010-10-19,75.0,65.0
2010-10-20,72.5,62.5
2010-10-21,70.0,60.0
2010-10-22,67.5,57.5
2010-10-25,65.0,55.0
2010-10-26,62.5,52.5
2010-10-27,60.0,50.0
2010-10-28,57.5,47.5
2010-10-29,55.0,45.0
2010-11-01,52.5,42.5
2010-11-02,50.0,40.0
2010-11-03,47.5,37.5
2010-11-04,45.0,35.0
2010-11-05,42.5,100.0
2010-11-08,40.0,97.5
2010-11-09,37.5,95.0
2010-11-10,35.0,92.5
2010-11-11,32.5,90.0
2010-11-12,30.0,87.5
2010-11-15,27.5,85.0
2010-11-16,25.0,82.5
2010-11-17,22.5,80.0
2010-11-18,20.0,77.5
2010-11-19,17.5,75.0
2010-11-22,15.0,72.5
2010-11-23,12.5,70.0
2010-11-24,10.0,67.5
2010-11-26,7.5,65.0
2010-11-29,5.0,62.5
2010-11-30,2.5,60.0
2010-12-01,0.0,100.0
2010-12-02,5.0,100.0
2010-12-03,2.5,97.5
2010-12-06,0.0,95.0
2010-12-07,2.5,100.0
2010-12-08,0.0,100.0
2010-12-09,0.0,100.0
2010-12-10,5.0,100.0
2010-12-13,2.5,100.0
2010-12-14,0.0,97.5
2010-12-15,10.0,100.0
2010-12-16,7.5,97.5
2010-12-17,5.0,95.0
2010-12-20,2.5,92.5
2010-12-21,0.0,90.0
2010-12-22,0.0,87.5
2010-12-23,0.0,85.0
2010-12-27,0.0,82.5
2010-12-28,0.0,80.0
2010-12-29,85.0,77.5
2010-12-30,82.5,75.0
2010-12-31,80.0,72.5
2011-01-03,77.5,70.0
2011-01-04,75.0,67.5
2011-01-05,72.5,65.0
2011-01-06,70.0,62.5
2011-01-07,67.5,60.0
2011-01-10,65.0,57.5
2011-01-11,62.5,55.0
2011-01-12,60.0,52.5
2011-01-13,57.5,50.0
