date,CCI
2010-01-04,104.3074
2010-01-05,102.6439
2010-01-06,101.1114
2010-01-07,116.6235
2010-01-08,117.1645
2010-01-11,107.5677
2010-01-12,110.9883
2010-01-13,110.6711
2010-01-14,117.2394
2010-01-15,113.5703
2010-01-19,116.4407
2010-01-20,116.3789
2010-01-21,103.9675
2010-01-22,50.351
2010-01-25,26.2611
2010-01-26,26.826
2010-01-27,28.8103
2010-01-28,12.1158
2010-01-29,16.8973
2010-02-01,19.8264
2010-02-02,34.3959
2010-02-03,25.3727
2010-02-04,11.8808
2010-02-05,2.9462
2010-02-08,-4.9345
2010-02-09,0.6596
2010-02-10,2.4209
2010-02-11,12.1622
2010-02-12,12.5721
2010-02-16,37.9736
2010-02-17,33.7012
2010-02-18,30.6189
2010-02-19,27.2045
2010-02-22,27.3903
2010-02-23,6.6759
2010-02-24,11.9392
2010-02-25,-5.2679
2010-02-26,2.2516
2010-03-01,1.0455
2010-03-02,9.9997
2010-03-03,8.8352
2010-03-04,14.0452
2010-03-05,44.5842
2010-03-08,44.6923
2010-03-09,37.6721
2010-03-10,36.7541
2010-03-11,42.7415
2010-03-12,65.6252
2010-03-15,60.3981
2010-03-16,65.8031
2010-03-17,70.8633
2010-03-18,65.2117
2010-03-19,57.8353
2010-03-22,59.6111
2010-03-23,71.8625
2010-03-24,69.8574
2010-03-25,85.6622
2010-03-26,73.1208
2010-03-29,67.55
2010-03-30,72.3344
2010-03-31,69.6994
2010-04-01,83.7966
2010-04-05,108.1567
2010-04-06,124.8388
2010-04-07,114.1503
2010-04-08,135.3405
2010-04-09,157.5573
2010-04-12,174.801
2010-04-13,188.9622
2010-04-14,234.2651
2010-04-15,242.7302
2010-04-16,196.4262
2010-04-19,196.9621
2010-04-20,216.3895
2010-04-21,211.7802
2010-04-22,223.2761
2010-04-23,290.9568
2010-04-26,249.4947
2010-04-27,209.1962
2010-04-28,195.017
2010-04-29,237.9671
2010-04-30,209.928
2010-05-03,213.0686
2010-05-04,177.4162
2010-05-05,131.6046
2010-05-06,50.3197
2010-05-07,4.1015
2010-05-10,62.7919
2010-05-11,75.4526
2010-05-12,89.3461
2010-05-13,65.9983
2010-05-14,-12.1706
2010-05-17,-12.6981
2010-05-18,-34.6172
2010-05-19,-42.6794
2010-05-20,-68.5125
2010-05-21,-73.2194
2010-05-24,-64.1352
2010-05-25,-89.3792
2010-05-26,-85.8258
2010-05-27,-41.0093
2010-05-28,-37.3188
2010-06-01,-54.9542
2010-06-02,-28.2574
2010-06-03,-16.2652
2010-06-04,-79.0366
2010-06-07,-100.8846
2010-06-08,-102.5064
2010-06-09,-87.355
2010-06-10,-48.6479
2010-06-11,-39.0365
2010-06-14,-30.4414
2010-06-15,1.4055
2010-06-16,29.436
2010-06-17,31.2254
2010-06-18,27.9801
2010-06-21,46.849
2010-06-22,35.0316
2010-06-23,24.8365
2010-06-24,9.5159
2010-06-25,29.5878
2010-06-28,33.1023
2010-06-29,-22.2609
2010-06-30,-37.6653
2010-07-01,-56.7174
2010-07-02,-53.432
2010-07-06,-52.0566
2010-07-07,-19.4863
2010-07-08,25.3691
2010-07-09,40.0507
2010-07-12,49.4802
2010-07-13,88.3064
2010-07-14,80.3456
2010-07-15,65.7272
2010-07-16,24.5129
2010-07-19,4.0726
2010-07-20,15.2099
2010-07-21,12.0893
2010-07-22,49.2261
2010-07-23,87.5168
2010-07-26,121.4679
2010-07-27,106.8101
2010-07-28,96.8473
2010-07-29,92.9711
2010-07-30,88.3269
2010-08-02,103.9998
2010-08-03,92.2755
2010-08-04,77.5606
2010-08-05,49.1701
2010-08-06,41.6784
2010-08-09,58.3084
2010-08-10,59.6388
2010-08-11,35.5128
2010-08-12,13.0309
2010-08-13,-2.6988
2010-08-16,-14.5476
2010-08-17,-10.7556
2010-08-18,-17.8438
2010-08-19,-33.8409
2010-08-20,-52.2053
2010-08-23,-59.7006
2010-08-24,-89.7337
2010-08-25,-89.2632
2010-08-26,-81.2065
2010-08-27,-60.1227
2010-08-30,-68.8623
2010-08-31,-80.1577
