date,WILLR
2010-01-04,-30.6189
2010-01-05,-36.014
2010-01-06,-36.014
2010-01-07,-8.0247
2010-01-08,-20.3846
2010-01-11,-40.239
2010-01-12,-18.3267
2010-01-13,-13.1474
2010-01-14,-2.1661
2010-01-15,-15.6794
2010-01-19,-2.9221
2010-01-20,-9.2784
2010-01-21,-37.457
2010-01-22,-92.0949
2010-01-25,-94.9565
2010-01-26,-89.5652
2010-01-27,-79.6522
2010-01-28,-90.6542
2010-01-29,-87.0717
2010-02-01,-78.5047
2010-02-02,-65.8879
2010-02-03,-76.6355
2010-02-04,-89.0966
2010-02-05,-81.203
2010-02-08,-97.1429
2010-02-09,-85.8647
2010-02-10,-82.7068
2010-02-11,-74.5865
2010-02-12,-72.6316
2010-02-16,-54.5865
2010-02-17,-63.1579
2010-02-18,-60.7692
2010-02-19,-49.6933
2010-02-22,-23.1023
2010-02-23,-56.1056
2010-02-24,-40.264
2010-02-25,-52.4752
2010-02-26,-47.5248
2010-03-01,-49.505
2010-03-02,-40.9241
2010-03-03,-44.5545
2010-03-04,-24.4224
2010-03-05,-1.3699
2010-03-08,-17.5809
2010-03-09,-19.0405
2010-03-10,-18.4408
2010-03-11,-6.8493
2010-03-12,-6.0759
2010-03-15,-7.5949
2010-03-16,-2.7638
2010-03-17,-7.0423
2010-03-18,-7.277
2010-03-19,-23.0047
2010-03-22,-5.3991
2010-03-23,-3.0093
2010-03-24,-10.2041
2010-03-25,-19.0265
2010-03-26,-26.2443
2010-03-29,-27.7512
2010-03-30,-24.1463
2010-03-31,-25.0
2010-04-01,-18.239
2010-04-05,-0.2976
2010-04-06,-0.5886
2010-04-07,-24.6914
2010-04-08,-3.4014
2010-04-09,-4.9331
2010-04-12,-0.8426
2010-04-13,-1.3392
2010-04-14,-2.5011
2010-04-15,-0.146
2010-04-16,-23.0758
2010-04-19,-13.4365
2010-04-20,-8.1897
2010-04-21,-11.7949
2010-04-22,-5.414
2010-04-23,-13.6364
2010-04-26,-24.5215
2010-04-27,-40.6699
2010-04-28,-37.201
2010-04-29,-20.3065
2010-04-30,-41.2081
2010-05-03,-27.7933
2010-05-04,-46.5084
2010-05-05,-66.7602
2010-05-06,-74.0864
2010-05-07,-95.1274
2010-05-10,-67.5526
2010-05-11,-64.8948
2010-05-12,-56.3677
2010-05-13,-70.6534
2010-05-14,-93.6473
2010-05-17,-84.8775
2010-05-18,-94.1591
2010-05-19,-89.7512
2010-05-20,-99.4356
2010-05-21,-76.9447
2010-05-24,-84.2549
2010-05-25,-84.6298
2010-05-26,-92.4086
2010-05-27,-72.1649
2010-05-28,-74.9251
2010-06-01,-80.6144
2010-06-02,-59.1166
2010-06-03,-59.126
2010-06-04,-84.8046
2010-06-07,-94.9349
2010-06-08,-81.7927
2010-06-09,-86.1582
2010-06-10,-58.153
2010-06-11,-39.759
2010-06-14,-40.1302
2010-06-15,-3.2538
2010-06-16,-3.1599
2010-06-17,-11.9643
2010-06-18,-12.5
2010-06-21,-8.985
2010-06-22,-19.9667
2010-06-23,-16.1398
2010-06-24,-34.609
2010-06-25,-7.8203
2010-06-28,-17.1381
2010-06-29,-50.7488
2010-06-30,-57.2379
2010-07-01,-60.8985
2010-07-02,-61.8968
2010-07-06,-65.391
2010-07-07,-38.4913
2010-07-08,-21.6102
2010-07-09,-11.8644
2010-07-12,-6.5678
2010-07-13,-4.3261
2010-07-14,-12.1464
2010-07-15,-16.6389
2010-07-16,-50.7488
2010-07-19,-47.421
2010-07-20,-39.4343
2010-07-21,-54.5757
2010-07-22,-20.6323
2010-07-23,-1.2403
