date,ADX
2010-01-04,10.8776
2010-01-05,10.4671
2010-01-06,10.0771
2010-01-07,9.6455
2010-01-08,9.2356
2010-01-11,9.2348
2010-01-12,9.0542
2010-01-13,8.8711
2010-01-14,8.5345
2010-01-15,9.0623
2010-01-19,9.0768
2010-01-20,10.2389
2010-01-21,13.9896
2010-01-22,17.553
2010-01-25,20.9385
2010-01-26,24.1548
2010-01-27,27.1991
2010-01-28,30.089
2010-01-29,32.8214
2010-02-01,35.4164
2010-02-02,37.8817
2010-02-03,40.224
2010-02-04,42.4499
2010-02-05,44.5646
2010-02-08,46.5699
2010-02-09,48.4738
2010-02-10,50.2826
2010-02-11,51.989
2010-02-12,53.6041
2010-02-16,55.1385
2010-02-17,56.5945
2010-02-18,57.9759
2010-02-19,59.2699
2010-02-22,60.4938
2010-02-23,61.6565
2010-02-24,62.7612
2010-02-25,63.8107
2010-02-26,64.8009
2010-03-01,65.7251
2010-03-02,66.5954
2010-03-03,67.4178
2010-03-04,68.1972
2010-03-05,68.9368
2010-03-08,69.6394
2010-03-09,70.3076
2010-03-10,70.9428
2010-03-11,71.5466
2010-03-12,72.1135
2010-03-15,72.652
2010-03-16,73.1637
2010-03-17,73.6476
2010-03-18,74.1073
2010-03-19,74.5359
2010-03-22,74.9441
2010-03-23,75.3305
2010-03-24,75.6991
2010-03-25,76.0427
2010-03-26,76.3701
2010-03-29,76.6811
2010-03-30,76.9768
2010-03-31,77.2595
2010-04-01,77.5143
2010-04-05,77.7564
2010-04-06,77.988
2010-04-07,78.2114
2010-04-08,78.4249
2010-04-09,78.597
2010-04-12,78.7389
2010-04-13,78.8756
2010-04-14,78.9897
2010-04-15,79.1003
2010-04-16,79.2263
2010-04-19,79.3461
2010-04-20,79.4321
2010-04-21,79.5207
2010-04-22,79.6094
2010-04-23,79.6793
2010-04-26,79.709
2010-04-27,79.7542
2010-04-28,79.7971
2010-04-29,79.8048
2010-04-30,79.8175
2010-05-03,79.817
2010-05-04,79.8272
2010-05-05,79.8444
2010-05-06,79.899
2010-05-07,79.9509
2010-05-10,79.7694
2010-05-11,79.549
2010-05-12,79.3396
2010-05-13,79.1413
2010-05-14,78.9813
2010-05-17,78.8339
2010-05-18,78.5948
2010-05-19,78.3858
2010-05-20,78.2242
2010-05-21,78.1116
2010-05-24,78.0046
2010-05-25,77.9447
2010-05-26,77.7998
2010-05-27,77.3801
2010-05-28,76.9956
2010-06-01,76.6468
2010-06-02,76.253
2010-06-03,75.8256
2010-06-04,75.4689
2010-06-07,75.1301
2010-06-08,74.4689
2010-06-09,73.7134
2010-06-10,72.8802
2010-06-11,71.9892
2010-06-14,70.9451
2010-06-15,69.6626
2010-06-16,68.4027
2010-06-17,66.8742
2010-06-18,65.2958
2010-06-21,63.7073
2010-06-22,62.2022
2010-06-23,60.9008
2010-06-24,59.6646
2010-06-25,58.039
2010-06-28,56.4946
2010-06-29,55.1869
2010-06-30,53.9648
2010-07-01,52.9754
2010-07-02,52.1783
2010-07-06,51.421
2010-07-07,50.4281
2010-07-08,49.4849
2010-07-09,48.5888
2010-07-12,47.7708
2010-07-13,46.8695
2010-07-14,46.0213
2010-07-15,45.311
2010-07-16,44.8673
2010-07-19,44.5298
2010-07-20,43.993
2010-07-21,43.4159
2010-07-22,42.8676
2010-07-23,42.178
2010-07-26,41.3438
2010-07-27,40.5514
2010-07-28,39.9628
2010-07-29,39.4685
2010-07-30,38.9989
2010-08-02,37.9421
2010-08-03,36.9005
2010-08-04,35.6233
2010-08-05,34.4025
2010-08-06,33.5573
2010-08-09,32.6902
2010-08-10,32.0835
2010-08-11,31.9324
2010-08-12,31.9639
2010-08-13,31.9628
2010-08-16,32.1222
2010-08-17,31.8512
2010-08-18,31.069
2010-08-19,30.3484
2010-08-20,29.8091
2010-08-23,29.2966
2010-08-24,29.0637
2010-08-25,29.0294
